date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-12-31,RTN,2020-02-12,2020-02-12 16:04:56,FY,4292000000,0.0,4292000000,0.0,671000000,8119000000,13082000000,3353000000,14882000000,0.0,14882000000,0.0,0.0,0.0,18235000000,3249000000,34566000000,1796000000,1499000000,0.0,0.0,6496000000,9791000000,1499000000,0.0,0.0,8553000000,10052000000,0.0,34566000000,3000000.0,21480000000,-9260000000,0.0,12223000000,34566000000,0.0,4760000000,468000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712220000009/0001047122-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712220000009/rtn-12312019x10k.htm
2019-09-29,RTN,2019-10-24,2019-10-24 10:05:57,Q3,2646000000,1473000000,2646000000,6498000000,802000000,610000000,12029000000,3103000000,14881000000,0.0,14881000000,710000000,0.0,16975000000,20788000000,2804000000,32817000000,1470000000,500000000,209000000,2977000000,2659000000,7815000000,4258000000,133000000,133000000,6642000000,4524000000,7496000000,19835000000,3000000.0,20987000000,-8042000000,34000000,12982000000,32817000000,2183000000,4758000000,2112000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000193/0001047122-19-000193-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000193/rtn-09292019x10q.htm
2019-06-30,RTN,2019-07-25,2019-07-25 10:21:24,Q2,2173000000,1607000000,2173000000,6130000000,932000000,684000000,11526000000,2982000000,14882000000,0.0,14882000000,686000000,0.0,16992000000,20660000000,2796000000,32186000000,1368000000,800000000,203000000,2944000000,2556000000,7871000000,4257000000,139000000,139000000,6699000000,4535000000,7576000000,19982000000,3000000.0,20383000000,-8182000000,0.0,12204000000,32186000000,2293000000,5057000000,2884000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000173/0001047122-19-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000173/rtn-06302019x10q.htm
2019-03-31,RTN,2019-04-25,2019-04-25 10:30:02,Q1,2093000000,1424000000,2093000000,5971000000,882000000,586000000,10956000000,2899000000,14882000000,0.0,14882000000,677000000,0.0,17044000000,20620000000,2839000000,31576000000,1361000000,800000000,96000000,2930000000,2493000000,7680000000,4256000000,141000000,141000000,6848000000,4538000000,7650000000,19868000000,3000000.0,20104000000,-8399000000,20104000000,11708000000,31576000000,2101000000,5056000000,2963000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000126/0001047122-19-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000126/rtn-03312019x10qq1.htm
2018-12-31,RTN,2019-02-13,2019-02-13 10:49:55,FY,3608000000,1648000000,3608000000,5594000000,758000000,528000000,12136000000,2840000000,14864000000,0.0,14864000000,642000000,331000000,15915000000,19728000000,2024000000,31864000000,1964000000,1206000000,92000000,3309000000,1717000000,8288000000,4755000000,150000000,150000000,6938000000,5055000000,7049000000,20392000000,3000000.0,20087000000,-8618000000,20087000000,11472000000,31864000000,2290000000,5961000000,2353000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000007/0001047122-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000007/rtn-12312018x10k.htm
2018-09-30,RTN,2018-10-25,2018-10-25 11:49:16,Q3,2073000000,1527000000,2073000000,5715000000,804000000,516000000,10635000000,2639000000,14865000000,0.0,14865000000,665000000,0.0,16195000000,19499000000,1995000000,30134000000,1392000000,1281000000,84000000,2931000000,1468000000,7156000000,4753000000,134000000,134000000,6355000000,5021000000,6647000000,18824000000,3000000.0,19720000000,-8413000000,0.0,11310000000,30134000000,2192000000,6034000000,3961000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000221/0001047122-18-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000221/rtn-09302018x10q.htm
2018-07-01,RTN,2018-07-26,2018-07-26 10:15:20,Q2,3094000000,1317000000,3094000000,5642000000,725000000,537000000,11315000000,2554000000,14865000000,0.0,14865000000,640000000,0.0,16229000000,19423000000,2004000000,30738000000,1380000000,1206000000,0.0,2886000000,1545000000,7017000000,4752000000,122000000,122000000,7850000000,4996000000,8118000000,20131000000,3000000.0,19467000000,-8863000000,0.0,10607000000,30738000000,1957000000,5958000000,2864000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000201/0001047122-18-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000201/rtn-07012018x10q.htm
2018-04-01,RTN,2018-04-26,2018-04-26 10:11:46,Q1,2748000000,1639000000,2748000000,5444000000,640000000,489000000,10960000000,2478000000,14871000000,0.0,14871000000,633000000,0.0,16426000000,19537000000,2188000000,30497000000,1255000000,1354000000,0.0,2949000000,1221000000,6779000000,4751000000,119000000,119000000,8238000000,4989000000,8492000000,20260000000,3000000.0,19329000000,-9095000000,0.0,10237000000,30497000000,2272000000,6105000000,3357000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000128/0001047122-18-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000128/rtn-04012018x10qq1.htm
2017-12-31,RTN,2018-02-14,2018-02-14 10:22:29,FY,3103000000,297000000,3400000000,5247000000,594000000,2085000000,11326000000,2439000000,14871000000,0.0,14871000000,633000000,537000000,15925000000,19534000000,2224000000,30860000000,1519000000,1260000000,0.0,2927000000,1642000000,7348000000,4750000000,127000000,127000000,8287000000,5004000000,8545000000,20897000000,3000000.0,17895000000,-7935000000,0.0,9963000000,30860000000,930000000,6010000000,2907000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000022/0001047122-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000022/rtn-12312017x10k.htm
2017-10-01,RTN,2017-10-26,2017-10-26 10:14:26,Q3,2311000000,0.0,2311000000,5892000000,693000000,1882000000,10778000000,2248000000,14878000000,0.0,14878000000,603000000,0.0,16649000000,19500000000,2374000000,30278000000,1347000000,1161000000,0.0,2519000000,1465000000,6492000000,4749000000,117000000,117000000,7791000000,4983000000,7946000000,19421000000,3000000.0,17929000000,-7075000000,0.0,10857000000,30278000000,603000000,5910000000,3599000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712217000171/0001047122-17-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712217000171/rtn-10012017x10q.htm
