date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-29,SBUX,2020-04-28,2020-04-28 16:53:56,Q2,2572300000,52900000,2625200000,941000000,1492200000,691500000,5749900000,6387000000,3493000000,678700000,4171700000,198800000,1709700000,9261800000,21729000000,11171000000,27478900000,997700000,1249400000,86700000,1436300000,4495700000,8265800000,11658700000,0.0,1709700000,751000000,13368400000,13374800000,35009000000,1200000.0,-7050600000,-521800000,41100000,-7530100000,27478900000,251700000,12908100000,10335800000,https://www.sec.gov/Archives/edgar/data/829224/000082922420000045/0000829224-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922420000045/sbux-20200329.htm
2019-12-29,SBUX,2020-01-28,2020-01-28 16:58:14,Q1,3040500000,68400000,3108900000,908100000,1408700000,474000000,5899700000,6390900000,3515900000,739100000,4255000000,199800000,1731400000,9254500000,21831600000,11188000000,27731300000,1085600000,498700000,1414000000,1694100000,3983100000,8675500000,10653200000,6748800000,1731400000,701000000,19133400000,6682300000,34491200000,1200000.0,-6414800000,-387400000,41100000,-6759900000,27731300000,268200000,11151900000,8111400000,https://www.sec.gov/Archives/edgar/data/829224/000082922420000012/0000829224-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922420000012/sbux-20191229.htm
2019-09-29,SBUX,2019-11-15,2019-11-15 16:16:58,FY,2686600000,70500000,2757100000,879200000,1529400000,488200000,5653900000,6431700000,3490800000,781800000,4272600000,220000000,1765800000,875600000,13565700000,2864000000,19219600000,1189700000,0.0,1291700000,1269000000,2418300000,6168700000,11167000000,6744400000,1765800000,1370000000,19677200000,-394100000,25451800000,1200000.0,-5771200000,-503300000,41100000,-6232200000,19219600000,290500000,11167000000,8480400000,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/0000829224-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/sbux-9292019x10xk.htm
2019-06-30,SBUX,2019-07-30,2019-07-30 16:45:22,Q3,4763300000,72000000,4763300000,790600000,1517200000,663700000,7734800000,6187800000,3564700000,853200000,4417900000,222600000,1533000000,798300000,13159600000,2556000000,20894400000,1145400000,0.0,0.0,1300200000,3450200000,5895800000,11159100000,6717900000,1533000000,1440000000,19410000000,-90800000,25215000000,1200000.0,-4013900000,-349000000,41100000,-4320600000,20894400000,222600000,11159100000,6395800000,https://www.sec.gov/Archives/edgar/data/829224/000082922419000036/0000829224-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922419000036/sbux-6302019x10xq.htm
2019-03-31,SBUX,2019-04-30,2019-04-30 16:24:57,Q2,2055100000,76000000,2055100000,703600000,1443000000,750600000,4952300000,6135500000,3603500000,918300000,4521800000,251900000,1006600000,773800000,12689600000,2033000000,17641900000,1096700000,75000000,0.0,1311400000,2865300000,5273400000,9141500000,6761900000,1006600000,1500000000,16910000000,495400000,22678800000,1200000.0,-4807700000,-271500000,41100000,-5036900000,17641900000,251900000,9141500000,7086400000,https://www.sec.gov/Archives/edgar/data/829224/000082922419000024/0000829224-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922419000024/sbux-3312019x10xq.htm
2018-12-30,SBUX,2019-01-29,2019-01-29 17:04:40,Q1,4761600000,230200000,4991800000,721400000,1354600000,608500000,7676300000,6039300000,3560300000,981600000,4541900000,265000000,650000000,808800000,12305000000,0.0,19981300000,1100500000,0.0,0.0,1554200000,2772800000,5427500000,9130700000,6823700000,650000000,1478000000,16604400000,834300000,22866200000,1200000.0,-2584000000,-343200000,41100000,-2884900000,19981300000,495200000,9130700000,4369100000,https://www.sec.gov/Archives/edgar/data/829224/000082922419000011/0000829224-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922419000011/sbux-12302018x10xq.htm
2018-09-30,SBUX,2018-11-16,2018-11-16 16:44:31,FY,8756300000,181500000,8937800000,693100000,1400500000,1462800000,12494200000,5929100000,3541600000,1042200000,4583800000,267700000,134700000,746900000,11662200000,1150000000,24156400000,1179300000,349900000,0.0,1642900000,2512100000,5684200000,9090200000,6775700000,134700000,1430000000,16000600000,1302100000,22986900000,1300000.0,1457400000,-330300000,41100000,1169500000,24156400000,449200000,9440100000,683800000,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/0000829224-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/sbux-9302018x10xk.htm
2018-07-01,SBUX,2018-07-31,2018-07-31 16:18:00,Q3,1892100000,84500000,1976600000,854800000,1387400000,1364600000,5583400000,5689600000,3647600000,1122900000,4770500000,261400000,149100000,728100000,11598700000,1141000000,17182100000,921100000,349800000,0.0,1444600000,2836100000,5551600000,6149100000,0.0,149100000,1484000000,6298200000,1341600000,13191400000,1400000.0,4150900000,-202700000,41100000,3990700000,17182100000,345900000,6498900000,4606800000,https://www.sec.gov/Archives/edgar/data/829224/000082922418000037/0000829224-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922418000037/sbux-07012018x10xq.htm
2018-04-01,SBUX,2018-05-01,2018-05-01 16:14:34,Q2,2142000000,100500000,2242500000,869600000,1375900000,1169000000,5657000000,5576800000,3793500000,1228400000,5021900000,293100000,165300000,839400000,11896500000,1299000000,17553500000,869700000,349700000,0.0,1484000000,2483600000,5187000000,6185100000,0.0,165300000,1463000000,6350400000,1304900000,12842300000,1400000.0,4635800000,32900000,41100000,4711200000,17553500000,393600000,6534800000,4392800000,https://www.sec.gov/Archives/edgar/data/829224/000082922418000022/0000829224-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922418000022/sbux-04012018x10xq.htm
2017-12-31,SBUX,2018-01-31,2018-01-31 16:12:56,Q1,3661400000,106600000,3768000000,851800000,1313200000,950500000,6883500000,5378700000,3674800000,1246200000,4921000000,363500000,157900000,813900000,11635000000,1337000000,18518500000,852100000,349900000,0.0,1668000000,3971100000,6841100000,4566500000,0.0,157900000,1352000000,6076400000,-151100000,12766400000,1400000.0,5834900000,-125300000,41100000,5752100000,18518500000,470100000,4916400000,1255000000,https://www.sec.gov/Archives/edgar/data/829224/000082922418000009/0000829224-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922418000009/sbux-12312017x10xq.htm
