date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,SLB,2020-04-22,2020-04-22 09:19:20,Q1,1375000000,1969000000,3344000000,7486000.0,4148000000,8774000000,16266000000,8550000000,12924000000,3673000000,16597000000,1515000000,155000000,5511000000,32328000000,0.0,48594000000,10168000000,1233000.0,1157000000,0.0,1937000000,13262000000,15409000000,0.0,0.0,3004000000,18413000000,1358000000,33033000000,12963000000,10681000000,-4723000000,0.0,15561000000,48594000000,3484000000,15409000000,14034000000,https://www.sec.gov/Archives/edgar/data/87347/000156459020017823/0001564590-20-017823-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459020017823/slb-10q_20200331.htm
2019-12-31,SLB,2020-01-22,2020-01-22 11:46:23,FY,1137000000,1030000000,2167000000,7747000.0,4130000000,9233000000,15530000000,9270000000,16042000000,7089000000,23131000000,1565000000,0.0,6816000000,40782000000,0.0,56312000000,10663000000,524000.0,1209000000,0.0,1226000000,13098000000,14770000000,0.0,491000000,2810000000,18071000000,1383000000,32552000000,13078000000,18751000000,-4438000000,0.0,23760000000,56312000000,2595000000,14770000000,13633000000,https://www.sec.gov/Archives/edgar/data/87347/000156459020001578/0001564590-20-001578-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459020001578/slb-10k_20191231.htm
2019-09-30,SLB,2019-10-23,2019-10-23 11:29:53,Q3,1183000000,1109000000,2292000000,8332000.0,4341000000,9518000000,16151000000,9605000000,16112000000,7282000000,23394000000,1335000000,0.0,7505000000,41839000000,0.0,57990000000,10364000000,340000.0,1078000000,0.0,1041000000,12483000000,16333000000,0.0,591000000,3155000000,20079000000,1515000000,34077000000,13012000000,19111000000,-4569000000,0.0,23913000000,57990000000,2444000000,16333000000,15150000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019037505/0001564590-19-037505-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019037505/slb-10q_20190930.htm
2019-06-30,SLB,2019-07-24,2019-07-24 11:28:04,Q2,1466000000,882000.0,1466000000,8471000.0,4389000000,10478000000,16333000000,11359000000,24950000000,8485000000,33435000000,0.0,0.0,9464000000,54258000000,0.0,70591000000,9851000000,98000.0,1123000000,0.0,799000000,11773000000,16978000000,0.0,1330000000,3118000000,21426000000,1540000000,34739000000,13037000000,31186000000,-4544000000,0.0,35852000000,70591000000,882000.0,16978000000,15512000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019025739/0001564590-19-025739-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019025739/slb-10q_20190630.htm
2019-03-31,SLB,2019-04-24,2019-04-24 11:26:17,Q1,1230000000,925000000,1230000000,8171000000,4224000000,10319000000,15773000000,11533000000,24945000000,8611000000,33556000000,0.0,0.0,9459000000,54548000000,0.0,70321000000,9702000000,99000000,1194000000,0.0,801000000,11697000000,16449000000,0.0,1375000000,3140000000,20964000000,1557000000,34218000000,13000000000,31386000000,-4527000000,0.0,36103000000,70321000000,925000000,16449000000,15219000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019012635/0001564590-19-012635-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019012635/slb-10q_20190331.htm
2018-12-31,SLB,2019-01-23,2019-01-23 11:24:12,FY,1433000000,1344000000,1433000000,7881000000,4010000000,10288000000,15731000000,11679000000,24931000000,8727000000,33658000000,0.0,0.0,9439000000,54776000000,0.0,70507000000,10223000000,1407000000,1155000000,0.0,2108000000,13486000000,14644000000,0.0,1441000000,3197000000,19282000000,1577000000,34345000000,13132000000,31658000000,-4622000000,0.0,36162000000,70507000000,1344000000,14644000000,13211000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/0001564590-19-000928-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/slb-10k_20181231.htm
2018-09-30,SLB,2018-10-24,2018-10-24 11:22:57,Q3,1493000000,1361000000,1493000000,8409000000,4108000000,10882000000,16483000000,11739000000,25134000000,8930000000,34064000000,0.0,0.0,7760000000,53563000000,0.0,70046000000,9419000000,3215000000,1265000000,0.0,3916000000,14600000000,14159000000,0.0,1529000000,1853000000,17541000000,1372000000,33513000000,13058000000,31712000000,-4313000000,0.0,36533000000,70046000000,1361000000,14159000000,12666000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018024846/0001564590-18-024846-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018024846/slb-10q_20180930.htm
2018-06-30,SLB,2018-07-25,2018-07-25 12:17:58,Q2,1461000000,1588000000,1461000000,8606000000,4120000000,11319000000,16900000000,11504000000,25121000000,9092000000,34213000000,0.0,0.0,7539000000,53256000000,0.0,70156000000,9367000000,3736000000,1264000000,0.0,4435000000,15066000000,13865000000,0.0,1541000000,1816000000,17222000000,1384000000,33672000000,13030000000,31760000000,-4305000000,0.0,36484000000,70156000000,1588000000,13865000000,12404000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018017379/0001564590-18-017379-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018017379/slb-10q_20180630.htm
2018-03-31,SLB,2018-04-25,2018-04-25 11:16:47,Q1,1865000000,2300000000,1865000000,8472000000,4174000000,12016000000,18055000000,11556000000,25120000000,9217000000,34337000000,0.0,0.0,7530000000,53423000000,0.0,71478000000,9598000000,4586000000,1311000000,0.0,5286000000,16195000000,13526000000,0.0,1579000000,1825000000,16930000000,1429000000,34554000000,12998000000,32022000000,-4159000000,0.0,36924000000,71478000000,2300000000,13526000000,11661000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018008981/0001564590-18-008981-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018008981/slb-10q_20180331.htm
2017-12-31,SLB,2018-01-24,2018-01-24 11:35:35,FY,1799000000,3290000000,1799000000,8084000000,4046000000,12652000000,18497000000,11576000000,25118000000,9354000000,34472000000,0.0,0.0,7442000000,53490000000,0.0,71987000000,10036000000,3324000000,1223000000,0.0,4023000000,15282000000,14875000000,0.0,1650000000,1837000000,18362000000,1501000000,35145000000,12975000000,32190000000,-4274000000,0.0,36842000000,71987000000,3290000000,14875000000,13076000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018000821/0001564590-18-000821-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018000821/slb-10k_20171231.htm
