date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,SO,2020-04-30,2020-04-29 17:42:31,Q1,2164000000,1386000000,3550000000,1603000000,0.0,4277000000,9430000000,83965000000,5280000000,523000000,5803000000,0.0,0.0,0.0,89768000000,19654000000,118852000000,1653000000,1710000000,0.0,798000000,5392000000,9553000000,44235000000,0.0,0.0,0.0,44235000000,0.0,86645000000,0.0,0.0,0.0,31916000000,31916000000,118852000000,1386000000,44532000000,42368000000,https://www.sec.gov/Archives/edgar/data/92122/000009212220000042/0000092122-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212220000042/so10q3312020.htm
2019-12-31,SO,2020-02-20,2020-02-19 17:55:30,FY,1975000000,1303000000,3278000000,1614000000,0.0,4925000000,9817000000,83080000000,5280000000,536000000,5816000000,0.0,0.0,0.0,88896000000,19987000000,118700000000,0.0,549000000,0.0,798000000,357000000,1704000000,3574000000,0.0,0.0,0.0,3574000000,0.0,7678000000,2368000000,1485000000,-26000000,0.0,2368000000,118700000000,1303000000,3847000000,1872000000,https://www.sec.gov/Archives/edgar/data/92122/000009212220000017/0000092122-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212220000017/so10-k12312019.htm
2019-09-30,SO,2019-10-30,2019-10-29 19:30:33,Q3,2931000000,116000000,3047000000,1812000000,1412000000,3646000000,9917000000,81713000000,5280000000,550000000,326000000,10528000000,318000000,14789000000,107674000000,20131000000,117591000000,1898000000,3313000000,179000000,58000000,5086000000,10534000000,42098000000,0.0,7737000000,562000000,50397000000,24869000000,85800000000,0.0,31791000000,0.0,31791000000,31791000000,117591000000,10644000000,45411000000,42480000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000053/0000092122-19-000053-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000053/so10q9302019.htm
2019-06-30,SO,2019-07-31,2019-07-30 17:45:58,Q2,1383000000,107000000,1490000000,1654000000,1440000000,3768000000,8352000000,81174000000,5282000000,550000000,313000000,10649000000,296000000,14083000000,106515000000,19509000000,114867000000,1978000000,3148000000,171000000,58000000,5644000000,10999000000,39682000000,0.0,7728000000,384000000,47794000000,24943000000,83736000000,0.0,31131000000,0.0,31131000000,31131000000,114867000000,10756000000,42830000000,41447000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000037/0000092122-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000037/so10q6302019.htm
2019-03-31,SO,2019-05-01,2019-04-30 18:32:56,Q1,1361000000,111000000,1472000000,1715000000,1477000000,4045000000,8709000000,81637000000,5284000000,585000000,340000000,0.0,17000000,23393000000,105387000000,17881000000,114096000000,2037000000,2315000000,340000000,62000000,5165000000,9919000000,40457000000,0.0,7937000000,405000000,48799000000,24691000000,83409000000,0.0,30687000000,0.0,30687000000,30687000000,114096000000,111000000,42772000000,41411000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000016/0000092122-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000016/so_10qx3312019.htm
2018-12-31,SO,2019-02-20,2019-02-19 18:34:01,FY,1396000000,222000000,1618000000,1726000000,1465000000,4774000000,9583000000,80797000000,5315000000,613000000,345000000,0.0,1186000000,25003000000,107331000000,20606000000,116914000000,2580000000,3198000000,656000000,32000000,7820000000,14286000000,40736000000,0.0,6558000000,465000000,47759000000,30146000000,92191000000,5164000000,8706000000,-203000000,11056000000,24723000000,116914000000,222000000,43934000000,42538000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000006/0000092122-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000006/so10-k12312018.htm
2018-09-30,SO,2018-11-07,2018-11-06 17:47:23,Q3,1847000000,87000000,1934000000,1730000000,1418000000,4302000000,9384000000,78432000000,5315000000,674000000,391000000,0.0,1281000000,22229000000,102333000000,17912000000,111717000000,2246000000,3013000000,97000000,34000000,7575000000,12965000000,41425000000,0.0,6035000000,454000000,47914000000,25961000000,86840000000,5140000000,9048000000,-177000000,10866000000,24877000000,111717000000,87000000,44438000000,42591000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000062/0000092122-18-000062-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000062/so_10qx9302018.htm
2018-06-30,SO,2018-08-08,2018-08-07 18:44:06,Q2,1980000000,93000000,2073000000,1728000000,1397000000,6421000000,11619000000,77192000000,5315000000,702000000,398000000,0.0,1223000000,22345000000,101158000000,17949000000,112777000000,2162000000,2237000000,0.0,36000000,9931000000,14366000000,42483000000,0.0,5934000000,516000000,48933000000,25842000000,89141000000,5066000000,8494000000,-188000000,10264000000,23636000000,112777000000,93000000,44720000000,42740000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000050/0000092122-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000050/so_10qx6302018.htm
2018-03-31,SO,2018-05-02,2018-05-01 17:40:51,Q1,2284000000,145000000,2429000000,1683000000,1430000000,3982000000,9524000000,80947000000,6226000000,848000000,404000000,0.0,911000000,19781000000,102043000000,14022000000,111567000000,2089000000,3235000000,129000000,52000000,8125000000,13630000000,44446000000,0.0,6930000000,660000000,52036000000,21225000000,86891000000,5054000000,9257000000,-200000000,10565000000,24676000000,111567000000,145000000,47681000000,45397000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000027/0000092122-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000027/so_10qx3312018.htm
2017-12-31,SO,2018-02-21,2018-02-20 21:22:00,FY,2130000000,135000000,2265000000,1806000000,1438000000,4563000000,10072000000,79872000000,6268000000,873000000,411000000,11510000000,63000000,9077000000,100933000000,13920000000,111005000000,2530000000,3892000000,6000000.0,825000000,7166000000,13594000000,44462000000,0.0,6842000000,691000000,51995000000,21249000000,86838000000,5038000000,8885000000,-189000000,10433000000,24167000000,111005000000,11645000000,48354000000,46224000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000012/0000092122-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000012/so_10-kx12312017.htm
2017-09-30,SO,2017-11-01,2017-10-31 17:54:28,Q3,1841000000,103000000,1944000000,1744000000,1499000000,4015000000,9202000000,79741000000,6267000000,902000000,417000000,11613000000,400000000,8942000000,101113000000,14203000000,110315000000,2353000000,3505000000,176000000,1318000000,6569000000,12603000000,44042000000,0.0,14321000000,1048000000,59411000000,14219000000,86233000000,5018000000,8981000000,-182000000,10265000000,24082000000,110315000000,11716000000,47547000000,45706000000,https://www.sec.gov/Archives/edgar/data/92122/000009212217000076/0000092122-17-000076-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212217000076/so_10qx9302017.htm
2017-06-30,SO,2017-08-02,2017-08-01 18:43:13,Q2,1433000000,114000000,1547000000,1600000000,1461000000,4229000000,8837000000,78686000000,6271000000,929000000,423000000,11566000000,536000000,8636000000,99847000000,13961000000,108684000000,1920000000,3031000000,125000000,1325000000,7675000000,12751000000,43885000000,0.0,13529000000,805000000,58219000000,14342000000,85312000000,4997000000,8494000000,-191000000,10072000000,23372000000,108684000000,11680000000,46916000000,45483000000,https://www.sec.gov/Archives/edgar/data/92122/000009212217000065/0000092122-17-000065-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212217000065/so_10qx6302017.htm
2017-03-31,SO,2017-05-03,2017-05-02 17:48:08,Q1,1094000000,138000000,1232000000,1560000000,1477000000,4158000000,8427000000,79811000000,6251000000,935000000,430000000,11552000000,544000000,8996000000,101333000000,14336000000,109760000000,1750000000,3269000000,258000000,1647000000,7007000000,12284000000,42786000000,0.0,14307000000,873000000,57966000000,14416000000,84666000000,4973000000,10459000000,-189000000,9851000000,25094000000,109760000000,11690000000,46055000000,44961000000,https://www.sec.gov/Archives/edgar/data/92122/000009212217000024/0000092122-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212217000024/so_10qx3312017.htm
