date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,SPG,2020-05-11,None,Q1,3724853000,0.0,3724853000,0.0,0.0,0.0,3724853000,519175000,0.0,0.0,0.0,0.0,0.0,29877086000,30396261000,0.0,34121114000,0.0,0.0,0.0,0.0,0.0,0.0,27553413000,0.0,0.0,0.0,27553413000,4386102000,31939515000,32000.0,-5583485000,-119301000,7884353000,2181599000,34121114000,0.0,27553413000,23828560000,https://www.sec.gov/Archives/edgar/data/1063761/000155837020006251/0001558370-20-006251-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837020006251/spg-20200331x10q.htm
2019-12-31,SPG,2020-02-21,2020-02-21 10:36:58,FY,669373000,0.0,669373000,0.0,0.0,0.0,669373000,514660000,0.0,0.0,0.0,0.0,0.0,30047597000,30562257000,0.0,31231630000,0.0,0.0,0.0,0.0,0.0,0.0,24163230000,0.0,0.0,0.0,24163230000,4542002000,28705232000,32000.0,-5379952000,-118604000,8024922000,2526398000,31231630000,0.0,24163230000,23493857000,https://www.sec.gov/Archives/edgar/data/1063761/000155837020001135/0001558370-20-001135-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837020001135/spg-20191231x10k.htm
2019-09-30,SPG,2019-11-06,2019-11-06 08:24:08,Q3,3647230000,0.0,3647230000,0.0,0.0,0.0,3647230000,0.0,0.0,0.0,0.0,0.0,0.0,30196996000,30196996000,0.0,33844226000,0.0,0.0,0.0,0.0,0.0,0.0,26643879000,0.0,0.0,0.0,26643879000,4527818000,31171697000,32000.0,-5223093000,-121596000,8017186000,2672529000,33844226000,0.0,26643879000,22996649000,https://www.sec.gov/Archives/edgar/data/1063761/000155837019010077/0001558370-19-010077-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019010077/spg-20190930x10q.htm
2019-06-30,SPG,2019-08-07,2019-08-07 06:30:44,Q2,479776000,0.0,479776000,0.0,0.0,0.0,479776000,0.0,0.0,0.0,0.0,0.0,0.0,30253139000,30253139000,0.0,30732915000,0.0,0.0,0.0,0.0,0.0,0.0,23324679000,0.0,0.0,0.0,23324679000,4488571000,27813250000,32000.0,-5122281000,-128743000,8170657000,2919665000,30732915000,0.0,23324679000,22844903000,https://www.sec.gov/Archives/edgar/data/1063761/000155837019007355/0001558370-19-007355-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019007355/spg-20190630x10q.htm
2019-03-31,SPG,2019-05-08,2019-05-08 06:16:37,Q1,436802000,0.0,436802000,0.0,0.0,0.0,436802000,0.0,0.0,0.0,0.0,1676635000,0.0,28728339000,30404974000,0.0,30841776000,0.0,0.0,0.0,0.0,0.0,0.0,23185965000,0.0,0.0,0.0,23185965000,4442852000,27628817000,32000.0,-4979489000,-120962000,8313378000,3212959000,30841776000,1676635000,23185965000,22749163000,https://www.sec.gov/Archives/edgar/data/1063761/000155837019004352/0001558370-19-004352-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019004352/spg-20190331x10q.htm
2018-12-31,SPG,2019-02-22,2019-02-22 06:47:24,FY,514335000,0.0,514335000,0.0,0.0,0.0,514335000,0.0,0.0,0.0,0.0,1769488000,0.0,28402400000,30171888000,0.0,30686223000,0.0,0.0,0.0,0.0,0.0,0.0,23305535000,0.0,0.0,0.0,23305535000,4084007000,27389542000,32000.0,-4893069000,-126017000,8315735000,3296681000,30686223000,1769488000,23305535000,22791200000,https://www.sec.gov/Archives/edgar/data/1063761/000155837019000875/0001558370-19-000875-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019000875/spg-20181231x10k.htm
2018-09-30,SPG,2018-11-02,2018-11-02 06:22:42,Q3,695718000,0.0,695718000,0.0,0.0,0.0,695718000,0.0,0.0,0.0,0.0,1776655000,0.0,28607320000,30383975000,0.0,31079693000,0.0,0.0,0.0,0.0,0.0,0.0,23678264000,0.0,0.0,0.0,23678264000,4017813000,27696077000,32000.0,-4896754000,-118593000,8398931000,3383616000,31079693000,1776655000,23678264000,22982546000,https://www.sec.gov/Archives/edgar/data/1063761/000155837018008301/0001558370-18-008301-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018008301/spg-20180930x10q.htm
2018-06-30,SPG,2018-08-02,2018-08-02 06:11:29,Q2,714247000,0.0,714247000,0.0,0.0,0.0,714247000,0.0,0.0,0.0,0.0,1772155000,0.0,28356738000,30128893000,0.0,30843140000,0.0,0.0,0.0,0.0,0.0,0.0,23505002000,0.0,0.0,0.0,23505002000,3967114000,27472116000,32000.0,-4833826000,-115285000,8320103000,3371024000,30843140000,1772155000,23505002000,22790755000,https://www.sec.gov/Archives/edgar/data/1063761/000155837018006144/0001558370-18-006144-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018006144/spg-20180630x10q.htm
2018-03-31,SPG,2018-05-03,2018-05-03 06:17:10,Q1,367207000,0.0,367207000,0.0,0.0,0.0,367207000,0.0,0.0,0.0,0.0,2011919000,0.0,28638734000,30650653000,0.0,31017860000,0.0,0.0,0.0,0.0,0.0,0.0,23647623000,0.0,0.0,0.0,23647623000,3864331000,27511954000,32000.0,-4774442000,-102747000,8383063000,3505906000,31017860000,2011919000,23647623000,23280416000,https://www.sec.gov/Archives/edgar/data/1063761/000155837018003817/0001558370-18-003817-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018003817/spg-20180331x10q.htm
2017-12-31,SPG,2018-02-23,2018-02-23 06:36:17,FY,1482309000,0.0,1482309000,0.0,0.0,0.0,1482309000,0.0,0.0,0.0,0.0,1934676000,0.0,28840653000,30775329000,0.0,32257638000,0.0,0.0,0.0,0.0,0.0,0.0,24632463000,0.0,0.0,0.0,24632463000,3939007000,28571470000,32000.0,-4782173000,-110453000,8578762000,3686168000,32257638000,1934676000,24632463000,23150154000,https://www.sec.gov/Archives/edgar/data/1063761/000155837018000981/0001558370-18-000981-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018000981/spg-20171231x10k.htm
