date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,T,2020-05-06,2020-05-06 16:08:09,Q1,9955000000,3606000000,9955000000,19908000000,13276000000,42749000000,52704000000,128921000000,145546000000,23293000000,168839000000,0.0,0.0,194890000000,492650000000,0.0,545354000000,40771000000,17067000000,2169000000,58491000000,9697000000,69704000000,147202000000,0.0,58491000000,34600000000,240293000000,39908000000,349905000000,7621000000,58534000000,-385000000,129679000000,195449000000,545354000000,3606000000,164269000000,154314000000,https://www.sec.gov/Archives/edgar/data/732717/000156276220000171/0001562762-20-000171-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000156276220000171/t-20200331.htm
2019-12-31,T,2020-02-20,2020-02-19 21:42:50,FY,12130000000,3695000000,12130000000,22636000000,12434000000,19995000000,54761000000,130128000000,146241000000,101392000000,247633000000,0.0,0.0,119147000000,496908000000,199741000000,551669000000,45956000000,11838000000,1212000000,59502000000,9905000000,68911000000,151309000000,0.0,59502000000,29421000000,240232000000,40592000000,349735000000,7621000000,57936000000,5470000000,130907000000,201934000000,551669000000,3695000000,163147000000,151017000000,https://www.sec.gov/Archives/edgar/data/732717/000156276220000064/0001562762-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000156276220000064/t-20191231.htm
2019-09-30,T,2019-11-05,2019-11-04 17:58:10,Q3,6588000000,4137000000,6588000000,22921000000,0.0,21186000000,50695000000,131316000000,146106000000,22060000000,168166000000,0.0,0.0,198619000000,498101000000,0.0,548796000000,43955000000,11608000000,2741000000,57786000000,9822000000,68126000000,153568000000,0.0,57786000000,29848000000,241202000000,45141000000,354469000000,7621000000,59347000000,2137000000,125222000000,194327000000,548796000000,4137000000,165176000000,158588000000,https://www.sec.gov/Archives/edgar/data/732717/000073271719000056/0000732717-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271719000056/t-20190930.htm
2019-06-30,T,2019-08-05,2019-08-05 17:25:31,Q2,8423000000,4133000000,8423000000,22381000000,10685000000,16414000000,47218000000,132074000000,146662000000,23284000000,169946000000,0.0,0.0,197676000000,499696000000,0.0,546914000000,42082000000,12772000000,2062000000,58713000000,9460000000,66376000000,157790000000,0.0,58713000000,28176000000,244679000000,41778000000,352833000000,7621000000,59389000000,3289000000,123782000000,194081000000,546914000000,4133000000,170562000000,162139000000,https://www.sec.gov/Archives/edgar/data/732717/000156276219000164/0001562762-19-000164-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000156276219000164/t-20190630.htm
2019-03-31,T,2019-05-06,2019-05-06 16:31:44,Q1,6516000000,6230000000,6516000000,23863000000,10270000000,16093000000,46472000000,132051000000,146434000000,24732000000,171166000000,0.0,0.0,198695000000,501912000000,0.0,548384000000,42306000000,11538000000,1130000000,59207000000,9678000000,64652000000,163942000000,0.0,59207000000,27715000000,250864000000,37917000000,353433000000,7621000000,59424000000,4345000000,123561000000,194951000000,548384000000,6230000000,175480000000,168964000000,https://www.sec.gov/Archives/edgar/data/732717/000073271719000018/0000732717-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271719000018/1q_10q.htm
2018-12-31,T,2019-02-20,2019-02-20 17:21:51,FY,5204000000,6245000000,5204000000,26472000000,7713000000,19751000000,51427000000,131473000000,146370000000,26269000000,172639000000,0.0,0.0,176325000000,480437000000,176325000000,531864000000,43184000000,10255000000,1179000000,57859000000,9802000000,64420000000,166250000000,0.0,57859000000,30233000000,254342000000,19218000000,337980000000,7621000000,58753000000,4249000000,123261000000,193884000000,531864000000,6245000000,176505000000,171301000000,https://www.sec.gov/Archives/edgar/data/732717/000119312519045608/0001193125-19-045608-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000119312519045608/d705958d10k.htm
2018-09-30,T,2018-11-02,2018-11-02 16:03:05,Q3,8657000000,6128000000,8657000000,26312000000,7221000000,18138000000,53107000000,130348000000,146475000000,16962000000,163437000000,0.0,0.0,187978000000,481763000000,0.0,534870000000,39375000000,14905000000,1460000000,60495000000,9680000000,65420000000,168513000000,0.0,60495000000,26490000000,255498000000,28981000000,349899000000,7621000000,57624000000,5383000000,114343000000,184971000000,534870000000,6128000000,183418000000,174761000000,https://www.sec.gov/Archives/edgar/data/732717/000073271718000090/0000732717-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271718000090/q3_10q.htm
2018-06-30,T,2018-08-02,2018-08-02 17:15:30,Q2,13523000000,8007000000,13523000000,25492000000,5849000000,16271000000,55286000000,129556000000,142607000000,17403000000,160010000000,0.0,0.0,189839000000,479405000000,0.0,534691000000,35488000000,21672000000,1889000000,59665000000,9544000000,68593000000,168495000000,0.0,59665000000,25017000000,253177000000,28791000000,350561000000,7621000000,56555000000,5716000000,114238000000,184130000000,534691000000,8007000000,190167000000,176644000000,https://www.sec.gov/Archives/edgar/data/732717/000119312518236782/0001193125-18-236782-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000119312518236782/d592180d10q.htm
2018-03-31,T,2018-05-03,2018-05-03 17:28:29,Q1,48872000000,2623000000,48872000000,16290000000,0.0,13343000000,78505000000,125124000000,105482000000,7201000000,112683000000,0.0,0.0,130031000000,367838000000,0.0,446343000000,31569000000,29322000000,1534000000,45730000000,8155000000,70580000000,133724000000,0.0,45730000000,19117000000,198571000000,30116000000,299267000000,6495000000,55067000000,7386000000,78128000000,147076000000,446343000000,2623000000,163046000000,114174000000,https://www.sec.gov/Archives/edgar/data/732717/000073271718000024/0000732717-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271718000024/q1_10q.htm
2017-12-31,T,2018-02-20,2018-02-20 16:15:55,FY,50498000000,1560000000,50498000000,16522000000,0.0,12126000000,79146000000,125222000000,105449000000,7464000000,112913000000,0.0,0.0,126816000000,364951000000,126816000000,444097000000,34470000000,38374000000,1262000000,43207000000,7283000000,81389000000,125972000000,0.0,43207000000,19747000000,188926000000,31775000000,302090000000,6495000000,50500000000,7017000000,77995000000,142007000000,444097000000,1560000000,164346000000,113848000000,https://www.sec.gov/Archives/edgar/data/732717/000073271718000009/0000732717-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271718000009/ye17_10k.htm
2017-09-30,T,2017-11-03,2017-11-03 16:59:55,Q3,48499000000,1627000000,48499000000,15876000000,0.0,11982000000,76357000000,126462000000,105668000000,7775000000,113443000000,0.0,0.0,127603000000,367508000000,0.0,443865000000,28928000000,8551000000,2703000000,64381000000,7511000000,47693000000,154728000000,0.0,64381000000,19723000000,238832000000,31231000000,317756000000,6495000000,36074000000,5580000000,77960000000,126109000000,443865000000,1627000000,163279000000,114780000000,https://www.sec.gov/Archives/edgar/data/732717/000073271717000101/0000732717-17-000101-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271717000101/q3_10q.htm
2017-06-30,T,2017-08-03,2017-08-03 17:02:42,Q2,25617000000,1615000000,25617000000,14997000000,0.0,12933000000,53547000000,126184000000,105546000000,7980000000,113526000000,0.0,0.0,127538000000,367248000000,0.0,420795000000,26471000000,10831000000,3331000000,61926000000,7379000000,48012000000,132824000000,0.0,61926000000,20753000000,215503000000,31422000000,294937000000,6495000000,36067000000,5389000000,77907000000,125858000000,420795000000,1615000000,143655000000,118038000000,https://www.sec.gov/Archives/edgar/data/732717/000073271717000080/0000732717-17-000080-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271717000080/q2_10q.htm
2017-03-31,T,2017-05-04,2017-05-04 16:09:02,Q1,14884000000,1551000000,14884000000,15078000000,0.0,15765000000,45727000000,125292000000,105593000000,8295000000,113888000000,0.0,0.0,126996000000,366176000000,0.0,411903000000,27120000000,12681000000,3384000000,61100000000,7505000000,50690000000,120568000000,0.0,61100000000,21160000000,202828000000,33404000000,286922000000,6495000000,35175000000,5160000000,78151000000,124981000000,411903000000,1551000000,133249000000,118365000000,https://www.sec.gov/Archives/edgar/data/732717/000073271717000055/0000732717-17-000055-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271717000055/q1_10q.htm
2016-12-31,T,2017-02-17,2017-02-17 17:30:12,FY,5788000000,1674000000,5788000000,16794000000,0.0,15787000000,38369000000,124899000000,105207000000,8441000000,113648000000,0.0,0.0,126905000000,365452000000,126905000000,403821000000,31138000000,9832000000,2079000000,60128000000,7527000000,50576000000,113681000000,0.0,60128000000,21748000000,195557000000,33578000000,279711000000,6495000000,34734000000,4961000000,77920000000,124110000000,403821000000,1674000000,123513000000,117725000000,https://www.sec.gov/Archives/edgar/data/732717/000073271717000021/0000732717-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271717000021/ye16_10k.htm
2016-09-30,T,2016-11-03,2016-11-03 16:46:39,Q3,5895000000,1679000000,5895000000,16855000000,0.0,14624000000,37374000000,123922000000,105271000000,8734000000,114005000000,0.0,0.0,127674000000,365601000000,0.0,402975000000,28849000000,7982000000,2686000000,59649000000,7585000000,47102000000,117239000000,0.0,59649000000,20899000000,197787000000,33483000000,278372000000,6495000000,35319000000,4850000000,77939000000,124603000000,402975000000,1679000000,125221000000,119326000000,https://www.sec.gov/Archives/edgar/data/732717/000073271716000233/0000732717-16-000233-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271716000233/q3_10q.htm
