date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-02-01,TGT,2020-03-11,2020-03-11 16:14:26,FY,326000000,1810000000,2577000000,0,8992000000,1774000000,12902000000,26283000000,0,0,0,0,0,3594000000,29877000000,3594000000,42779000000,9920000000,161000000,601000000,935000000,2870000000,14487000000,11338000000,539000000,1122000000,3460000000,16459000000,0,30946000000,42000000,6433000000,-868000000,6226000000,11833000000,42779000000,1810000000,11499000000,11173000000,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/0000027419-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/tgt-20200201.htm
2019-11-02,TGT,2019-11-27,2019-11-27 12:59:13,Q3,969000000,163000000,969000000,0,11396000000,1277000000,13805000000,26384000000,0,0,0,0,0,3552000000,29936000000,3552000000,43741000000,11258000000,1159000000,0,683000000,3508000000,16608000000,10513000000,0,1215000000,3860000000,15588000000,0,32196000000,42000000,6270000000,-773000000,6006000000,11545000000,43741000000,163000000,11672000000,10703000000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000026/0000027419-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000026/tgt-20191102x10xq.htm
2019-08-03,TGT,2019-08-30,2019-08-30 13:00:12,Q2,1656000000,796000000,2452000000,0,9122000000,545000000,12119000000,26012000000,0,0,0,0,0,3435000000,29447000000,3435000000,41566000000,9152000000,1153000000,0,692000000,3367000000,14364000000,10365000000,0,1082000000,3919000000,15366000000,0,29730000000,43000000,6461000000,-782000000,6114000000,11836000000,41566000000,796000000,11518000000,9862000000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000021/0000027419-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000021/tgt-20190803x10xq.htm
2019-05-04,TGT,2019-05-31,2019-05-31 15:50:58,Q1,1173000000,419000000,1173000000,0,9060000000,955000000,11607000000,25706000000,0,0,0,0,0,3306000000,29012000000,3306000000,40619000000,8360000000,1056000000,0,731000000,3092000000,13239000000,11357000000,0,1034000000,3872000000,16263000000,0,29502000000,43000000,5958000000,-792000000,5908000000,11117000000,40619000000,419000000,12413000000,11240000000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000013/0000027419-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000013/tgt-20190504x10xq.htm
2019-02-02,TGT,2019-03-13,2019-03-13 16:27:49,FY,359000000,769000000,1556000000,0,9497000000,1894000000,12519000000,25533000000,0,0,0,0,0,3238000000,28771000000,1417000000,41290000000,9761000000,1052000000,601000000,840000000,2760000000,15014000000,10223000000,570000000,972000000,3214000000,14979000000,0,29993000000,43000000,6017000000,-805000000,6042000000,11297000000,41290000000,769000000,11275000000,10916000000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/0000027419-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/tgt-20190202x10k.htm
2018-11-03,TGT,2018-11-27,2018-11-27 16:25:07,Q3,783000000,42000000,825000000,0,12393000000,1421000000,14639000000,25607000000,0,0,0,0,0,3326000000,28933000000,3326000000,43572000000,11959000000,1535000000,0,597000000,3499000000,17590000000,10104000000,0,970000000,3828000000,14902000000,0,32492000000,43000000,5884000000,-714000000,5867000000,11080000000,43572000000,42000000,11639000000,10856000000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000036/0000027419-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000036/tgt-20181103x10xq.htm
2018-08-04,TGT,2018-08-27,2018-08-27 15:14:29,Q2,827000000,353000000,1180000000,0,9112000000,1211000000,11503000000,25172000000,0,0,0,0,0,3321000000,28493000000,3321000000,39996000000,9116000000,1044000000,0,604000000,3274000000,14038000000,10108000000,0,828000000,3855000000,14791000000,0,28829000000,44000000,6058000000,-723000000,5788000000,11167000000,39996000000,353000000,11152000000,10325000000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000027/0000027419-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000027/tgt-20180804x10xq.htm
2018-05-05,TGT,2018-05-29,2018-05-29 15:05:03,Q1,749000000,311000000,1060000000,0,8652000000,1164000000,10876000000,24767000000,0,0,0,0,0,3286000000,28053000000,3286000000,38929000000,8131000000,283000000,0,633000000,2997000000,12044000000,11107000000,0,744000000,3876000000,15727000000,0,27771000000,44000000,6187000000,-737000000,5664000000,11158000000,38929000000,311000000,11390000000,10641000000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000018/0000027419-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000018/tgt-201855x10xq.htm
2018-02-03,TGT,2018-03-14,2018-03-14 14:09:12,FY,33000000,775000000,2643000000,0,8657000000,3099000000,12564000000,25018000000,0,0,0,0,0,1417000000,26435000000,1417000000,38999000000,8677000000,270000000,26000000,713000000,4228000000,13201000000,11317000000,600000000,713000000,1459000000,14089000000,0,27290000000,45000000,6553000000,-747000000,5858000000,11709000000,38999000000,775000000,11587000000,11554000000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/0000027419-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/tgt-20180203x10k.htm
2017-10-28,TGT,2017-11-20,2017-11-20 15:53:26,Q3,34000000,1050000000,2725000000,0,10586000000,3039000000,14709000000,25112000000,0,0,0,0,0,887000000,25999000000,887000000,40708000000,9986000000,1354000000,0,944000000,4036000000,15376000000,11277000000,0,944000000,1974000000,14195000000,0,29571000000,45000000,5940000000,-610000000,5762000000,11137000000,40708000000,1050000000,12631000000,12597000000,https://www.sec.gov/Archives/edgar/data/27419/000002741917000034/0000027419-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741917000034/tgt-20171028x10xq.htm
