date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-28,TMO,2020-05-01,2020-05-01 11:16:42,Q1,2981000000,658000000,2981000000,4508000000,3454000000,1137000000,12738000000,4736000000,25614000000,13543000000,39157000000,0,0,2057000000,45950000000,2057000000,58688000000,1599000000,738000000,0,938000000,2225000000,5500000000,19231000000,0,2137000000,3261000000,24629000000,0,30129000000,435000000,22791000000,-3088000000,8421000000,28559000000,58688000000,658000000,19969000000,16988000000,https://www.sec.gov/Archives/edgar/data/97745/000009774520000018/0000097745-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774520000018/tmo-20200328.htm
2019-12-31,TMO,2020-02-26,2020-02-26 15:33:51,FY,2399000000,19000000,2418000000,4349000000,3370000000,1756000000,11893000000,4749000000,25714000000,14014000000,39728000000,34000000,0,1977000000,46488000000,2011000000,58381000000,1920000000,676000000,1550000000,916000000,1135000000,6197000000,17076000000,594000000,2192000000,3241000000,23103000000,-594000000,28706000000,434000000,22092000000,-2679000000,9828000000,29675000000,58381000000,53000000,17752000000,15353000000,https://www.sec.gov/Archives/edgar/data/97745/000009774520000009/0000097745-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774520000009/tmo-20191231.htm
2019-09-28,TMO,2019-11-01,2019-11-01 10:56:26,Q3,1273000000,19000000,1292000000,4384000000,3308000000,1530000000,10514000000,4420000000,25624000000,14311000000,39935000000,0,0,1860000000,46215000000,1860000000,56729000000,1659000000,661000000,1471000000,943000000,1110000000,5844000000,16392000000,562000000,2001000000,3137000000,22092000000,-562000000,27374000000,434000000,21165000000,-2722000000,10478000000,29355000000,56729000000,19000000,17053000000,15780000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000049/0000097745-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000049/q3201910q.htm
2019-06-29,TMO,2019-08-02,2019-08-02 11:53:27,Q2,2288000000,0,2288000000,4129000000,3209000000,1597000000,11223000000,4394000000,25757000000,14863000000,40620000000,0,0,1733000000,46747000000,1733000000,57970000000,1391000000,2377000000,1496000000,1062000000,1183000000,7509000000,16663000000,532000000,1936000000,3133000000,22264000000,-532000000,29241000000,433000000,20482000000,-2630000000,10444000000,28729000000,57970000000,0,19040000000,16752000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000035/0000097745-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000035/q2201910q.htm
2019-03-30,TMO,2019-05-03,2019-05-03 11:28:31,Q1,1106000000,0,1106000000,4155000000,3124000000,1554000000,9939000000,4192000000,25236000000,14489000000,39725000000,0,0,1740000000,45657000000,1740000000,55596000000,1462000000,1336000000,1430000000,967000000,703000000,5898000000,16812000000,497000000,2145000000,3048000000,22502000000,-497000000,27903000000,433000000,19439000000,-2509000000,10330000000,27693000000,55596000000,0,18148000000,17042000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000016/0000097745-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000016/q1201910q.htm
2018-12-31,TMO,2019-02-27,2019-02-27 16:15:13,FY,2103000000,0,2103000000,4136000000,3005000000,1381000000,10625000000,4165000000,25347000000,14978000000,40325000000,92000000,0,1025000000,45607000000,1117000000,56232000000,1615000000,1271000000,1442000000,2265000000,1819000000,6147000000,17719000000,355000000,2265000000,2515000000,22854000000,-355000000,28646000000,432000000,18696000000,-2498000000,10956000000,27586000000,56232000000,92000000,18990000000,16887000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/0000097745-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/a201810k.htm
2018-09-29,TMO,2018-11-02,2018-11-02 11:45:35,Q3,1098000000,405000000,1098000000,3852000000,2982000000,1229000000,9566000000,3978000000,25142000000,15219000000,40361000000,92000000,405000000,676000000,45512000000,1173000000,55078000000,1344000000,1014000000,1372000000,2550000000,1466000000,5196000000,17760000000,349000000,2550000000,2682000000,23341000000,-349000000,28188000000,431000000,17866000000,-2519000000,11112000000,26890000000,55078000000,497000000,18774000000,17676000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000040/0000097745-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000040/q3201810q.htm
2018-06-30,TMO,2018-08-03,2018-08-03 11:40:26,Q2,937000000,530000000,937000000,3911000000,2866000000,1230000000,9474000000,3952000000,25120000000,15680000000,40800000000,97000000,530000000,550000000,45929000000,1177000000,55403000000,1359000000,1711000000,1287000000,2599000000,1623000000,5980000000,17709000000,337000000,2599000000,2670000000,23315000000,-337000000,28958000000,430000000,17226000000,-2491000000,11280000000,26445000000,55403000000,627000000,19420000000,18483000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000029/0000097745-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000029/q2201810q.htm
2018-03-31,TMO,2018-05-04,2018-05-04 10:53:06,Q1,950000000,13000000,963000000,3990000000,2891000000,1744000000,9588000000,4059000000,25362000000,16393000000,41755000000,94000000,540000000,544000000,46992000000,1178000000,56580000000,1354000000,2814000000,1273000000,2606000000,1631000000,7072000000,18122000000,317000000,2606000000,2657000000,23702000000,-317000000,30457000000,429000000,16542000000,-2042000000,11194000000,26123000000,56580000000,107000000,20936000000,19986000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000017/0000097745-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000017/q1201810q.htm
2017-12-31,TMO,2018-02-28,2018-02-28 09:19:05,FY,1335000000,13000000,1348000000,3879000000,2971000000,1223000000,9421000000,4047000000,25290000000,16684000000,41974000000,89000000,432000000,706000000,47248000000,1227000000,56669000000,1428000000,2135000000,1409000000,719000000,1357000000,7048000000,18873000000,0,2766000000,2569000000,24208000000,0,31256000000,428000000,15914000000,-2003000000,11074000000,25413000000,56669000000,102000000,21008000000,19673000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000006/0000097745-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000006/a201710k.htm
