date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,UNH,2020-05-06,2020-05-06 17:11:29,Q1,21569000000,2876000000,24445000000,14613000000,0,19749000000,58807000000,8173000000,65302000000,10199000000,75501000000,36578000000,0,10008000000,130260000000,46586000000,189067000000,22845000000,15828000000,0,2509000000,37424000000,78606000000,35779000000,0,3030000000,10048000000,48857000000,1741000000,129204000000,10000000,62327000000,-5360000000,2886000000,59863000000,189067000000,39454000000,51607000000,30038000000,https://www.sec.gov/Archives/edgar/data/731766/000073176620000026/0000731766-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176620000026/unh202033110-q.htm
2019-12-31,UNH,2020-02-14,2020-02-14 17:18:38,FY,10985000000,3260000000,14245000000,11822000000,0,16567000000,42634000000,8704000000,65659000000,10349000000,76008000000,37209000000,2868000000,6466000000,131255000000,46543000000,173889000000,19005000000,3870000000,1423000000,2622000000,34862000000,61782000000,36808000000,0,2993000000,10144000000,49945000000,1726000000,113453000000,9000000,61178000000,-3578000000,2827000000,60436000000,173889000000,40469000000,40678000000,29693000000,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/0000731766-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/unh2019123110-k.htm
2019-09-30,UNH,2019-11-06,2019-11-06 16:07:31,Q3,12363000000,3455000000,15818000000,10964000000,0,16759000000,43541000000,8501000000,65205000000,10521000000,75726000000,36840000000,0,9101000000,130168000000,45941000000,173709000000,18570000000,6387000000,0,2500000000,35184000000,62641000000,38507000000,0,2902000000,9912000000,51321000000,1991000000,115953000000,9000000,58696000000,-3709000000,2760000000,57756000000,173709000000,40295000000,44894000000,32531000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000034/0000731766-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000034/unh201993010-q.htm
2019-06-30,UNH,2019-08-07,2019-08-06 17:35:52,Q2,13745000000,3524000000,17269000000,9741000000,0,15028000000,42038000000,8681000000,62000000000,9999000000,71999000000,35696000000,0,8786000000,125162000000,106482000000,167200000000,17128000000,7800000000,0,2019000000,35381000000,62328000000,34473000000,0,2908000000,9435000000,46816000000,2202000000,111346000000,9000000,56367000000,-3273000000,2751000000,55854000000,167200000000,39220000000,42273000000,28528000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000025/0000731766-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000025/unh201963010-q.htm
2019-03-31,UNH,2019-05-07,2019-05-07 17:10:28,Q1,12407000000,3303000000,15710000000,12826000000,0,14279000000,42815000000,8230000000,59379000000,9245000000,68624000000,33553000000,0,7975000000,118382000000,41528000000,161197000000,16900000000,3919000000,0,2530000000,35584000000,58933000000,34419000000,0,2786000000,8554000000,45759000000,2054000000,106746000000,10000000,55472000000,-3758000000,2727000000,54451000000,161197000000,36856000000,38338000000,25931000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000013/0000731766-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000013/unh201933110-q.htm
2018-12-31,UNH,2019-02-12,2019-02-12 17:16:04,FY,10866000000,3458000000,14324000000,11388000000,0,12980000000,38692000000,8458000000,58910000000,9325000000,68235000000,32510000000,2001000000,2325000000,113529000000,36836000000,152221000000,16705000000,1973000000,1056000000,2396000000,31079000000,53209000000,34581000000,0,2474000000,5730000000,42785000000,1908000000,97902000000,10000000,55846000000,-4160000000,2623000000,54319000000,152221000000,35968000000,36554000000,25688000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/0000731766-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/unh2018123110-k.htm
2018-09-30,UNH,2018-11-08,2018-11-08 16:12:46,Q3,10263000000,3586000000,13849000000,10992000000,0,13913000000,38754000000,8042000000,58703000000,9498000000,68201000000,31929000000,0,4161000000,112333000000,36090000000,151087000000,18991000000,1500000000,0,2388000000,33498000000,56377000000,32053000000,0,2434000000,5858000000,40345000000,1769000000,98491000000,10000000,54386000000,-4386000000,2586000000,52596000000,151087000000,35515000000,33553000000,23290000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000040/0000731766-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000040/unh201893010-q.htm
2018-06-30,UNH,2018-08-07,2018-08-07 16:07:58,Q2,18368000000,3492000000,21860000000,10874000000,0,13900000000,46634000000,7906000000,56271000000,8680000000,64951000000,31237000000,0,3883000000,107977000000,35120000000,154611000000,17527000000,2959000000,0,7228000000,34338000000,62052000000,32096000000,0,2095000000,5746000000,39937000000,1839000000,103828000000,10000000,52363000000,-4080000000,2490000000,50783000000,154611000000,34729000000,35055000000,16687000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000030/0000731766-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000030/unh201863010-q.htm
2018-03-31,UNH,2018-05-07,2018-05-07 16:17:34,Q1,18243000000,3798000000,22041000000,11512000000,0,14800000000,48353000000,8144000000,56850000000,9033000000,65883000000,29441000000,0,3748000000,107216000000,33189000000,155569000000,18210000000,7379000000,0,7683000000,34395000000,67667000000,28206000000,0,2213000000,5557000000,35976000000,1890000000,105533000000,10000000,50494000000,-2951000000,2483000000,50036000000,155569000000,33239000000,35585000000,17342000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000018/0000731766-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000018/unh201833110-q.htm
2017-12-31,UNH,2018-02-13,2018-02-13 16:10:43,FY,11981000000,3509000000,15490000000,9568000000,0,12026000000,37084000000,7013000000,54556000000,8489000000,63045000000,28341000000,1772000000,1803000000,101974000000,31916000000,139058000000,15180000000,2857000000,598000000,2269000000,29559000000,50463000000,28835000000,0,2182000000,5556000000,36573000000,2189000000,89225000000,10000000,48730000000,-2667000000,3760000000,49833000000,139058000000,31850000000,31692000000,19711000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000005/0000731766-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000005/unh2017123110-k.htm
