date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,UPS,2020-05-08,2020-05-08 16:30:00,Q1,8955000000,505000000,9460000000,8126000000,0.0,1803000000,19389000000,30908000000,3776000000,2176000000,5952000000,505000000,299000000,4347000000,41506000000,4141000000,60895000000,4779000000,526000000,0.0,299000000,10541000000,15846000000,24196000000,0.0,1787000000,2783000000,28766000000,12984000000,57596000000,2000000.0,9137000000,-5876000000,36000000,3299000000,60895000000,505000000,24722000000,15767000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000023/0001090727-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000023/ups-20200331.htm
2019-12-31,UPS,2020-02-20,2020-02-20 17:05:25,FY,5238000000,503000000,5741000000,9552000000,0.0,1810000000,17103000000,30482000000,3813000000,2167000000,5980000000,503000000,382000000,3910000000,40754000000,3789000000,57857000000,5555000000,538000000,0.0,330000000,9320000000,15413000000,21818000000,0.0,1632000000,1437000000,24887000000,14290000000,54590000000,2000000.0,9105000000,-5997000000,157000000,3267000000,57857000000,503000000,22356000000,17118000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000005/0001090727-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000005/ups-12312019x10k.htm
2019-09-30,UPS,2019-10-29,2019-10-29 17:11:22,Q3,4040000000,498000000,4538000000,7951000000,0.0,1695000000,14184000000,29071000000,3783000000,2131000000,5914000000,498000000,204000000,3909000000,39098000000,3615000000,53282000000,4218000000,500000000,0.0,194000000,8117000000,12835000000,21740000000,0.0,1886000000,1299000000,24925000000,9964000000,47724000000,2000000.0,10037000000,-4617000000,136000000,5558000000,53282000000,498000000,22240000000,18200000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000060/0001090727-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000060/ups-09302019x10q.htm
2019-06-30,UPS,2019-07-30,2019-07-30 17:06:02,Q2,4072000000,725000000,4797000000,8071000000,0.0,1975000000,14843000000,28095000000,3811000000,2121000000,5932000000,725000000,601000000,3316000000,37944000000,3192000000,52787000000,4291000000,487000000,0.0,143000000,8855000000,13633000000,20427000000,0.0,1947000000,1314000000,23688000000,11061000000,48382000000,2000000.0,9109000000,-4815000000,109000000,4405000000,52787000000,725000000,20914000000,16842000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000045/0001090727-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000045/ups-06302019x10q.htm
2019-03-31,UPS,2019-04-30,2019-04-30 17:00:24,Q1,4399000000,712000000,5111000000,7613000000,0.0,2180000000,14904000000,27247000000,3813000000,2093000000,5906000000,712000000,847000000,3157000000,37157000000,3292000000,52061000000,3907000000,492000000,0.0,153000000,8810000000,13209000000,20377000000,0.0,1758000000,1346000000,23481000000,11904000000,48594000000,2000000.0,8249000000,-4818000000,34000000,3467000000,52061000000,712000000,20869000000,16470000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000011/0001090727-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000011/ups-03312019x10q.htm
2018-12-31,UPS,2019-02-21,2019-02-21 17:02:11,FY,4225000000,810000000,5035000000,8958000000,0.0,2217000000,16210000000,26576000000,3811000000,2075000000,5886000000,810000000,940000000,404000000,33806000000,534000000,50016000000,5188000000,2805000000,0.0,141000000,6094000000,14087000000,19931000000,0.0,1619000000,1424000000,22974000000,9934000000,46995000000,2000000.0,8006000000,-4994000000,7000000.0,3021000000,50016000000,810000000,22736000000,18511000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/0001090727-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/ups-12312018x10k.htm
2018-09-30,UPS,2018-10-30,2018-10-30 17:04:31,Q3,4097000000,744000000,4841000000,7494000000,0.0,1656000000,13991000000,25379000000,3825000000,2070000000,5895000000,744000000,320000000,1104000000,32698000000,680000000,46689000000,3689000000,3200000000,0.0,193000000,5333000000,12222000000,20101000000,0.0,1069000000,1515000000,22685000000,8684000000,43591000000,2000000.0,8377000000,-5288000000,7000000.0,3098000000,46689000000,744000000,23301000000,19204000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000039/0001090727-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000039/ups-09302018x10q.htm
2018-06-30,UPS,2018-08-02,2018-08-02 17:29:52,Q2,4214000000,720000000,4934000000,7363000000,0.0,1577000000,13874000000,23901000000,3837000000,2028000000,5865000000,720000000,307000000,1276000000,31349000000,863000000,45223000000,3785000000,2591000000,0.0,210000000,5112000000,11488000000,20120000000,0.0,975000000,1593000000,22688000000,8719000000,42895000000,2000000.0,7665000000,-5346000000,7000000.0,2328000000,45223000000,720000000,22711000000,18497000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000032/0001090727-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000032/ups-06302018x10q.htm
2018-03-31,UPS,2018-05-03,2018-05-03 16:35:22,Q1,3544000000,665000000,4209000000,7606000000,0.0,1805000000,13620000000,23239000000,3893000000,2025000000,5918000000,665000000,288000000,1399000000,30844000000,1022000000,44464000000,3501000000,2683000000,0.0,264000000,4965000000,11149000000,20409000000,0.0,837000000,1912000000,23158000000,8813000000,43120000000,2000000.0,6973000000,-5638000000,7000000.0,1344000000,44464000000,665000000,23092000000,19548000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000020/0001090727-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000020/ups-03312018x10q.htm
2017-12-31,UPS,2018-02-21,2018-02-21 17:23:42,FY,3320000000,749000000,4069000000,8773000000,0.0,2706000000,15548000000,22118000000,3872000000,1964000000,5836000000,749000000,1573000000,328000000,29855000000,1152000000,45403000000,3872000000,4011000000,0.0,265000000,4825000000,12708000000,20278000000,0.0,757000000,1804000000,22839000000,8856000000,44403000000,2000000.0,5858000000,-4867000000,7000000.0,1000000000,45403000000,749000000,24289000000,20969000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000009/0001090727-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000009/ups-12312017x10k.htm
2017-09-30,UPS,2017-11-02,2017-11-02 11:00:18,Q3,3418000000,1043000000,4461000000,6937000000,0.0,1512000000,12910000000,20988000000,3838000000,1897000000,5735000000,1043000000,318000000,1405000000,28446000000,680000000,41356000000,2808000000,4555000000,0.0,318000000,4804000000,12167000000,14355000000,0.0,75000000,1405000000,15835000000,11845000000,39847000000,2000000.0,5724000000,-4224000000,7000000.0,1509000000,41356000000,1043000000,18910000000,15492000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000035/0001090727-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000035/ups-09302017x10q.htm
2017-06-30,UPS,2017-08-03,2017-08-03 11:51:50,Q2,3544000000,1060000000,4604000000,6553000000,0.0,1237000000,12394000000,19841000000,3845000000,1829000000,5674000000,1060000000,362000000,1453000000,27330000000,755000000,39724000000,2648000000,3817000000,0.0,362000000,4617000000,11082000000,14257000000,0.0,95000000,1289000000,15641000000,11757000000,38480000000,2000000.0,5437000000,-4202000000,7000000.0,1244000000,39724000000,1060000000,18074000000,14530000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000029/0001090727-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000029/ups-06302017x10q.htm
2017-03-31,UPS,2017-05-04,2017-05-04 10:41:35,Q1,2687000000,1031000000,3718000000,6475000000,0.0,1301000000,11494000000,19225000000,3777000000,1780000000,5557000000,1031000000,526000000,1578000000,26886000000,1073000000,38380000000,2404000000,4302000000,0.0,526000000,4700000000,11406000000,12938000000,0.0,107000000,1235000000,14280000000,12159000000,37845000000,2000000.0,4988000000,-4462000000,7000000.0,535000000,38380000000,1031000000,17240000000,14553000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000020/0001090727-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000020/ups-03312017x10q.htm
