date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-12-31,USB,2020-02-20,2020-02-20 16:58:09,FY,22405000000,122613000000,145018000000,0.0,0.0,0.0,145018000000,3702000000,9655000000,3223000000,12878000000,0.0,0.0,333828000000,350408000000,482486000000,495426000000,0.0,23723000000,0.0,0.0,0.0,23723000000,40167000000,0.0,0.0,0.0,40167000000,379683000000,443573000000,21000000,63186000000,-1373000000,0.0,51853000000,495426000000,122613000000,63890000000,41485000000,https://www.sec.gov/Archives/edgar/data/36104/000119312520043622/0001193125-20-043622-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312520043622/d597518d10k.htm
2019-09-30,USB,2019-11-08,2019-11-07 17:37:06,Q3,15272000000,74598000000,89870000000,0.0,0.0,0.0,89870000000,3673000000,9632000000,2983000000,12615000000,0.0,0.0,381513000000,397801000000,481867000000,487671000000,0.0,14579000000,0.0,0.0,0.0,14579000000,41274000000,0.0,0.0,0.0,41274000000,378301000000,434154000000,21000000,62419000000,-1173000000,0.0,53517000000,487671000000,74598000000,55853000000,40581000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519287486/0001193125-19-287486-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519287486/d796072d10q.htm
2019-06-30,USB,2019-08-01,2019-08-01 16:27:21,Q2,16932000000,69197000000,86129000000,0.0,0.0,0.0,86129000000,3690000000,9548000000,3161000000,12709000000,0.0,0.0,379191000000,395590000000,474198000000,481719000000,0.0,15032000000,0.0,0.0,0.0,15032000000,41008000000,0.0,0.0,0.0,41008000000,372766000000,428806000000,21000000,61252000000,-1344000000,0.0,52913000000,481719000000,69197000000,56040000000,39108000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519210903/0001193125-19-210903-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519210903/d737804d10q.htm
2019-03-31,USB,2019-05-09,2019-05-09 15:45:55,Q1,18115000000,68113000000,86228000000,0.0,0.0,0.0,86228000000,3686000000,9547000000,3341000000,12888000000,0.0,0.0,372973000000,389547000000,467061000000,475775000000,0.0,15396000000,0.0,0.0,0.0,15396000000,40680000000,0.0,0.0,0.0,40680000000,367642000000,423718000000,21000000,60092000000,-1773000000,0.0,52057000000,475775000000,68113000000,56076000000,37961000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519142913/0001193125-19-142913-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519142913/d686529d10q.htm
2018-12-31,USB,2019-02-22,2019-02-21 18:03:40,FY,21453000000,66115000000,87568000000,0.0,0.0,0.0,87568000000,2457000000,9369000000,3392000000,12761000000,0.0,0.0,364588000000,379806000000,455071000000,467374000000,0.0,14139000000,0.0,0.0,0.0,14139000000,41340000000,0.0,0.0,0.0,41340000000,360866000000,416345000000,21000000,59065000000,-2322000000,0.0,51029000000,467374000000,66115000000,55479000000,34026000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519047201/0001193125-19-047201-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519047201/d584906d10k.htm
2018-09-30,USB,2018-11-02,2018-11-02 10:24:35,Q3,20082000000,64912000000,84994000000,0.0,0.0,0.0,84994000000,2438000000,9530000000,3544000000,13074000000,0.0,0.0,364101000000,379613000000,473916000000,464607000000,0.0,23868000000,0.0,0.0,0.0,23868000000,40894000000,0.0,0.0,0.0,40894000000,349470000000,414232000000,21000000,57878000000,-2573000000,0.0,50375000000,464607000000,64912000000,64762000000,44680000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518316582/0001193125-18-316582-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518316582/d586012d10q.htm
2018-06-30,USB,2018-08-02,2018-08-02 16:24:59,Q2,19021000000,66347000000,85368000000,0.0,0.0,0.0,85368000000,2431000000,9425000000,3415000000,12840000000,0.0,0.0,360690000000,375961000000,451464000000,461329000000,0.0,18136000000,0.0,0.0,0.0,18136000000,37172000000,0.0,0.0,0.0,37172000000,356393000000,411701000000,21000000,56742000000,-2315000000,0.0,49628000000,461329000000,66347000000,55308000000,36287000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518236628/0001193125-18-236628-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518236628/d602654d10q.htm
2018-03-31,USB,2018-05-03,2018-05-03 16:31:45,Q1,19246000000,67125000000,86371000000,0.0,0.0,0.0,86371000000,2441000000,9440000000,3388000000,12828000000,0.0,0.0,358479000000,373748000000,450090000000,460119000000,0.0,17703000000,0.0,0.0,0.0,17703000000,33201000000,0.0,0.0,0.0,33201000000,360028000000,410932000000,21000000,55549000000,-2193000000,0.0,49187000000,460119000000,67125000000,50904000000,31658000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518150855/0001193125-18-150855-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518150855/d543976d10q.htm
2017-12-31,USB,2018-02-22,2018-02-22 15:07:08,FY,19505000000,68137000000,87642000000,0.0,0.0,0.0,87642000000,2432000000,9434000000,3228000000,12662000000,0.0,0.0,359304000000,374398000000,451731000000,462040000000,0.0,16651000000,0.0,0.0,0.0,16651000000,32259000000,0.0,0.0,0.0,32259000000,364090000000,413000000000,21000000,54142000000,-1404000000,0.0,49040000000,462040000000,68137000000,48910000000,29405000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518053893/0001193125-18-053893-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518053893/d492040d10k.htm
2017-09-30,USB,2017-11-03,2017-11-03 15:01:53,Q3,20540000000,67772000000,88312000000,0.0,0.0,0.0,88312000000,2402000000,9370000000,3193000000,12563000000,0.0,0.0,355950000000,370915000000,447423000000,459227000000,0.0,15856000000,0.0,0.0,0.0,15856000000,34515000000,0.0,0.0,0.0,34515000000,360133000000,410504000000,21000000,53023000000,-1219000000,0.0,48723000000,459227000000,67772000000,50371000000,29831000000,https://www.sec.gov/Archives/edgar/data/36104/000119312517332564/0001193125-17-332564-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312517332564/d455406d10q.htm
2017-06-30,USB,2017-08-04,2017-08-04 13:08:32,Q2,28964000000,67455000000,96419000000,0.0,0.0,0.0,96419000000,2413000000,9361000000,3216000000,12577000000,0.0,0.0,352435000000,367425000000,443695000000,463844000000,0.0,14412000000,0.0,0.0,0.0,14412000000,37814000000,0.0,0.0,0.0,37814000000,363298000000,415524000000,21000000,52033000000,-1246000000,0.0,48320000000,463844000000,67455000000,52226000000,23262000000,https://www.sec.gov/Archives/edgar/data/36104/000119312517248499/0001193125-17-248499-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312517248499/d407829d10q.htm
2017-03-31,USB,2017-05-05,2017-05-05 15:11:29,Q1,20319000000,67031000000,87350000000,0.0,0.0,0.0,87350000000,2432000000,9348000000,3313000000,12661000000,0.0,0.0,347079000000,362172000000,438060000000,449522000000,0.0,12183000000,0.0,0.0,0.0,12183000000,35948000000,0.0,0.0,0.0,35948000000,353593000000,401724000000,21000000,51069000000,-1439000000,0.0,47798000000,449522000000,67031000000,48131000000,27812000000,https://www.sec.gov/Archives/edgar/data/36104/000119312517160671/0001193125-17-160671-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312517160671/d334122d10q.htm
