date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019/9/30,UTX,None,None,Q3,7341000000,54000000,7395000000,4316000000,11242000000,14863000000,37816000000,12200000000,48041000000,25686000000,73727000000,3372000000,1699000000,10195000000,1.01193E+11,0,1.39009E+11,10840000000,5495000000,0,6233000000,12999000000,35567000000,37782000000,5417000000,5417000000,16774000000,65390000000,-2416000000,98541000000,22873000000,61069000000,-10819000000,0,40468000000,1.39009E+11,3426000000,43277000000,35936000000,None,None
2019/6/30,UTX,None,None,Q2,6819000000,60000000,6879000000,4334000000,10934000000,14911000000,37058000000,12292000000,48358000000,25963000000,74321000000,3293000000,1712000000,10314000000,1.01932E+11,0,1.3899E+11,11109000000,6202000000,0,6219000000,11892000000,35422000000,37910000000,5190000000,5190000000,16651000000,64941000000,-2127000000,98236000000,22718000000,60548000000,-9892000000,0,40754000000,1.3899E+11,3353000000,44112000000,37293000000,None,None
2019/3/31,UTX,None,None,Q1,6240000000,55000000,6295000000,3795000000,10474000000,14838000000,35402000000,12210000000,48392000000,26280000000,74672000000,3182000000,1703000000,10211000000,1.01978E+11,0,1.3738E+11,10364000000,3071000000,0,6107000000,11861000000,31403000000,41004000000,5166000000,5166000000,17052000000,68388000000,-2149000000,97642000000,22564000000,59279000000,-9519000000,0,39738000000,1.3738E+11,3237000000,44075000000,37835000000,None,None
2018/12/31,UTX,None,None,FY,6152000000,51000000,6203000000,3486000000,10083000000,15731000000,35503000000,12297000000,48112000000,26424000000,74536000000,0,1646000000,10229000000,98708000000,0,1.34211E+11,11080000000,2876000000,460000000,5720000000,11232000000,31368000000,41192000000,5069000000,6744000000,16914000000,69919000000,-5522000000,95765000000,1,57823000000,-9333000000,0,38446000000,1.34211E+11,51000000,44068000000,37916000000,None,None
2018/9/30,UTX,None,None,Q3,13799000000,42000000,13841000000,3450000000,9068000000,13845000000,40204000000,10236000000,27679000000,15701000000,43380000000,3143000000,1701000000,16275000000,74735000000,0,1.14939E+11,10509000000,92000000,0,5460000000,10443000000,26504000000,38275000000,5044000000,5044000000,13373000000,61736000000,-5407000000,82833000000,17869000000,57706000000,-7723000000,0,32106000000,1.14939E+11,3185000000,38367000000,24568000000,None,None
2018/6/30,UTX,None,None,Q2,11068000000,42000000,11110000000,3273000000,8979000000,13194000000,36556000000,10115000000,27699000000,15739000000,43438000000,2763000000,1626000000,7071000000,65013000000,0,1.01569E+11,9623000000,78000000,0,5652000000,9715000000,25068000000,27246000000,4838000000,4838000000,13190000000,50112000000,-4975000000,70205000000,17747000000,57027000000,-7684000000,0,31364000000,1.01569E+11,2805000000,27324000000,16256000000,None,None
2018/3/31,UTX,None,None,Q1,7667000000,49000000,7716000000,2989000000,8938000000,13098000000,32741000000,10283000000,28339000000,15995000000,44334000000,2522000000,1763000000,7136000000,66038000000,0,98779000000,8875000000,1128000000,0,5727000000,9017000000,24747000000,25153000000,4881000000,4881000000,13405000000,48320000000,-4822000000,68245000000,17641000000,55533000000,-6937000000,0,30534000000,98779000000,2571000000,26281000000,18614000000,None,None
2017/12/31,UTX,None,None,FY,8985000000,64000000,9049000000,1397000000,9881000000,12531000000,32858000000,10186000000,27910000000,15883000000,43793000000,0,1723000000,8360000000,64062000000,0,96920000000,9579000000,2104000000,285000000,5048000000,7375000000,24391000000,24989000000,0,3826000000,12952000000,41767000000,1152000000,67310000000,1,55242000000,-7525000000,0,29610000000,96920000000,64000000,27093000000,18108000000,None,None
2017/9/30,UTX,None,None,Q3,8523000000,120000000,8643000000,1536000000,10083000000,12701000000,32963000000,9763000000,27916000000,15955000000,43871000000,2184000000,1723000000,5848000000,63389000000,0,96352000000,8999000000,2120000000,0,0,14130000000,25249000000,24063000000,0,0,11693000000,35756000000,5466000000,66471000000,17486000000,55385000000,-7327000000,0,29881000000,96352000000,2304000000,26183000000,17660000000,None,None
2017/6/30,UTX,None,None,Q2,9345000000,301000000,9646000000,1342000000,9860000000,11981000000,32829000000,9475000000,27587000000,15881000000,43468000000,1701000000,1817000000,5503000000,61964000000,0,94793000000,8542000000,2061000000,0,0,13316000000,23919000000,23883000000,0,0,11181000000,35064000000,7368000000,66351000000,17372000000,54640000000,-7964000000,0,28442000000,94793000000,2002000000,25944000000,16599000000,None,None
2017/3/31,UTX,None,None,Q1,7156000000,316000000,7472000000,1301000000,9386000000,11146000000,29305000000,9255000000,27273000000,15780000000,43053000000,1593000000,1804000000,5363000000,61068000000,0,90373000000,7520000000,2484000000,0,0,13722000000,23726000000,20898000000,0,0,10737000000,31635000000,7418000000,62779000000,17359000000,53741000000,-8333000000,0,27594000000,90373000000,1909000000,23382000000,16226000000,None,None
2016/12/31,UTX,None,None,FY,7157000000,987000000,8144000000,1356000000,8704000000,10346000000,28550000000,9158000000,27059000000,15684000000,42743000000,0,1809000000,7446000000,61156000000,0,89706000000,7483000000,1603000000,382000000,4288000000,8150000000,21906000000,21697000000,0,5740000000,11026000000,38463000000,1758000000,62127000000,1,52873000000,-8334000000,0,27579000000,89706000000,987000000,23300000000,16143000000,None,None
2016/9/30,UTX,None,None,Q3,7107000000,1005000000,8112000000,1415000000,9081000000,9940000000,28548000000,8989000000,27422000000,15800000000,43222000000,1077000000,1765000000,6461000000,61514000000,0,90062000000,7432000000,1604000000,0,0,13505000000,22541000000,20190000000,0,0,10700000000,30890000000,7444000000,60875000000,17213000000,52384000000,-7729000000,0,29187000000,90062000000,2082000000,21794000000,14687000000,None,None
2016/6/30,UTX,None,None,Q2,6785000000,1054000000,7839000000,1375000000,8747000000,10009000000,27970000000,8911000000,27535000000,15842000000,43377000000,1000000000,1812000000,6410000000,61510000000,0,89480000000,7242000000,1654000000,0,0,13287000000,22183000000,20130000000,0,0,10492000000,30622000000,7585000000,60390000000,16341000000,51451000000,-7484000000,0,29090000000,89480000000,2054000000,21784000000,14999000000,None,None
2016/3/31,UTX,None,None,Q1,7215000000,1083000000,8298000000,1277000000,8507000000,9445000000,27527000000,8763000000,27408000000,15719000000,43127000000,967000000,1905000000,6282000000,61044000000,0,88571000000,6579000000,130000000,0,0,13814000000,20523000000,21688000000,0,0,10461000000,32149000000,7546000000,60218000000,16256000000,50625000000,-7344000000,0,28353000000,88571000000,2050000000,21818000000,14603000000,None,None
2015/12/31,UTX,None,None,FY,7075000000,951000000,8026000000,1372000000,8135000000,9173000000,26706000000,8732000000,27301000000,15603000000,42904000000,0,1961000000,7181000000,60778000000,0,87484000000,6875000000,179000000,2498000000,3502000000,9564000000,22618000000,19320000000,0,0,10558000000,29878000000,7630000000,60126000000,1,49956000000,-7619000000,0,27358000000,87484000000,951000000,19499000000,12424000000,None,None
2015/9/30,UTX,None,None,Q3,5477000000,849000000,6326000000,1254000000,8453000000,16326000000,32359000000,8515000000,27354000000,15572000000,42926000000,0,1341000000,6994000000,59776000000,0,92135000000,6333000000,215000000,0,0,17141000000,23689000000,19428000000,0,1997000000,10600000000,32025000000,5896000000,61610000000,16731000000,47236000000,-7388000000,0,30525000000,92135000000,849000000,19643000000,14166000000,None,None
2015/6/30,UTX,None,None,Q2,5933000000,920000000,6853000000,1619000000,10295000000,11902000000,30669000000,9266000000,27933000000,15706000000,43639000000,0,1378000000,7821000000,62104000000,0,92773000000,7153000000,172000000,0,0,16404000000,23729000000,19489000000,0,1942000000,11110000000,32541000000,6126000000,62396000000,15141000000,46443000000,-6577000000,0,30377000000,92773000000,920000000,19661000000,13728000000,None,None
2015/3/31,UTX,None,None,Q1,5281000000,982000000,6263000000,1480000000,10336000000,11879000000,29958000000,9175000000,27557000000,15571000000,43128000000,0,1462000000,7604000000,61369000000,0,91327000000,6929000000,1870000000,0,0,16930000000,25729000000,17809000000,0,1893000000,10993000000,30695000000,6253000000,62677000000,15032000000,45462000000,-7211000000,0,28650000000,91327000000,982000000,19679000000,14398000000,None,None
2014/12/31,UTX,None,None,FY,4274000000,961000000,5235000000,1262000000,9865000000,13396000000,29758000000,9276000000,27796000000,15560000000,43356000000,0,1494000000,7405000000,61531000000,0,91289000000,6967000000,1796000000,309000000,5262000000,8561000000,22895000000,17872000000,0,1931000000,11135000000,30938000000,6243000000,60076000000,1,44611000000,-6661000000,0,31213000000,91289000000,961000000,19668000000,15394000000,None,None
2014/9/30,UTX,None,None,Q3,4172000000,863000000,5035000000,1443000000,10341000000,12592000000,29411000000,9182000000,28169000000,15684000000,43853000000,0,1223000000,8105000000,62363000000,0,91774000000,7046000000,1794000000,0,0,15068000000,23908000000,17857000000,0,1989000000,11446000000,31292000000,2525000000,57725000000,15187000000,43668000000,-3169000000,0,34049000000,91774000000,863000000,19651000000,15479000000,None,None
2014/6/30,UTX,None,None,Q2,4041000000,921000000,4962000000,1443000000,9896000000,13340000000,29641000000,9026000000,28378000000,15715000000,44093000000,0,1273000000,8109000000,62501000000,0,92142000000,7297000000,1828000000,0,0,15205000000,24330000000,17837000000,0,1996000000,11429000000,31262000000,2765000000,58357000000,15060000000,42343000000,-2403000000,0,33785000000,92142000000,921000000,19665000000,15624000000,None,None
2014/3/31,UTX,None,None,Q1,3611000000,866000000,4477000000,1314000000,10992000000,13037000000,29820000000,8895000000,28216000000,15528000000,43744000000,0,1237000000,7533000000,61409000000,0,91229000000,6949000000,116000000,0,0,15866000000,22931000000,19739000000,0,1922000000,11407000000,33068000000,2913000000,58912000000,14937000000,41205000000,-2941000000,0,32317000000,91229000000,866000000,19855000000,16244000000,None,None
2013/12/31,UTX,None,None,FY,3631000000,988000000,4619000000,1297000000,10330000000,13196000000,29442000000,8866000000,28168000000,15521000000,43689000000,0,1236000000,7361000000,61152000000,0,90594000000,6965000000,112000000,540000000,6444000000,8739000000,22800000000,19741000000,0,1964000000,11279000000,32984000000,2944000000,58728000000,1,40539000000,-2880000000,0,31866000000,90594000000,988000000,19853000000,16222000000,None,None
2013/9/30,UTX,None,None,Q3,3739000000,882000000,4621000000,1260000000,10765000000,12705000000,29351000000,8549000000,28100000000,15495000000,43595000000,0,1583000000,7248000000,60975000000,0,90326000000,6628000000,1100000000,0,0,15791000000,23519000000,19785000000,0,1935000000,9804000000,31524000000,6706000000,61749000000,14665000000,39599000000,-5325000000,0,28577000000,90326000000,882000000,20885000000,17146000000,None,None
2013/6/30,UTX,None,None,Q2,4082000000,827000000,4909000000,1211000000,10232000000,12438000000,28790000000,8399000000,27835000000,15301000000,43136000000,0,1596000000,6823000000,59954000000,0,88744000000,6645000000,1085000000,0,0,15434000000,23164000000,20375000000,0,1589000000,9431000000,31395000000,7198000000,61757000000,14398000000,38629000000,-6000000000,0,26987000000,88744000000,827000000,21460000000,17378000000,None,None
2013/3/31,UTX,None,None,Q1,3903000000,864000000,4767000000,1162000000,10161000000,13071000000,29161000000,8428000000,27516000000,15125000000,42641000000,0,1552000000,6731000000,59352000000,0,88513000000,6192000000,1081000000,0,0,15286000000,22559000000,21572000000,0,1654000000,9206000000,32432000000,7328000000,62319000000,14221000000,37551000000,-5867000000,0,26194000000,88513000000,864000000,22653000000,18750000000,None,None
2012/12/31,UTX,None,None,FY,4038000000,781000000,4819000000,1177000000,9537000000,14077000000,29610000000,8518000000,27801000000,15189000000,42990000000,0,1599000000,6692000000,59799000000,0,89409000000,6431000000,1121000000,1143000000,5936000000,9155000000,23786000000,21597000000,0,1611000000,9199000000,32407000000,7302000000,63495000000,1,36776000000,-5448000000,0,25914000000,89409000000,781000000,22718000000,18680000000,None,None
2012/9/30,UTX,None,None,Q3,5464000000,778000000,6242000000,1036000000,10467000000,13940000000,31685000000,8239000000,27630000000,15146000000,42776000000,0,1541000000,7705000000,60261000000,0,91946000000,6156000000,67000000,0,0,20229000000,26452000000,23409000000,0,1474000000,9129000000,34012000000,6527000000,66991000000,13799000000,35219000000,-4663000000,0,24955000000,91946000000,778000000,23476000000,18012000000,None,None
2012/6/30,UTX,None,None,Q2,5127000000,839000000,5966000000,0,8502000000,24674000000,39142000000,5717000000,16116000000,4893000000,21009000000,0,2443000000,6342000000,35511000000,0,74653000000,5752000000,61000000,0,0,13980000000,19793000000,20450000000,0,1677000000,5360000000,27487000000,4769000000,52049000000,13538000000,34285000000,-5675000000,0,22604000000,74653000000,839000000,20511000000,15384000000,None,None
2012/3/31,UTX,None,None,Q1,5388000000,897000000,6285000000,0,8366000000,13196000000,27847000000,5835000000,16169000000,3769000000,19938000000,0,2357000000,5747000000,33877000000,0,61724000000,5281000000,79000000,0,0,12970000000,18330000000,9491000000,0,1695000000,4934000000,16120000000,4782000000,39232000000,13653000000,33389000000,-5001000000,0,22492000000,61724000000,897000000,9570000000,4182000000,None,None
2011/12/31,UTX,None,None,FY,5034000000,926000000,5960000000,1060000000,7797000000,10941000000,25758000000,6201000000,17943000000,3918000000,21861000000,0,2387000000,5245000000,35694000000,0,61452000000,5570000000,129000000,547000000,5028000000,7342000000,18616000000,9501000000,0,1662000000,5150000000,16313000000,4643000000,39572000000,1,33487000000,-5490000000,0,21880000000,61452000000,926000000,9630000000,4596000000,None,None
2011/9/30,UTX,None,None,Q3,5966000000,0,5966000000,0,8617000000,11841000000,26424000000,6137000000,17980000000,3966000000,21946000000,0,1744000000,5697000000,35524000000,0,61948000000,5597000000,635000000,0,0,13832000000,20064000000,9501000000,0,1551000000,5059000000,16111000000,3183000000,39358000000,13330000000,32594000000,-3766000000,0,22590000000,61948000000,0,10136000000,4170000000,None,None
2011/6/30,UTX,None,None,Q2,5396000000,0,5396000000,0,8795000000,12238000000,26429000000,6329000000,18309000000,4141000000,22450000000,0,1724000000,5215000000,35718000000,0,62147000000,5686000000,636000000,0,0,13892000000,20214000000,9492000000,0,1557000000,4826000000,15875000000,3335000000,39424000000,13036000000,31701000000,-2896000000,0,22723000000,62147000000,0,10128000000,4732000000,None,None
2011/3/31,UTX,None,None,Q1,4440000000,0,4440000000,0,8827000000,11738000000,25005000000,6382000000,18193000000,4177000000,22370000000,0,1861000000,5046000000,35659000000,0,60664000000,5635000000,155000000,0,0,13126000000,18916000000,9986000000,0,1578000000,4734000000,16298000000,3324000000,38538000000,12789000000,30812000000,-3101000000,0,22126000000,60664000000,0,10141000000,5701000000,None,None
2010/12/31,UTX,None,None,FY,4083000000,9686000000,4083000000,862000000,7766000000,1113000000,23510000000,6280000000,17721000000,4060000000,21781000000,0,1970000000,4952000000,34983000000,0,58493000000,5206000000,163000000,504000000,5203000000,6656000000,17732000000,10010000000,0,1623000000,4510000000,16143000000,3233000000,37108000000,1,30191000000,-3769000000,0,21385000000,58493000000,9686000000,10173000000,6090000000,None,None
2010/9/30,UTX,None,None,Q3,5731000000,0,5731000000,8731000000,8430000000,0,25337000000,6148000000,0,0,21492000000,0,3911000000,0,35312000000,0,60649000000,4964000000,2231000000,0,0,0,19620000000,10071000000,0,0,0,18458000000,12425000000,38078000000,0,29384000000,0,0,21254000000,60649000000,0,12302000000,6571000000,,
2010/6/30,UTX,None,None,Q2,4997000000,0,4997000000,8881000000,8083000000,0,24401000000,6090000000,0,0,20813000000,0,3661000000,0,33942000000,0,58343000000,5057000000,2026000000,0,0,0,18762000000,10039000000,0,0,0,18355000000,11679000000,37117000000,0,28569000000,0,0,19933000000,58343000000,0,12065000000,7068000000,,
2010/3/31,UTX,None,None,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2009/12/31,UTX,None,None,FY,4449000000,0,4449000000,8469000000,7509000000,0,23194000000,6364000000,0,0,19836000000,0,3791000000,0,32568000000,0,55762000000,4634000000,1487000000,0,0,0,17913000000,8257000000,0,0,0,16461000000,11792000000,34374000000,0,27396000000,0,0,20066000000,55762000000,0,9744000000,5295000000,,
2009/9/30,UTX,None,None,Q3,4632000000,0,4632000000,8460000000,8086000000,0,33848000000,6278000000,0,0,19750000000,0,4934000000,0,19731000000,0,57577000000,4430000000,1703000000,0,0,0,18200000000,8729000000,0,0,0,19731000000,12067000000,37931000000,0,26827000000,0,0,18489000000,57577000000,0,10432000000,5800000000,,
2009/6/30,UTX,None,None,Q2,4016000000,0,4016000000,8522000000,8539000000,0,32909000000,6179000000,0,0,19210000000,0,5044000000,0,19568000000,0,56545000000,4599000000,2095000000,0,0,0,18571000000,8721000000,0,0,0,19568000000,11877000000,38139000000,0,26133000000,0,0,17379000000,56545000000,0,10816000000,6800000000,,
