date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2019-09-30,7341000000.0,54000000.0,7395000000.0,4316000000.0,11242000000.0,37816000000.0,12200000000.0,73727000000.0,3372000000.0,1699000000.0,1.01193e+11,1.39009e+11,10840000000.0,5495000000.0,35567000000.0,37782000000.0,43277000000.0,6233000000.0,0.0,0.0,65390000000.0,98541000000.0,0.0,61069000000.0,40468000000.0,3426000000.0,35936000000.0,0.0,-2416000000.0
2019-06-30,6819000000.0,60000000.0,6879000000.0,4334000000.0,10934000000.0,37058000000.0,12292000000.0,74321000000.0,3293000000.0,1712000000.0,1.01932e+11,1.3899e+11,11109000000.0,6202000000.0,35422000000.0,37910000000.0,44112000000.0,6219000000.0,0.0,0.0,64941000000.0,98236000000.0,0.0,60548000000.0,40754000000.0,3353000000.0,37293000000.0,0.0,-2127000000.0
2019-03-31,6240000000.0,55000000.0,6295000000.0,3795000000.0,10474000000.0,35402000000.0,12210000000.0,74672000000.0,3182000000.0,1703000000.0,1.01978e+11,1.3738e+11,10364000000.0,3071000000.0,31403000000.0,41004000000.0,44075000000.0,6107000000.0,0.0,0.0,68388000000.0,97642000000.0,0.0,59279000000.0,39738000000.0,3237000000.0,37835000000.0,0.0,-2149000000.0
2018-12-31,6152000000.0,51000000.0,6203000000.0,3486000000.0,10083000000.0,35503000000.0,12297000000.0,74536000000.0,0.0,1646000000.0,98708000000.0,1.34211e+11,11080000000.0,2876000000.0,31368000000.0,41192000000.0,44068000000.0,5720000000.0,460000000.0,0.0,69919000000.0,95765000000.0,0.0,57823000000.0,38446000000.0,51000000.0,37916000000.0,0.0,-5522000000.0
2018-09-30,13799000000.0,42000000.0,13841000000.0,3450000000.0,9068000000.0,40204000000.0,10236000000.0,43380000000.0,3143000000.0,1701000000.0,74735000000.0,1.14939e+11,10509000000.0,92000000.0,26504000000.0,38275000000.0,38367000000.0,5460000000.0,0.0,0.0,61736000000.0,82833000000.0,0.0,57706000000.0,32106000000.0,3185000000.0,24568000000.0,0.0,-5407000000.0
2018-06-30,11068000000.0,42000000.0,11110000000.0,3273000000.0,8979000000.0,36556000000.0,10115000000.0,43438000000.0,2763000000.0,1626000000.0,65013000000.0,1.01569e+11,9623000000.0,78000000.0,25068000000.0,27246000000.0,27324000000.0,5652000000.0,0.0,0.0,50112000000.0,70205000000.0,0.0,57027000000.0,31364000000.0,2805000000.0,16256000000.0,0.0,-4975000000.0
2018-03-31,7667000000.0,49000000.0,7716000000.0,2989000000.0,8938000000.0,32741000000.0,10283000000.0,44334000000.0,2522000000.0,1763000000.0,66038000000.0,98779000000.0,8875000000.0,1128000000.0,24747000000.0,25153000000.0,26281000000.0,5727000000.0,0.0,0.0,48320000000.0,68245000000.0,0.0,55533000000.0,30534000000.0,2571000000.0,18614000000.0,0.0,-4822000000.0
2017-12-31,8985000000.0,64000000.0,9049000000.0,1397000000.0,9881000000.0,32858000000.0,10186000000.0,43793000000.0,0.0,1723000000.0,64062000000.0,96920000000.0,9579000000.0,2104000000.0,24391000000.0,24989000000.0,27093000000.0,5048000000.0,285000000.0,0.0,41767000000.0,67310000000.0,0.0,55242000000.0,29610000000.0,64000000.0,18108000000.0,0.0,1152000000.0
2017-09-30,8523000000.0,120000000.0,8643000000.0,1536000000.0,10083000000.0,32963000000.0,9763000000.0,43871000000.0,2184000000.0,1723000000.0,63389000000.0,96352000000.0,8999000000.0,2120000000.0,25249000000.0,24063000000.0,26183000000.0,0.0,0.0,0.0,35756000000.0,66471000000.0,0.0,55385000000.0,29881000000.0,2304000000.0,17660000000.0,0.0,5466000000.0
2017-06-30,9345000000.0,301000000.0,9646000000.0,1342000000.0,9860000000.0,32829000000.0,9475000000.0,43468000000.0,1701000000.0,1817000000.0,61964000000.0,94793000000.0,8542000000.0,2061000000.0,23919000000.0,23883000000.0,25944000000.0,0.0,0.0,0.0,35064000000.0,66351000000.0,0.0,54640000000.0,28442000000.0,2002000000.0,16599000000.0,0.0,7368000000.0
