date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,V,2020-05-04,2020-05-04 09:04:51,Q2,9740000000,2411000000,12151000000,1516000000,0.0,6240000000,19907000000,2776000000,15755000000,27011000000,42766000000,1064000000,0.0,6307000000,52913000000,7371000000,72820000000,161000000,3999000000,0.0,0.0,11782000000,15942000000,13893000000,0.0,4796000000,3604000000,22293000000,0.0,38235000000,0.0,13366000000,-444000000,21663000000,34585000000,72820000000,3475000000,17892000000,8152000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000028/0001403161-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000028/v033120form10q.htm
2019-12-31,V,2020-01-31,2020-01-31 16:06:01,Q1,8768000000,3902000000,12670000000,1661000000,0.0,7988000000,22319000000,2739000000,15767000000,27137000000,42904000000,1719000000,0.0,5100000000,52462000000,6819000000,74781000000,133000000,3000000000,0.0,0.0,14446000000,17579000000,13688000000,0.0,4810000000,3434000000,21932000000,0.0,39511000000,0.0,13899000000,-340000000,21711000000,35270000000,74781000000,5621000000,16688000000,7920000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000012/0001403161-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000012/v123119form10q.htm
2019-09-30,V,2019-11-14,2019-11-14 15:35:00,FY,7838000000,4236000000,12074000000,1542000000,0.0,7354000000,20970000000,2695000000,15656000000,26780000000,42436000000,2200000000,0.0,4273000000,51604000000,6473000000,72574000000,156000000,0.0,0.0,0.0,13259000000,13415000000,16729000000,0.0,4807000000,2939000000,24475000000,0.0,37890000000,1718000000,13502000000,-650000000,20114000000,34684000000,72574000000,6436000000,16729000000,8891000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/v093019form10k.htm
2019-06-30,V,2019-07-26,2019-07-26 16:07:11,Q3,7912000000,3265000000,11177000000,1531000000,0.0,5597000000,18305000000,2549000000,15313000000,27272000000,42585000000,2918000000,0.0,3892000000,51944000000,6810000000,70249000000,150000000,0.0,0.0,0.0,10679000000,10829000000,16694000000,0.0,4930000000,2801000000,24425000000,0.0,35254000000,0.0,13040000000,110000000,21845000000,34995000000,70249000000,6183000000,16694000000,8782000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000030/0001403161-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000030/v63019form10q.htm
2019-03-31,V,2019-04-26,2019-04-26 16:06:57,Q2,7648000000,3876000000,11524000000,1404000000,0.0,5562000000,18490000000,2456000000,15088000000,26966000000,42054000000,3506000000,0.0,3359000000,51375000000,6865000000,69865000000,119000000,0.0,0.0,0.0,11261000000,11380000000,16630000000,0.0,4911000000,2669000000,24210000000,0.0,35590000000,0.0,12513000000,-86000000,21848000000,34275000000,69865000000,7382000000,16630000000,8982000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000017/0001403161-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000017/v33119form10q.htm
2018-12-31,V,2019-01-31,2019-01-31 16:16:27,Q1,8289000000,3461000000,11750000000,1405000000,0.0,6952000000,20107000000,2437000000,15149000000,27301000000,42450000000,4132000000,0.0,2529000000,51548000000,12942000000,71655000000,124000000,0.0,0.0,0.0,13265000000,13389000000,16633000000,0.0,4835000000,2703000000,24171000000,0.0,37560000000,0.0,11908000000,275000000,21912000000,34095000000,71655000000,7593000000,16633000000,8344000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000005/0001403161-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000005/v123118form10q.htm
2018-09-30,V,2018-11-16,2018-11-16 16:10:27,FY,8162000000,3449000000,11611000000,1208000000,0.0,5397000000,18216000000,2472000000,15194000000,27558000000,42752000000,4082000000,0.0,1703000000,51009000000,5785000000,69225000000,183000000,0.0,0.0,0.0,11122000000,11305000000,16630000000,0.0,4618000000,2666000000,23914000000,0.0,35219000000,1768000000,11318000000,547000000,20373000000,34006000000,69225000000,7531000000,16630000000,8468000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/v093018.htm
2018-06-30,V,2018-07-27,2018-07-27 16:06:49,Q3,8505000000,3302000000,11807000000,1220000000,0.0,5464000000,18491000000,2387000000,15204000000,27628000000,42832000000,2835000000,0.0,1630000000,49684000000,4465000000,68175000000,145000000,0.0,0.0,0.0,10789000000,10934000000,16627000000,0.0,4802000000,2494000000,23923000000,0.0,34857000000,0.0,10426000000,741000000,22151000000,33318000000,68175000000,6137000000,16627000000,8122000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000034/0001403161-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000034/v63018form10q.htm
2018-03-31,V,2018-04-27,2018-04-27 16:06:38,Q2,8142000000,3483000000,11625000000,1259000000,0.0,5652000000,18536000000,2366000000,15372000000,28537000000,43909000000,2602000000,0.0,1629000000,50506000000,4231000000,69042000000,136000000,0.0,0.0,0.0,9415000000,9551000000,16624000000,0.0,5110000000,2287000000,24021000000,1367000000,34939000000,0.0,10192000000,1728000000,22183000000,34103000000,69042000000,6085000000,16624000000,8482000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000020/0001403161-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000020/v33118form10q.htm
2017-12-31,V,2018-02-01,2018-02-01 16:15:13,Q1,8138000000,3307000000,11445000000,1281000000,0.0,4561000000,17287000000,2238000000,15162000000,28109000000,43271000000,2674000000,0.0,1684000000,49867000000,4358000000,67154000000,108000000,0.0,0.0,0.0,8255000000,8363000000,16621000000,0.0,5107000000,2332000000,24060000000,1330000000,33753000000,0.0,9966000000,1203000000,22232000000,33401000000,67154000000,5981000000,16621000000,8483000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000009/0001403161-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000009/v123117form10q.htm
