date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,VZ,2020-04-27,2020-04-27 11:29:02,Q1,7047000000,543000000,7047000000,23797000000,1633000000,8228000000,40705000000,92177000000,24382000000,9371000000,33753000000,543000000,0.0,127322000000,253795000000,0.0,294500000000,17419000000,11175000000,0.0,33709000000,12463000000,41057000000,106561000000,0.0,33709000000,51520000000,191790000000,0.0,232847000000,429000000,54557000000,-1502000000,8169000000,61653000000,294500000000,543000000,117736000000,110689000000,https://www.sec.gov/Archives/edgar/data/732712/000073271220000027/0000732712-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000027/a2020q110-q.htm
2019-12-31,VZ,2020-02-21,2020-02-21 11:20:18,FY,2594000000,558000000,2594000000,25429000000,1422000000,8028000000,37473000000,91915000000,24389000000,9498000000,33887000000,558000000,0.0,127894000000,254254000000,0.0,291727000000,21806000000,3261000000,0.0,34703000000,19801000000,44868000000,100712000000,0.0,34703000000,48609000000,184024000000,0.0,228892000000,429000000,53147000000,998000000,8261000000,62835000000,291727000000,558000000,103973000000,101379000000,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/0000732712-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/a2019q410-k.htm
2019-09-30,VZ,2019-10-30,2019-10-30 12:18:19,Q3,3020000000,628000000,3020000000,24713000000,1538000000,5624000000,34895000000,88849000000,24570000000,9264000000,33834000000,628000000,0.0,126669000000,249980000000,0.0,284875000000,19566000000,2959000000,0.0,34592000000,16684000000,39209000000,101769000000,0.0,34592000000,48993000000,185354000000,0.0,224563000000,429000000,50595000000,1104000000,8184000000,60312000000,284875000000,628000000,104728000000,101708000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000063/0000732712-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000063/a2019q310-q.htm
2019-06-30,VZ,2019-08-08,2019-08-08 13:04:24,Q2,1949000000,650000000,1949000000,24926000000,1167000000,5266000000,33308000000,87818000000,24632000000,9474000000,34106000000,0.0,0.0,127876000000,249800000000,0.0,283108000000,17633000000,3154000000,0.0,34225000000,17427000000,38214000000,104598000000,0.0,34225000000,48124000000,186947000000,0.0,225161000000,429000000,47945000000,1447000000,8126000000,57947000000,283108000000,650000000,107752000000,105803000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000052/0000732712-19-000052-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000052/a2019q210-q.htm
2019-03-31,VZ,2019-04-26,2019-04-26 11:48:08,Q1,2322000000,674000000,2322000000,24469000000,1417000000,5189000000,33397000000,87849000000,24635000000,9608000000,34243000000,0.0,0.0,128458000000,250550000000,0.0,283947000000,18664000000,2997000000,0.0,34344000000,16946000000,38607000000,105045000000,0.0,34344000000,48491000000,187880000000,0.0,226487000000,429000000,46493000000,2216000000,8322000000,57460000000,283947000000,674000000,108042000000,105720000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000024/0000732712-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000024/a2019q110-q.htm
2018-12-31,VZ,2019-02-15,2019-02-15 13:42:40,FY,2745000000,671000000,2745000000,25102000000,1336000000,5453000000,34636000000,89286000000,24614000000,9775000000,34389000000,0.0,0.0,106518000000,230193000000,0.0,264829000000,22501000000,7190000000,0.0,33795000000,8239000000,37930000000,105873000000,0.0,33795000000,32521000000,172189000000,0.0,210119000000,429000000,43542000000,2370000000,8369000000,54710000000,264829000000,671000000,113063000000,110318000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/0000732712-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/a2018q410-k.htm
2018-09-30,VZ,2018-10-30,2018-10-30 11:47:34,Q3,2538000000,732000000,2538000000,24012000000,1270000000,5334000000,33154000000,87464000000,29200000000,9731000000,38931000000,0.0,0.0,106013000000,232408000000,0.0,265562000000,19342000000,6502000000,0.0,35712000000,8323000000,34167000000,106440000000,0.0,35712000000,33156000000,175308000000,0.0,209475000000,429000000,44091000000,3201000000,8366000000,56087000000,265562000000,732000000,112942000000,110404000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000055/0000732712-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000055/a2018q310-q.htm
2018-06-30,VZ,2018-07-31,2018-07-31 10:59:56,Q2,1750000000,787000000,1750000000,23099000000,1102000000,4925000000,30876000000,87781000000,29200000000,9861000000,39061000000,0.0,0.0,105585000000,232427000000,0.0,263303000000,18560000000,5466000000,0.0,35069000000,8303000000,32329000000,109174000000,0.0,35069000000,33156000000,177399000000,0.0,209728000000,429000000,41657000000,3205000000,8284000000,53575000000,263303000000,787000000,114640000000,112890000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000044/0000732712-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000044/a2018q210-q.htm
2018-03-31,VZ,2018-05-01,2018-05-01 12:36:20,Q1,1923000000,994000000,1923000000,22595000000,1285000000,5222000000,31025000000,87922000000,29121000000,10014000000,39135000000,0.0,0.0,106434000000,233491000000,0.0,264516000000,17052000000,6323000000,0.0,34414000000,8240000000,31615000000,112734000000,0.0,34414000000,33408000000,180556000000,0.0,212171000000,429000000,39974000000,3705000000,8237000000,52345000000,264516000000,994000000,119057000000,117134000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000022/0000732712-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000022/a2018q110-q.htm
2017-12-31,VZ,2018-02-23,2018-02-23 13:15:54,FY,2079000000,1039000000,2079000000,23493000000,1034000000,3307000000,29913000000,88568000000,29172000000,10247000000,39419000000,1039000000,0.0,98204000000,227230000000,0.0,257143000000,21232000000,3453000000,0.0,31232000000,8352000000,33037000000,113642000000,0.0,31232000000,34545000000,179419000000,0.0,212456000000,424000000,35635000000,2659000000,5969000000,44687000000,257143000000,1039000000,117095000000,115016000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/0000732712-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/a201710-k.htm
2017-09-30,VZ,2017-10-26,2017-10-26 12:37:49,Q3,4487000000,1054000000,4487000000,21549000000,1276000000,3555000000,30867000000,86622000000,28725000000,10993000000,39718000000,1054000000,0.0,96421000000,223815000000,0.0,254682000000,18434000000,2180000000,0.0,48345000000,8316000000,28930000000,115317000000,0.0,48345000000,12508000000,176170000000,21131000000,226231000000,424000000,19373000000,2683000000,5971000000,28451000000,254682000000,1054000000,117497000000,113010000000,https://www.sec.gov/Archives/edgar/data/732712/000073271217000009/0000732712-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271217000009/a2017q310-q.htm
2017-06-30,VZ,2017-08-03,2017-08-03 13:47:21,Q2,4583000000,1075000000,4583000000,19771000000,1116000000,3353000000,28823000000,86521000000,28527000000,11143000000,39670000000,0.0,0.0,97964000000,224155000000,0.0,252978000000,17825000000,1153000000,0.0,47506000000,8780000000,27758000000,116390000000,0.0,47506000000,12788000000,176684000000,21775000000,226217000000,424000000,18159000000,2284000000,5894000000,26761000000,252978000000,1075000000,117543000000,112960000000,https://www.sec.gov/Archives/edgar/data/732712/000119312517247167/0001193125-17-247167-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312517247167/d427004d10q.htm
