date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020/2/29,WBA,2020/4/2,2020/4/2 16:12,Q2,792000000,0,792000000,7572000000,9652000000,893000000,18909000000,13482000000,16788000000,10929000000,27717000000,6921000000,0,29895000000,71094000000,22974000000,90003000000,14968000000,2278000000,23000000,1637000000,11393000000,28662000000,10625000000,0,1637000000,24745000000,37007000000,614000000,66283000000,12000000,36351000000,-3407000000,0,23720000000,90003000000,6921000000,12903000000,12111000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000025/0001618921-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000025/wba-20200229.htm
2019/11/30,WBA,2020/1/8,2020/1/8 16:14,Q1,811000000,0,811000000,7435000000,10536000000,822000000,19604000000,13620000000,16800000000,11055000000,27855000000,6902000000,0,29728000000,71203000000,22826000000,90807000000,15401000000,2288000000,210000000,1618000000,11595000000,29494000000,10628000000,0,1618000000,24754000000,37000000000,652000000,67146000000,12000000,35810000000,-3313000000,0,23661000000,90807000000,6902000000,12916000000,12105000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000008/0001618921-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000008/wba-20191130.htm
2019/8/31,WBA,2019/10/28,2019/10/28 16:19,FY,1023000000,0,1023000000,7226000000,9333000000,1118000000,18700000000,13478000000,16560000000,10876000000,27436000000,6851000000,0,7985000000,48899000000,-1000000,67598000000,14341000000,5738000000,216000000,1785000000,11212000000,25769000000,11098000000,0,1785000000,4795000000,17678000000,639000000,44086000000,12000000,35815000000,-3897000000,0,23512000000,67598000000,6851000000,11098000000,10075000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/0001618921-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/wba-2019831x10k.htm
2019/5/31,WBA,2019/6/27,2019/6/27 16:31,Q3,839000000,-1000000,839000000,7239000000,9874000000,1070000000,19021000000,13717000000,16717000000,11325000000,28042000000,6673000000,0,7806000000,49565000000,1133000000,68586000000,14130000000,5483000000,263000000,1860000000,5184000000,25060000000,12127000000,0,1860000000,4767000000,18754000000,639000000,44453000000,12000000,35547000000,-3393000000,0,24133000000,68586000000,-1000000,17610000000,16771000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000039/0001618921-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000039/wba-2019531x10q.htm
2019/2/28,WBA,2019/4/2,2019/4/2 16:19,Q2,818000000,1000000,818000000,7828000000,10188000000,1016000000,19851000000,13828000000,17027000000,11932000000,28959000000,6683000000,0,7797000000,50584000000,-1000000,70434000000,14348000000,5356000000,163000000,1982000000,5436000000,25303000000,12685000000,0,1982000000,5052000000,19719000000,642000000,45664000000,12000000,34928000000,-2705000000,0,24770000000,70434000000,1000000,18041000000,17223000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000017/0001618921-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000017/wba-2019228x10q.htm
2018/11/30,WBA,2018/12/20,2018/12/20 16:16,Q1,980000000,0,980000000,7144000000,10976000000,983000000,20083000000,13821000000,16809000000,11584000000,28393000000,6570000000,0,7644000000,49858000000,983000000,69941000000,14660000000,4344000000,611000000,1793000000,5484000000,25099000000,11646000000,0,1793000000,5140000000,18579000000,654000000,44332000000,12000000,34168000000,-3231000000,0,25609000000,69941000000,6570000000,15990000000,15010000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000096/0001618921-18-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000096/wba-20181130x10q.htm
2018/8/31,WBA,2018/10/11,2018/10/11 16:21,FY,785000000,0,785000000,6573000000,9565000000,923000000,17846000000,13911000000,16914000000,11783000000,28697000000,6610000000,0,7670000000,50278000000,1060000000,68124000000,13566000000,1966000000,273000000,1815000000,7828000000,21667000000,12431000000,0,1815000000,5522000000,19768000000,682000000,42117000000,12000000,33551000000,-3002000000,0,26007000000,68124000000,6610000000,12431000000,11646000000,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/0001628280-18-012472-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/wba-2018831x10k.htm
2018/5/31,WBA,2018/6/28,2018/6/28 16:18,Q3,1818000000,0,1818000000,7159000000,9889000000,1122000000,19988000000,13938000000,17089000000,12111000000,29200000000,6272000000,371000000,6655000000,50164000000,1122000000,70152000000,13089000000,2587000000,0,1973000000,5806000000,21482000000,12456000000,0,1973000000,5771000000,20200000000,734000000,42416000000,12000000,32460000000,-2792000000,0,27736000000,70152000000,6272000000,15043000000,13225000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000033/0001618921-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000033/wba-2018531x10q.htm
2018/2/28,WBA,2018/3/28,2018/3/28 16:17,Q2,1749000000,0,1749000000,7281000000,10316000000,1012000000,20358000000,14045000000,17017000000,12220000000,29237000000,6431000000,443000000,6733000000,50458000000,745000000,70816000000,13301000000,3140000000,0,1946000000,6118000000,22559000000,12532000000,0,1946000000,5601000000,20079000000,823000000,43461000000,12000000,31513000000,-2163000000,0,27355000000,70816000000,6431000000,15672000000,13923000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000018/0001618921-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000018/wba-2018228x10q.htm
2017/11/30,WBA,2018/1/4,2018/1/4 16:14,Q1,1830000000,0,1830000000,6858000000,10010000000,983000000,19681000000,13693000000,15931000000,10588000000,26519000000,6028000000,496000000,6229000000,46937000000,697000000,66618000000,13570000000,1268000000,0,2319000000,5679000000,20517000000,12737000000,0,2319000000,4289000000,19345000000,827000000,40689000000,12000000,30560000000,-2543000000,0,25929000000,66618000000,6028000000,14005000000,12175000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000004/0001618921-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000004/wba-20171130x10q.htm
