date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2020-02-29,792000000.0,0.0,792000000.0,7572000000.0,9652000000.0,18909000000.0,13482000000.0,27717000000.0,0.0,0.0,71094000000.0,90003000000.0,14968000000.0,2278000000.0,28662000000.0,10625000000.0,12903000000.0,0.0,23000000.0,0.0,37007000000.0,66283000000.0,0.0,36351000000.0,23720000000.0,0.0,12111000000.0,0.0,614000000.0
2019-11-30,811000000.0,0.0,811000000.0,7435000000.0,10536000000.0,19604000000.0,13620000000.0,27855000000.0,0.0,0.0,71203000000.0,90807000000.0,15401000000.0,2288000000.0,29494000000.0,10628000000.0,12916000000.0,0.0,210000000.0,0.0,37000000000.0,67146000000.0,0.0,35810000000.0,23661000000.0,0.0,12105000000.0,0.0,652000000.0
2019-08-31,1023000000.0,0.0,1023000000.0,7226000000.0,9333000000.0,18700000000.0,13478000000.0,27436000000.0,0.0,0.0,48899000000.0,67598000000.0,14341000000.0,0.0,25769000000.0,11098000000.0,11098000000.0,0.0,216000000.0,0.0,17678000000.0,44086000000.0,0.0,35815000000.0,23512000000.0,0.0,10075000000.0,-1000000.0,639000000.0
2019-05-31,839000000.0,-1000000.0,839000000.0,7239000000.0,9874000000.0,19021000000.0,13717000000.0,28042000000.0,0.0,0.0,49565000000.0,68586000000.0,14130000000.0,5483000000.0,25060000000.0,12127000000.0,17610000000.0,0.0,263000000.0,0.0,18754000000.0,44453000000.0,0.0,35547000000.0,24133000000.0,-1000000.0,16771000000.0,0.0,639000000.0
2019-02-28,818000000.0,1000000.0,818000000.0,7828000000.0,10188000000.0,19851000000.0,13828000000.0,28959000000.0,0.0,0.0,50584000000.0,70434000000.0,14348000000.0,5356000000.0,25303000000.0,12685000000.0,18041000000.0,0.0,163000000.0,0.0,19719000000.0,45664000000.0,0.0,34928000000.0,24770000000.0,1000000.0,17223000000.0,-1000000.0,642000000.0
2018-11-30,980000000.0,0.0,980000000.0,7144000000.0,10976000000.0,20083000000.0,13821000000.0,28393000000.0,0.0,0.0,49858000000.0,69941000000.0,14660000000.0,4344000000.0,25099000000.0,11646000000.0,15990000000.0,0.0,611000000.0,0.0,18579000000.0,44332000000.0,0.0,34168000000.0,25609000000.0,0.0,15010000000.0,0.0,654000000.0
2018-08-31,785000000.0,0.0,785000000.0,6573000000.0,9565000000.0,17846000000.0,13911000000.0,28697000000.0,0.0,0.0,50278000000.0,68124000000.0,13566000000.0,0.0,21667000000.0,12431000000.0,12431000000.0,0.0,273000000.0,0.0,19768000000.0,42117000000.0,0.0,33551000000.0,26007000000.0,0.0,11646000000.0,0.0,682000000.0
2018-05-31,1818000000.0,0.0,1818000000.0,7159000000.0,9889000000.0,19988000000.0,13938000000.0,29200000000.0,0.0,371000000.0,50164000000.0,70152000000.0,13089000000.0,2587000000.0,21482000000.0,12456000000.0,15043000000.0,0.0,0.0,0.0,20200000000.0,42416000000.0,0.0,32460000000.0,27736000000.0,0.0,13225000000.0,0.0,734000000.0
2018-02-28,1749000000.0,0.0,1749000000.0,7281000000.0,10316000000.0,20358000000.0,14045000000.0,29237000000.0,0.0,443000000.0,50458000000.0,70816000000.0,13301000000.0,3140000000.0,22559000000.0,12532000000.0,15672000000.0,0.0,0.0,0.0,20079000000.0,43461000000.0,0.0,31513000000.0,27355000000.0,0.0,13923000000.0,0.0,823000000.0
2017-11-30,1830000000.0,0.0,1830000000.0,6858000000.0,10010000000.0,19681000000.0,13693000000.0,26519000000.0,0.0,496000000.0,46937000000.0,66618000000.0,13570000000.0,1268000000.0,20517000000.0,12737000000.0,14005000000.0,0.0,0.0,0.0,19345000000.0,40689000000.0,0.0,30560000000.0,25929000000.0,0.0,12175000000.0,0.0,827000000.0
2017-08-31,3301000000.0,0.0,3301000000.0,6528000000.0,8899000000.0,19753000000.0,13642000000.0,25788000000.0,0.0,329000000.0,46256000000.0,66009000000.0,12494000000.0,0.0,18547000000.0,12684000000.0,12684000000.0,0.0,0.0,0.0,19188000000.0,38543000000.0,368000000,30137000000.0,27466000000.0,0.0,9383000000.0,0.0,808000000.0
