date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,WFC,2020-05-05,2020-05-05 15:25:29,Q1,22738000000,251229000000,273967000000,0,0,0,273967000000,9108000000,26381000000,0,26381000000,128071000000,0,1570203000000,1707382000000,0,1981349000000,76238000000,92289000000,0,0,0,168527000000,237342000000,0,0,0,237342000000,1392762000000,1798631000000,9136000000,165308000000,-1564000000,9838000000,182718000000,1981349000000,379300000000,329631000000,306893000000,https://www.sec.gov/Archives/edgar/data/72971/000007297120000236/0000072971-20-000236-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297120000236/wfc-0331x2020x10q.htm
2019-12-31,WFC,2020-02-27,2020-02-26 21:51:08,FY,21757000000,263459000000,285216000000,5586000000,0,0,290802000000,9309000000,26390000000,0,26409000000,119493000000,0,1507951000000,1636753000000,1708495000000,1927555000000,75163000000,104512000000,5500000000,0,0,185175000000,228191000000,0,7278000000,0,235469000000,1319765000000,1740409000000,9136000000,166697000000,-1311000000,12624000000,187146000000,1927555000000,382952000000,332703000000,310946000000,https://www.sec.gov/Archives/edgar/data/72971/000007297120000217/0000072971-20-000217-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297120000217/wfc-12312019x10k.htm
2019-09-30,WFC,2019-11-01,2019-11-01 15:42:55,Q3,22401000000,271236000000,293637000000,5962000000,0,0,299599000000,9315000000,26388000000,0,26388000000,126330000000,0,1508706000000,1644351000000,0,1943950000000,76532000000,123908000000,0,0,0,200440000000,230651000000,0,0,0,230651000000,1319555000000,1750646000000,9136000000,166320000000,-1639000000,19487000000,193304000000,1943950000000,397566000000,354559000000,332158000000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000406/0000072971-19-000406-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000406/wfc-09302019x10q.htm
2019-06-30,WFC,2019-08-02,2019-08-02 15:55:09,Q2,20880000000,265983000000,286863000000,1174000000,0,0,288037000000,9435000000,26415000000,0,26415000000,143547000000,0,1482369000000,1635351000000,0,1923388000000,69706000000,115344000000,0,0,0,185050000000,241476000000,0,0,0,241476000000,1297820000000,1724346000000,9136000000,164551000000,-2224000000,27579000000,199042000000,1923388000000,409530000000,356820000000,335940000000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000331/0000072971-19-000331-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000331/wfc-06302019x10q.htm
2019-03-31,WFC,2019-05-03,2019-05-03 13:02:25,Q1,20650000000,268099000000,288749000000,3200000000,0,0,291949000000,8825000000,26420000000,0,26420000000,128318000000,0,1458700000000,1595843000000,0,1887792000000,74717000000,106597000000,0,0,0,181314000000,236339000000,0,0,0,236339000000,1272307000000,1689960000000,9136000000,160776000000,-3682000000,31602000000,197832000000,1887792000000,396417000000,342936000000,322286000000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000254/0000072971-19-000254-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000254/wfc-03312019x10q.htm
2018-12-31,WFC,2019-02-27,2019-02-27 15:23:51,FY,23551000000,269912000000,293463000000,5009000000,0,0,298472000000,8920000000,26418000000,0,26453000000,149736000000,0,1438755000000,1597411000000,1693252000000,1895883000000,69317000000,105787000000,5750000000,0,0,180854000000,229044000000,0,8991000000,0,238035000000,1280828000000,1699717000000,9136000000,158163000000,-6336000000,35203000000,196166000000,1895883000000,419648000000,334831000000,311280000000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000227/0000072971-19-000227-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000227/wfc-12312018x10k.htm
2018-09-30,WFC,2018-11-06,2018-11-06 06:07:20,Q3,18791000000,262964000000,281755000000,6941000000,0,0,288696000000,8802000000,26425000000,0,26425000000,140732000000,0,1434751000000,1584285000000,0,1872981000000,71348000000,105451000000,0,0,0,176799000000,221323000000,0,0,0,221323000000,1276118000000,1674240000000,9136000000,154576000000,-6873000000,41902000000,198741000000,1872981000000,403696000000,326774000000,307983000000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000471/0000072971-18-000471-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000471/wfc-09302018x10q.htm
2018-06-30,WFC,2018-08-03,2018-08-03 16:08:47,Q2,20450000000,265687000000,286137000000,9004000000,0,0,295141000000,8882000000,26429000000,0,26429000000,142999000000,0,1432678000000,1584559000000,0,1879700000000,72480000000,104496000000,0,0,0,176976000000,219284000000,0,0,0,219284000000,1278252000000,1674512000000,9136000000,150803000000,-5461000000,50710000000,205188000000,1879700000000,408686000000,323780000000,303330000000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000408/0000072971-18-000408-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000408/wfc-06302018x10q.htm
2018-03-31,WFC,2018-05-04,2018-05-04 16:02:28,Q1,18145000000,271656000000,289801000000,10709000000,0,0,300510000000,8828000000,26445000000,0,26445000000,184250000000,0,1421800000000,1614878000000,0,1915388000000,73397000000,97207000000,0,0,0,170604000000,227302000000,0,0,0,227302000000,1312530000000,1710436000000,9136000000,147928000000,-4921000000,52809000000,204952000000,1915388000000,455906000000,324509000000,306364000000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000324/0000072971-18-000324-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000324/wfc-03312018x10q.htm
2017-12-31,WFC,2018-03-01,2018-03-01 12:38:37,FY,23367000000,277085000000,300452000000,12835000000,0,0,313287000000,8847000000,26587000000,0,26587000000,206367000000,0,1423256000000,1638470000000,325449000000,1951757000000,70615000000,103256000000,5167000000,0,0,179038000000,225020000000,0,8161000000,0,233181000000,1332602000000,1744821000000,9136000000,145263000000,-2144000000,54681000000,206936000000,1951757000000,483452000000,328276000000,304909000000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000272/0000072971-18-000272-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000272/wfc-12312017x10k.htm
2017-09-30,WFC,2017-11-03,2017-11-03 12:29:26,Q3,19206000000,272210000000,291416000000,13564000000,0,0,304980000000,8449000000,26581000000,0,26581000000,7667000000,0,1613843000000,1629959000000,0,1934939000000,79208000000,93811000000,0,0,0,173019000000,238893000000,0,0,0,238893000000,1317098000000,1729010000000,9136000000,141761000000,-1627000000,56659000000,205929000000,1934939000000,279877000000,332704000000,313498000000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000466/0000072971-17-000466-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000466/wfc-09302017x10q.htm
2017-06-30,WFC,2017-08-04,2017-08-04 13:52:15,Q2,20248000000,269202000000,289450000000,14273000000,0,0,303723000000,8403000000,26573000000,0,26573000000,7607000000,0,1611138000000,1627148000000,0,1930871000000,73035000000,95356000000,0,0,0,168391000000,238869000000,0,0,0,238869000000,1318381000000,1725641000000,9136000000,139524000000,-2110000000,58680000000,205230000000,1930871000000,276809000000,334225000000,313977000000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000397/0000072971-17-000397-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000397/wfc-06302017x10q.htm
2017-03-31,WFC,2017-05-05,2017-05-05 15:06:54,Q1,19698000000,299530000000,319228000000,15670000000,0,0,334898000000,8320000000,26666000000,0,26673000000,8122000000,0,1600224000000,1616666000000,1727720000000,1951564000000,59831000000,94871000000,0,0,0,154702000000,256468000000,0,0,0,256468000000,1338894000000,1750064000000,9136000000,136032000000,-3178000000,59510000000,201500000000,1951564000000,307652000000,351339000000,331641000000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000339/0000072971-17-000339-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000339/wfc-03312017x10q.htm
2016-12-31,WFC,2017-03-01,2017-03-01 13:42:47,FY,20729000000,308364000000,329093000000,16731000000,0,0,345824000000,8333000000,26693000000,0,26693000000,174328000000,0,1401630000000,1584291000000,318098000000,1930115000000,57189000000,96781000000,5029000000,0,0,158999000000,255077000000,0,7051000000,0,262128000000,1309407000000,1730534000000,9136000000,133075000000,-3137000000,60507000000,199581000000,1930115000000,482692000000,351858000000,331129000000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000278/0000072971-17-000278-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000278/wfc-12312016x10k.htm
2016-09-30,WFC,2016-11-03,2016-11-03 06:37:42,Q3,19287000000,291591000000,310878000000,17709000000,0,0,328587000000,8322000000,26688000000,0,26688000000,8077000000,0,1597138000000,1613537000000,0,1942124000000,82769000000,124668000000,0,0,0,207437000000,254835000000,0,0,0,254835000000,1276824000000,1739096000000,9136000000,130288000000,2184000000,61420000000,203028000000,1942124000000,299668000000,379503000000,360216000000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001340/0000072971-16-001340-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001340/wfc-9302016x10q.htm
2016-06-30,WFC,2016-08-03,2016-08-03 14:52:43,Q2,20407000000,253006000000,273413000000,19337000000,0,0,292750000000,8289000000,26963000000,0,26963000000,7725000000,0,1580471000000,1596485000000,0,1889235000000,76916000000,120258000000,0,0,0,197174000000,243927000000,0,0,0,243927000000,1246389000000,1687490000000,9136000000,127076000000,2948000000,62585000000,201745000000,1889235000000,260731000000,364185000000,343778000000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001218/0000072971-16-001218-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001218/wfc-6302016x10q.htm
2016-03-31,WFC,2016-05-04,2016-05-04 12:20:33,Q1,19084000000,255551000000,274635000000,20318000000,0,0,294953000000,8349000000,27003000000,0,27003000000,7369000000,0,1538511000000,1554229000000,0,1849182000000,73597000000,107703000000,0,0,0,181300000000,227888000000,0,0,0,227888000000,1242498000000,1651686000000,9136000000,123891000000,1774000000,62695000000,197496000000,1849182000000,262920000000,335591000000,316507000000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001085/0000072971-16-001085-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001085/wfc-3312016x10q.htm
2015-12-31,WFC,2016-02-24,2016-02-24 12:12:43,FY,19111000000,267358000000,286469000000,19259000000,0,0,305728000000,8704000000,25529000000,0,25529000000,169081000000,0,1304119000000,1481904000000,298985000000,1787632000000,73365000000,97528000000,4806000000,0,0,175699000000,199536000000,0,7265000000,0,206801000000,1212134000000,1594634000000,9136000000,120866000000,297000000,62699000000,192998000000,1787632000000,436439000000,297064000000,277953000000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001045/0000072971-16-001045-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001045/wfc-12312015x10k.htm
2015-09-30,WFC,2015-11-04,2015-11-04 12:02:49,Q3,17395000000,266406000000,283801000000,5244000000,0,0,289045000000,8800000000,25684000000,0,25684000000,6786000000,0,1446634000000,1462220000000,0,1751265000000,81700000000,88069000000,0,0,0,169769000000,185274000000,0,0,0,185274000000,1203171000000,1558214000000,9136000000,117593000000,2389000000,63933000000,193051000000,1751265000000,273192000000,273343000000,255948000000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000674/0000072971-15-000674-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000674/wfc-09302015x10q.htm
2015-06-30,WFC,2015-08-05,2015-08-05 12:07:15,Q2,19687000000,260667000000,280354000000,5059000000,0,0,285413000000,8692000000,25705000000,0,25705000000,6861000000,0,1419651000000,1435204000000,0,1720617000000,81399000000,82963000000,0,0,0,164362000000,179751000000,0,0,0,179751000000,1186946000000,1531059000000,9136000000,114093000000,2068000000,64261000000,189558000000,1720617000000,267528000000,262714000000,243027000000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000607/0000072971-15-000607-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000607/wfc-06302015x10q.htm
2015-03-31,WFC,2015-05-06,2015-05-06 12:42:05,Q1,19793000000,257603000000,277396000000,5095000000,0,0,282491000000,8696000000,25705000000,0,25705000000,6912000000,0,1439638000000,1455246000000,0,1737737000000,90121000000,77697000000,0,0,0,167818000000,183292000000,0,0,0,183292000000,1197831000000,1548941000000,9136000000,110676000000,3777000000,65207000000,188796000000,1737737000000,264515000000,260989000000,241196000000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000497/0000072971-15-000497-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000497/wfc-03312015x10q.htm
2014-12-31,WFC,2015-02-25,2015-02-25 13:17:09,FY,19571000000,257442000000,277013000000,4871000000,0,0,281884000000,8743000000,25705000000,0,25705000000,162806000000,0,1233722000000,1405271000000,266871000000,1687155000000,86122000000,63518000000,5002000000,0,0,154642000000,183943000000,0,11252000000,0,195195000000,1152924000000,1502761000000,9136000000,107040000000,3518000000,64700000000,184394000000,1687155000000,420248000000,247461000000,227890000000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000449/0000072971-15-000449-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000449/wfc-12312014x10k.htm
2014-09-30,WFC,2014-11-05,2014-11-05 12:33:38,Q3,18032000000,248251000000,266283000000,5236000000,0,0,271519000000,8768000000,25705000000,0,25705000000,224854000000,0,1131714000000,1365336000000,1411375000000,1636855000000,75727000000,62927000000,0,0,0,138654000000,184586000000,0,0,0,184586000000,1131134000000,1454374000000,9136000000,103494000000,3118000000,66733000000,182481000000,1636855000000,473105000000,247513000000,229481000000,https://www.sec.gov/Archives/edgar/data/72971/000007297114000597/0000072971-14-000597-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297114000597/wfc10q_20140930.htm
2014-06-30,WFC,2014-08-06,2014-08-06 12:33:49,Q2,20635000000,248961000000,269596000000,5016000000,0,0,274612000000,8977000000,25705000000,0,25699000000,207080000000,0,1108205000000,1324262000000,1360915000000,1598874000000,69021000000,61849000000,0,0,0,130870000000,167878000000,0,0,0,167878000000,1119267000000,1418015000000,9136000000,99926000000,4117000000,67680000000,180859000000,1598874000000,456041000000,229727000000,209092000000,https://www.sec.gov/Archives/edgar/data/72971/000007297114000518/0000072971-14-000518-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297114000518/wfc10q_20140630.htm
2014-03-31,WFC,2014-05-07,2014-05-07 11:39:20,Q1,19731000000,252665000000,272396000000,5159000000,0,0,277555000000,9020000000,25637000000,0,25637000000,194100000000,0,1066032000000,1269152000000,1322311000000,1546707000000,65179000000,57061000000,0,0,0,122240000000,153422000000,0,0,0,153422000000,1095391000000,1371053000000,9136000000,96368000000,2752000000,67398000000,175654000000,1546707000000,446765000000,210483000000,190752000000,https://www.sec.gov/Archives/edgar/data/72971/000007297114000424/0000072971-14-000424-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297114000424/wfc10q_20140331.htm
2013-12-31,WFC,2014-02-26,2014-02-26 11:55:12,FY,19919000000,252007000000,271926000000,5019000000,0,0,276945000000,9156000000,25637000000,0,25637000000,186249000000,-7506000000,1062171000000,1250070000000,237887000000,1527015000000,69949000000,53883000000,5528000000,0,0,129360000000,152998000000,0,23533000000,0,176531000000,1050982000000,1356873000000,9136000000,92361000000,1386000000,67259000000,170142000000,1527015000000,438256000000,206881000000,186962000000,https://www.sec.gov/Archives/edgar/data/72971/000007297114000337/0000072971-14-000337-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297114000337/wfc10k_20131231.htm
2013-09-30,WFC,2013-11-06,2013-11-06 10:10:43,Q3,18928000000,259399000000,278327000000,5221000000,0,0,283548000000,9120000000,25637000000,0,25637000000,153464000000,0,1041923000000,1204507000000,0,1488055000000,72308000000,53851000000,0,0,0,126159000000,151212000000,0,0,0,151212000000,1043519000000,1320890000000,9136000000,88625000000,2289000000,67115000000,167165000000,1488055000000,412863000000,205063000000,186135000000,https://www.sec.gov/Archives/edgar/data/72971/000007297113000576/0000072971-13-000576-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297113000576/wfc10q_20130930.htm
2013-06-30,WFC,2013-08-07,2013-08-07 10:03:30,Q2,17939000000,249439000000,267378000000,5192000000,0,0,272570000000,9190000000,25637000000,0,25637000000,118039000000,0,1040764000000,1167993000000,1224052000000,1440563000000,74843000000,56983000000,0,0,0,131826000000,123375000000,0,0,0,123375000000,1022941000000,1278142000000,9136000000,84923000000,1797000000,66565000000,162421000000,1440563000000,367478000000,180358000000,162419000000,https://www.sec.gov/Archives/edgar/data/72971/000119312513323232/0001193125-13-323232-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000119312513323232/d577023d10q.htm
2013-03-31,WFC,2013-05-08,2013-05-08 10:03:22,Q1,16217000000,248160000000,264377000000,5294000000,0,0,269671000000,9263000000,25637000000,0,25637000000,105506000000,0,1052194000000,1166963000000,1192666000000,1436634000000,75622000000,60693000000,0,0,0,136315000000,126191000000,0,0,0,126191000000,1012042000000,1274548000000,9136000000,81264000000,5145000000,66541000000,162086000000,1436634000000,353666000000,186884000000,170667000000,https://www.sec.gov/Archives/edgar/data/72971/000119312513206363/0001193125-13-206363-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000119312513206363/d529054d10q.htm
