date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-01-31,WMT,2020-03-20,2020-03-20 16:51:02,FY,9500000000,5438000000,14938000000,2900000000,44435000000,-467000000,61806000000,105208000000,31073000000,0.0,31073000000,0.0,8319000000,61162000000,174689000000,38408000000,236495000000,46973000000,5362000000,280000000,12961000000,25175000000,77790000000,43714000000,0.0,12961000000,0.0,56675000000,27361000000,161826000000,284000000,83943000000,-12805000000,3247000000,74669000000,236495000000,5438000000,49076000000,39576000000,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/0000104169-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020.htm
2019-10-31,WMT,2019-12-04,2019-12-04 16:12:55,Q3,8606000000,4493000000,13099000000,0.0,51546000000,3267000000,67912000000,104326000000,30716000000,0.0,30716000000,0.0,0.0,67592000000,171918000000,36876000000,239830000000,49750000000,4093000000,327000000,1863000000,27751000000,83784000000,44912000000,0.0,13018000000,0.0,57930000000,26467000000,168181000000,284000000,80656000000,-12382000000,3091000000,71649000000,239830000000,4493000000,49005000000,40399000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000088/0000104169-19-000088-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000088/wmtform10-qx103119.htm
2019-07-31,WMT,2019-09-06,2019-09-06 16:26:01,Q2,9283000000,4314000000,13597000000,0.0,44134000000,3640000000,61371000000,104674000000,31454000000,0.0,31454000000,0.0,0.0,68816000000,173490000000,37362000000,234861000000,45871000000,4396000000,387000000,1765000000,27864000000,80283000000,44404000000,0.0,13049000000,0.0,57453000000,26798000000,164534000000,285000000,78432000000,-11270000000,2880000000,70327000000,234861000000,4314000000,48800000000,39517000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000064/0000104169-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000064/wmtform10-qx7312019.htm
2019-04-30,WMT,2019-06-07,2019-06-07 16:41:29,Q1,9255000000,4366000000,13621000000,0.0,44751000000,3367000000,61739000000,104604000000,31416000000,0.0,31416000000,0.0,0.0,68201000000,172805000000,36785000000,234544000000,45110000000,1464000000,729000000,1899000000,30686000000,79888000000,47425000000,0.0,12792000000,0.0,60217000000,26234000000,166339000000,286000000,76276000000,-11091000000,2734000000,68205000000,234544000000,4366000000,48889000000,39634000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000024/0000104169-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000024/wmtform10-qx4302019.htm
2019-01-31,WMT,2019-03-28,2019-03-28 16:56:37,FY,7722000000,0.0,7722000000,0.0,44269000000,9906000000,61897000000,104317000000,31181000000,0.0,31181000000,0.0,4027000000,49054000000,157398000000,0.0,219295000000,47060000000,1876000000,428000000,1932000000,26181000000,77477000000,43520000000,0.0,11981000000,0.0,55501000000,13821000000,146799000000,288000000,80785000000,-11542000000,2965000000,72496000000,219295000000,0.0,45396000000,37674000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/0000104169-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmtform10-kx1312019.htm
2018-10-31,WMT,2018-11-30,2018-11-30 16:47:52,Q3,9174000000,0.0,9174000000,0.0,50380000000,9892000000,69446000000,104358000000,31044000000,0.0,31044000000,0.0,0.0,52779000000,157137000000,0.0,226583000000,49729000000,2591000000,616000000,1968000000,30847000000,85751000000,43275000000,0.0,11467000000,0.0,54742000000,14094000000,154587000000,291000000,80287000000,-11469000000,2887000000,71996000000,226583000000,0.0,45866000000,36692000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000110/0000104169-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000110/wmtform10-qx10312018.htm
2018-07-31,WMT,2018-09-06,2018-09-06 16:52:25,Q2,15840000000,0.0,15840000000,0.0,41985000000,8545000000,66370000000,104019000000,17840000000,0.0,17840000000,0.0,0.0,35673000000,139692000000,0.0,206062000000,43128000000,1090000000,424000000,8999000000,27041000000,71683000000,44958000000,0.0,8999000000,0.0,53957000000,9237000000,134877000000,294000000,80810000000,-12629000000,2710000000,71185000000,206062000000,0.0,46048000000,30208000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000086/0000104169-18-000086-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000086/wmtform10-qx7312018.htm
2018-04-30,WMT,2018-06-04,2018-06-04 17:23:45,Q1,7885000000,0.0,7885000000,0.0,43303000000,8054000000,59242000000,107622000000,18850000000,0.0,18850000000,0.0,0.0,38063000000,145685000000,0.0,204927000000,44612000000,1576000000,718000000,2014000000,31837000000,80757000000,29477000000,0.0,9541000000,0.0,39018000000,9600000000,129375000000,294000000,82982000000,-10281000000,2557000000,75552000000,204927000000,0.0,31053000000,23168000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000054/0000104169-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000054/wmtform10-qx4302018.htm
2018-01-31,WMT,2018-03-30,2018-03-30 16:01:22,FY,6756000000,0.0,6756000000,0.0,43783000000,9125000000,59664000000,107675000000,18242000000,0.0,18242000000,0.0,4096000000,33087000000,144858000000,0.0,204522000000,46092000000,3738000000,645000000,730000000,27316000000,78521000000,30045000000,0.0,8354000000,0.0,38399000000,9733000000,126653000000,295000000,85107000000,-10181000000,2648000000,77869000000,204522000000,0.0,33783000000,27027000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/0000104169-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/wmtform10-kx1312018.htm
2017-10-31,WMT,2017-12-01,2017-12-01 16:29:29,Q3,7026000000,0.0,7026000000,1300000000,50147000000,6895000000,65368000000,108155000000,18204000000,0.0,18204000000,0.0,0.0,35891000000,144046000000,0.0,209414000000,47587000000,3257000000,540000000,9167000000,29051000000,80435000000,34206000000,0.0,9167000000,0.0,43373000000,9461000000,133269000000,297000000,84480000000,-11133000000,2501000000,76145000000,209414000000,0.0,37463000000,30437000000,https://www.sec.gov/Archives/edgar/data/104169/000010416917000081/0000104169-17-000081-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000081/wmtform10-qx10312017.htm
2017-07-31,WMT,2017-08-31,2017-08-31 17:07:31,Q2,6469000000,0.0,6469000000,1300000000,43442000000,5552000000,56763000000,108170000000,18037000000,0.0,18037000000,0.0,0.0,36633000000,144803000000,0.0,201566000000,42389000000,3254000000,505000000,9240000000,26663000000,72811000000,33706000000,0.0,9240000000,0.0,42946000000,9420000000,125177000000,299000000,84838000000,-11100000000,2352000000,76389000000,201566000000,0.0,36960000000,30491000000,https://www.sec.gov/Archives/edgar/data/104169/000010416917000057/0000104169-17-000057-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000057/wmtform10-qx7312017.htm
2017-04-30,WMT,2017-06-02,2017-06-02 16:33:46,Q1,6545000000,0.0,6545000000,1200000000,43361000000,6230000000,57336000000,107450000000,17575000000,0.0,17575000000,0.0,0.0,34932000000,142382000000,0.0,199718000000,41367000000,3256000000,2018000000,9386000000,27552000000,74193000000,33774000000,0.0,9386000000,0.0,43160000000,8674000000,126027000000,302000000,84120000000,-12954000000,2223000000,73691000000,199718000000,0.0,37030000000,30485000000,https://www.sec.gov/Archives/edgar/data/104169/000010416917000029/0000104169-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000029/wmtform10-qx4302017.htm
2017-01-31,WMT,2017-03-31,2017-03-31 16:54:02,FY,6867000000,0.0,6867000000,1000000000,43046000000,6776000000,57689000000,107710000000,17037000000,0.0,17037000000,0.0,7359000000,26067000000,141136000000,0.0,198825000000,41433000000,2256000000,921000000,743000000,21575000000,66928000000,36015000000,0.0,9344000000,0.0,45359000000,8740000000,121027000000,305000000,89354000000,-14232000000,2371000000,77798000000,198825000000,0.0,38271000000,31404000000,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/0000104169-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/wmtform10-kx1312017.htm
2016-10-31,WMT,2016-12-01,2016-12-01 17:16:20,Q3,5939000000,0.0,5939000000,1200000000,49822000000,6440000000,63401000000,108676000000,17792000000,0.0,17792000000,0.0,0.0,34780000000,143456000000,0.0,206857000000,42990000000,2266000000,459000000,10144000000,28415000000,74130000000,36178000000,0.0,10144000000,0.0,46322000000,8712000000,129164000000,308000000,87636000000,-12335000000,2084000000,77693000000,206857000000,0.0,38444000000,32505000000,https://www.sec.gov/Archives/edgar/data/104169/000010416916000140/0000104169-16-000140-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416916000140/wmtform10-qx10312016.htm
2016-07-31,WMT,2016-08-31,2016-08-31 17:25:20,Q2,7676000000,0.0,7676000000,1100000000,43453000000,6003000000,58232000000,108867000000,16339000000,0.0,16339000000,0.0,0.0,30787000000,139654000000,0.0,197886000000,39902000000,2265000000,720000000,7877000000,25235000000,68122000000,36673000000,0.0,7877000000,0.0,44550000000,8689000000,121361000000,310000000,85972000000,-11672000000,1915000000,76525000000,197886000000,0.0,38938000000,31262000000,https://www.sec.gov/Archives/edgar/data/104169/000010416916000119/0000104169-16-000119-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416916000119/wmtform10-qx7312016.htm
2016-04-30,WMT,2016-06-03,2016-06-03 17:05:39,Q1,7597000000,0.0,7597000000,1100000000,44513000000,5887000000,59097000000,109787000000,16751000000,0.0,16751000000,0.0,0.0,29821000000,139608000000,0.0,198705000000,37997000000,2257000000,1328000000,7272000000,28700000000,70282000000,37151000000,0.0,7272000000,0.0,44423000000,8817000000,123522000000,313000000,84145000000,-10995000000,1720000000,75183000000,198705000000,0.0,39408000000,31811000000,https://www.sec.gov/Archives/edgar/data/104169/000010416916000088/0000104169-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416916000088/wmtform10-qx4302016.htm
2016-01-31,WMT,2016-03-30,2016-03-30 17:18:29,FY,8705000000,0.0,8705000000,1000000000,44469000000,6065000000,60239000000,110171000000,16695000000,0.0,16695000000,0.0,7202000000,21969000000,139342000000,0.0,199581000000,38487000000,2745000000,521000000,744000000,22122000000,64619000000,38214000000,0.0,7321000000,0.0,45535000000,8881000000,119035000000,317000000,90021000000,-11597000000,1805000000,80546000000,199581000000,0.0,40959000000,32254000000,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/0000104169-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/wmtform10-kx1312016.htm
2015-10-31,WMT,2015-12-02,2015-12-02 16:49:46,Q3,6990000000,0.0,6990000000,944000000,50706000000,6472000000,65112000000,110835000000,17051000000,0.0,17051000000,0.0,0.0,29197000000,140032000000,0.0,205144000000,40553000000,2746000000,587000000,7824000000,26606000000,70492000000,38617000000,0.0,7824000000,0.0,46441000000,8640000000,125573000000,321000000,87903000000,-10659000000,2006000000,79571000000,205144000000,0.0,41363000000,34373000000,https://www.sec.gov/Archives/edgar/data/104169/000010416915000054/0000104169-15-000054-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416915000054/wmtform10-qx10312015.htm
2015-07-31,WMT,2015-09-09,2015-09-09 16:41:30,Q2,5751000000,0.0,5751000000,941000000,45007000000,6433000000,58132000000,112824000000,17799000000,0.0,17799000000,0.0,0.0,27664000000,140488000000,0.0,198620000000,37225000000,4024000000,373000000,8391000000,23640000000,65262000000,38581000000,0.0,8391000000,0.0,46972000000,7515000000,119749000000,321000000,84959000000,-8388000000,1979000000,78871000000,198620000000,0.0,42605000000,36854000000,https://www.sec.gov/Archives/edgar/data/104169/000010416915000039/0000104169-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416915000039/wmtform10-qx7312015.htm
2015-04-30,WMT,2015-06-05,2015-06-05 17:22:09,Q1,7759000000,0.0,7759000000,1300000000,46310000000,6764000000,62133000000,112151000000,17531000000,0.0,17531000000,0.0,0.0,26463000000,138614000000,0.0,200747000000,37224000000,6041000000,1707000000,8169000000,24652000000,69624000000,38867000000,0.0,8169000000,0.0,47036000000,7513000000,124173000000,323000000,82492000000,-8595000000,2354000000,76574000000,200747000000,0.0,44908000000,37149000000,https://www.sec.gov/Archives/edgar/data/104169/000010416915000022/0000104169-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416915000022/wmtform10-qx4302015.htm
2015-01-31,WMT,2015-04-01,2015-04-01 16:44:17,FY,9135000000,0.0,9135000000,1200000000,45141000000,7802000000,63278000000,114280000000,18102000000,0.0,18102000000,0.0,6449000000,19699000000,140428000000,0.0,203706000000,38410000000,4810000000,1021000000,759000000,20272000000,65272000000,41086000000,0.0,8805000000,0.0,49891000000,7149000000,122312000000,323000000,85777000000,-7168000000,2462000000,81394000000,203706000000,0.0,45896000000,36761000000,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/0000104169-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/wmtform10-kx13115.htm
