date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,XOM,2020-05-06,2020-05-06 14:06:03,Q1,11412000000,42981000000,11412000000,20871000000,16501000000,22336000000,50249000000,248409000000,0,14165000000,14165000000,0,0,57146000000,305555000000,42981000000,355804000000,35815000000,27755000000,1203000000,24863000000,0,64773000000,31857000000,0,24863000000,19631000000,76351000000,32601000000,173725000000,15636000000,416919000000,-24339000000,0,182079000000,355804000000,42981000000,59612000000,48200000000,https://www.sec.gov/Archives/edgar/data/34088/000003408820000037/0000034088-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408820000037/xom10q1q2020.htm
2019-12-31,XOM,2020-02-26,2020-02-26 16:15:19,FY,3089000000,-70000000,3019000000,21100000000,18528000000,7405000000,50052000000,253018000000,0,16363000000,16363000000,37833000000,0,21694000000,312545000000,296182000000,362597000000,41831000000,20578000000,1580000000,25620000000,0,63989000000,26342000000,0,25620000000,21416000000,73378000000,33580000000,170947000000,15637000000,421341000000,-19493000000,0,191650000000,362597000000,37763000000,46920000000,43831000000,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/0000034088-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/xom10k2019.htm
2019-09-30,XOM,2019-11-06,2019-11-06 13:34:22,Q3,5351000000,-91000000,5260000000,25308000000,17590000000,27158000000,50008000000,250512000000,0,15921000000,15921000000,0,0,58841000000,309353000000,42920000000,359361000000,40541000000,21196000000,2458000000,26513000000,0,64195000000,25950000000,0,26513000000,21997000000,74460000000,30791000000,169446000000,15795000000,419367000000,-19277000000,0,189915000000,359361000000,-91000000,47146000000,41795000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000062/0000034088-19-000062-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000062/xom10q3q2019.htm
2019-06-30,XOM,2019-08-07,2019-08-07 12:55:10,Q2,4213000000,-34000000,4179000000,27132000000,18835000000,28729000000,51743000000,250853000000,0,15600000000,15600000000,0,0,58133000000,308986000000,42533000000,360729000000,41480000000,26195000000,2612000000,26846000000,0,70287000000,19001000000,0,26846000000,22127000000,67974000000,31091000000,169352000000,15639000000,419913000000,-18205000000,0,191377000000,360729000000,-34000000,45196000000,40983000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000042/0000034088-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000042/xom10q2q2019.htm
2019-03-31,XOM,2019-05-02,2019-05-02 13:44:33,Q1,4586000000,-145000000,4441000000,27105000000,18332000000,28803000000,51576000000,248563000000,0,13982000000,13982000000,0,0,56050000000,304613000000,42068000000,356189000000,42090000000,21794000000,2748000000,27287000000,0,66632000000,19031000000,0,27287000000,20737000000,67055000000,31280000000,164967000000,15476000000,420498000000,-18782000000,0,191222000000,356189000000,-145000000,40825000000,36239000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000017/0000034088-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000017/xom10q1q2019.htm
2018-12-31,XOM,2019-02-27,2019-02-27 16:19:37,FY,3042000000,-146000000,2896000000,19638000000,18958000000,6481000000,47973000000,247101000000,0,10332000000,10332000000,210000000,0,50912000000,298223000000,287891000000,346196000000,37268000000,17258000000,2612000000,27244000000,0,57138000000,20538000000,0,27244000000,18094000000,65876000000,31388000000,154402000000,15258000000,421653000000,-19564000000,0,191794000000,346196000000,64000000,37796000000,34754000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/0000034088-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/xom10k2018.htm
2018-09-30,XOM,2018-11-07,2018-11-07 12:29:54,Q3,5669000000,104000000,5773000000,27880000000,18761000000,29441000000,53975000000,249153000000,0,11073000000,11073000000,0,0,51500000000,300653000000,40427000000,354628000000,41714000000,19413000000,4161000000,27084000000,0,65288000000,20624000000,0,27084000000,18728000000,66436000000,32539000000,164263000000,15254000000,419155000000,-18370000000,0,190365000000,354628000000,104000000,40037000000,34368000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000048/0000034088-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000048/xom10q3q2018.htm
2018-06-30,XOM,2018-08-02,2018-08-02 12:13:22,Q2,3430000000,98000000,3528000000,26993000000,18483000000,28544000000,50555000000,248209000000,0,10335000000,10335000000,0,0,50026000000,298235000000,39691000000,348790000000,38490000000,20500000000,3457000000,26783000000,0,62447000000,20720000000,0,26783000000,19228000000,66731000000,32390000000,161568000000,15086000000,416418000000,-18609000000,0,187222000000,348790000000,98000000,41220000000,37790000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000039/0000034088-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000039/xom10q2q2018.htm
2018-03-31,XOM,2018-05-03,2018-05-03 12:16:43,Q1,4125000000,40350000000,4125000000,24686000000,18048000000,26142000000,48315000000,250352000000,0,9809000000,9809000000,0,0,50159000000,300511000000,40350000000,348826000000,37207000000,19836000000,3263000000,26760000000,0,60306000000,20781000000,0,26760000000,19554000000,67095000000,33230000000,160631000000,14888000000,415970000000,-16992000000,0,188195000000,348826000000,40350000000,40617000000,36492000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000024/0000034088-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000024/xom10q1q2018.htm
2017-12-31,XOM,2018-02-28,2018-02-28 16:39:51,FY,3177000000,4323000000,3177000000,21274000000,16992000000,1368000000,47134000000,252630000000,0,9767000000,9767000000,174000000,0,48753000000,301557000000,291790000000,348691000000,36796000000,17930000000,3045000000,26893000000,0,57771000000,24406000000,0,26893000000,19215000000,70514000000,32718000000,161003000000,14656000000,414540000000,-16262000000,0,187688000000,348691000000,4497000000,42336000000,39159000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/0000034088-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/xom10k2017.htm
