end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200430,20200430,-0.14,3376742613.02,3374643804.33,,,2537441.32,46014.65,112598333.15,,23010681.57,3537927695.37,,5935121987.2,2303132878.64,,77499623.55,22956958935.58,1785266863.89,15285684297.76,17606360914.52,1255384645.94
20191231,20200428,20200428,1.5,16727313884.21,15952355019.85,,,811450251.83,599594043.08,1302129560.57,2038190689.54,38530846.78,3273087974.72,,5623742476.61,2281366494.74,,77499623.55,22759614584.6,2250595609.76,14517624977.27,16907894512.56,1216921447.41
20190930,20191026,20191026,1.25,12452427972.64,11853121965.74,,,607213275.2,454328243.41,978290982.93,,29007972.04,2857274117.78,,5494392350.66,2245150168.6,,77499623.55,22616035149.48,2001585331.68,14443725608.22,16865359206.65,1451093494.23
20190630,20190824,20190824,0.81,8559933589.85,8146273452.81,,,414577697.6,306654620.73,673123456.26,1039993179.22,27610987.74,2908368536.09,,5278645903.45,2224047806.69,,77499623.55,22261555977.01,1967073991.85,14926519889.6,16556678452.39,1188733067.92
20190331,20190427,20190427,0.32,4090874843.32,3916292218.52,,,174652871.02,127350963.87,296018438.52,,39723481.01,3228201099.36,,5173557926.12,2237956572.04,,77499623.55,22130323887.42,,14608687655.65,16449190572.53,760675978.36
20181231,20190410,20190410,1.63,15599919717.89,14812136917.64,,,832860395.28,609569383.77,1266187069.95,1928427628.05,36356672.34,2941457519.3,,5513730333.89,2256987179.59,,77499623.55,22422613148.84,2149872515.77,14737088781.9,16876632191.36,1567326638.07
20180930,20181027,20181027,1.25,11343362135.86,10773372184.4,,,598621671.58,431430543.97,909071647.57,,83743598.82,3017106672.52,,5487739014.7,2272107520.23,,77499623.55,21899006508.26,,14826953028.11,16512038955.06,1232369661.24
20180630,20180824,20180824,0.81,7622403676.47,7250998251.18,,,393455299.35,286270357.22,598758572.01,915469190.24,76713568.52,3338678750.23,,6001889776.67,2280927761.8,,77499623.55,21892212118.91,1844145987.85,14824803031.2,16561111524.78,1360187472.16
20180331,20180428,20180428,0.32,3659531718.72,3502433210.63,,,169028132.34,123318895.02,266081183.38,,72167851.04,3601156794.55,,6348263385.69,2067770537.66,,74003008.38,22281413752.24,2094734208.27,14782703384.84,17013818100.11,1399426208.38
20171231,20180412,20180412,1.92,13981423951.75,13168907716.3,,,825400987.13,610486460.31,1202485487.27,1744292391.65,64779542.17,3160930164.22,,6204062096.93,1929750299.18,,74003008.38,21764059442.14,2297513246.92,14287267890.39,16617979154.47,1828148552.52
20170930,20171028,20171028,1.31,9973899820.26,9430253824.38,,,549028555.6,402528718.55,820245514.16,,12747945.42,3372007444.15,,5829946912.41,1104260211.35,,74003008.38,19719188525.65,1604311359.56,12586351213.2,14948162769.52,1395909893.36
20170630,20170826,20170826,0.84,6691820683.8,6342670423.98,,,358385146.91,263523586.05,524992176.73,783194506.32,12070939.73,3438206942.83,,5887646195.02,1113018317.9,,74003008.38,19079599284.36,1663020900.65,12320672504.2,14380648205.0,1443176785.7
20170331,20170429,20170429,0.29,3077939563.46,2940756414.22,,,136143436.4,104801310.94,,,14869859.09,3757916714.46,,6039951720.82,679540337.04,,74003008.38,18396215482.14,1717434700.09,11398283976.23,13835120192.41,971865124.46
20161231,20170422,20170422,2.06,13023604486.19,12289968579.15,,,724925290.71,569862391.26,1022638550.53,1497153105.09,10893244.23,3409045973.89,,5836172874.31,535707581.46,,74003008.38,18157593351.84,1819753322.12,11588684464.25,13692518458.45,1594347381.31
20160930,20161029,20161029,1.31,9575428074.25,9109828682.22,,,464724632.26,353916376.87,,,11746304.69,3236863519.7,,6120523670.09,531330903.48,,74003008.38,17397188843.8,1732266988.87,11469943240.79,13225055812.03,1833443114.31
20160630,20160820,20160820,0.83,6608108691.54,6301410023.07,,,306028220.88,228616120.28,431651823.54,660732187.4,12741521.83,3241597898.45,,5484863659.36,527993711.8,,74003008.38,16618556922.92,1587295348.11,11321022060.59,13114861426.67,1327034873.26
20160331,20160427,20160427,0.29,3064105620.8,2943429974.01,,,119960690.78,89373897.19,183290681.11,,14410922.92,3445277062.91,,4899050632.45,526426109.05,,74003008.38,16032813545.94,1682902450.43,10937162478.9,12561963724.66,566265334.27
20151231,20160420,20160420,2.04,12904990131.21,12210735821.21,,,693128055.38,543808959.0,930962897.88,1329334713.05,11721311.26,3156662536.31,,4952470380.72,532003176.07,,74003008.38,15697683752.89,1867608433.62,10830851283.8,12311921246.94,1134523943.58
20150930,20151027,20151027,1.29,9340276416.57,8915025541.08,,,424640496.07,338252643.07,600008213.5,,,2752838222.69,,4819645549.45,507828694.75,,74003008.38,14700848287.77,1534670988.68,10218364404.86,11592987774.01,1063961948.78
20150630,20150820,20150820,0.81,6370394927.86,6093593613.4,,,276290472.28,224771044.13,387521870.05,578955949.27,8398487.28,2417816065.42,,4412235555.57,511966419.97,,74003008.38,14153661669.06,1267806591.24,9447726601.06,11152509008.54,1166153955.86
20150331,20150425,20150425,0.3,2971128232.88,2860540902.38,,,110212012.72,83538862.85,158904219.05,,6732855.78,2735112449.18,,4176936578.92,515902964.07,,74003008.38,13672825239.63,1472367474.55,9547703511.96,10773603431.02,714496337.62
20141231,20150418,20150418,1.88,11542120188.27,10976405502.6,,,563535695.96,445595806.86,748749669.93,1071203647.0,6721998.6,2476900213.55,,4103325724.16,520341778.35,,74003008.38,13262225283.46,1760231599.02,9221975834.38,10448379673.0,1032986252.61
20140930,20141025,20141025,1.16,8362134698.79,7998361634.94,,,362536023.37,280084869.62,492624259.26,,2237059.21,2320467280.2,,4588328154.48,521422183.81,,74003008.38,11635015294.8,946213375.57,7686616328.74,8988255520.02,1035039548.63
20140630,20140820,20140820,0.73,5749679791.65,5516387477.77,,,232732452.62,178426833.98,313406915.72,467557971.53,1489519.85,1994342075.53,,3731645222.4,524681811.29,,74003008.38,10613742210.99,802277883.21,6944886866.64,8016344867.29,602650229.45
20140331,20140426,20140426,0.25,2627405319.43,2556708223.18,,,70447174.08,51614886.37,102480184.74,,1045757.26,1611308220.2,,3280437846.0,527822270.38,,74003008.38,9801030920.86,809940085.6,6784606355.41,7834275214.56,866542428.79
20131231,20140418,20140418,1.54,10315184982.38,9900010622.93,,,413261095.32,312470582.06,523349158.11,770931591.55,1335570.92,1438925937.59,,3022080239.94,532338604.69,,74003008.38,9477189890.82,895208854.97,6806876964.76,7560950852.28,845026483.81
20130930,20131026,20131026,0.97,7516036169.32,7251599160.43,,,263689161.71,197339030.99,335762564.67,,2994941.9,1502607502.48,,3245295675.1,311859734.06,,74003008.38,8571964394.97,751004369.86,5843635068.48,6837763610.88,770580997.31
20130630,20130816,20130816,0.62,5150377976.15,4982534519.56,,,167214619.99,126934745.05,207587650.37,322640831.43,6135359.18,1359324192.82,,2683974027.18,314623621.84,,74003008.38,7935197524.97,665473583.69,5467856675.27,6281386623.11,444723689.31
20130331,20130425,20130425,0.21,2387207678.64,2326091730.8,,,60973075.96,45227609.75,81119137.16,,1880335.4,1246481209.74,,2537683375.05,317891488.17,,74003008.38,7579372645.66,696704089.0,5163655583.9,5981513337.89,325027889.29
20121231,20130418,20130418,1.27,8590742942.25,8252723707.9,,,335982878.1,254758684.9,426322107.22,616370404.81,1239337.61,1015135860.48,,2378572425.28,321186713.89,,74003008.38,7504158091.63,877170255.78,5113717341.08,5951406624.77,770785053.72
20120930,20121020,20121020,0.813,6070707965.8,5856276002.62,,,214001506.11,164591395.31,280765747.19,,2361140.29,549327922.7,,2272234730.65,314298799.94,,74003008.38,6637157767.92,671015308.01,4482782652.38,5220311944.36,730840529.82
20120630,20120815,20120815,0.52,4195317662.68,4055423482.33,,,139179236.23,105754979.74,177505197.24,266685763.88,1333052.81,517019843.74,,2118312542.41,317114583.87,,74003008.38,6442371693.45,530491044.03,4386954546.2,5034990150.73,522307798.13
20120331,20120420,20120420,0.18,1897116470.45,1845267450.79,,,51539602.48,39738183.99,63409104.25,,1776486.75,764595103.49,,2242218782.16,320012452.42,,74003008.38,6449983078.11,555989124.6,4423783659.09,5082237289.45,662780580.42
20111231,20120412,20120412,1.02,6958445698.77,6675467464.66,,,280456830.84,206086872.13,321975279.14,460598274.56,844352.7,530392785.91,,2028322716.24,322216158.07,,74003008.38,6160878341.43,605801500.2,4634959269.21,4833011881.43,729906024.78
20110930,20111020,20111020,0.679,4829636571.63,4645736409.71,,,183007929.7,137684305.28,204498405.62,,1022088.85,343932388.11,,985748397.19,310792424.61,,74003008.38,4569819431.13,423113054.57,3100397989.34,3311805487.71,224382066.37
