end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200428,20200428,-0.0548,513804171.32,500933277.71,,,-30688677.92,-27433196.36,13697746.63,,295906551.62,262152064.35,,2212426471.2,155430586.65,,109605646.4,4071374971.95,313972748.76,625744272.6,674090624.07,861296627.45
20191231,20200331,20200331,0.2883,2534920539.72,2433117661.24,,,248475571.93,183675895.37,196589125.41,319417615.39,266983453.16,233981956.88,,2245948685.77,156397005.8,,109605646.4,4158340176.15,304355023.23,677336636.22,733622631.91,1454209660.93
20190930,20191029,20191029,0.469,1939974602.29,1738966750.56,,,342237889.11,273205605.86,201052787.61,,322684745.32,213798367.94,,2230066399.03,162037583.72,,198027841.59,4226266961.13,311178638.26,657898996.8,718007718.04,849927899.96
20190630,20190827,20190827,0.4508,1289138373.8,1160041716.31,,,312558096.03,251106457.68,128467393.59,181543509.85,273930035.18,218026028.78,,2215542659.07,163857971.72,,198027841.59,4258064604.53,280218275.12,700156145.41,767692979.83,867471219.52
20190331,20190430,20190430,0.4173,613306096.9,571604096.88,,,271210731.45,221334914.5,44473986.66,,372146912.0,201347000.79,,2401089509.8,165376414.94,,198027841.59,4191943624.91,,569944595.51,645663543.39,671324329.76
20181231,20190326,20190326,0.4797,2899079022.11,2690194635.7,,,363829121.1,288878156.76,214112190.29,338655936.47,315537767.78,236547078.06,,2248882541.02,167255382.7,,198027841.59,3884935435.88,210698969.5,608111917.09,638896440.53,954398245.47
20180930,20181030,20181030,0.2368,2306776120.99,2116886754.89,,,208017409.12,155867929.05,183153505.77,,493694908.25,334660339.18,,2301806759.82,161067181.19,,188663757.28,3900525587.54,,715963950.75,730977171.48,715946039.26
20180630,20180828,20180828,0.1774,1564930564.75,1422235865.17,,,155224947.54,115076377.69,144465257.97,211280159.91,523842058.47,292714115.84,,2328928764.84,160937213.12,,188663757.28,3936972916.22,297748409.5,786627564.28,808150971.52,835036660.97
20180331,20180427,20180427,0.0935,791528442.47,728963677.05,,,75459055.23,59252385.87,61493283.36,,569048206.66,349826225.48,,2325713672.98,162687687.07,,188663782.77,3937110423.92,306598828.74,752048648.82,774884313.16,850004293.09
20171231,20180327,20180327,0.2721,3191811863.89,3026112752.12,,,222812762.53,172930928.59,172185495.11,290721579.26,537388924.4,416489463.5,,2373125096.38,123277677.27,,93802368.83,3856970596.92,306605229.7,779612956.24,803105060.9,896326405.91
20170930,20171031,20171031,0.2839,2466430645.35,2286793134.49,,,216489057.26,186430307.05,182240154.77,,586063239.05,430976804.39,,2582364538.4,124753380.02,,93802368.83,3975963080.98,341728097.36,829667088.24,853893635.11,849945247.95
20170630,20170829,20170829,0.1996,1711122007.35,1574305079.01,,,154893329.98,122830555.25,140036094.13,198340119.95,615323281.39,446200831.16,,2580035193.22,126478521.7,,93802368.83,3971341921.6,332893440.92,888357737.94,912783487.53,805566331.85
20170331,20170429,20170429,0.0854,831626576.0,776777028.16,,,69272317.67,52147476.66,,,621840009.77,488802651.69,,2495560282.93,124814426.39,,93802368.83,3901804306.79,332561710.97,802033854.74,827720426.31,667792884.38
