end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200430,20200430,-0.18,698257052.16,881596413.2,,,-296990473.26,-269356147.5,-89468567.97,,2317276286.85,3445411175.21,,8313168454.11,1249892714.35,,508990279.01,15472760599.06,684723550.23,7730449916.32,7942013973.12,205736405.34
20191231,20200430,20200430,-0.12,5244266099.44,5497914256.73,,,-232212860.01,-189153341.21,184769440.82,585526594.12,2615221532.81,3576780342.53,,8989152850.51,1254352634.91,,501166953.81,16188131270.86,622358711.02,8186722154.03,8412152583.99,228862023.49
20190930,20191031,20191031,0.09,3875682242.6,3740098173.49,,,166157879.22,131927786.7,394769707.58,,2272321507.49,3531748550.55,,9067087904.11,1280523061.04,,508113836.7,16686473231.02,551279476.49,5573055029.65,8168288976.43,2377348266.51
20190630,20190831,20190831,0.09,2748586610.89,2597424049.19,,,156789706.89,129636595.87,304842988.32,510486299.55,2442539044.93,3601742367.1,,9560560477.97,1302040160.8,,493875241.16,17245324915.53,682672689.37,6202451834.66,8795963208.36,2371025230.69
20190331,20190430,20190430,0.08,1410007907.17,1280899152.63,,,136174899.22,113474627.76,91997953.25,,2249793962.95,3572141177.88,,10028120136.87,1311782234.56,,483731499.02,18210162406.77,,7151838370.44,9748560748.76,3116144483.91
20181231,20190427,20190427,0.26,7401806464.33,6950489773.92,,,476037218.47,385600274.18,914154601.53,1320575100.02,2347470272.43,3406316946.11,,9863562050.58,1335638534.58,,493049086.52,17856424203.42,817295081.39,6887880843.99,9493174362.64,3026276387.45
20180930,20181031,20181031,0.36,5607547439.36,5011565855.95,,,608826004.26,527731116.38,932665861.7,,2243239082.93,2693272703.83,,9801466027.09,1354131448.59,,494198519.06,17210356476.95,,5423984024.65,8698984960.66,4055247915.07
20180630,20180831,20180831,0.25,3562982748.4,3128160420.04,,,445962348.13,376821383.67,604748593.47,790660977.01,1890765767.1,3022821733.0,,9822106338.81,1322147775.16,,475333457.55,17229539980.43,856146860.44,5722843961.22,8975794016.4,4072369405.81
20180331,20180428,20180428,0.12,1446576726.35,1233224474.79,,,217400406.1,184963409.89,257161251.66,,1587278777.05,2890826895.82,,8988250781.58,1335950197.76,,451734170.79,16324531879.93,769786508.23,4957353602.3,8220010007.38,3835229390.8
20171231,20180428,20180428,0.51,8021563711.14,7189013306.25,,,889531560.23,748059461.86,1270812486.28,1691744334.03,1828907187.47,2791238128.22,,9231665421.18,1360858367.88,,469413879.99,16701463828.25,886733020.28,5460689385.11,8725022846.08,4085048931.02
20170930,20171031,20171031,0.47,5519939356.2,4733528819.08,,,794376667.82,700121061.83,963515371.89,,1414726309.92,2857911188.29,,9689464069.55,1377938944.47,,476791800.09,17137645901.06,786978466.67,5565113332.23,9178967032.15,4678820308.4
20170630,20170825,20170825,0.32,3321041500.16,2788970464.36,,,536583067.59,467238804.9,687152646.7,907850027.93,1580616158.88,2778584300.43,,9687777533.96,1392998875.66,,486669735.95,17164073212.35,633277966.75,5573576239.53,9397612217.88,4398941736.92
20170331,20170429,20170429,0.11,1300600926.71,1117569378.42,,,182426186.29,158783836.04,,,1864940911.71,2833176483.63,,9998614197.04,1422708792.75,,507337825.7,17393353273.89,630262595.5,5995131335.21,9822733559.14,4436526286.23
