indicator,ticker,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,
Revenue,AAPL,24667000000.0,28571000000.0,28270000000.0,46333000000.0,39186000000.0,35023000000.0,35966000000.0,54512000000.0,43603000000.0,35323000000.0,37472000000.0,57594000000.0,45646000000.0,37432000000.0,42123000000.0,74599000000.0,58010000000.0,49605000000.0,51501000000.0,75872000000.0,50557000000.0,42358000000.0,46852000000.0,78351000000.0,52896000000.0,45408000000.0,52579000000.0,88293000000.0,61137000000.0,53265000000.0,62900000000.0,84310000000.0,58015000000.0,53809000000.0,64040000000.0,
Revenue,ABT,9040850000.0,9616291000.0,9816665000.0,10377453000.0,9456633000.0,9807100000.0,9773241000.0,10836936000.0,5377895000.0,5446025000.0,5369139000.0,5654941000.0,5244000000.0,5551000000.0,4162000000.0,5290000000.0,4897000000.0,5170000000.0,5150000000.0,5188000000.0,4885000000.0,5333000000.0,5302000000.0,5333000000.0,6335000000.0,6637000000.0,6829000000.0,7589000000.0,7390000000.0,7767000000.0,7656000000.0,7765000000.0,7535000000.0,7979000000.0,8076000000.0,
Revenue,ACN,6496293000.0,7204355000.0,7174073000.0,7589108000.0,7259828000.0,7640790000.0,7288259000.0,7668036000.0,7493320000.0,7707935000.0,7524994000.0,7799696000.0,7567483000.0,8240180000.0,8267319000.0,8343257000.0,7931590000.0,8275066000.0,8364511000.0,8465984000.0,8397053000.0,8969044000.0,8965580000.0,9005603000.0,8762182000.0,9356787000.0,9640906000.0,10054493000.0,10067832000.0,10838854000.0,10642249000.0,10605546000.0,10454129000.0,11099688000.0,11055650000.0,
Revenue,ADBE,0.0,2050885000.0,1013212000.0,1152161000.0,1045220000.0,1124449000.0,1080580000.0,1153428000.0,1007873000.0,1010549000.0,995119000.0,1041699000.0,1000120000.0,1068208000.0,1005409000.0,1073328000.0,1109181000.0,1162158000.0,1217768000.0,1306404000.0,1383335000.0,1398709000.0,1463967000.0,1608419000.0,1681646000.0,1772190000.0,1841074000.0,2006595000.0,2078947000.0,2195360000.0,2291076000.0,2464625000.0,2600946000.0,2744280000.0,2834126000.0,
Revenue,AGN,876500000.0,1081700000.0,1081600000.0,1544600000.0,1524300000.0,1355200000.0,1285200000.0,1750200000.0,1895500000.0,1989800000.0,-406000000.0,8677600000.0,2655100000.0,2667200000.0,3683100000.0,4056900000.0,4234200000.0,5755000000.0,884300000.0,4197500000.0,3795900000.0,3288200000.0,3622200000.0,3864300000.0,3572900000.0,4007400000.0,4034300000.0,4326100000.0,3672100000.0,4124200000.0,3911400000.0,4079700000.0,3597100000.0,4090100000.0,4050700000.0,
Revenue,AIG,17436000000.0,16676000000.0,12716000000.0,17409000000.0,18443000000.0,17123000000.0,17648000000.0,12442000000.0,15888000000.0,17315000000.0,14826000000.0,20649000000.0,16112000000.0,16105000000.0,16654000000.0,15535000000.0,15975000000.0,15699000000.0,12822000000.0,13831000000.0,11779000000.0,14724000000.0,12854000000.0,13010000000.0,12632000000.0,12502000000.0,11751000000.0,12635000000.0,11712000000.0,11631000000.0,11486000000.0,12560000000.0,12456000000.0,12561000000.0,12914000000.0,
Revenue,ALL,8095000000.0,8081000000.0,8242000000.0,8236000000.0,8362000000.0,8278000000.0,8128000000.0,8547000000.0,8463000000.0,8787000000.0,8465000000.0,8792000000.0,8684000000.0,8860000000.0,8936000000.0,8759000000.0,8952000000.0,8982000000.0,9028000000.0,8691000000.0,8871000000.0,9164000000.0,9221000000.0,9278000000.0,9434000000.0,9587000000.0,9660000000.0,9843000000.0,9770000000.0,10099000000.0,10465000000.0,9481000000.0,10990000000.0,11144000000.0,11069000000.0,
Revenue,AMGN,0.0,0.0,0.0,0.0,0.0,0.0,12844000000.0,4421000000.0,4238000000.0,4679000000.0,4748000000.0,5011000000.0,4521000000.0,5180000000.0,5031000000.0,5331000000.0,5033000000.0,5370000000.0,5723000000.0,5536000000.0,5527000000.0,5688000000.0,5811000000.0,5965000000.0,5464000000.0,5810000000.0,5773000000.0,5802000000.0,5554000000.0,6059000000.0,5904000000.0,6230000000.0,5557000000.0,5871000000.0,5737000000.0,
Revenue,AMZN,9857000000.0,9913000000.0,10876000000.0,17431000000.0,13185000000.0,12834000000.0,13806000000.0,21268000000.0,16070000000.0,15704000000.0,17091000000.0,25587000000.0,19741000000.0,19340000000.0,20578000000.0,29329000000.0,22717000000.0,23184000000.0,25358000000.0,35747000000.0,29128000000.0,30404000000.0,32714000000.0,43741000000.0,35714000000.0,37955000000.0,43744000000.0,60453000000.0,51042000000.0,52886000000.0,56576000000.0,72383000000.0,59700000000.0,63404000000.0,69982000000.0,
Revenue,AXP,-4869000000.0,2285000000.0,-2285000000.0,4641000000.0,1133000000.0,1121000000.0,1181000000.0,1193000000.0,1243000000.0,1202000000.0,1283000000.0,1319000000.0,1337000000.0,1316000000.0,1395000000.0,1424000000.0,1447000000.0,1423000000.0,1505000000.0,1547000000.0,1580000000.0,1449000000.0,1334000000.0,1408000000.0,1500000000.0,1530000000.0,1675000000.0,28766000000.0,1841000000.0,17879000000.0,10144000000.0,10474000000.0,10364000000.0,10838000000.0,10989000000.0,
