date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,ABT,2020-04-29,2020-04-29 16:16:47,Q1,7726000000,3281000000,4445000000,0.5753300543618949,578000000,2548000000,0.0,3842000000,3126000000,6968000000,139000000,828000000,1586000000,0.20528086979,758000000,0.0981102769868,-1000000.0,633000000,0.0819311415998,89000000,564000000,0.0730002588662,0.32,0.31,1768901000,1780578000,https://www.sec.gov/Archives/edgar/data/1800/000110465920053384/0001104659-20-053384-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465920053384/abt-20200331x10q.htm
2019-12-31,ABT,2020-02-21,2020-02-21 16:28:23,FY,8314000000,3434000000,4880000000,0.58696175126293,595000000,2413000000,0.0,3917000000,3008000000,6925000000,164000000,756000000,2145000000,0.257998556651,1389000000,0.167067596825,-51000000,1240000000,0.149146018764,191000000,1049000000,0.126172720712,0.59,0.59,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/0001104659-20-023904-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
2019-09-30,ABT,2019-10-31,2019-10-31 16:02:42,Q3,8076000000,3358000000,4718000000,0.5842000990589401,596000000,2440000000,0.0,3842000000,3036000000,6878000000,167000000,754000000,1952000000,0.241703813769,1198000000,0.148340762754,-55000000,1103000000,0.136577513621,143000000,960000000,0.118870728083,0.54,0.53,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919058323/0001104659-19-058323-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465919058323/abt-20190930x10q93748c.htm
2019-06-30,ABT,2019-07-31,2019-07-31 16:15:28,Q2,7979000000,3279000000,4700000000,0.5890462463967916,577000000,2434000000,0.0,3762000000,3011000000,6773000000,168000000,751000000,1957000000,0.245268830681,1206000000,0.151146760246,-38000000,1102000000,0.138112545432,96000000,1006000000,0.126080962527,0.56,0.56,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000141057819000606/0001410578-19-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000141057819000606/abt-20190630x10q.htm
2019-03-31,ABT,2019-05-01,2019-05-01 16:09:25,Q1,7535000000,3160000000,4375000000,0.5806237558062376,672000000,2478000000,0.0,3646000000,3150000000,6796000000,171000000,753000000,1492000000,0.19800928998,739000000,0.0980756469808,-47000000,632000000,0.0838752488388,-40000000,672000000,0.0891838088918,0.38,0.38,1763278000,1776573000,https://www.sec.gov/Archives/edgar/data/1800/000110465919026018/0001104659-19-026018-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465919026018/a19-7736_110q.htm
2018-12-31,ABT,2019-02-22,2019-02-22 16:13:21,FY,7765000000,3191000000,4574000000,0.5890534449452672,562000000,2359000000,0.0,3679000000,2921000000,6600000000,186000000,763000000,1928000000,0.248293625241,1165000000,0.15003219575,-46000000,947000000,0.12195750161,292000000,654000000,0.0842240824211,0.37,0.37,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/0001047469-19-000624-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/a2237733z10-k.htm
2018-09-30,ABT,2018-10-31,2018-10-31 16:02:08,Q3,7656000000,3166000000,4490000000,0.5864681295715779,574000000,2377000000,0.0,3710000000,2951000000,6661000000,203000000,813000000,1808000000,0.236154649948,995000000,0.129963427377,18000000,718000000,0.0937826541275,166000000,563000000,0.0735370950888,0.32,0.32,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918065076/0001104659-18-065076-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465918065076/a18-19028_110q.htm
2018-06-30,ABT,2018-08-01,2018-08-01 16:02:04,Q2,7767000000,3282000000,4485000000,0.5774430281962147,575000000,2466000000,0.0,3844000000,3041000000,6885000000,210000000,850000000,1732000000,0.222994721257,882000000,0.113557358053,-78000000,777000000,0.100038624952,59000000,733000000,0.094373632033,0.41,0.41,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918048736/0001104659-18-048736-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465918048736/a18-14086_110q.htm
2018-03-31,ABT,2018-05-02,2018-05-02 16:17:34,Q1,7390000000,3067000000,4323000000,0.584979702300406,589000000,2542000000,0.0,3651000000,3131000000,6782000000,227000000,884000000,1492000000,0.201894451962,608000000,0.0822733423545,-33000000,431000000,0.0583220568336,22000000,418000000,0.0565629228687,0.24,0.23,1753412000,1765278000,https://www.sec.gov/Archives/edgar/data/1800/000110465918029831/0001104659-18-029831-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465918029831/a18-8658_110q.htm
2017-12-31,ABT,2018-02-16,2018-02-16 16:04:37,FY,7589000000,3263000000,4326000000,0.5700355778099881,613000000,2462000000,0.0,3823000000,3075000000,6898000000,246000000,915000000,1606000000,0.211622084596,691000000,0.0910528396363,-94000000,574000000,0.0756357886415,1438000000,-828000000,-0.109105283964,-0.48,-0.47,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746918000856/0001047469-18-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746918000856/a2234264z10-k.htm
2017-09-30,ABT,2017-11-02,2017-11-02 16:18:54,Q3,6829000000,2857000000,3972000000,0.5816371357446185,562000000,2099000000,0.0,3358000000,2661000000,6019000000,218000000,774000000,1584000000,0.231951969542,810000000,0.118611802607,8000000.0,626000000,0.0916678869527,65000000,603000000,0.088299897496,0.35,0.34,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917065654/0001104659-17-065654-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465917065654/a17-20634_110q.htm
2017-06-30,ABT,2017-08-02,2017-08-02 16:16:39,Q2,6637000000,3173000000,3464000000,0.5219225553714028,513000000,2132000000,0.0,3565000000,2645000000,6210000000,214000000,1078000000,1505000000,0.226759077897,427000000,0.0643362965195,-39000000,295000000,0.0444477926774,25000000,283000000,0.0426397468736,0.16,0.16,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917048855/0001104659-17-048855-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465917048855/a17-13353_110q.htm
2017-03-31,ABT,2017-05-03,2017-05-03 16:17:02,Q1,6335000000,3044000000,3291000000,0.5194948697711128,547000000,2424000000,0.0,3566000000,2971000000,6537000000,226000000,1166000000,964000000,0.152170481452,350000000,0.055248618784530384,-1126000000,736000000,0.116179952644,350000000,419000000,0.0661404893449,0.24,0.24,1727356000,1735195000,https://www.sec.gov/Archives/edgar/data/1800/000110465917029430/0001104659-17-029430-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465917029430/a17-8899_110q.htm
2016-12-31,ABT,2017-02-17,2017-02-17 16:17:24,FY,5333000000,2312000000,3021000000,0.5664729045565348,343000000,1609000000,0.0,2433000000,1952000000,4385000000,153000000,484000000,1432000000,0.268516782299,948000000,0.177761110069,-54000000,875000000,0.164072754547,110000000,798000000,0.149634352147,0.53,0.54,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746917000744/0001047469-17-000744-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746917000744/a2230875z10-k.htm
2016-09-30,ABT,2016-11-03,2016-11-03 16:26:45,Q3,5302000000,2285000000,3017000000,0.5690305545077329,352000000,1628000000,0.0,2425000000,1980000000,4405000000,117000000,340000000,1237000000,0.23330818559,897000000,0.169181440966,972000000,-179000000,-0.0337608449642,178000000,-329000000,-0.062052055828,-0.22,-0.23,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465916154583/0001104659-16-154583-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465916154583/a16-17215_110q.htm
2016-06-30,ABT,2016-08-03,2016-08-03 16:32:32,Q2,5333000000,2287000000,3046000000,0.5711606975435964,348000000,1737000000,0.0,2432000000,2085000000,4517000000,103000000,347000000,1163000000,0.218076129758,816000000,0.153009563098,8000000.0,715000000,0.13407087943,116000000,615000000,0.115319707482,0.42,0.42,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465916136572/0001104659-16-136572-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465916136572/a16-11615_110q.htm
2016-03-31,ABT,2016-05-04,2016-05-04 16:32:12,Q1,4885000000,2140000000,2745000000,0.5619242579324463,379000000,1698000000,0.0,2284000000,2077000000,4361000000,58000000,347000000,871000000,0.178300921187,524000000,0.107267144319,19000000,2000000.0,0.000409416581372,-54000000,316000000,0.0646878198567,0.21,0.21,1477332000,1483673000,https://www.sec.gov/Archives/edgar/data/1800/000110465916117710/0001104659-16-117710-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465916117710/a16-6519_110q.htm
2015-12-31,ABT,2016-02-19,2016-02-19 15:48:41,FY,5188000000,2206000000,2982000000,0.5747879722436392,369000000,1655000000,0.0,2349000000,2024000000,4373000000,41000000,366000000,1181000000,0.227640709329,815000000,0.157093292213,6000000.0,830000000,0.1599845798,135000000,767000000,0.147841171935,0.51,0.51,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746916010246/0001047469-16-010246-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746916010246/a2227279z10-k.htm
2015-09-30,ABT,2015-11-05,2015-11-05 14:37:57,Q3,5150000000,2242000000,2908000000,0.5646601941747573,378000000,1666000000,0.0,2393000000,2044000000,4437000000,41000000,383000000,1096000000,0.212815533981,713000000,0.138446601942,-3000000.0,714000000,0.138640776699,118000000,580000000,0.112621359223,0.39,0.38,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465915076189/0001104659-15-076189-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465915076189/a15-17845_110q.htm
2015-06-30,ABT,2015-08-04,2015-08-04 16:28:00,Q2,5170000000,2218000000,2952000000,0.5709864603481625,345000000,1727000000,0.0,2369000000,2072000000,4441000000,44000000,352000000,1081000000,0.209090909091,729000000,0.141005802708,-279000000,986000000,0.190715667311,200000000,784000000,0.15164410058,0.52,0.52,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465915055905/0001104659-15-055905-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465915055905/a15-11917_110q.htm
2015-03-31,ABT,2015-05-06,2015-05-06 16:56:54,Q1,4897000000,2081000000,2816000000,0.5750459464978558,313000000,1737000000,0.0,2237000000,2050000000,4287000000,37000000,371000000,981000000,0.200326730651,610000000,0.124566060854,-5000000.0,653000000,0.13334694711,124000000,2292000000,0.468041658158,1.52,1.51,1504995000,1515537000,https://www.sec.gov/Archives/edgar/data/1800/000110465915034919/0001104659-15-034919-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465915034919/a15-7009_110q.htm
2014-12-31,ABT,2015-02-27,2015-02-27 12:57:49,FY,5290000000,2300000000,2990000000,0.5652173913043478,356000000,1644000000,0.0,2463000000,2000000000,4463000000,43000000,395000000,1222000000,0.231001890359,827000000,0.156332703214,12000000,802000000,0.151606805293,170000000,904000000,0.170888468809,0.6,0.59,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746915001377/0001047469-15-001377-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746915001377/a2222655z10-k.htm
2014-09-30,ABT,2014-11-06,2014-11-06 17:01:19,Q3,4162000000,1942000000,2220000000,0.5333974050937049,267000000,1336000000,0.0,1999000000,1603000000,3602000000,29000000,355000000,915000000,0.219846227775,560000000,0.13455069678,-4000000.0,556000000,0.133589620375,266000000,539000000,0.129505045651,0.35,0.35,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465914077769/0001104659-14-077769-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465914077769/a14-19718_110q.htm
2014-06-30,ABT,2014-08-05,2014-08-05 16:32:05,Q2,5551000000,2506000000,3045000000,0.5485498108448928,335000000,1788000000,0.0,2667000000,2123000000,4790000000,39000000,400000000,1161000000,0.209151504233,761000000,0.137092415781,3000000.0,737000000,0.132768870474,277000000,466000000,0.0839488380472,0.31,0.31,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465914056950/0001104659-14-056950-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465914056950/a14-13985_110q.htm
2014-03-31,ABT,2014-05-07,2014-05-07 16:47:07,Q1,5244000000,2470000000,2774000000,0.5289855072463768,387000000,1762000000,0.0,2644000000,2149000000,4793000000,39000000,398000000,849000000,0.161899313501,451000000,0.086003051106,3000000.0,423000000,0.0806636155606,84000000,375000000,0.0715102974828,0.24,0.24,1532810000,1547691000,https://www.sec.gov/Archives/edgar/data/1800/000110465914035832/0001104659-14-035832-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465914035832/a14-9371_110q.htm
2013-12-31,ABT,2014-02-21,2014-02-21 17:16:35,FY,5654941000,2612895000,3042046000,0.5379447813867554,386243000,1701473000,0.0,10831000000,2087716000,4898544000,35918000,425625000,1182022000,0.209024638807,756397000,0.133758601549,-32000000,737306000,0.13038261584,147884000,589551000,0.104254138107,0.38,0.37,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746914001176/0001047469-14-001176-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746914001176/a2218043z10-k.htm
2013-09-30,ABT,2013-11-07,2013-11-07 16:05:51,Q3,5369139000,2450477000,2918662000,0.5435996348762809,356877000,1734693000,0.0,2647230000000,2091570000,4738800000,39799000,436692000,1067031000,0.198734098707,630339000,0.11740038766,-26410000000,628394000,0.117038132185,-144468000,965733000,0.179867386559,0.61,0.61,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465913082270/0001104659-13-082270-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465913082270/a13-19626_110q.htm
2013-06-30,ABT,2013-08-06,2013-08-06 12:33:40,Q2,5446025000,2544825000,2901200000,0.5327188178533885,362557000,1714275000,0.0,2741717000000,2076832000,4818549000,40526000,435830000,1063306000,0.19524442139,627476000,0.115217245606,-7646000000,600749000,0.1103096295,124694000,476055000,0.0874132968541,0.3,0.3,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465913060300/0001104659-13-060300-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465913060300/a13-13745_110q.htm
2013-03-31,ABT,2013-05-08,2013-05-08 15:33:31,Q1,5377895000,2431803000,2946092000,0.5478150837827812,346323000,1785559000,0.0,2631225000000,2131882000,4763107000,40757000,420853000,1035641000,0.192573674272,614788000,0.114317590805,5665000000,554551000,0.103116739914,9890000.0,544661000,0.101277730413,0.35,0.34,1568730000,1586018000,https://www.sec.gov/Archives/edgar/data/1800/000110465913038811/0001104659-13-038811-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465913038811/a13-8423_110q.htm
2012-12-31,ABT,2013-02-15,2013-02-15 15:15:07,FY,10836936000,4059410000,6777526000,0.6254098021802472,1141431000,3192772000,0.0,4087410000000,4334203000,8421613000,186312000,588777000,3004100000,0.277209351426,2415323000,0.222878773114,39616000000,873887000,0.0806396752735,-179494000,1053381000,0.0972028440511,0.67,0.66,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746913001180/0001047469-13-001180-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746913001180/a2212523z10-k.htm
2012-09-30,ABT,2012-11-07,2012-11-07 14:04:37,Q3,9773241000,3698082000,6075159000,0.6216115002177885,1164187000,2921923000,0.0,1941518000000,4086110000,7784192000,152034000,759728000,2748777000,0.281255419773,1989049000,0.203519896828,-10852000000,1872381000,0.191582403422,-70422000,1942803000,0.198787996735,1.22,1.21,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465912075249/0001104659-12-075249-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465912075249/a12-19893_110q.htm
2012-06-30,ABT,2012-08-07,2012-08-07 14:37:36,Q2,9807100000,3637305000,6169795000,0.6291151308745705,1010882000,2944492000,0.0,5503869000000,3955374000,7702679000,127191000,691435000,2795856000,0.285084887479,2104421000,0.214581374718,8528000000,2003317000,0.204272108982,278705000,1724612000,0.175853412324,1.08,1.07,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465912055154/0001104659-12-055154-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465912055154/a12-13675_110q.htm
2012-03-31,ABT,2012-05-08,2012-05-08 15:38:12,Q1,9456633000,3724921000,5731712000,0.6061049424250682,1005682000,3000308000,0.0,3874921000000,4005990000,7880911000,126866000,743267000,2318989000,0.245223537807,1575722000,0.166626113121,-71498000000,1513029000,0.159996586523,270905000,1242124000,0.131349498283,0.79,0.78,1573921000,1589510000,https://www.sec.gov/Archives/edgar/data/1800/000110465912034444/0001104659-12-034444-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465912034444/a12-7133_110q.htm
2011-12-31,ABT,2012-02-21,2012-02-21 15:11:18,FY,10377453000,3837875000,6539578000,0.6301717772173963,1151607000,2905503000,0.0,4237875000000,4057110000,8294985000,126086000,648429000,2730897000,0.263156768814,2082468000,0.200672361513,28564000000,1953705000,0.188264403607,335037000,1618668000,0.155979313999,1.04,1.03,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746912001216/0001047469-12-001216-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746912001216/a2207147z10-k.htm
2011-09-30,ABT,2011-11-04,2011-11-04 14:00:54,Q3,9816665000,3973250000,5843415000,0.5952546002130051,1009627000,4238910000,0.0,3973250000000,5248537000,9221787000,124339000,838386000,1433264000,0.146003148727,594878000,0.0605987878776,-5222000000,501595000,0.0510962735308,198414000,303181000,0.0308843176374,0.19,0.19,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465911061064/0001104659-11-061064-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465911061064/a11-25611_110q.htm
2011-06-30,ABT,2011-08-04,2011-08-04 15:04:36,Q2,9616291000,3870472000,5745819000,0.597508852425535,1037780000,2762086000,0.0,4042972000000,3799866000,7842838000,134129000,811412000,2584865000,0.268800621778,1773453000,0.18442172767,-5568000000,1674556000,0.174137409111,-268226000,1942782000,0.202030283817,1.24,1.24,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465911043664/0001104659-11-043664-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465911043664/a11-13772_110q.htm
2011-03-31,ABT,2011-05-06,2011-05-06 14:14:37,Q1,9040850000,3858983000,5181867000,0.5731614837100494,930400000,2850318000,0.0,3958983000000,3780718000,7739701000,145587000,745667000,2046816000,0.226396411842,1301149000,0.143918879309,140858000000,1068786000,0.0,204968000,863818000,0.0955461046251,0.56,0.55,1551755000,1558641000,https://www.sec.gov/Archives/edgar/data/1800/000110465911026773/0001104659-11-026773-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465911026773/a11-5994_110q.htm
2010-12-31,ABT,2011-02-18,2011-02-18 15:03:18,FY,9967848000,4045040000,5922808000,0.5941912436867015,1057432000,2797229000,0.0,4283240000000,3854661000,8137901000,151344000,709578000,2539525000,0.254771641783,1829947000,0.183584962371,-47963000000,681168000,0.0683365155648,326983000,1440847000,0.144549455409,0.92,0.92,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000104746911001056/0001047469-11-001056-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746911001056/a2201962z10-k.htm
2010-09-30,ABT,2010-11-05,2010-11-05 13:50:38,Q3,8674505000,3741116000,4933389000,0.5687228262592505,1078927000,2673277000,0.0,3741116000000,3752204000,7493320000,149102000,677024000,1858209000,0.214214989789,1181185000,0.136167423963,4519000000,1064110000,0.122670976615,173450000,890660000,0.102675599357,0.58,0.57,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465910056473/0001104659-10-056473-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465910056473/a10-16055_110q.htm
2010-06-30,ABT,2010-08-05,2010-08-05 13:33:16,Q2,8826014000,3543932000,5282082000,0.5984674395485889,857698000,2743418000,0.0,3618932000000,3601116000,7220048000,134488000,675202000,2281168000,0.258459594558,1605966000,0.181958242985,-8154000000,1558687000,0.176601464716,267037000,1291650000,0.146345790977,0.83,0.83,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1800/000110465910042282/0001104659-10-042282-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465910042282/a10-10691_110q.htm
2010-03-31,ABT,2010-05-04,2010-06-09 11:09:34,Q1,7698354000,3335104000,4363250000,0.5667770019409344,730367000,2162400000,0.0,3335104000000,2892767000,6227871000,118201000,562501000,2032984000,0.264080347565,1470483000,0.191012650237,-10413000000,1322207000,0.0,319192000,1003015000,0.130289539816,0.65,0.64,1547815000,1561323000,https://www.sec.gov/Archives/edgar/data/1800/000110465910033097/0001104659-10-033097-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465910033097/a10-11731_110q.htm
