date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-02-29,ACN,2020-03-19,2020-03-19 06:58:06,Q2,11141505000,7782334000,3359171000,0.3015006500468294,0.0,707573000,1162653000,7782334000,1870226000,9652560000,8567000.0,442116000,1931061000,0.173321378036,1488945000,0.133639485868,7792000.0,1509556000,0.135489415478,257474000,1234740000,0.110823447999,1.94,1.91,636594169,649210807,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000158/0001467373-20-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000158/acn229202010-q.htm
2019-11-30,ACN,2019-12-19,2019-12-19 06:54:55,Q1,11358958000,7711199000,3647759000,0.32113500199578165,0.0,689373000,1191123000,7711199000,1880496000,9591695000,5474000.0,399458000,2166721000,0.190749979003,1767263000,0.15558319698,11439000,1800647000,0.158522198955,425479000,1356968000,0.119462366178,2.13,2.09,635722309,649389444,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000395/0001467373-19-000395-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000395/acn1130201910-q.htm
2019-08-31,ACN,2019-10-29,2019-10-29 06:53:24,FY,11055650000,7621034000,3434616000,0.31066612998783427,799734000,689883000,1173240000,7621034000,1863123000,9484157000,7491000.0,240168000,1811661000,0.163867434298,1571493000,0.142143881183,-30644000,2551104000,0.230751154387,415204000,1130427000,0.10224880491,1.77,1.74,638098125,650204873,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/0001467373-19-000339-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/acn831201910k.htm
2019-05-31,ACN,2019-06-27,2019-06-27 16:18:02,Q3,11099688000,7571390000,3528298000,0.3178736195107466,0.0,626191000,1184164000,7571390000,1810355000,9381745000,5348000.0,221309000,1939252000,0.17471229822,1717943000,0.154773990044,-29690000,713955000,0.0643220782422,435658000,1249516000,0.1125721732,1.96,1.93,638439707,650144931,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000217/0001467373-19-000217-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000217/acn531201910-q.htm
2019-02-28,ACN,2019-03-28,2019-03-28 16:27:34,Q2,10454129000,7399780000,3054349000,0.29216676013850607,0.0,647687000,1020036000,7399780000,1667723000,9067503000,5619000.0,219598000,1606224000,0.153644937804,1386626000,0.132639074953,-23834000,1376254000,0.131646931083,235534000,1124449000,0.107560275945,1.76,1.73,638750881,650732700,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000130/0001467373-19-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000130/acn228201910-q.htm
2018-11-30,ACN,2018-12-20,2018-12-20 16:24:56,Q1,10605546000,7308121000,3297425000,0.31091515703199063,0.0,598397000,1070016000,7308121000,1668413000,8976534000,4505000.0,211685000,1840697000,0.173559852553,1629012000,0.153600012673,-33654000,1610484000,0.151853002193,319160000,1274720000,0.120193717513,2.0,1.96,638877445,652151450,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000424/0001467373-18-000424-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000424/acn1130201810-q.htm
2018-08-31,ACN,2018-10-24,2018-10-24 17:05:52,FY,10642249000,7419118000,3223131000,0.30286182929942723,790779000,680219000,1090241000,7419118000,2262922000,9189578000,5153000.0,235090000,1687761000,0.158590632488,1452671000,0.136500376941,-13659000,1456614000,0.136870881333,408243000,1029524000,0.0967393264337,1.61,1.58,628451742,655296150,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000318/0001467373-18-000318-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000318/acn831201810k.htm
2018-05-31,ACN,2018-06-28,2018-06-28 16:19:09,Q3,10838854000,7519726000,3319128000,0.3062249938969563,0.0,592264000,1107138000,523855000,2223257000,9219128000,5839000.0,238389000,1858115000,0.171430946482,1619726000,0.149437016127,-14016000,1612558000,0.1487756916,554417000,1043020000,0.0962297305601,1.63,1.6,624365464,655739568,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000228/0001467373-18-000228-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000228/acn2018053110-q.htm
2018-02-28,ACN,2018-03-22,2018-03-22 16:32:16,Q2,10067832000,7219438000,2848394000,0.2829202950545857,0.0,566241000,999389000,482390000,2048020000,8785068000,3840000.0,220664000,1503428000,0.149329865655,1282764000,0.127412137986,-43586000,1244797000,0.123641018245,325257000,863703000,0.085788380259,1.4,1.37,616838561,656381177,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000142/0001467373-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000142/acn-20180228x10q.htm
2017-11-30,ACN,2017-12-21,2017-12-21 06:41:51,Q1,10054493000,7002233000,3052260000,0.3035717464818962,0.0,564591000,1001789000,531271000,2097651000,8568613000,4707000.0,232633000,1718513000,0.170919906155,1485880000,0.147782687799,1515000.0,1494124000,0.148602619744,305582000,1123660000,0.111757002566,1.82,1.79,615835525,656671417,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000506/0001467373-17-000506-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000506/acn-20171130x10q.htm
