date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,AGN,2020-05-07,2020-05-07 08:03:25,Q1,3604400000,623100000,2981300000,0.8271279547220064,430000000,401300000,972100000,3101000.0,1803400000,4904000000,184500000,1477300000,177700000,0.0493008545112,-1299000.0,-0.3604328523862375,-24000.0,-1487000.0,-0.4125971143174251,-1866800000,378000000,0.104871823327,1.15,1.14,329100000,331900000,https://www.sec.gov/Archives/edgar/data/1578845/000156459020022386/0001564590-20-022386-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459020022386/agn-10q_20200331.htm
2019-12-31,AGN,2020-02-18,2020-02-18 16:27:25,FY,4351000000,704000000,3647000000,0.8381981153757757,453000000,756000000,883000000,2536000000,4628000000,5332000000,192000000,54000000,-1043000000,-0.2397150080441278,-1097000000,-0.2521259480579177,21000000,-422000000,-0.09698919788554355,-105000000,-317000000,-0.07285681452539645,-0.01602,-0.01602,329000000,329000000,https://www.sec.gov/Archives/edgar/data/1578845/000156459020005038/0001564590-20-005038-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459020005038/agn-10k_20191231.htm
2019-09-30,AGN,2019-11-05,2019-11-05 17:00:24,Q3,4050700000,639000000,3411700000,0.8422494877428592,474500000,1092700000,901400000,2179000.0,2468600000,4647300000,193900000,1596300000,999700000,0.246796849927,-239000.0,-0.05901234567901235,2000.0,-767000.0,-0.18938271604938273,18100000,-785000.0,-0.19382716049382717,-2.41,-2.41,329300000,329300000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019040462/0001564590-19-040462-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019040462/agn-10q_20190930.htm
2019-06-30,AGN,2019-08-08,2019-08-08 17:29:12,Q2,4090100000,652300000,3437800000,0.8405173467641378,450000000,324200000,873300000,3706000.0,1647500000,5353000000,195400000,1455200000,192300000,0.0470159653798,-1454000.0,-0.35550122249388755,-4000.0,-1454000.0,-0.35550122249388755,301600000,-1755000.0,-0.4290953545232274,-5.38,-5.38,329900000,329900000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019030919/0001564590-19-030919-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019030919/agn-10q_20190630.htm
2019-03-31,AGN,2019-05-07,2019-05-07 17:25:39,Q1,3597100000,497800000,3099300000,0.8616107419866004,435000000,308300000,804000000,4359000000,1547300000,5906300000,201800000,1451500000,-1023500000,-0.28454267445093134,-2475000000,-0.6880733944954128,13000000,-2475000000,-0.6880733944954128,-68600000,-2407000000,-0.6691687517375591,-7.25,-7.25,332000000,332000000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019016635/0001564590-19-016635-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019016635/agn-10q_20190331.htm
2018-12-31,AGN,2019-02-15,2019-02-15 16:44:23,FY,4079700000,590000000,3489700000,0.8553815231512121,678100000,352000000,841600000,7593000000,1871700000,9463800000,210200000,1620900000,-2602100000,-0.6377696078431373,-4223000000,-1.0350490196078432,-10000000,-5592000000,-1.3705882352941177,474000000,-6066000000,-1.486764705882353,-12.76,-12.76,337000000,337000000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019003111/0001564590-19-003111-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019003111/agn-10k_20181231.htm
2018-09-30,AGN,2018-10-31,2018-10-31 07:03:00,Q3,3911400000,596800000,3314600000,0.8474203609960628,424200000,289200000,755600000,2184000000,1469000000,3653900000,220400000,1638500000,1896000000,0.484736922841,257500000,0.0658332055019,130000000,177100000,0.0452779056092,213400000,-36000000,-0.009204806954743032,-0.11,-0.11,337600000,337600000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018025723/0001564590-18-025723-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018025723/agn-10q_20180930.htm
2018-06-30,AGN,2018-08-03,2018-08-02 19:24:03,Q2,4124200000,481800000,3642400000,0.883177343484797,689200000,334100000,853400000,2714000000,1876700000,4591200000,230000000,1751800000,1284800000,0.311527084041,-471000000,-0.11420950533462658,214000000,-475000000,-0.11517943743937924,-5200000.0,-471000000,-0.11420950533462658,-1.4,-1.4,336900000,336900000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018018996/0001564590-18-018996-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018018996/agn-10q_20180630.htm
2018-03-31,AGN,2018-05-03,2018-05-03 16:24:17,Q1,3672100000,522800000,3149300000,0.8576291495329648,474700000,295900000,800000000,2757000000,1570600000,4326100000,250600000,1760000000,1106000000,0.301190054737,-283000000,-0.07706971677559912,-78000000,-966000000,-0.2630718954248366,-682200000,-283000000,-0.07706971677559912,-0.99,-0.99,334600000,334600000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018010702/0001564590-18-010702-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018010702/agn-10q_20180331.htm
2017-12-31,AGN,2018-02-16,2018-02-16 16:51:46,FY,4326100000,580900000,3745200000,0.8657220128984535,408200000,389100000,877700000,2741000000,1675000000,4416600000,263300000,1984200000,1893700000,0.437738378678,3508000000,0.8109107720758206,-71000000,-410000000,-0.09477577438742488,-3918300000,3121300000,0.721504357273,9.09,9.09,333800000,333800000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018002345/0001564590-18-002345-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018002345/agn-10k_20171231.htm
2017-09-30,AGN,2017-11-02,2017-11-01 18:02:08,Q3,4034300000,586500000,3447800000,0.8546216196118286,442600000,336900000,832800000,6445000000,1612300000,8056600000,265200000,1867800000,-2080200000,-0.5156668319286069,-3948000000,-0.9786812097174021,-1310000000,-5587000000,-1.3849776896380763,-1638800000,-6688000000,-1.6579077838373824,-12.05,-12.05,334600000,334600000,https://www.sec.gov/Archives/edgar/data/1578845/000156459017020864/0001564590-17-020864-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459017020864/agn-10q_20170930.htm
2017-06-30,AGN,2017-08-09,2017-08-09 07:32:49,Q2,4007400000,550200000,3457200000,0.8627039976044318,489400000,459800000,935200000,5560000000,1884400000,4909800000,277400000,1863900000,961500000,0.239931127414,-739000000,-0.0974934036939314,-3816000000,-4389000000,-0.579023746701847,-581200000,-3288000000,-0.4337730870712401,-2.37,-2.37,335200000,335200000,https://www.sec.gov/Archives/edgar/data/1578845/000156459017016759/0001564590-17-016759-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459017016759/agn-10q_20170630.htm
2017-03-31,AGN,2017-05-09,2017-05-09 16:17:50,Q1,3572900000,450400000,3122500000,0.8739399367460606,759900000,316100000,869100000,0.0,1945100000,4478900000,289700000,1812200000,906200000,0.25363150382,-2537000000,-0.253575526883,1760000000,-3093200000,-0.865739315402,-532100000,-2565200000,-0.717960200397,-7.86,-7.86,335100000,335100000,https://www.sec.gov/Archives/edgar/data/1578845/000156459017009870/0001564590-17-009870-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459017009870/agn-10q_20170331.htm
2016-12-31,AGN,2017-02-24,2017-02-24 17:06:21,FY,3864300000,479700000,3384600000,0.8758636751804985,913300000,440000000,836800000,2575000000,2190100000,4764300000,292700000,1683100000,783100000,0.202649897782,-41000000,-0.010610766045548654,35000000,-1112000000,-0.28778467908902694,-1071200000,-17810000000,-4.609213250517598,0.74,0.74,384900000,384900000,https://www.sec.gov/Archives/edgar/data/1578845/000156459017002433/0001564590-17-002433-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459017002433/agn-10k_20161231.htm
2016-09-30,AGN,2016-11-04,2016-11-04 17:16:33,Q3,3622200000,462200000,3160000000,0.8723979901717188,622800000,361200000,796000000,2108000000,1780000000,3888600000,324300000,1673400000,1407000000,0.388437965877,-380000000,-0.1049144119271121,34000000,-539000000,-0.14881281060187743,-158900000,15220000000,4.20186626912,38.41,38.41,394400000,394400000,https://www.sec.gov/Archives/edgar/data/1578845/000156459016027705/0001564590-16-027705-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459016027705/agn-10q_20160930.htm
2016-06-30,AGN,2016-08-08,2016-08-08 17:05:24,Q2,3288200000,107100000,3181100000,0.9674289885043489,636500000,330100000,837800000,1990000000,1804400000,3793500000,345800000,1681300000,1176000000,0.357642479168,-433000000,-0.13165095773791427,479000000,-698000000,-0.212222560048647,-264900000,240000000,0.07297050775311645,-1.44,-1.44,395200000,395200000,https://www.sec.gov/Archives/edgar/data/1578845/000156459016023337/0001564590-16-023337-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459016023337/agn-10q_20160630.htm
2016-03-31,AGN,2016-05-10,2016-05-10 09:18:22,Q1,3795900000,811800000,2984100000,0.7861376748597171,403100000,342600000,795800000,2409000000,1541500000,3949700000,332800000,1686600000,1532800000,0.403804104428,-81000000,-0.021343873517786563,-329000000,-483000000,-0.12727272727272726,-402000000,255700000,0.0673621539029,0.47,0.47,394800000,394800000,https://www.sec.gov/Archives/edgar/data/1578845/000156459016018775/0001564590-16-018775-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459016018775/agn-10q_20160331.htm
2015-12-31,AGN,2016-02-26,2016-02-26 08:04:22,FY,4197500000,1110500000,3087000000,0.7354377605717689,430600000,542900000,783600000,2980000000,1757100000,4737800000,341300000,1800800000,1260500000,0.300297796307,-769000000,-0.18318246784182945,5000000.0,-874000000,-0.2081943782753692,-105000000,-874000000,-0.2081943782753692,-2.2,-2.2,367800000,367800000,https://www.sec.gov/Archives/edgar/data/1578845/000156459016013478/0001564590-16-013478-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459016013478/agn-10k_20151231.htm
2015-09-30,AGN,2015-11-06,2015-11-06 08:32:50,Q3,884300000,144000000,740300000,0.8371593350672849,1042000000,49500000,413900000,1368000000,1505400000,2873700000,340200000,1967700000,352700000,0.3989819004524887,-1615000000,-1.8269230769230769,8000000.0,-2318000000,-2.6221719457013575,485000000,5301200000,5.99479814543,14.69,14.69,358900000,358900000,https://www.sec.gov/Archives/edgar/data/1578845/000156459015009844/0001564590-15-009844-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459015009844/agn-10q_20150930.htm
2015-06-30,AGN,2015-08-06,2015-08-06 09:27:30,Q2,5755000000,2130100000,3624900000,0.6298696785403997,454900000,480200000,981000000,4003000000,1916100000,5917900000,339900000,2254200000,2091300000,0.36338835795,-166000000,-0.028844483058210253,-48000000,-552000000,-0.09591659426585578,-308000000,-244000000,-0.042397914856646395,-0.63,-0.63,341300000,341300000,https://www.sec.gov/Archives/edgar/data/1578845/000156459015006357/0001564590-15-006357-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459015006357/agn-10q_20150630.htm
2015-03-31,AGN,2015-05-11,2015-05-11 09:16:43,Q1,4234200000,1713400000,2520800000,0.5953426857493741,431000000,693000000,735500000,2697000000,1859500000,4556100000,171900000,1463800000,1141900000,0.269684946389,-318000000,-0.07510628247520075,-198000000,-686000000,-0.1620217288615966,-177000000,-509000000,-0.12021728861596599,-1.85,-1.85,289500000,289500000,https://www.sec.gov/Archives/edgar/data/1578845/000119312515180860/0001193125-15-180860-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000119312515180860/d912920d10q.htm
2014-12-31,AGN,2015-02-18,2015-02-18 17:11:21,FY,4056900000,1831300000,2225600000,0.5485962187877443,364600000,630000000,568200000,3124000000,1562800000,4686500000,127800000,1273300000,643700000,0.158667948434,-629000000,-0.15504067044614248,-42000000,-795000000,-0.1959576041409909,-62000000,-733000000,-0.18067537589351737,-3.03,-3.03,219700000,219700000,https://www.sec.gov/Archives/edgar/data/1578845/000119312515052898/0001193125-15-052898-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000119312515052898/d842874d10k.htm
2014-09-30,AGN,2014-11-05,2014-11-05 17:04:54,Q3,3683100000,1883000000,1800100000,0.48874589340501207,391800000,567300000,707200000,3068000000,1666300000,4735200000,132100000,1439500000,387400000,0.105183133773,-1052000000,-0.2856367092044529,31000000,-1150000000,-0.3122454520771111,-107000000,-1043000000,-0.283193049144719,-5.22,-5.22,204400000,204400000,https://www.sec.gov/Archives/edgar/data/1578845/000119312514398729/0001193125-14-398729-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000119312514398729/d801284d10q.htm
2014-06-30,AGN,2014-08-05,2014-08-05 16:35:47,Q2,2667200000,1296500000,1370700000,0.5139097180563887,158000000,270100000,291500000,1742000000,719600000,2461100000,79100000,573100000,779200000,0.292141571686,206100000,0.0772720455909,-35000000,92400000,0.0346430713857,43600000,48700000,0.0182588482304,0.27,0.28,174000000,175000000,https://www.sec.gov/Archives/edgar/data/1578845/000119312514295884/0001193125-14-295884-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000119312514295884/d757905d10q.htm
2014-03-31,AGN,2014-05-05,2014-05-05 17:08:54,Q1,2655100000,1293000000,1362100000,0.5130126925539528,171500000,275800000,283100000,1718000000,730400000,2447200000,72800000,615500000,823400000,0.310120146134,207900000,0.0783021355128,5000000.0,141100000,0.0531430077963,44400000,96500000,0.0363451470754,0.56,0.55,173800000,174900000,https://www.sec.gov/Archives/edgar/data/1578845/000119312514182726/0001193125-14-182726-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000119312514182726/d708649d10q.htm
2013-12-31,AGN,2014-02-25,2014-02-25 09:02:04,FY,8677600000,4690700000,3986900000,0.4594473126210012,616900000,1027500000,1020300000,6437000000,2664700000,9100800000,239800000,1322000000,898800000,0.103577025906,547000000,0.05670156525344667,19000000,-1608000000,-0.16668394319477559,112700000,-1720000000,-0.17829377008396394,-5.27,-5.27,142300000,142300000,https://www.sec.gov/Archives/edgar/data/1578845/000119312514066242/0001193125-14-066242-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000119312514066242/d648811d10k.htm
2013-09-30,AGN,None,Not found...,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,updating...,None
