date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,ALL,2020-05-05,2020-05-05 16:21:21,Q1,10076000000,0.0,10076000000,1.0,0.0,0.0,0.0,1399000000,28000000,28000000,81000000,155000000,704000000,0.0698689956332,549000000,0.054485907106,0.0,661000000,0.06560142913854704,112000000,549000000,0.054485907106,1.62,1.59,317400000,322400000,https://www.sec.gov/Archives/edgar/data/899051/000089905120000029/0000899051-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905120000029/allcorp-3312010xq.htm
2019-12-31,ALL,2020-02-21,2020-02-21 11:07:49,FY,11472000000,0.0,11472000000,1.0,0.0,0.0,0.0,0.0,30000000,30000000,82000000,171000000,1944000000,0.169456066946,1773000000,0.154550209205,0.0,2231000000,0.194473500697,458000000,1773000000,0.154550209205,5.27,5.18,328200000,333500000,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/0000899051-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/allcorp-12311910xk.htm
2019-09-30,ALL,2019-10-29,2019-10-29 19:21:51,Q3,11069000000,0.0,11069000000,1.0,0.0,0.0,0.0,1414000000,32000000,32000000,80000000,159000000,1090000000,0.0984732134791,931000000,0.0841087722468,0.0,1160000000,0.104797181317,229000000,931000000,0.0841087722468,2.71,2.68,330800000,335700000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000072/0000899051-19-000072-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000072/allcorp-9301910xq.htm
2019-06-30,ALL,2019-07-30,2019-07-30 16:23:48,Q2,11144000000,0.0,11144000000,1.0,0.0,0.0,0.0,1380000000,32000000,32000000,82000000,160000000,1011000000,0.0907214644652,851000000,0.0763639626705,0.0,1078000000,0.0967336683417,227000000,851000000,0.0763639626705,2.48,2.43,332300000,337200000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000060/0000899051-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000060/allcorp-6301910xq.htm
2019-03-31,ALL,2019-05-01,2019-05-01 16:21:09,Q1,10990000000,0.0,10990000000,1.0,0.0,0.0,0.0,1380000000,32000000,32000000,83000000,157000000,1449000000,0.131847133758,1292000000,0.117561419472,0.0,1620000000,0.14740673339399454,328000000,1292000000,0.117561419472,3.79,3.74,332600000,337500000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000022/0000899051-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000022/allcorp-3311910xq.htm
2018-12-31,ALL,2019-02-15,2019-02-15 13:43:51,FY,9481000000,0.0,9481000000,1.0,0.0,0.0,0.0,1573000000,105000000,105000000,81000000,135000000,-229000000,-0.02415357029849172,-364000000,-0.03839257462293007,0.0,-364000000,-0.03839257462293007,-95000000,-269000000,-0.02837253454276975,-0.86,-0.84,347800000,353200000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000007/0000899051-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000007/allcorp-12311810xk.htm
2018-09-30,ALL,2018-10-31,2018-10-31 16:22:27,Q3,10465000000,0.0,10465000000,1.0,0.0,0.0,0.0,1534000000,1534000000,9427000000,82000000,128000000,998000000,0.0953655040612,870000000,0.0831342570473,0.0,1039000000,0.0992833253703,169000000,870000000,0.0831342570473,2.41,2.37,349700000,355400000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000056/0000899051-18-000056-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000056/allcorp-9301810xq.htm
2018-06-30,ALL,2018-08-01,2018-08-01 16:20:43,Q2,10099000000,0.0,10099000000,1.0,0.0,0.0,0.0,1407000000,1407000000,9256000000,86000000,126000000,802000000,0.0794138033469,676000000,0.0669373205268,0.0,845000000,0.0836716506585,169000000,676000000,0.0669373205268,1.83,1.8,351600000,357200000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000044/0000899051-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000044/allcorp-6301810xq.htm
2018-03-31,ALL,2018-05-01,2018-05-01 17:03:50,Q1,9770000000,0.0,9770000000,1.0,0.0,0.0,0.0,1355000000,1355000000,8547000000,83000000,122000000,1097000000,0.112282497441,975000000,0.0997952917093,0.0,1224000000,0.12528147389969294,249000000,975000000,0.0997952917093,2.67,2.63,354100000,359900000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000017/0000899051-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000017/allcorp-3311810xq.htm
2017-12-31,ALL,2018-02-26,2018-02-26 17:10:16,FY,9843000000,0.0,9843000000,1.0,0.0,0.0,0.0,1257000000,1257000000,31152000000,84000000,125000000,1374000000,0.139591587931,1249000000,0.12689220766,-4000000.0,1157000000,0.117545463781,-92000000,1249000000,0.12689220766,3.39,3.34,362000000,367800000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000007/0000899051-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000007/allcorp-12311710xk.htm
2017-09-30,ALL,2017-11-01,2017-11-01 16:23:57,Q3,9660000000,0.0,9660000000,1.0,0.0,0.0,0.0,3401000000,3401000000,3401000000,83000000,120000000,786000000,0.0813664596273,666000000,0.0689440993789,0.0,971000000,0.100517598344,305000000,666000000,0.0689440993789,1.76,1.73,363500000,369100000,https://www.sec.gov/Archives/edgar/data/899051/000089905117000055/0000899051-17-000055-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905117000055/allcorp-9301710xq.htm
