date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,AXP,2020-04-24,2020-04-24 15:51:23,Q1,10310000000,0.0,10310000000,1.0,0.0,1395000000,1705000000,0.0,1395000000,1395000000,716000000,337000000,789000000,0.076527643065,452000000,0.0438409311348,0.0,452000000,0.0438409311348,85000000,367000000,0.0355965082444,0.41,0.41,807000000,808000000,https://www.sec.gov/Archives/edgar/data/4962/000000496220000054/0000004962-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496220000054/axp-20200331.htm
2019-12-31,AXP,2020-02-13,2020-02-13 16:04:42,FY,11365000000,0.0,11365000000,1.0,0.0,1623000000,7114000000,0.0,1623000000,1623000000,801000000,305000000,2291000000,0.201583809943,1986000000,0.174747030356,0.0,1986000000,0.174747030356,293000000,1693000000,0.148966124065,2.02,2.04,828000000,830000000,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/0000004962-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/axp-20191231.htm
2019-09-30,AXP,2019-10-21,2019-10-21 13:56:06,Q3,10989000000,0.0,10989000000,1.0,0.0,1499000000,0.0,0.0,1499000000,1499000000,877000000,300000000,2566000000,0.233506233506,2266000000,0.206206206206,0.0,2266000000,0.206206206206,511000000,1755000000,0.159705159705,2.09,2.08,833000000,835000000,https://www.sec.gov/Archives/edgar/data/4962/000000496219000086/0000004962-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000086/axp-20190930.htm
2019-06-30,AXP,2019-07-23,2019-07-23 15:55:11,Q2,10838000000,0.0,10838000000,1.0,0.0,1367000000,-1573000000,0.0,1367000000,1367000000,891000000,286000000,2505000000,0.231131205019,2219000000,0.20474257243,0.0,2219000000,0.20474257243,458000000,1761000000,0.162483853109,2.07,2.07,837000000,839000000,https://www.sec.gov/Archives/edgar/data/4962/000000496219000051/0000004962-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000051/axpq21910q.htm
2019-03-31,AXP,2019-04-23,2019-04-23 12:49:32,Q1,10364000000,0.0,10364000000,1.0,0.0,1422000000,1573000000,0.0,1422000000,1422000000,895000000,297000000,2255000000,0.217580084909,1958000000,0.188923195677,0.0,1958000000,0.188923195677,408000000,1550000000,0.149556155924,1.81,1.8,841.0,843.0,https://www.sec.gov/Archives/edgar/data/4962/000000496219000031/0000004962-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000031/axpq11910q.htm
2018-12-31,AXP,2019-02-13,2019-02-13 17:21:47,FY,10474000000,0.0,10474000000,1.0,0.0,1294000000,0.0,0.0,1294000000,1294000000,834000000,286000000,2117000000,0.202119534084,1831000000,0.174813824709,0.0,1831000000,0.174813824709,-179000000,2010000000,0.191903761696,2.31,2.32,856000000,859000000,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/0000004962-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/axp201810k.htm
2018-09-30,AXP,2018-10-23,2018-10-23 15:10:07,Q3,10144000000,0.0,10144000000,1.0,0.0,1350000000,0.0,0.0,1350000000,1350000000,777000000,322000000,2440000000,0.240536277603,2118000000,0.208793375394,0.0,2118000000,0.208793375394,464000000,1654000000,0.163052050473,1.89,1.89,859000000,861000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000121/0000004962-18-000121-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000121/axpq31810q.htm
2018-06-30,AXP,2018-07-24,2018-07-24 16:07:50,Q2,17879000000,0.0,17879000000,1.0,0.0,1280000000,-1345000000,0.0,1280000000,1280000000,711000000,337000000,2428000000,0.135801778623,2091000000,0.116952849712,0.0,2091000000,0.116952849712,468000000,1623000000,0.0907768890878,1.85,1.84,859000000,862000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000095/0000004962-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000095/axpq21810q.htm
2018-03-31,AXP,2018-04-25,2018-04-25 15:54:04,Q1,1841000000,0.0,1841000000,1.0,0.0,1326000000,1345000000,0.0,1326000000,1326000000,621000000,348000000,2430000000,1.31993481803,2082000000,1.1309071157,0.0,2082000000,1.1309071157,448000000,1634000000,0.887561108093,1.86,1.86,859000000,861000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000060/0000004962-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000060/axpq11810q.htm
2017-12-31,AXP,2018-02-16,2018-02-16 16:54:58,FY,28766000000,0.0,28766000000,1.0,276000000,1436000000,3217000000,0.0,1712000000,1712000000,580000000,368000000,2189000000,0.0760967809219,1821000000,0.063303900438,0.0,1821000000,0.063303900438,3018000000,-1197000000,-0.13542255911302184,-1.35,-1.33,883000000,886000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/0000004962-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/axp201710k.htm
2017-09-30,AXP,2017-10-24,2017-10-24 13:20:11,Q3,1675000000,0.0,1675000000,1.0,0.0,1265000000,0.0,0.0,1265000000,1265000000,567000000,338000000,2165000000,1.29253731343,1827000000,1.09074626866,0.0,1827000000,1.09074626866,471000000,1356000000,0.809552238806,1.51,1.5,889000000,892000000,https://www.sec.gov/Archives/edgar/data/4962/000000496217000105/0000004962-17-000105-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496217000105/axpq31710q.htm
2017-06-30,AXP,2017-07-25,2017-07-25 12:56:32,Q2,1530000000,0.0,1530000000,1.0,-63000000,1293000000,-700000000,0.0,1230000000,1230000000,522000000,319000000,2268000000,1.48235294118,1949000000,1.27385620915,0.0,1949000000,1.27385620915,609000000,1340000000,0.875816993464,1.47,1.46,895000000,898000000,https://www.sec.gov/Archives/edgar/data/4962/000000496217000071/0000004962-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496217000071/axpq21710q.htm
2017-03-31,AXP,2017-04-27,2017-04-27 15:12:48,Q1,1500000000,0.0,1500000000,1.0,63000000,1264000000,700000000,0.0,1327000000,1327000000,443000000,296000000,2113000000,1.40866666667,1817000000,1.21133333333,0.0,1817000000,1.21133333333,580000000,1237000000,0.824666666667,1.34,1.34,899000000,903000000,https://www.sec.gov/Archives/edgar/data/4962/000000496217000040/0000004962-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496217000040/axpq11710q.htm
2016-12-31,AXP,2017-02-17,2017-02-17 11:45:00,FY,1408000000,0.0,1408000000,1.0,71000000,1207000000,0.0,0.0,1278000000,1278000000,413000000,285000000,1446000000,1.02698863636,1161000000,0.824573863636,0.0,1161000000,0.824573863636,336000000,825000000,0.5859375,0.88,0.89,933000000,935000000,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/0001193125-17-047588-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/d321397d10k.htm
2016-09-30,AXP,2016-10-25,2016-10-25 15:42:00,Q3,1334000000,0.0,1334000000,1.0,116000000,1263000000,0.0,3388000000,1379000000,1379000000,430000000,274000000,2009000000,1.5059970015,1735000000,1.30059970015,0.0,1735000000,1.30059970015,593000000,1142000000,0.856071964018,1.22,1.22,940000000,943000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516746492/0001193125-16-746492-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516746492/d258419d10q.htm
2016-06-30,AXP,2016-07-26,2016-07-26 13:36:31,Q2,1449000000,0.0,1449000000,1.0,32000000,1451000000,1607000000,1325000000,1483000000,1483000000,436000000,275000000,3291000000,2.27122153209,3016000000,2.08143547274,0.0,3016000000,2.08143547274,1001000000,2015000000,1.3906142167,2.1,2.09,949000000,952000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516657869/0001193125-16-657869-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516657869/d218447d10q.htm
2016-03-31,AXP,2016-04-27,2016-04-27 14:28:56,Q1,1580000000,0.0,1580000000,1.0,83000000,1338000000,727000000,0.0,1421000000,1421000000,425000000,261000000,2445000000,1.54746835443,2184000000,1.38227848101,0.0,2184000000,1.38227848101,758000000,1426000000,0.90253164557,1.45,1.45,961000000,963000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516558855/0001193125-16-558855-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516558855/d172171d10q.htm
2015-12-31,AXP,2016-02-19,2016-02-19 14:36:25,FY,1547000000,0.0,1547000000,1.0,88000000,1209000000,0.0,0.0,1297000000,1297000000,400000000,263000000,1717000000,1.10989010989,1454000000,0.939883645766,0.0,1454000000,0.939883645766,555000000,899000000,0.581124757595,0.9,0.9,999000000,1003000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/0001193125-16-469798-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/d131774d10k.htm
2015-09-30,AXP,2015-10-28,2015-10-28 14:30:03,Q3,1505000000,0.0,1505000000,1.0,84000000,1212000000,0.0,0.0,1296000000,1296000000,399000000,266000000,2204000000,1.46445182724,1938000000,1.2877076412,0.0,1938000000,1.2877076412,672000000,1266000000,0.841196013289,1.25,1.25,1007000000,1011000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515356064/0001193125-15-356064-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515356064/d20866d10q.htm
2015-06-30,AXP,2015-07-29,2015-07-29 13:06:38,Q2,1423000000,0.0,1423000000,1.0,85000000,1250000000,-609000000,0.0,1335000000,1335000000,414000000,263000000,2493000000,1.75193253689,2230000000,1.56711173577,0.0,2230000000,1.56711173577,757000000,1473000000,1.03513703443,1.42,1.42,1013000000,1018000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515267714/0001193125-15-267714-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515267714/d80442d10q.htm
2015-03-31,AXP,2015-04-29,2015-04-29 12:02:17,Q1,1447000000,0.0,1447000000,1.0,88000000,1305000000,609000000,0.0,1393000000,1393000000,410000000,251000000,2567000000,1.77401520387,2316000000,1.600552868,0.0,2316000000,1.600552868,791000000,1525000000,1.05390463027,1.48,1.48,1019000000,1023000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515155393/0001193125-15-155393-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515155393/d914131d10q.htm
2014-12-31,AXP,2015-02-24,2015-02-24 15:38:15,FY,1424000000,0.0,1424000000,1.0,383000000,1607000000,0.0,0.0,1990000000,1990000000,405000000,248000000,2473000000,1.73665730337,2225000000,1.5625,0.0,2225000000,1.5625,778000000,1447000000,1.01615168539,1.39,1.39,1045000000,1051000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/0001193125-15-059931-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/d862737d10k.htm
