date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,BA,2020-04-29,2020-04-29 12:54:55,Q1,16908000000,16756000000,152000000,0.008989827300686065,-672000000,-873000000,0,0,-1545000000,-16768000000,12000000,556000000,554000000,0.032765554766974216,-2000000,-0.00011828720132481665,112000000,-1503000000,-0.08889283179559972,862000000,-2365000000,-0.1398746155665957,-1.11,-1.11,565400000,566000000,https://www.sec.gov/Archives/edgar/data/12927/000001292720000045/0000012927-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292720000045/a202003mar3110-q.htm
2019-12-31,BA,2020-01-31,2020-01-31 13:23:40,FY,17911000000,18695000000,-784000000,-0.04377198369716934,-749000000,-1052000000,0,0,-1801000000,-18708000000,13000000,628000000,627000000,0.035006420635363744,-1000000,-5.583161185863436e-05,104000000,-2342000000,-0.13075763497292167,1332000000,-3674000000,-0.20512534196862264,-1.78,-1.78,565400000,566000000,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/0000012927-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/a201912dec3110k.htm
2019-09-30,BA,2019-10-23,2019-10-23 12:44:54,Q3,19980000000,16915000000,3065000000,0.15340340340340342,-778000000,-1001000000,0,0,-1779000000,-16930000000,15000000,576000000,568000000,0.028428428428428427,-8000000,-0.0004004004004004004,121000000,1177000000,0.05890890890890891,-10000000,1187000000,0.05940940940940941,2.07,2.05,565600000,566200000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000077/0000012927-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000077/a201909sep3010-q.htm
2019-06-30,BA,2019-07-24,2019-07-24 12:42:25,Q2,15751000000,17794000000,-2043000000,-0.12970605040949781,-826000000,-672000000,0,0,-1498000000,-17810000000,16000000,546000000,531000000,0.03371214526061837,-15000000,-0.0009523204875880897,107000000,-3427000000,-0.21757348739762555,485000000,-3912000000,-0.2483651831629738,-5.21,-5.21,566000000,566600000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000063/0000012927-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000063/a201906jun3010-q.htm
2019-03-31,BA,2019-04-24,2019-04-24 12:56:09,Q1,22917000000,18627000000,4290000000,0.18719727713051446,-866000000,-1184000000,0,0,-2050000000,-18645000000,18000000,521000000,541000000,0.023606929353754854,20000000,0.0008727145786970371,106000000,2333000000,0.10180215560500938,-184000000,2517000000,0.10983112972902212,3.79,3.75,572000000,572000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000030/0000012927-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000030/a201903mar3110-q.htm
2018-12-31,BA,2019-02-08,2019-02-08 13:10:39,FY,28341000000,22072000000,6269000000,0.22119896969055433,-852000000,-1222000000,0,0,-2074000000,-22090000000,18000000,582000000,581000000,0.020500335203415546,-1000000,-3.528457005751385e-05,29000000,4046000000,0.14276137045270104,-622000000,4668000000,0.16470837302847466,5.97,5.9,579200000,579900000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/0000012927-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/a201812dec3110k.htm
2018-09-30,BA,2018-10-24,2018-10-24 13:38:46,Q3,25146000000,21022000000,4124000000,0.164002226994353,-826000000,-1154000000,0,0,-1980000000,-21040000000,18000000,522000000,554000000,0.022031336991966913,32000000,0.00127256820170206,12000000,2133000000,0.08482462419470294,230000000,1903000000,0.07567804024496938,4.11,4.07,582000000,582700000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000065/0000012927-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000065/a201809sep3010-q.htm
2018-06-30,BA,2018-07-25,2018-07-25 12:55:19,Q2,24258000000,19519000000,4739000000,0.1953582323357243,-827000000,-1194000000,0,0,-2021000000,-19536000000,17000000,494000000,500000000,0.02061175694616209,6000000,0.0002473410833539451,-15000000,2586000000,0.10660400692555033,-390000000,2976000000,0.12268117734355677,3.78,3.73,586000000,586600000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000048/0000012927-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000048/a201806jun3010-q.htm
2018-03-31,BA,2018-04-25,2018-04-25 12:42:54,Q1,23382000000,18808000000,4574000000,0.19562056282610554,-764000000,-997000000,0,0,-1761000000,-18824000000,16000000,471000000,545000000,0.023308527927465572,74000000,0.0031648276451971603,66000000,2839000000,0.12141818492857753,-362000000,3201000000,0.13690017962535284,4.19,4.15,590100000,590800000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000018/0000012927-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000018/a201803mar3110-q.htm
2017-12-31,BA,2018-02-12,2018-02-12 14:31:00,FY,25368000000,20410000000,4958000000,0.195443077893409,-761000000,-1206000000,0,0,-1967000000,-20427000000,17000000,582000000,617000000,0.024321980447808263,35000000,0.0013796909492273732,35000000,2972000000,0.11715547146010723,160000000,2812000000,0.1108483128350678,5.23,5.16,602500000,603200000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000007/0000012927-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000007/a201712dec3110k.htm
