date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,BAC,2020-05-01,2020-05-01 16:56:46,Q1,22767000000,0.0,22767000000,1.0,0.0,0.0,438000000,0.0,438000000,438000000,-3968000000,432000000,4963000000,0.21799095181622524,4531000000,0.19901611982255019,-491000000,4531000000,0.19901611982255019,521000000,4010000000,0.1761321210524004,0.4,0.4,8815600000,8815600000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/0000070858-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/bac-0331202010xq.htm
2019-12-31,BAC,2020-02-19,2020-02-19 16:18:13,FY,22349000000,0.0,22349000000,1.0,1162000000,7977000000,524000000,0.0,9139000000,9139000000,4786000000,-1627000000,6542000000,0.2927200322162065,8169000000,0.36551971005414113,-955000000,8169000000,0.36551971005414113,1175000000,6994000000,0.31294465076737216,0.75,0.74,9390500000,9442900000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000011/0000070858-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000011/bac-1231201910xk.htm
2019-09-30,BAC,2019-10-28,2019-10-28 16:37:44,Q3,22807000000,0.0,22807000000,1.0,1163000000,7779000000,1410000000,0.0,8942000000,8942000000,5729000000,438000000,7297000000,0.319945630727,6859000000,0.30074100057,1259000000,6859000000,0.30074100057,1082000000,5777000000,0.253299425615,0.57,0.56,10116831683,10167164179,https://www.sec.gov/Archives/edgar/data/70858/000007085819000057/0000070858-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000057/bac-930201910xq.htm
2019-06-30,BAC,2019-07-29,2019-07-29 17:06:39,Q2,23084000000,0.0,23084000000,1.0,1157000000,7972000000,-442000000,0.0,9129000000,9129000000,6035000000,434000000,9393000000,0.406905215734,8959000000,0.388104314677,-453000000,8959000000,0.388104314677,1611000000,7348000000,0.318315716514,0.74,0.75,9624000000,9624000000,https://www.sec.gov/Archives/edgar/data/70858/000007085819000042/0000070858-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000042/bac-630201910xq.htm
2019-03-31,BAC,2019-04-26,2019-04-26 16:06:36,Q1,23004000000,0.0,23004000000,1.0,1164000000,8249000000,442000000,0.0,9413000000,9413000000,5795000000,418000000,9185000000,0.399278386368,8767000000,0.381107633455,453000000,8767000000,0.381107633455,1456000000,7311000000,0.317814293166,0.71,0.7,9725900000,9787300000,https://www.sec.gov/Archives/edgar/data/70858/000007085819000026/0000070858-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000026/bac-331201910xq.htm
2018-12-31,BAC,2019-02-26,2019-02-26 16:38:01,FY,22736000000,0.0,22736000000,1.0,0.0,7735000000,1674000000,0.0,7735000000,7735000000,5532000000,1935000000,10633000000,0.467672413793,8698000000,0.382565095004,6247000000,8698000000,0.382565095004,1420000000,7278000000,0.320109078114,0.71,0.7,10096500000,10236900000,https://www.sec.gov/Archives/edgar/data/70858/000007085819000012/0000070858-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000012/bac-1231201810xk.htm
2018-09-30,BAC,2018-10-29,2018-10-29 16:14:17,Q3,22777000000,0.0,22777000000,1.0,0.0,7721000000,0.0,0.0,7721000000,7721000000,5095000000,13000000,9007000000,0.395442771217,8994000000,0.39487202002,0.0,8994000000,0.39487202002,1827000000,7167000000,0.314659524959,0.67,0.66,10177500000,10317900000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000042/0000070858-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000042/bac-930201810xq.htm
2018-06-30,BAC,2018-07-30,2018-07-30 16:31:01,Q2,22609000000,0.0,22609000000,1.0,0.0,7944000000,-345000000,0.0,7944000000,7944000000,4719000000,79000000,8577000000,0.379362200893,8498000000,0.375868017161,-1414000000,8498000000,0.375868017161,1714000000,6784000000,0.300057499226,0.63,0.63,10251700000,10389900000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000030/0000070858-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000030/bac-630201810xq.htm
2018-03-31,BAC,2018-04-30,2018-04-30 16:44:02,Q1,23125000000,0.0,23125000000,1.0,0.0,8480000000,345000000,0.0,8480000000,8480000000,3991000000,36000000,8430000000,0.364540540541,8394000000,0.362983783784,1414000000,8394000000,0.362983783784,1476000000,6918000000,0.299156756757,0.63,0.62,10322400000,10472700000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000020/0000070858-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000020/bac-331201810xq.htm
2017-12-31,BAC,2018-02-22,2018-02-22 16:10:05,FY,20436000000,0.0,20436000000,1.0,0.0,7289000000,1746000000,0.0,6816000000,6816000000,3604000000,-89000000,6316000000,0.309062438833,6405000000,0.313417498532,3951000000,6405000000,0.313417498532,3885000000,2520000000,0.123311802701,0.21,0.21,10195646000,10778428000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000009/0000070858-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000009/bac-1231201710xk.htm
2017-09-30,BAC,2017-10-30,2017-10-30 16:05:41,Q3,21839000000,0.0,21839000000,1.0,0.0,7483000000,0.0,0.0,7634000000,7634000000,3496000000,-59000000,7807000000,0.357479738083,7866000000,0.360181326984,72000000,7866000000,0.360181326984,2279000000,5587000000,0.255826731993,0.5,0.48,10103386000,10820425000,https://www.sec.gov/Archives/edgar/data/70858/000007085817000046/0000070858-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085817000046/bac-930201710xq.htm
