date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,BIIB,2020-04-23,2020-04-23 16:15:49,Q1,3534000000,454000000,3080000000,0.8715336728919072,476000000,570000000,0,-120000000,1046000000,1714000000,0,119000000,1938000000,0.5483870967741935,1819000000,0.5147142048670063,-120000000,1699000000,0.48075834748160723,292000000,1392000000,0.3938879456706282,8.1,8.08,172000000,173000000,https://www.sec.gov/Archives/edgar/data/875045/000087504520000011/0000875045-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504520000011/biib-2020331x10q.htm
2019-12-31,BIIB,2020-02-06,2020-02-06 16:32:39,FY,3671300000,447100000,3224200000,0.8782175251273391,691700000,664900000,0,-49000000,1356600000,1893600000,46000000,113000000,1890700000,0.51499468853,1777700000,0.484215400539,-49000000,1728400000,0.470786914717,276100000,1439700000,0.392149919647,8.09,8.07,187000000,187000000,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/0000875045-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/biib-20191231x10k.htm
2019-09-30,BIIB,2019-10-22,2019-10-22 16:12:44,Q3,3600100000,430000000,3170100000,0.8805588733646288,540400000,554500000,0,-27000000,1094900000,1793800000,45800000,329500000,2135800000,0.593261298297,1806300000,0.501736062887,-27000000,2507500000,0.696508430321,211300000,1545900000,0.429404738757,8.37,8.36,190000000,190000000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000041/0000875045-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000041/biib-2019930x10q.htm
2019-06-30,BIIB,2019-07-24,2019-07-23 17:47:07,Q2,3616700000,476300000,3140400000,0.8683053612409102,484800000,587600000,0,-198000000,1072400000,1660800000,47700000,117000000,2072900000,0.573146791274,1955900000,0.540796859015,-198000000,1030000000,0.284790001935,248100000,1494100000,0.413111399895,7.84,7.84,193000000,193000000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000029/0000875045-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000029/biib-2019630x10q.htm
2019-03-31,BIIB,2019-04-24,2019-04-24 16:46:37,Q1,3489800000,602000000,2887800000,0.8274972777809616,563700000,567700000,0,357000000,1131400000,1987100000,47900000,121100000,1623800000,0.465298870995,1502700000,0.430597741991,357300000,1860000000,0.53298183277,422500000,1408800000,0.403690755917,7.17,7.15,196000000,197000000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000017/0000875045-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000017/biib-2019331x10q.htm
2018-12-31,BIIB,2019-02-06,2019-02-06 17:21:15,FY,3526300000,488500000,3037800000,0.8614695289680402,611600000,591100000,0,-28000000,1202700000,2083200000,49400000,329700000,1772800000,0.502736579418,1443100000,0.409239145847,-28000000,1414500000,0.40112866177,469600000,946800000,0.268496724612,4.77,4.75,204000000,205000000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000006/0000875045-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000006/biib-20181231x10k.htm
2018-09-30,BIIB,2018-10-23,2018-10-23 16:25:54,Q3,3439000000,460800000,2978200000,0.8660075603373073,507900000,497700000,0,114000000,1005600000,1741400000,49000000,346500000,2044100000,0.59438790346,1697600000,0.49363186973,115100000,1812700000,0.527100901425,369800000,1444400000,0.420005815644,7.11,7.1,206000000,207000000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000032/0000875045-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000032/biib-2018930x10q.htm
2018-06-30,BIIB,2018-07-24,2018-07-24 16:53:51,Q2,3356500000,421000000,2935500000,0.8745717265008193,981000000,516200000,0,-34000000,1497200000,2143300000,51700000,171500000,1384700000,0.41254282735,1213200000,0.361447936839,-34000000,1178700000,0.351169372859,263700000,866600000,0.25818561001,4.2,4.19,209000000,209000000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000019/0000875045-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000019/biib-2018630x10q.htm
2018-03-31,BIIB,2018-04-24,2018-04-24 16:53:10,Q1,3131100000,446000000,2685100000,0.8575580466928555,496700000,501300000,0,-41000000,998000000,1596400000,50500000,168900000,1703600000,0.544089936444,1534700000,0.490147232602,-41000000,1493700000,0.477052792948,322500000,1172900000,0.374596787072,5.55,5.54,211000000,211000000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000010/0000875045-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000010/biib-2018331x10q.htm
2017-12-31,BIIB,2018-02-01,2018-02-01 16:35:03,FY,3307000000,509200000,2797800000,0.846023586332023,587600000,572400000,0,-66000000,1160000000,1841200000,62000000,89000000,1554800000,0.470154218325,1465800000,0.443241608709,-66000000,1399800000,0.423283943151,1566100000,-166000000,-0.05019655276685818,-1.38,-1.38,212000000,213000000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000005/0000875045-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000005/biib-20171231x10k.htm
