date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2019-12-31,BK,2020-02-27,2020-02-27 06:53:38,FY,815000000,0.0,815000000,1.0,0.0,1639000000,0.0,0.0,1667000000,1667000000,906000000,344000000,1784000000,2.18895705521,1440000000,1.76687116564,938000000,1822000000,2.23558282209,373000000,1440000000,1.76687116564,1.51,1.5,939623000,943109000,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/0001390777-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/form10-k4q19.htm
2019-09-30,BK,2019-11-07,2019-11-07 06:53:39,Q3,730000000,0.0,730000000,1.0,0.0,1479000000,0.0,0.0,1509000000,1509000000,1212000000,336000000,1374000000,1.88219178082,1038000000,1.42191780822,30000000,1287000000,1.76301369863,246000000,1038000000,1.42191780822,1.07,1.06,949035000,951876000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000104/0001390777-19-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000104/form10-q3q19.htm
2019-06-30,BK,2019-08-07,2019-08-07 06:40:18,Q2,802000000,0.0,802000000,1.0,0.0,1421000000,0.0,0.0,1451000000,1451000000,1163000000,333000000,1350000000,1.68329177057,1017000000,1.2680798005,43000000,1285000000,1.60224438903,264000000,1017000000,1.2680798005,1.01,1.01,956887000,959957000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000080/0001390777-19-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000080/form10-q2q19.htm
2019-03-31,BK,2019-05-08,2019-05-08 06:39:09,Q1,841000000,0.0,841000000,1.0,0.0,1524000000,0.0,0.0,1553000000,1553000000,1079000000,302000000,1248000000,1.48394768133,946000000,1.12485136742,35000000,1193000000,1.41854934602,237000000,946000000,1.12485136742,0.94,0.94,962397000,965960000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000063/0001390777-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000063/form10-q1q19.htm
2018-12-31,BK,2019-02-27,2019-02-27 06:54:13,FY,885000000,0.0,885000000,1.0,0.0,1602000000,0.0,0.0,1637000000,1637000000,979000000,328000000,1209000000,1.36610169492,881000000,0.995480225989,199000000,1020000000,1.15254237288,150000000,881000000,0.995480225989,0.85,0.84,1002922000,1007141000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000050/0001390777-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000050/form10-k_4q18.htm
2018-09-30,BK,2018-11-06,2018-11-06 07:05:59,Q3,891000000,0.0,891000000,1.0,0.0,1478000000,0.0,0.0,1526000000,1526000000,743000000,334000000,1445000000,1.62177328844,1111000000,1.24691358025,41000000,1334000000,1.49719416386,220000000,1111000000,1.24691358025,1.06,1.06,1008967000,1013242000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000129/0001390777-18-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000129/form10-q_3q18.htm
2018-06-30,BK,2018-08-03,2018-08-03 06:46:41,Q2,916000000,0.0,916000000,1.0,0.0,1489000000,0.0,0.0,1537000000,1537000000,637000000,342000000,1445000000,1.57751091703,1103000000,1.20414847162,70000000,1394000000,1.52183406114,286000000,1103000000,1.20414847162,1.04,1.04,1013507000,1018020000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000113/0001390777-18-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000113/form10-q_2q18.htm
2018-03-31,BK,2018-05-08,2018-05-08 07:17:25,Q1,919000000,0.0,919000000,1.0,0.0,1576000000,0.0,0.0,1625000000,1625000000,462000000,335000000,1506000000,1.63873775843,1171000000,1.27421109902,82000000,1444000000,1.57127312296,282000000,1171000000,1.27421109902,1.11,1.1,1016797000,1021731000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000083/0001390777-18-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000083/form10-q_1q18.htm
2017-12-31,BK,2018-02-28,2018-02-28 06:30:17,FY,851000000,0.0,851000000,1.0,0.0,1614000000,0.0,0.0,1666000000,1666000000,368000000,430000000,1605000000,1.88601645123,1175000000,1.38072855464,1000000.0,728000000,0.855464159812,148000000,1175000000,1.38072855464,1.08,1.08,1034281000,1040290000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000069/0001390777-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000069/form10-k_4q17.htm
2017-09-30,BK,2017-11-07,2017-11-07 06:50:39,Q3,839000000,0.0,839000000,1.0,0.0,1469000000,0.0,0.0,1521000000,1521000000,312000000,351000000,1369000000,1.63170441001,1018000000,1.21334922527,63000000,1368000000,1.6305125149,348000000,1018000000,1.21334922527,0.95,0.94,1037431000,1043585000,https://www.sec.gov/Archives/edgar/data/1390777/000139077717000106/0001390777-17-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077717000106/bk3q201710-q.htm
