date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,BLK,2020-05-08,2020-05-08 12:02:08,Q1,3710000000,0.0,3710000000,1.0,0.0,1142000000,0.0,1884000000,3026000000,3026000000,46000000,111000000,795000000,0.214285714286,684000000,0.184366576819,-71000000,613000000,0.165229110512,-14000000,806000000,0.217250673854,5.19,5.15,155243279,156416726,https://www.sec.gov/Archives/edgar/data/1364742/000156459020023352/0001564590-20-023352-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020023352/blk-10q_20200331.htm
2019-12-31,BLK,2020-02-28,2020-02-28 16:30:05,FY,3977000000,0.0,3977000000,1.0,0.0,515000000,0.0,1924000000,2439000000,2439000000,51000000,111000000,1649000000,0.4146341463414634,1538000000,0.3867236610510435,96000000,1634000000,0.4108624591400553,300000000,1301000000,0.33542871511189337,8.38,8.26,156014343,157459546,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/blk-10k_20191231.htm
2019-09-30,BLK,2019-11-08,2019-11-08 14:07:20,Q3,3692000000,0.0,3692000000,1.0,0.0,385000000,0.0,1805000000,2190000000,2190000000,54000000,105000000,1607000000,0.435265438787,1502000000,0.406825568797,-42000000,1460000000,0.395449620802,341000000,1119000000,0.303087757313,7.2,7.15,156290212,157385956,https://www.sec.gov/Archives/edgar/data/1364742/000156459019042157/0001564590-19-042157-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019042157/blk-10q_20190930.htm
2019-06-30,BLK,2019-08-08,2019-08-08 14:46:55,Q2,3524000000,0.0,3524000000,1.0,0.0,470000000,0.0,1776000000,2246000000,2246000000,52000000,100000000,1378000000,0.39103291714,1278000000,0.362656072645,57000000,1335000000,0.378830874007,322000000,1003000000,0.284619750284,6.46,6.41,156803244,157853711,https://www.sec.gov/Archives/edgar/data/1364742/000156459019030654/0001564590-19-030654-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019030654/blk-10q_20190630.htm
2019-03-31,BLK,2019-05-09,2019-05-09 13:35:40,Q1,3346000000,0.0,3346000000,1.0,0.0,388000000,0.0,1725000000,2113000000,2113000000,46000000,89000000,1322000000,0.395098625224,1233000000,0.368499701136,125000000,1358000000,0.405857740586,298000000,1053000000,0.314704124328,6.65,6.61,158268034,159348431,https://www.sec.gov/Archives/edgar/data/1364742/000156459019017793/0001564590-19-017793-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019017793/blk-10q_20190331.htm
2018-12-31,BLK,2019-02-28,2019-02-28 16:25:04,FY,3434000000,0.0,3434000000,1.0,0.0,449000000,0.0,1739000000,2188000000,2188000000,46000000,56000000,1302000000,0.379149679674,1246000000,0.36284216657,-72000000,1174000000,0.341875364007,247000000,927000000,0.269947582994,5.85,5.75,160301116,161948732,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/blk-10k_20181231.htm
2018-09-30,BLK,2018-11-09,2018-11-09 14:42:13,Q3,3576000000,0.0,3576000000,1.0,0.0,413000000,0.0,1767000000,2180000000,2180000000,46000000,57000000,1453000000,0.406319910515,1396000000,0.390380313199,33000000,1429000000,0.399608501119,226000000,1216000000,0.340044742729,7.59,7.53,160786768,162140879,https://www.sec.gov/Archives/edgar/data/1364742/000156459018028881/0001564590-18-028881-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018028881/blk-10q_20180930.htm
2018-06-30,BLK,2018-08-08,2018-08-08 13:07:19,Q2,7188000000,0.0,7188000000,1.0,0.0,393000000,0.0,1772000000,2165000000,2165000000,46000000,54000000,1494000000,0.207846410684,1440000000,0.200333889816,-24000000,1416000000,0.196994991653,338000000,1073000000,0.149276572065,6.67,6.62,161114746,162532637,https://www.sec.gov/Archives/edgar/data/1364742/000156459018020313/0001564590-18-020313-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018020313/blk-10q_20180630.htm
2018-03-31,BLK,2018-05-09,2018-05-09 15:09:58,Q1,3583000000,0.0,3583000000,1.0,0.0,383000000,0.0,1825000000,2208000000,2208000000,46000000,53000000,1428000000,0.3985487022048563,1375000000,0.3837566285235836,-16000000,1359000000,0.37929109684621826,265000000,1089000000,0.30533072843985487,6.75,6.68,161250018,162918961,https://www.sec.gov/Archives/edgar/data/1364742/000156459018012320/0001564590-18-012320-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018012320/blk-10q_20180331.htm
2017-12-31,BLK,2018-02-28,2018-02-28 14:38:00,FY,7948000000,0.0,7948000000,1.0,0.0,448000000,0.0,1532000000,1980000000,1980000000,46000000,50000000,1539000000,0.19363361852,1489000000,0.18734272773,1000000.0,1490000000,0.187468545546,-820000000,2304000000,0.289884247609,14.24,14.0,162160601,164415035,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/blk-10k_20171231.htm
