date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,BMY,2020-05-07,2020-05-07 09:54:07,Q1,10781000000,3662000000,7119000000,0.6603283554401261,2372000000,1606000000,1606000000,1163000000,3978000000,11085000000,362000000,2488000000,2184000000,0.202578610519,-304000000,-0.028197755310268063,1163000000,-304000000,-0.028197755310268063,462000000,-766000000,-0.07105092291995177,-0.34,-0.34,2258000000,2258000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000168/0000014272-20-000168-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000168/bmy-20200331x10q.htm
2019-12-31,BMY,2020-02-24,2020-02-24 16:10:27,FY,7945000000,2432000000,5513000000,0.6938955317809944,2087000000,1734000000,1734000000,938000000,3821000000,8074000000,279000000,1241000000,1112000000,0.139962240403,-129000000,-0.016236626809314033,686000000,-129000000,-0.016236626809314033,931000000,-1060000000,-0.13341724354940215,-0.73,-0.74,1705000000,1712000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm
2019-09-30,BMY,2019-10-31,2019-10-31 09:39:45,Q3,6007000000,1810000000,4197000000,0.6986848676544032,1382000000,1055000000,1055000000,0.0,2437000000,4658000000,209000000,1728000000,3690000000,0.614283336108,1962000000,0.326618944565,411000000,1809000000,0.301148659897,-17000000,1353000000,0.22523722324,0.83,0.83,1634000000,1636000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000194/0000014272-19-000194-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000194/bmy-20190930x10q.htm
2019-06-30,BMY,2019-07-25,2019-07-25 11:33:59,Q2,6273000000,1992000000,4281000000,0.6824485891917743,1328000000,1076000000,1076000000,0.0,2404000000,4497000000,123000000,229000000,1392000000,0.221903395505,1163000000,0.18539773633,101000000,1316000000,0.209787980233,337000000,1432000000,0.228279929858,0.87,0.88,1635000000,1637000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000160/0000014272-19-000160-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000160/bmy-20190630x10q.htm
2019-03-31,BMY,2019-04-25,2019-04-25 11:39:35,Q1,5920000000,1844000000,4076000000,0.6885135135135135,1351000000,1006000000,1006000000,0.0,2357000000,3941000000,45000000,236000000,2215000000,0.374155405405,1979000000,0.334290540541,-260000000,1979000000,0.334290540541,264000000,1710000000,0.288851351351,1.05,1.04,1634000000,1637000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000107/0000014272-19-000107-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000107/bmy-20190331x10q.htm
2018-12-31,BMY,2019-02-25,2019-02-25 16:52:22,FY,5973000000,1690000000,4283000000,0.7170601038004353,1380000000,1336000000,1336000000,0.0,2716000000,4468000000,48000000,213000000,1718000000,0.287627657793,1505000000,0.251967185669,62000000,1505000000,0.251967185669,347000000,1160000000,0.19420726603,0.71,0.71,1633000000,1637000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/bmy-20181231x10xk.htm
2018-09-30,BMY,2018-10-25,2018-10-25 11:36:04,Q3,5691000000,1648000000,4043000000,0.7104199613424705,1280000000,1104000000,1104000000,0.0,2384000000,3524000000,44000000,206000000,2373000000,0.416974169742,2167000000,0.38077666491,-508000000,2167000000,0.38077666491,255000000,1901000000,0.334036197505,1.16,1.17,1633000000,1637000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000197/0000014272-18-000197-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000197/bmy-20180930x10q.htm
2018-06-30,BMY,2018-07-26,2018-07-26 11:32:21,Q2,5704000000,1625000000,4079000000,0.7151122019635343,2435000000,1131000000,1131000000,0.0,3566000000,5187000000,45000000,211000000,728000000,0.12762973352,517000000,0.0906381486676,-4000000.0,517000000,0.0906381486676,135000000,373000000,0.0653927068724,0.23,0.22,1633000000,1638000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000160/0000014272-18-000160-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000160/bmy-20180630x10q.htm
2018-03-31,BMY,2018-04-26,2018-04-26 12:08:19,Q1,5193000000,1584000000,3609000000,0.6949740034662045,1250000000,980000000,980000000,0.0,2230000000,3414000000,46000000,193000000,1972000000,0.379741960331,1779000000,0.34257654535,-400000000,1779000000,0.34257654535,284000000,1486000000,0.286154438667,0.91,0.91,1633000000,1640000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000117/0000014272-18-000117-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000117/bmy-20180331x10q.htm
2017-12-31,BMY,2018-02-13,2018-02-13 09:26:31,FY,5449000000,1673000000,3776000000,0.69297118737383,1921000000,1299000000,1299000000,1377000000,3220000000,4751000000,51000000,285000000,983000000,0.180400073408,698000000,0.128096898513,-142000000,698000000,0.128096898513,3027000000,-2329000000,-0.42741787483942006,-1.41,-1.41,1645000000,1652000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/bmy-20171231x10xk.htm
