date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,BRKB,2020-05-04,2020-05-04 06:07:05,Q1,61265000000,29116000000,32149000000,0.5247531216844854,0.0,4471000000,0.0,2722000000,4471000000,54339000000,-296000000,2585000000,-60764000000,-0.991822410838162,-63349000000,-1.0340161593079247,2276000000,-63349000000,-1.0340161593079247,-13352000000,-49997000000,-0.8160776952583041,-0.030653,-0.030653,1631063843669,1631063843669,https://www.sec.gov/Archives/edgar/data/1067983/000156459020020599/0001564590-20-020599-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459020020599/brka-10q_20200331.htm
2019-12-31,BRKB,2020-02-24,2020-02-24 06:23:37,FY,65368000000,27277000000,38091000000,0.5827163137926814,0.0,5677000000,0.0,23457000000,29134000000,60118000000,3171000000,2657000000,39218000000,0.599957165586,36561000000,0.559310365928,31311000000,36801000000,0.562981887162,7571000000,29159000000,0.446074531881,17884.0,17884.0,1633946.0,1633946.0,https://www.sec.gov/Archives/edgar/data/1067983/000156459020005874/0001564590-20-005874-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459020005874/brka-10k_20191231.htm
2019-09-30,BRKB,2019-11-04,2019-11-04 06:33:56,Q3,64972000000,26950000000,38022000000,0.5852059348642492,0.0,4384000000,0.0,21548000000,25932000000,56053000000,261000000,2534000000,22087000000,0.339946438466,19553000000,0.300945022471,10926000000,20489000000,0.315351228221,3832000000,16524000000,0.254324939974,10120.0,10120.0,1635903.0,1635903.0,https://www.sec.gov/Archives/edgar/data/1067983/000095012319009995/0000950123-19-009995-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000095012319009995/brka-10q_20190930.htm
2019-06-30,BRKB,2019-08-05,2019-08-05 06:07:15,Q2,63598000000,27047000000,36551000000,0.5747193307965659,0.0,4829000000,0.0,2680000000,4829000000,56011000000,420000000,2456000000,20215000000,0.317855907418,17759000000,0.279238340828,10048000000,17759000000,0.279238340828,3586000000,14073000000,0.221280543413,8615.0,8615.0,1637378.0,1637378.0,https://www.sec.gov/Archives/edgar/data/1067983/000156459019028491/0001564590-19-028491-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459019028491/brka-10q_20190630.htm
2019-03-31,BRKB,2019-05-06,2019-05-06 06:08:27,Q1,60678000000,25767000000,34911000000,0.575348561257787,0.0,4432000000,0.0,131300000000,135732000000,53521000000,109000000,2417000000,30064000000,0.495467879627,27647000000,0.455634661657,20322000000,27647000000,0.455634661657,5915000000,21661000000,0.356982761462,13209.0,13209.0,1639821.0,1639821.0,https://www.sec.gov/Archives/edgar/data/1067983/000119312519137433/0001193125-19-137433-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312519137433/d728539d10q.htm
2018-12-31,BRKB,2019-02-25,2019-02-25 06:20:28,FY,63714000000,102564000000,-38850000000,-0.6097560975609756,0.0,16689000000,0.0,25903000000,42592000000,57716000000,3776000000,2610000000,-26900000000,-0.42219920268700756,-29510000000,-0.46316351194399974,3210000000,-29510000000,-0.46316351194399974,-7330000000,-22180000000,-0.3481181529962018,-15439.0,-15439.0,1643795.0,1643795.0,https://www.sec.gov/Archives/edgar/data/1067983/000119312519048926/0001193125-19-048926-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312519048926/d678758d10k.htm
2018-09-30,BRKB,2018-11-05,2018-11-05 06:09:31,Q3,63450000000,1273000000,62177000000,0.9799369582348306,0.0,564000000,0.0,21439000000,22003000000,55325000000,60000000,2395000000,25226000000,0.397572892041,22831000000,0.359826635146,14706000000,23147000000,0.364806934594,4440000000,18540000000,0.29219858156,11275.0,11275.0,744126.0,744126.0,https://www.sec.gov/Archives/edgar/data/1067983/000119312518317734/0001193125-18-317734-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518317734/d636103d10q.htm
2018-06-30,BRKB,2018-08-06,2018-08-06 06:08:28,Q2,62200000000,35660000000,26540000000,0.4266881028938907,0.0,4150000000,0.0,19388000000,16349000000,53791000000,-373000000,2387000000,17158000000,0.275852090032,14771000000,0.237475884244,6362000000,15098000000,0.242733118971,3021000000,12011000000,0.193102893891,7302.0,7302.0,1645008.0,1645008.0,https://www.sec.gov/Archives/edgar/data/1067983/000119312518238892/0001193125-18-238892-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518238892/d370289d10q.htm
2018-03-31,BRKB,2018-05-07,2018-05-07 06:10:47,Q1,58473000000,25415000000,33058000000,0.5653549501479316,0.0,4024000000,0.0,123406000000,127430000000,52382000000,390000000,2387000000,463000000,0.0079181844612,-1924000000,-0.03290407538522053,1315000000,-1924000000,-0.03290407538522053,-452000000,-1472000000,-0.025174011937133377,-692.0,-692.0,1644958.0,1644958.0,https://www.sec.gov/Archives/edgar/data/1067983/000119312518153460/0001193125-18-153460-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518153460/d539101d10q.htm
2017-12-31,BRKB,2018-02-26,2018-02-26 06:12:56,FY,58907000000,26154000000,32753000000,0.5560120189451169,0.0,4140000000,0.0,13674000000,17814000000,54654000000,3989000000,2353000000,8744000000,0.148437367376,6391000000,0.108493048364,1340000000,6391000000,0.108493048364,-26265000000,32551000000,0.552582884886,19793.0,19793.0,1644615.0,1644615.0,https://www.sec.gov/Archives/edgar/data/1067983/000119312518057033/0001193125-18-057033-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518057033/d437858d10k.htm
