date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,C,2020-05-04,2020-05-04 17:27:21,Q1,20731000000,0.0,20731000000,1.0,0.0,0.0,328000000,10266000000,10594000000,10594000000,-5647000000,927000000,3461000000,0.16694804881578312,2534000000,0.12223240557619025,0.0,3110000000,0.150016882928947,576000000,1000000.0,4.823693984853601e-05,1.06,1.06,2097000000,2097000000,https://www.sec.gov/Archives/edgar/data/831001/000083100120000044/0000831001-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100120000044/c-3312020x10q.htm
2019-12-31,C,2020-02-21,2020-02-21 17:05:55,FY,18378000000,0.0,18378000000,1.0,0.0,0.0,345000000,-30377000000,-30032000000,-30032000000,-6548000000,1039000000,6038000000,0.3285449994558711,4999000000,0.2720100119708347,0.0,5702000000,0.310262270105561,703000000,3000000.0,0.0001632386549134835,8.08,8.08,2249000000,2249000000,https://www.sec.gov/Archives/edgar/data/831001/000083100120000031/0000831001-20-000031-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
2019-09-30,C,2019-11-01,2019-11-01 16:48:13,Q3,18574000000,17000000,18557000000,0.9990847421126305,1783000000,5329000000,378000000,10086000000,7112000000,7129000000,7536000000,983000000,9673000000,0.520781737913,8690000000,0.467858296544,0.0,8670000000,0.466781522558,1079000000,4913000000,0.26450952945,2.1,2.07,2282400000,2298200000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000105/0000831001-19-000105-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000105/c-9302019x10q.htm
2019-06-30,C,2019-08-01,2019-08-01 16:53:13,Q2,18758000000,19000000,18739000000,0.9989870988378292,1724000000,5381000000,434000000,10066000000,7105000000,7124000000,7762000000,952000000,5751000000,0.306589188613,4799000000,0.255837509329,0.0,4792000000,0.255464335217,1373000000,4799000000,0.255837509329,1.94,1.95,2313200000,2315700000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000073/0000831001-19-000073-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000073/c-6302019x10q.htm
2019-03-31,C,2019-04-30,2019-04-30 17:28:06,Q1,18576000000,12000000,18564000000,0.9993540051679587,1720000000,5658000000,359000000,10225000000,7378000000,7390000000,7317000000,931000000,5641000000,0.303671403962,4710000000,0.253552971576,0.0,4737000000,0.255006459948,1275000000,4710000000,0.253552971576,1.88,1.87,2340400000,2342400000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000033/0000831001-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000033/c-3312019x10q.htm
2018-12-31,C,2019-02-22,2019-02-22 16:50:54,FY,17124000000,28000000,17096000000,0.9983648680214903,1832000000,4576000000,375000000,9518000000,6408000000,6436000000,6853000000,954000000,6260000000,0.365568792338,5306000000,0.309857509928,0.0,5306000000,0.309857509928,1001000000,4313000000,0.251868722261,1.65,1.64,2493300000,2494800000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000027/0000831001-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000027/c-12312018x10k.htm
2018-09-30,C,2018-10-30,2018-10-30 17:15:57,Q3,18389000000,26000000,18363000000,0.9985861112621676,1806000000,5319000000,378000000,9933000000,7125000000,7151000000,6368000000,945000000,7049000000,0.383326988961,6104000000,0.331937571374,0.0,6104000000,0.331937571374,1471000000,4622000000,0.251345913318,1.73,1.73,2524100000,2525500000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000131/0000831001-18-000131-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000131/c-9302018x10q.htm
2018-06-30,C,2018-07-31,2018-07-31 16:50:11,Q2,18469000000,21000000,18448000000,0.998862959553847,1797000000,5452000000,411000000,10301000000,7249000000,7270000000,5885000000,929000000,6874000000,0.372191239374,5945000000,0.321890735828,0.0,5945000000,0.321890735828,1444000000,4490000000,0.243110076344,1.63,1.63,2546200000,2547600000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000091/0000831001-18-000091-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000091/c-6302018x10q.htm
2018-03-31,C,2018-05-01,2018-05-01 17:06:06,Q1,18872000000,26000000,18846000000,0.9986222975837219,1758000000,5807000000,381000000,10544000000,7565000000,7591000000,5160000000,926000000,7016000000,0.371767698177,6090000000,0.322700296736,0.0,6090000000,0.322700296736,1441000000,4620000000,0.244807121662,1.68,1.68,2561600000,2563000000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000046/0000831001-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000046/c-3312018x10q.htm
2017-12-31,C,2018-02-23,2018-02-23 08:44:36,FY,17255000000,28000000,17227000000,0.9983772819472616,1783000000,4880000000,386000000,9697000000,6663000000,6691000000,4536000000,942000000,6041000000,0.350101419878,5099000000,0.295508548247,0.0,5099000000,0.295508548247,23864000000,-6000000.0,-0.00034772529701535785,-7.03,-7.03,2698500000,2698500000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000040/0000831001-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000040/c-12312017x10k.htm
