date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,CAT,2020-05-06,2020-05-06 13:09:58,Q1,10635000000,7266000000,3369000000,0.3167842031029619,356000000,1121000000,0.0,313000000,1164000000,9231000000,0.0,614000000,2018000000,0.189750822755,1404000000,0.132016925247,313000000,1513000000,0.142266102492,425000000,1092000000,0.102679830748,2.0,1.98,546800000,551100000,https://www.sec.gov/Archives/edgar/data/18230/000001823020000155/0000018230-20-000155-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823020000155/cat10q3312020.htm
2019-12-31,CAT,2020-02-19,2020-02-19 14:12:34,FY,13144000000,9117000000,4027000000,0.30637553256238587,386000000,1283000000,0.0,9625000000,11294000000,20411000000,0.0,644000000,2494000000,0.189744370055,1850000000,0.140748630554,325000000,1365000000,0.103849665247,276000000,1098000000,0.0835362142422,2.01,1.99,561600000,567500000,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/0000018230-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/cat10-k12312019.htm
2019-09-30,CAT,2019-10-31,2019-10-31 10:52:48,Q3,12758000000,8569000000,4189000000,0.32834300047029313,431000000,1251000000,0.0,9056000000,10738000000,19307000000,0.0,645000000,2665000000,0.208888540524,2020000000,0.158332026963,298000000,2867000000,0.22472174322,518000000,1494000000,0.1171029942,2.7,2.67,565200000,570800000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000281/0000018230-19-000281-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000281/cat10q9302019.htm
2019-06-30,CAT,2019-08-01,2019-08-01 11:04:05,Q2,14432000000,9941000000,4491000000,0.3111834811529933,441000000,1309000000,0.0,10469000000,12219000000,22160000000,0.0,647000000,2860000000,0.198170731707,2213000000,0.153339800443,336000000,1708000000,0.118348115299,565000000,1620000000,0.112250554324,2.85,2.83,569900000,575800000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000224/0000018230-19-000224-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000224/cat10q6302019.htm
2019-03-31,CAT,2019-05-06,2019-05-06 12:20:29,Q1,13466000000,9003000000,4463000000,0.33142729838110796,435000000,1319000000,0.0,9505000000,11259000000,20262000000,0.0,641000000,2848000000,0.211495618595,2207000000,0.163894252191,312000000,1872000000,0.139016783009,387000000,1881000000,0.139685132927,3.29,3.25,572400000,578800000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000153/0000018230-19-000153-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000153/cat_10qx3312019.htm
2018-12-31,CAT,2019-02-14,2019-02-14 13:25:13,FY,14342000000,9987000000,4355000000,0.3036536047970994,466000000,1463000000,0.0,10530000000,12459000000,22446000000,0.0,701000000,2584000000,0.180170129689,1883000000,0.131292706735,354000000,933000000,0.0650536884674,321000000,1048000000,0.073072095942,1.82,1.81,591400000,599400000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/0000018230-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/cat_10-kx12312018.htm
2018-09-30,CAT,2018-10-31,2018-10-31 12:14:01,Q3,13510000000,9022000000,4488000000,0.3321983715766099,479000000,1299000000,0.0,9597000000,11375000000,20397000000,0.0,698000000,2833000000,0.209696521095,2135000000,0.158031088083,390000000,1655000000,0.122501850481,415000000,1727000000,0.127831236121,2.92,2.89,595300000,603800000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000293/0000018230-18-000293-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000293/cat_10qx9302018.htm
2018-06-30,CAT,2018-08-07,2018-08-07 12:17:48,Q2,14011000000,9422000000,4589000000,0.3275283705659839,462000000,1440000000,0.0,9942000000,11844000000,21266000000,0.0,686000000,2853000000,0.203625722646,2167000000,0.15466419242,338000000,1225000000,0.0874313039754,490000000,1707000000,0.121832845621,2.87,2.82,597000000,606100000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000229/0000018230-18-000229-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000229/cat_10qx6302018.htm
2018-03-31,CAT,2018-05-02,2018-05-02 11:32:39,Q1,12859000000,8566000000,4293000000,0.3338517769655494,443000000,1276000000,0.0,9032000000,10751000000,19317000000,0.0,681000000,2789000000,0.216890893538,2108000000,0.163931876507,300000000,1854000000,0.144179174119,472000000,1665000000,0.129481297146,2.78,2.74,598000000,608000000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000136/0000018230-18-000136-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000136/cat_10qx3312018.htm
2017-12-31,CAT,2018-02-15,2018-02-15 12:14:45,FY,12896000000,8889000000,4007000000,0.3107165012406948,579000000,1606000000,0.0,9550000000,11735000000,20624000000,0.0,724000000,1885000000,0.146169354839,1161000000,0.0900279156328,499000000,1111000000,0.0861507444169,2418000000,-1299000000,-0.100728908189,-2.21,-2.18,591800000,599300000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/0000018230-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/cat_10-kx12312017.htm
2017-09-30,CAT,2017-11-01,2017-11-01 11:52:07,Q3,11413000000,7633000000,3780000000,0.33120126171909225,455000000,1237000000,0.0,8144000000,9836000000,17469000000,0.0,723000000,2300000000,0.201524577236,1577000000,0.138175764479,348000000,1523000000,0.133444317883,470000000,1059000000,0.0927889249102,1.79,1.77,590300000,596500000,https://www.sec.gov/Archives/edgar/data/18230/000001823017000305/0000018230-17-000305-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823017000305/cat_10qx9302017.htm
2017-06-30,CAT,2017-08-02,2017-08-02 11:47:06,Q2,11331000000,7769000000,3562000000,0.31435883858441444,453000000,1289000000,0.0,8338000000,10080000000,17849000000,0.0,720000000,1971000000,0.173947577442,1251000000,0.1104050834,407000000,1159000000,0.102285764716,361000000,802000000,0.0707792780867,1.36,1.35,588800000,594400000,https://www.sec.gov/Archives/edgar/data/18230/000001823017000245/0000018230-17-000245-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823017000245/cat_10qx6302017.htm
2017-03-31,CAT,2017-05-03,2017-05-03 11:43:09,Q1,9822000000,6758000000,3064000000,0.3119527591121971,418000000,1045000000,0.0,7942000000,9405000000,16163000000,0.0,710000000,1127000000,0.114742414987,417000000,0.0424557116677,1025000000,289000000,0.0294237426186,90000000,192000000,0.0195479535736,0.33,0.32,587500000,593200000,https://www.sec.gov/Archives/edgar/data/18230/000001823017000145/0000018230-17-000145-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823017000145/cat_10qx3312017.htm
2016-12-31,CAT,2017-02-15,2017-02-15 13:45:35,FY,9574000000,7541000000,2033000000,0.21234593691247128,522000000,1483000000,0.0,8831000000,10836000000,18377000000,0.0,779000000,1325000000,0.13839565489868394,546000000,0.05702945477334447,546000000,-180000000,-0.01880091915604763,-180000000,-1171000000,-0.122310424065,-2.0,-1.99,584300000,584300000,https://www.sec.gov/Archives/edgar/data/18230/000001823017000041/0000018230-17-000041-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823017000041/cat_10-kx12312016.htm
2016-09-30,CAT,2016-11-02,2016-11-02 11:50:59,Q3,9160000000,6527000000,2633000000,0.2874454148471616,453000000,992000000,0.0,7234000000,8679000000,15206000000,0.0,761000000,1242000000,0.135589519651,481000000,0.0525109170306,560000000,383000000,0.0418122270742,96000000,283000000,0.0308951965066,0.48,0.48,583800000,588700000,https://www.sec.gov/Archives/edgar/data/18230/000001823016000715/0000018230-16-000715-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000715/cat_10qx9302016.htm
