date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,CL,2020-05-01,2020-05-01 07:40:17,Q1,4097000000,1632000000,2465000000,0.6016597510373444,0.0,1473000000,0.0,40000000,1473000000,3105000000,0.0,133000000,1085000000,0.26482792287,952000000,0.232365145228,40000000,895000000,0.218452526239,147000000,715000000,0.174517939956,0.83,0.83,856900000,858400000,https://www.sec.gov/Archives/edgar/data/21665/000002166520000007/0000021665-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166520000007/cl-3312020x10q.htm
2019-12-31,CL,2020-02-21,2020-02-21 16:53:42,FY,4015000000,1601000000,2414000000,0.6012453300124533,281000000,1412000000,0.0,71000000,1693000000,3294000000,0.0,133000000,1064000000,0.26500622665,931000000,0.231880448319,71000000,870000000,0.216687422167,188000000,643000000,0.160149439601,0.76,0.75,859100000,861100000,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/0000021665-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/cl-12312019x10k.htm
2019-09-30,CL,2019-11-01,2019-11-01 09:24:29,Q3,3928000000,1612000000,2316000000,0.5896130346232179,0.0,1429000000,0.0,31000000,1429000000,3041000000,0.0,130000000,986000000,0.251018329939,856000000,0.217922606925,31000000,794000000,0.202138492872,167000000,578000000,0.147148676171,0.67,0.67,860100000,862400000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000022/0000021665-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000022/cl-9302019x10q.htm
2019-06-30,CL,2019-07-26,2019-07-26 09:20:56,Q2,3866000000,1558000000,2308000000,0.5969994826694258,0.0,1369000000,0.0,51000000,1369000000,2927000000,0.0,128000000,1016000000,0.262803931712,888000000,0.229694774961,51000000,823000000,0.212881531298,205000000,586000000,0.151577858251,0.68,0.68,860700000,862700000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000020/0000021665-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000020/cl-6302019x10q.htm
2019-03-31,CL,2019-04-26,2019-04-26 10:00:14,Q1,3884000000,1597000000,2287000000,0.5888259526261586,0.0,1365000000,0.0,43000000,1365000000,2962000000,0.0,128000000,1007000000,0.259268795057,879000000,0.2263130793,43000000,814000000,0.209577754892,214000000,560000000,0.144181256437,0.65,0.65,862000000,863200000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000007/0000021665-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000007/cl-3312019x10q.htm
2018-12-31,CL,2019-02-21,2019-02-21 16:13:44,FY,3811000000,1558000000,2253000000,0.5911834164261349,277000000,1328000000,0.0,34000000,1605000000,3163000000,0.0,126000000,1017000000,0.266859092102,891000000,0.2337969037,34000000,832000000,0.218315402781,189000000,606000000,0.159013382314,0.7,0.7,870600000,873000000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000003/0000021665-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000003/cl-12312018x10k.htm
2018-09-30,CL,2018-10-26,2018-10-26 09:02:55,Q3,3845000000,1576000000,2269000000,0.5901170351105332,0.0,1369000000,0.0,26000000,1369000000,2945000000,0.0,127000000,1001000000,0.26033810143,874000000,0.227308192458,26000000,820000000,0.213263979194,258000000,523000000,0.136020806242,0.6,0.6,871900000,875000000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000018/0000021665-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000018/cl-9302018x10q.htm
2018-06-30,CL,2018-07-27,2018-07-27 09:04:45,Q2,3886000000,1585000000,2301000000,0.5921255790015441,0.0,1300000000,0.0,55000000,1300000000,2885000000,0.0,129000000,1075000000,0.276634071024,946000000,0.243437982501,55000000,888000000,0.228512609367,213000000,637000000,0.163921770458,0.74,0.73,873500000,877000000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000015/0000021665-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000015/cl-6302018x10q.htm
2018-03-31,CL,2018-04-27,2018-04-27 09:03:09,Q1,4002000000,1594000000,2408000000,0.6016991504247876,0.0,1392000000,0.0,33000000,1392000000,2986000000,0.0,129000000,1112000000,0.277861069465,983000000,0.245627186407,33000000,924000000,0.230884557721,246000000,634000000,0.158420789605,0.72,0.72,875400000,879900000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000008/0000021665-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000008/cl-3312018x10q.htm
2017-12-31,CL,2018-02-15,2018-02-15 14:33:07,FY,3892000000,1564000000,2328000000,0.5981500513874615,285000000,1373000000,0.0,31000000,1658000000,3222000000,0.0,121000000,1045000000,0.268499486125,924000000,0.237410071942,31000000,896000000,0.230215827338,543000000,323000000,0.0829907502569,0.37,0.37,881800000,887800000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/0000021665-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/cl-12312017x10k.htm
