date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,COF,2020-05-01,None,Q1,7109000000,0.0,7109000000,1.0,0.0,0.0,491000000,0.0,491000000,491000000,-1084000000,893000000,-447000000,-0.06287804191869462,-1340000000,-0.18849345899563932,0.0,-1903000000,-0.26768884512589675,-563000000,-1340000000,-0.18849345899563932,-3.1,-3.1,432258064,432258064,https://www.sec.gov/Archives/edgar/data/927628/000092762820000173/0000927628-20-000173-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000173/cof-03312020x10q.htm
2019-12-31,COF,2020-02-20,None,FY,7347000000,0.0,7347000000,1.0,0.0,0.0,710000000,-8194000000,-7484000000,-7484000000,6149000000,905000000,2083000000,0.2835170818020961,1178000000,0.16033755274261605,0.0,1448000000,0.1970872464951681,270000000,1176000000,0.16006533278889343,11.1,11.1,499639639,499639639,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/0000927628-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/cof-12312019x10k.htm
2019-09-30,COF,2019-10-31,2019-10-31 15:18:02,Q3,5737000000,0.0,5737000000,1.0,312000000,1605000000,501000000,2870000000,1942000000,1942000000,1338000000,849000000,2553000000,0.44500610075,1704000000,0.297019348091,0.0,1704000000,0.297019348091,375000000,1333000000,0.232351403172,2.7,2.69,470000000,470000000,https://www.sec.gov/Archives/edgar/data/927628/000092762819000312/0000927628-19-000312-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000312/cof-09302019x10q.htm
2019-06-30,COF,2019-07-31,2019-07-30 20:58:59,Q2,5746000000,0.0,5746000000,1.0,329000000,1558000000,546000000,2687000000,1916000000,1916000000,1330000000,881000000,2884000000,0.501914375218,2003000000,0.348590323703,0.0,2003000000,0.348590323703,387000000,1625000000,0.282805429864,3.26,3.24,470000000,470000000,https://www.sec.gov/Archives/edgar/data/927628/000092762819000274/0000927628-19-000274-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000274/cof-06302019x10q.htm
2019-03-31,COF,2019-05-01,2019-05-01 16:02:08,Q1,5791000000,0.0,5791000000,1.0,303000000,1573000000,517000000,2637000000,1906000000,1906000000,1301000000,704000000,2423000000,0.418407874288,1719000000,0.29683992402,0.0,1719000000,0.29683992402,309000000,1412000000,0.243826627525,2.87,2.86,491986062,491986062,https://www.sec.gov/Archives/edgar/data/927628/000092762819000177/0000927628-19-000177-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000177/cof-03312019x10q.htm
2018-12-31,COF,2019-02-20,2019-02-20 15:52:42,FY,5820000000,0.0,5820000000,1.0,326000000,1345000000,-1343000000,0.0,1714000000,1714000000,1228000000,675000000,1918000000,0.329553264605,1243000000,0.213573883162,0.0,1243000000,0.213573883162,-344000000,1261000000,0.216666666667,2.51,2.5,505744680,505744680,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/0000927628-19-000093-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/cof-12312018x10k.htm
2018-09-30,COF,2018-11-01,2018-10-31 17:56:39,Q3,15369000000,0.0,15369000000,1.0,311000000,1432000000,1343000000,0.0,1787000000,1787000000,1109000000,589000000,2510000000,0.163315765502,1921000000,0.124991866745,0.0,1921000000,0.124991866745,420000000,1502000000,0.0977291951331,3.02,2.99,505744680,505744680,https://www.sec.gov/Archives/edgar/data/927628/000092762818000317/0000927628-18-000317-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000317/cof-09302018x10q.htm
2018-06-30,COF,2018-07-27,2018-07-27 16:40:02,Q2,-4032000000,0.0,4032000000,-1.0,317000000,1430000000,839000000,0.0,1790000000,1790000000,1045000000,582000000,3074000000,-0.762400793651,2492000000,-0.618055555556,0.0,2492000000,-0.618055555556,575000000,1906000000,-0.472718253968,3.73,3.71,508920187,508920187,https://www.sec.gov/Archives/edgar/data/927628/000092762818000281/0000927628-18-000281-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000281/cof-06302018x10q.htm
2018-03-31,COF,2018-05-02,2018-05-02 16:37:58,Q1,5718000000,0.0,5718000000,1.0,306000000,1520000000,414000000,0.0,1870000000,1870000000,919000000,550000000,2212000000,0.386848548444,1662000000,0.290661070304,0.0,1662000000,0.290661070304,319000000,1346000000,0.235396991955,2.64,2.62,511787072,511787072,https://www.sec.gov/Archives/edgar/data/927628/000092762818000179/0000927628-18-000179-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000179/cof-03312018x10q.htm
2017-12-31,COF,2018-02-21,2018-02-21 17:01:17,FY,5813000000,0.0,5813000000,1.0,306000000,1521000000,0.0,0.0,1888000000,1888000000,791000000,721000000,2029000000,0.34904524342,1308000000,0.225012902116,0.0,1308000000,0.225012902116,2170000000,524000000,0.1186862967157418,-2.16,-2.14,0.0,0.0,https://www.sec.gov/Archives/edgar/data/927628/000092762818000107/0000927628-18-000107-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000107/cof-12312017x10k.htm
