date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,COP,None,Not found...,Q1,4811000000,2661000000,2150000000,0.4468925379339015,188000000,-3000000.0,0.0,0.0,185000000,2846000000,202000000,1411000000,-152000000,-0.031594263147,-1563000000,-0.324880482228,0.0,-1563000000,-0.324880482228,148000000,-1739000000,-0.36146331324,-1.6,-1.6,1084561.0,1084561.0,None,processing...
2019-12-31,COP,None,None,FY,8140000000,2783000000,5357000000,0.6581081081081082,151000000,187000000,0.0,0.0,338000000,3121000000,196000000,1488000000,2774000000,0.340786240786,1286000000,0.157985257985,0.0,1286000000,0.157985257985,543000000,720000000,0.0884520884521,0.68,0.68,1117260.0,1123536.0,None,processing...
2019-09-30,COP,2019-10-31,2019-10-31 11:41:40,Q3,10093000000,2710000000,7383000000,0.7314970771822055,360000000,87000000,0.0,0.0,447000000,3157000000,184000000,1566000000,5059000000,0.501238482116,3493000000,0.346081442584,0.0,3493000000,0.346081442584,422000000,3056000000,0.302784107797,2.74,2.72,1124558.0,1131034.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312519279997/0001193125-19-279997-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519279997/d824956d10q.htm
2019-06-30,COP,2019-08-01,2019-08-01 10:35:47,Q2,8380000000,2674000000,5706000000,0.6809069212410501,122000000,129000000,0.0,0.0,251000000,2925000000,165000000,1490000000,3548000000,0.42338902148,2058000000,0.245584725537,1000000.0,2058000000,0.245584725537,461000000,1580000000,0.188544152745,1.4,1.4,1132691.0,1139511.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312519210077/0001193125-19-210077-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519210077/d775509d10q.htm
2019-03-31,COP,2019-05-02,2019-05-02 11:14:37,Q1,10057000000,3675000000,6382000000,0.6345828775976932,110000000,153000000,0.0,1118000000,263000000,3938000000,233000000,1546000000,4233000000,0.420900865069,2687000000,0.267177090584,702000000,2687000000,0.267177090584,841000000,1833000000,0.182261111664,1.61,1.6,1139463.0,1146515.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312519134334/0001193125-19-134334-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519134334/d734823d10q.htm
2018-12-31,COP,2019-02-19,2019-02-19 11:23:45,FY,10361000000,3986000000,6375000000,0.6152880996042853,102000000,65000000,0.0,0.0,167000000,4153000000,188000000,1612000000,4284000000,0.413473602934,2672000000,0.257890165042,1000000.0,2672000000,0.257890165042,794000000,1868000000,0.180291477657,1.62,1.6,1166499.0,1175538.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/d636257d10k.htm
2018-09-30,COP,2018-10-30,2018-10-30 12:03:42,Q3,10165000000,7824000000,2341000000,0.23030004918839153,103000000,119000000,0.0,50000000,222000000,8046000000,186000000,1494000000,4400000000,0.432857845548,2906000000,0.285882931628,0.0,2906000000,0.285882931628,1033000000,1861000000,0.18307919331,1.59,1.59,1171673.0,1180774.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/d630380d10q.htm
2018-06-30,COP,2018-07-31,2018-07-31 10:48:32,Q2,9240000000,1313000000,7927000000,0.8579004329004329,69000000,118000000,0.0,217000000,187000000,1500000000,177000000,1438000000,4057000000,0.439069264069,2619000000,0.283441558442,1000000.0,2619000000,0.283441558442,965000000,1640000000,0.177489177489,1.4,1.38,1176064.0,1184499.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312518232659/0001193125-18-232659-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518232659/d586006d10q.htm
2018-03-31,COP,2018-05-01,2018-05-01 10:36:21,Q1,8961000000,1171000000,7790000000,0.8693226202432764,95000000,99000000,0.0,0.0,194000000,1365000000,184000000,1412000000,3188000000,0.35576386564,1776000000,0.198192166053,0.0,1776000000,0.198192166053,876000000,888000000,0.0990960830264,0.75,0.75,1179792.0,1186454.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/d577738d10q.htm
2017-12-31,COP,2018-02-20,2018-02-20 10:03:26,FY,8736000000,1324000000,7412000000,0.8484432234432234,214000000,138000000,0.0,-1433000000,1000000.0,87000000,226000000,1633000000,2958000000,0.338598901099,1325000000,0.151671245421,1000000.0,1325000000,0.151671245421,-18000000,1579000000,0.180746336996,1.28,1.28,1221038.0,1221038.0,https://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/d534096d10k.htm
