date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,CVS,2020-05-06,2020-05-06 06:39:08,Q1,66755000000,40347000000,26408000000,0.39559583551793875,0.0,0.0,0.0,8563000000,8563000000,63297000000,733000000,1086000000,4544000000,0.0680698075051,3458000000,0.0518013631938,-54000000,2779000000,0.0416298404614,767000000,2007000000,0.0300651636582,1.54,1.53,1306000000,1312000000,https://www.sec.gov/Archives/edgar/data/64803/000006480320000015/0000064803-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480320000015/a0331202010-q.htm
2019-12-31,CVS,2020-02-18,2020-02-18 06:26:11,FY,66889000000,42065000000,24824000000,0.37112230710580213,0.0,0.0,0.0,8654000000,8654000000,50719000000,-734000000,0.0,3037000000,0.045403579063822155,3037000000,0.045403579063822155,-31000000,2334000000,0.03489362974480109,590000000,1744000000,0.026073046390288387,0.0,0.0,1300000000,1300000000,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/0000064803-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/a2019form10-k.htm
2019-09-30,CVS,2019-11-06,2019-11-06 06:55:57,Q3,64810000000,40437000000,24373000000,0.3760685079463046,0.0,0.0,0.0,8595000000,8595000000,61882000000,747000000,1092000000,4020000000,0.0620274648974,2928000000,0.0451782132387,-31000000,2133000000,0.0329115877179,604000000,1530000000,0.0236074679833,1.18,1.17,1300000000,1303000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000049/0000064803-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000049/a0930201910-q.htm
2019-06-30,CVS,2019-08-07,2019-08-07 16:28:04,Q2,63431000000,38970000000,24461000000,0.3856316312213271,0.0,0.0,0.0,8042000000,8042000000,60099000000,772000000,1072000000,4404000000,0.0694297740852,3332000000,0.0525295202661,-31000000,2591000000,0.0408475351169,660000000,1936000000,0.0305213539121,1.49,1.49,1299000000,1302000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000039/0000064803-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000039/a0630201910-q.htm
2019-03-31,CVS,2019-05-01,2019-05-01 16:57:10,Q1,61646000000,37247000000,24399000000,0.39579210329948417,0.0,0.0,0.0,8250000000,8250000000,58956000000,782000000,1111000000,3801000000,0.0616585017682,2690000000,0.0436362456607,-31000000,1939000000,0.0314537845116,512000000,1421000000,0.0230509684327,1.09,1.09,1298000000,1302000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000021/0000064803-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000021/cvs-20190331x10q.htm
2018-12-31,CVS,2019-02-28,2019-02-28 07:02:43,FY,54909000000,38165000000,16744000000,0.3049409022200368,0.0,0.0,0.0,21368000000,21368000000,72276000000,2619000000,807000000,2116000000,0.0385364876432,1309000000,0.0238394434428,-4000000.0,102000000,0.00185761896957,524000000,-421000000,-0.0076672312371378094,-0.4,-0.4,1044000000,1044000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/0000064803-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/cvs-2018231x10k.htm
2018-09-30,CVS,2018-11-06,2018-11-06 16:28:30,Q3,47269000000,39941000000,7328000000,0.15502760794601111,0.0,0.0,0.0,4975000000,4975000000,39941000000,0.0,620000000,2973000000,0.0628953436713,2353000000,0.0497789248768,0.0,1899000000,0.0401743214369,509000000,1390000000,0.0294061647168,1.37,1.37,1018000000,1018000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018008642/0001558370-18-008642-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018008642/cvs-20180930x10q.htm
2018-06-30,CVS,2018-08-08,2018-08-08 07:12:37,Q2,46708000000,39507000000,7201000000,0.1541705917615826,0.0,0.0,0.0,4867000000,4867000000,34594000000,0.0,647000000,-1915000000,-0.040999400530958297,-2562000000,-0.054851417316091465,0.0,-2065000000,-0.04421084182581143,497000000,-2563000000,-0.05487282692472382,-2.52,-2.52,1017000000,1017000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018006683/0001558370-18-006683-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018006683/cvs-20180630x10q.htm
2018-03-31,CVS,2018-05-02,2018-05-02 17:09:27,Q1,45693000000,38834000000,6859000000,0.15011052021097324,0.0,0.0,0.0,4913000000,4913000000,43747000000,0.0,644000000,2590000000,0.0566826428556,1946000000,0.0425885803077,0.0,1470000000,0.0321712297288,472000000,998000000,0.0218414199111,0.98,0.98,1016000000,1019000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018003777/0001558370-18-003777-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018003777/cvs-20180331x10q.htm
2017-12-31,CVS,2018-02-14,2018-02-14 17:30:39,FY,48385000000,40481000000,7904000000,0.16335641211119148,0.0,0.0,0.0,4796000000,4796000000,45277000000,1062000000,622000000,3730000000,0.0770900072336,3108000000,0.0642347835073,0.0,2809000000,0.0580551823912,-478000000,3287000000,0.067934277152,3.22,3.2,1020000000,1024000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018000707/0001558370-18-000707-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018000707/cvs-20171231x10k.htm
