date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,CVX,2020-05-06,2020-05-06 13:56:34,Q1,31501000000,15509000000,15992000000,0.5076664232881496,158000000,683000000,0.0,98000000,939000000,27356000000,154000000,4288000000,8438000000,0.267864512238,4150000000,0.131741849465,831000000,4150000000,0.131741849465,564000000,3599000000,0.114250341259,1.93,1.93,1862273000,1865649000,https://www.sec.gov/Archives/edgar/data/93410/000009341020000020/0000093410-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341020000020/cvx03312020-10qdoc.htm
2019-12-31,CVX,2020-02-21,2020-02-21 11:40:21,FY,36350000000,19693000000,16657000000,0.45823933975240716,272000000,1129000000,0.0,98000000,1499000000,44755000000,170000000,16429000000,8025000000,0.220770288858,-8405000000,-0.2312242090784044,1238000000,-8405000000,-0.2312242090784044,-1738000000,-6667000000,-0.18341127922971115,-3.51,-3.48,1882000000,1895000000,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/0000093410-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/cvx12312019-10kdoc.htm
2019-09-30,CVX,2019-11-07,2019-11-07 11:28:38,Q3,36116000000,19882000000,16234000000,0.4494960682246096,168000000,954000000,0.0,121000000,1243000000,32067000000,187000000,4361000000,8411000000,0.232888470484,4050000000,0.112138664304,165000000,4050000000,0.112138664304,1470000000,2580000000,0.0714364824455,1.38,1.36,1885931000,1899193000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000038/0000093410-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000038/cvx09302019-10qdoc.htm
2019-06-30,CVX,2019-08-07,2019-08-07 12:01:45,Q2,38850000000,20835000000,18015000000,0.4637065637065637,141000000,1076000000,0.0,97000000,1314000000,32915000000,190000000,4334000000,10267000000,0.264272844273,5933000000,0.152715572716,1331000000,5933000000,0.152715572716,1650000000,4305000000,0.110810810811,2.28,2.27,1888637000,1901869000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000029/0000093410-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000029/cvx06302019-10qdoc.htm
2019-03-31,CVX,2019-05-02,2019-05-02 11:33:10,Q1,35200000000,19703000000,15497000000,0.4402556818181818,189000000,984000000,0.0,101000000,1274000000,31243000000,214000000,4094000000,8051000000,0.228721590909,3957000000,0.112414772727,-51000000,3957000000,0.112414772727,1310000000,2649000000,0.0752556818182,1.4,1.39,1888002000,1900748000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000014/0000093410-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000014/cvx03312019-10qdoc.htm
2018-12-31,CVX,2019-02-22,2019-02-22 11:25:08,FY,42352000000,23920000000,18432000000,0.43520967132602945,250000000,1080000000,0.0,216000000,1546000000,37454000000,189000000,5252000000,10150000000,0.239658103513,4898000000,0.115649792218,783000000,4898000000,0.115649792218,1175000000,3730000000,0.0880714015867,1.97,1.95,1898000000,1914000000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/0000093410-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/cvx12312018-10kdoc.htm
2018-09-30,CVX,2018-11-08,2018-11-08 11:41:58,Q3,43987000000,24681000000,19306000000,0.43890240298269945,625000000,1018000000,0.0,158000000,1801000000,38288000000,171000000,5380000000,11079000000,0.251869870644,5699000000,0.129561006661,75000000,5699000000,0.129561006661,1640000000,4047000000,0.092004455862,2.13,2.11,1899044000,1916562000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000035/0000093410-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000035/cvx09302018-10qdoc.htm
2018-06-30,CVX,2018-08-02,2018-08-02 11:42:15,Q2,42236000000,41276000000,960000000,0.02272942513495596,177000000,1017000000,0.0,102000000,1296000000,37331000000,204000000,4498000000,9403000000,0.2226299839,4905000000,0.116133156549,93000000,4905000000,0.116133156549,1486000000,3409000000,0.0807131357136,1.79,1.78,1898194000,1916099000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000029/0000093410-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000029/cvx06302018-10qdoc.htm
2018-03-31,CVX,2018-05-03,2018-05-03 11:45:56,Q1,37764000000,4701000000,33063000000,0.8755163647918652,158000000,723000000,0.0,84000000,965000000,32691000000,149000000,4289000000,9362000000,0.247908060587,5073000000,0.134334286622,159000000,5073000000,0.134334286622,1414000000,3638000000,0.09633513399,1.92,1.9,1895990000,1913218000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000016/0000093410-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000016/cvx03312018-10qdoc.htm
2017-12-31,CVX,2018-02-22,2018-02-22 11:49:59,FY,37616000000,5182000000,32434000000,0.862239472564866,356000000,1349000000,0.0,3833000000,1705000000,36135000000,149000000,4735000000,6216000000,0.165248830285,1481000000,0.0393715440238,299000000,1481000000,0.0393715440238,-1637000000,3111000000,0.082704168439,1.65,1.64,1883000000,1898000000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/0000093410-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/cvx12312017-10kdoc.htm
