date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,DD,2020-05-05,2020-05-05 12:30:26,Q1,5221000000,3318000000,1903000000,0.3644895613867075,236000000,633000000,0.0,0.0,1402000000,4720000000,183000000,772000000,206000000,0.0394560429037,-91000000,-0.01680827484299963,211000000,-165000000,-0.030476542297746583,44000000,-74000000,-0.013668267454746953,-0.83,-0.83,738600000,738600000,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000017/0001666700-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000017/dupont1q2033120.htm
2019-12-31,DD,2020-02-14,2020-02-14 13:42:20,FY,5204000000,3408000000,1796000000,0.345119139123751,231000000,650000000,0.0,0.0,1176000000,4584000000,175000000,-596000000,-598000000,-0.11491160645657186,189000000,0.0363182167563,9000000.0,189000000,0.0363182167563,-2000000.0,176000000,0.0338201383551,0.24,0.24,746300000,746300000,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/0001666700-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/dupont201910-k.htm
2019-09-30,DD,2019-10-31,2019-10-31 10:14:54,Q3,5426000000,3531000000,1895000000,0.3492443789163288,225000000,645000000,0.0,0.0,1117000000,4648000000,177000000,499000000,949000000,0.174898636196,450000000,0.0829340213785,79000000,450000000,0.0829340213785,78000000,372000000,0.0685587910063,0.5,0.5,748200000,748200000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000073/0001666700-19-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000073/dupont3q1993019.htm
2019-06-30,DD,2019-08-06,2019-08-06 17:32:57,Q2,10882000000,7117000000,3765000000,0.34598419408197023,499000000,1368000000,0.0,0.0,1867000000,8984000000,-138000000,644000000,708000000,0.142466065929,64000000,0.215923348922,-183000000,-1113000000,0.215923348922,64000000,-1177000000,0.0650165392951,-0.3,-0.3,749600000,749600000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000065/0001666700-19-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000065/dupont2q1963019.htm
2019-03-31,DD,2019-05-03,2019-05-03 12:04:27,Q1,19649000000,14726000000,4923000000,0.25054710163367094,717000000,1672000000,0.0,0.0,2863000000,17589000000,454000000,1519000000,2299000000,0.117003409843,780000000,0.0396966766757,248000000,780000000,0.0396966766757,209000000,520000000,0.0264644511171,0.23,0.23,2250100000,2259200000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000019/0001666700-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000019/dowdupont1q19033119.htm
2018-12-31,DD,2019-02-11,2019-02-11 10:52:47,FY,20099000000,15567000000,4532000000,0.22548385491815512,749000000,1566000000,0.0,0.0,2794000000,18361000000,432000000,1468000000,2196000000,0.109259167123,728000000,0.0362207074979,252000000,728000000,0.0362207074979,215000000,475000000,0.023633016568,0.21,0.21,2301000000,2315500000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/0001666700-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/a2018dwdp10-k.htm
2018-09-30,DD,2018-11-02,2018-11-02 10:10:28,Q3,20123000000,15477000000,4646000000,0.23088008746210803,740000000,1496000000,0.0,0.0,2698000000,18175000000,362000000,1470000000,2325000000,0.11553943249,855000000,0.0424886945286,47000000,855000000,0.0424886945286,320000000,497000000,0.0246981066441,0.21,0.21,2307300000,2323100000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000060/0001666700-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000060/dowdupont3q18093018.htm
2018-06-30,DD,2018-08-03,2018-08-03 09:19:25,Q2,24245000000,17974000000,6271000000,0.2586512683027428,803000000,1933000000,0.0,0.0,3224000000,21198000000,360000000,1496000000,3864000000,0.159373066612,2368000000,0.0976696226026,178000000,2368000000,0.0976696226026,565000000,1768000000,0.0729222520107,0.77,0.76,2312900000,2329000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000041/0001666700-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000041/dowdupont2q18063018.htm
2018-03-31,DD,2018-05-04,2018-05-04 09:50:40,Q1,21510000000,16315000000,5195000000,0.24151557415155742,768000000,1714000000,0.0,0.0,2956000000,19271000000,350000000,1484000000,3026000000,0.140678754068,1542000000,0.0716875871688,115000000,1542000000,0.0716875871688,389000000,1104000000,0.0513249651325,0.47,0.47,2317000000,2334300000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/0001666700-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/dowdupont1q18033118.htm
2017-12-31,DD,2018-02-15,2018-02-15 16:04:46,FY,20066000000,17284000000,2782000000,0.1386424798166052,767000000,1553000000,0.0,0.0,2777000000,20061000000,354000000,1451000000,1169000000,0.08978494623655914,-282000000,-0.02165898617511521,729000000,-198000000,-0.015207373271889401,-282000000,84000000,0.0064516129032258064,-1.12,-1.1,1579800000,1598100000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/0001666700-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/a2017dwdp10-k.htm
2017-09-30,DD,None,None,Q3,42418000000,33130000000,9288000000,0.21896364750813335,1343000000,2468000000,0.0,0.0,4367000000,37497000000,728000000,2518000000,6585000000,0.155240699703,4067000000,0.0958791079259,237000000,4067000000,0.0958791079259,1239000000,2723000000,0.0641944457542,2.04,2.01,1330700000,1348800000,None,processing...
