date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-04-03,DHR,2020-05-06,2020-05-06 17:02:28,Q1,4343100000,1900300000,2442800000,0.5624553890078515,287000000,1458300000,0.0,-1000000.0,1745300000,3645600000,47400000,297800000,995300000,0.229168105731,697500000,0.160599571734,-1000000.0,711100000,0.16373097557,116000000,595100000,0.137021942852,0.83,0.81,697200000,707900000,https://www.sec.gov/Archives/edgar/data/313616/000031361620000093/0000313616-20-000093-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361620000093/dhr-202043x10q.htm
2019-12-31,DHR,2020-02-21,2020-02-21 07:32:05,FY,2837300000,1257400000,1579900000,0.5568321996264054,174500000,578400000,0.0,0.0,752900000,2010300000,38400000,202600000,1029600000,0.36288020301,827000000,0.291474288937,-3000000.0,845200000,0.29788883798,151900000,1275100000,0.449406125542,1.75,1.73,715000000,725500000,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/0000313616-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/dhr-20191231x10xk.htm
2019-09-27,DHR,2019-10-24,2019-10-23 18:53:13,Q3,5037300000,2228900000,2808400000,0.5575208941297918,318900000,1654700000,0.0,0.0,1973600000,4202500000,26300000,327700000,1162500000,0.230778393187,834800000,0.165723701189,4000000.0,843000000,0.167351557382,169100000,668000000,0.132610723999,0.91,0.89,714700000,725200000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000148/0000313616-19-000148-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000148/dhr-2019927x10q.htm
2019-06-28,DHR,2019-07-18,2019-07-17 18:49:35,Q2,5156600000,2279200000,2877400000,0.558003335531164,321800000,1671800000,0.0,0.0,1993600000,4272800000,20600000,330800000,1214600000,0.235542799519,883800000,0.171392002482,6000000.0,895700000,0.173699724625,164400000,731300000,0.141818252337,0.99,0.97,712600000,723200000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000127/0000313616-19-000127-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000127/dhr-2019628x10q.htm
2019-03-29,DHR,2019-04-18,2019-04-17 18:22:08,Q1,4879900000,2161900000,2718000000,0.556978626611201,310800000,1683400000,0.0,0.0,1994200000,4156100000,23300000,328400000,1052200000,0.215619172524,723800000,0.148322711531,5000000.0,721400000,0.147830898174,387600000,333800000,0.0684030410459,0.46,0.46,707600000,718500000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000068/0000313616-19-000068-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000068/dhr-2019329x10q.htm
2018-12-31,DHR,2019-02-21,2019-02-20 19:10:11,FY,5363500000,2407600000,2955900000,0.5511140113731705,319600000,1673700000,0.0,0.0,1993300000,4400900000,33800000,330800000,1293400000,0.241148503776,962600000,0.179472359467,12000000,943300000,0.175873962897,196500000,746800000,0.13923743824,1.06,1.06,700600000,710200000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/0000313616-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/dhr-20181231x10xk.htm
2018-09-28,DHR,2018-10-18,2018-10-17 18:31:54,Q3,4853100000,2162600000,2690500000,0.5543879170015041,301200000,1558600000,0.0,0.0,1859800000,4022400000,41300000,321500000,1152200000,0.237415260349,830700000,0.171168943562,9000000.0,801300000,0.165110960005,137600000,663700000,0.136757948528,0.95,0.93,700100000,709900000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000130/0000313616-18-000130-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000130/dhr-2018928x10q.htm
2018-06-29,DHR,2018-07-19,2018-07-18 18:34:00,Q2,4981000000,2163900000,2817100000,0.5655691628187111,311700000,1637900000,0.0,0.0,1949600000,4113500000,43200000,334600000,1202100000,0.241337080907,867500000,0.174161814897,9000000.0,835100000,0.167657096968,161300000,673800000,0.135274041357,0.96,0.95,699400000,709500000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000116/0000313616-18-000116-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000116/dhr-2018629x10q.htm
2018-03-30,DHR,2018-04-19,2018-04-18 18:01:28,Q1,4695400000,2051800000,2643600000,0.5630191251011628,298700000,1601900000,0.0,0.0,1900600000,3952400000,39100000,320800000,1063800000,0.226562167227,743000000,0.158239979554,7000000.0,713100000,0.15187204498,146500000,566600000,0.12067129531,0.81,0.8,698600000,709500000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000065/0000313616-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000065/dhr-2018330x10q.htm
2017-12-31,DHR,2018-02-21,2018-02-20 18:34:14,FY,5085700000,2246600000,2839100000,0.5582515681223824,298900000,1594100000,0.0,0.0,1893000000,4139600000,41800000,318100000,1264200000,0.248579349942,946100000,0.186031421437,72000000,979000000,0.192500540732,122400000,856600000,0.168433057396,1.23,1.21,695800000,706100000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000038/0000313616-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000038/dhr-20171231x10xk.htm
