date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2019-12-31,DUK,2020-02-20,2020-02-20 14:37:25,FY,6103000000,1598000000,4505000000,0.7381615598885793,0.0,0.0,0.0,4990000000,4990000000,6588000000,-547000000,102000000,1211000000,0.198427003113223,1109000000,0.18171391119121744,122000000,709000000,0.11617237424217598,95000000,607000000,0.09945928232017041,5.07,5.07,729000000,729000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/0001326160-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/duk-20191231x10k.htm
2019-09-30,DUK,2019-11-08,2019-11-08 11:23:12,Q3,6940000000,1187000000,5753000000,0.8289625360230548,0.0,0.0,0.0,5011000000,5011000000,5011000000,572000000,1348000000,3277000000,0.472190201729,1929000000,0.27795389049,154000000,1511000000,0.217723342939,188000000,1327000000,0.19121037464,1.82,1.82,728000000,728000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000229/0001326160-19-000229-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000229/duk-20190930x10q.htm
2019-06-30,DUK,2019-08-06,2019-08-06 11:10:51,Q2,5873000000,988000000,4885000000,0.8317725183041035,0.0,0.0,0.0,4578000000,4578000000,4578000000,542000000,1245000000,2543000000,0.432998467563,1298000000,0.221011408139,133000000,889000000,0.15137067938,141000000,820000000,0.139621998978,1.12,1.12,728000000,728000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000189/0001326160-19-000189-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000189/duk-20190630x10q.htm
2019-03-31,DUK,2019-05-09,2019-05-09 11:20:04,Q1,6163000000,925000000,5238000000,0.8499107577478501,0.0,0.0,0.0,4787000000,4787000000,4787000000,543000000,1238000000,2611000000,0.423657309752,1373000000,0.222781113094,158000000,988000000,0.160311536589,95000000,900000000,0.146032776245,1.24,1.24,727000000,727000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000151/0001326160-19-000151-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000151/duk-20190331x10q.htm
2018-12-31,DUK,2019-02-28,2019-02-28 15:36:52,FY,6115000000,3812000000,2303000000,0.3766148814390842,0.0,0.0,0.0,697000000,697000000,5242000000,544000000,1249000000,2120000000,0.346688470973,871000000,0.142436631235,106000000,433000000,0.0708094848733,-1000000.0,464000000,0.0758789860998,0.64,0.65,708000000,708000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/0001326160-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/duk-20181231x10k.htm
2018-09-30,DUK,2018-11-02,2018-11-02 11:21:45,Q3,6628000000,1148000000,5480000000,0.8267954133977067,0.0,0.0,0.0,5059000000,5059000000,5059000000,517000000,1197000000,2776000000,0.418829209415,1579000000,0.238231744116,168000000,1230000000,0.185576342788,168000000,1082000000,0.163246831623,1.53,1.52,705000000,706000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000201/0001326160-18-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000201/duk-20180930x10q.htm
2018-06-30,DUK,2018-08-02,2018-08-02 13:29:20,Q2,5643000000,1871000000,3772000000,0.6684387737019316,0.0,0.0,0.0,4667000000,4667000000,4667000000,518000000,1161000000,2140000000,0.379230905547,979000000,0.173489278752,146000000,607000000,0.107566897041,100000000,500000000,0.0886053517632,0.71,0.71,702000000,702000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000176/0001326160-18-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000176/duk-20180630x10q.htm
2018-03-31,DUK,2018-05-10,2018-05-10 11:08:40,Q1,6135000000,1676000000,4459000000,0.7268133659331704,0.0,0.0,0.0,313000000,313000000,4779000000,515000000,1089000000,2345000000,0.382233088835,1256000000,0.204726976365,62000000,803000000,0.130888345558,181000000,620000000,0.101059494703,0.88,0.88,701000000,701000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000139/0001326160-18-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000139/duk-20180331x10q.htm
2017-12-31,DUK,2018-02-21,2018-02-21 16:28:38,FY,5799000000,1497000000,4302000000,0.7418520434557683,0.0,0.0,0.0,230000000,230000000,4541000000,511000000,1056000000,2318000000,0.39972409036,1262000000,0.217623728229,115000000,866000000,0.14933609243,161000000,703000000,0.121227797896,1.0,1.0,700000000,700000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000034/0001326160-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000034/duk-20171231x10k.htm
2017-09-30,DUK,2017-11-03,2017-11-03 12:21:20,Q3,6482000000,1863000000,4619000000,0.7125887071891391,0.0,0.0,0.0,68000000,68000000,4793000000,498000000,1037000000,2732000000,0.42147485344,1695000000,0.261493366245,124000000,1321000000,0.203795124961,364000000,954000000,0.147176797285,1.36,1.36,700000000,700000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000175/0001326160-17-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000175/duk-20170930x10q.htm
