date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,EMR,2020-04-24,2020-04-24 13:53:28,Q2,4162000000,2412000000,1750000000,0.4204709274387314,0.0,983000000,0.0,0.0,983000000,3395000000,0.0,211000000,900000000,0.216242191254,689000000,0.16554541086,0.0,689000000,0.16554541086,165000000,517000000,0.12421912542,0.85,0.84,608700000,612600000,https://www.sec.gov/Archives/edgar/data/32604/000003260420000021/0000032604-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260420000021/emr-20200331.htm
2019-12-31,EMR,2020-02-05,2020-02-05 14:35:41,Q1,4151000000,2392000000,1759000000,0.42375331245483017,0.0,1123000000,0.0,0.0,1123000000,3515000000,0.0,211000000,634000000,0.152734280896,423000000,0.101903155866,0.0,423000000,0.101903155866,94000000,326000000,0.0785352927006,0.53,0.53,610000000,614100000,https://www.sec.gov/Archives/edgar/data/32604/000003260420000007/0000032604-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260420000007/emr-12312019x10q.htm
2019-09-30,EMR,2019-11-18,2019-11-18 16:01:51,FY,4971000000,2843000000,2128000000,0.428082880708107,454000000,1109000000,0.0,0.0,1563000000,4406000000,0.0,213000000,1039000000,0.209012271173,826000000,0.166163749749,0.0,826000000,0.166163749749,102000000,717000000,0.144236572118,1.17,1.16,616200000,620600000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/0000032604-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/emr-09302019x10xk.htm
2019-06-30,EMR,2019-08-07,2019-08-07 11:10:44,Q3,4684000000,2683000000,2001000000,0.427198975234842,0.0,1126000000,0.0,0.0,1126000000,3809000000,0.0,203000000,970000000,0.207087959009,767000000,0.163748932536,0.0,767000000,0.163748932536,155000000,604000000,0.128949615713,0.98,0.97,617400000,621600000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000027/0000032604-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000027/emr-6302019x10q.htm
2019-03-31,EMR,2019-05-09,2019-05-09 16:17:10,Q2,4570000000,2645000000,1925000000,0.4212253829321663,0.0,1145000000,0.0,0.0,1145000000,3790000000,0.0,204000000,879000000,0.192341356674,675000000,0.147702407002,0.0,675000000,0.147702407002,150000000,520000000,0.113785557987,0.85,0.84,619000000,622900000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000018/0000032604-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000018/emr-3312019x10q.htm
2018-12-31,EMR,2019-02-06,2019-02-06 14:25:19,Q1,4147000000,2386000000,1761000000,0.42464432119604534,0.0,1077000000,0.0,0.0,1077000000,3463000000,0.0,202000000,793000000,0.191222570533,591000000,0.142512659754,0.0,591000000,0.142512659754,124000000,465000000,0.11212925006,0.74,0.74,623900000,627800000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000007/0000032604-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000007/emr-12312018x10q.htm
2018-09-30,EMR,2018-11-19,2018-11-19 14:49:23,FY,4888000000,2823000000,2065000000,0.4224631751227496,436000000,1180000000,0.0,0.0,1616000000,4439000000,0.0,201000000,939000000,0.192103109656,738000000,0.150981996727,0.0,738000000,0.150981996727,116000000,617000000,0.126227495908,0.98,0.97,632000000,635300000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/0000032604-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/emr-09302018x10xk.htm
2018-06-30,EMR,2018-08-08,2018-08-08 16:12:05,Q3,4456000000,2507000000,1949000000,0.4373877917414722,0.0,1054000000,0.0,0.0,1054000000,3561000000,0.0,179000000,947000000,0.212522441652,768000000,0.172351885099,0.0,768000000,0.172351885099,49000000,712000000,0.159784560144,1.13,1.12,633400000,636500000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000038/0000032604-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000038/emr-6302018x10q.htm
2018-03-31,EMR,2018-05-02,2018-05-02 16:47:08,Q2,4248000000,2423000000,1825000000,0.4296139359698682,0.0,1032000000,0.0,0.0,1032000000,3455000000,0.0,191000000,849000000,0.199858757062,658000000,0.154896421846,0.0,658000000,0.154896421846,169000000,482000000,0.113465160075,0.76,0.76,635400000,638300000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000029/0000032604-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000029/emr-3312018x10q.htm
2017-12-31,EMR,2018-02-07,2018-02-07 13:31:14,Q1,3816000000,2195000000,1621000000,0.42479035639413,0.0,992000000,0.0,0.0,992000000,3187000000,0.0,187000000,690000000,0.180817610063,503000000,0.131813417191,0.0,503000000,0.131813417191,109000000,392000000,0.102725366876,0.61,0.61,638200000,640500000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000011/0000032604-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000011/emr-12312017x10q.htm
2017-09-30,EMR,2017-11-20,2017-11-20 13:57:46,FY,4435000000,2631000000,1804000000,0.40676437429537765,340000000,997000000,0.0,0.0,1337000000,3968000000,0.0,182000000,867000000,0.195490417136,685000000,0.154453213078,0.0,685000000,0.154453213078,183000000,504000000,0.113641488162,0.78,0.78,642100000,643400000,https://www.sec.gov/Archives/edgar/data/32604/000003260417000046/0000032604-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260417000046/emr-09302017x10xk.htm
2017-06-30,EMR,2017-08-02,2017-08-02 13:13:08,Q3,4039000000,2361000000,1678000000,0.41544936865560783,0.0,931000000,0.0,0.0,931000000,3292000000,0.0,171000000,792000000,0.196088140629,621000000,0.153750928448,0.0,621000000,0.153750928448,202000000,413000000,0.102253032929,0.64,0.64,643100000,644300000,https://www.sec.gov/Archives/edgar/data/32604/000003260417000036/0000032604-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260417000036/emr-6302017x10q.htm
2017-03-31,EMR,2017-05-04,2017-05-04 12:58:43,Q2,3574000000,2017000000,1557000000,0.4356463346390599,0.0,868000000,0.0,0.0,868000000,2885000000,0.0,140000000,705000000,0.197257974259,565000000,0.158086177952,0.0,565000000,0.158086177952,181000000,292000000,0.0817011751539,0.45,0.45,643200000,644500000,https://www.sec.gov/Archives/edgar/data/32604/000003260417000022/0000032604-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260417000022/emr-3312017x10q.htm
2016-12-31,EMR,2017-02-08,2017-02-08 15:05:31,Q1,3216000000,1851000000,1365000000,0.4244402985074627,0.0,822000000,0.0,0.0,822000000,2673000000,0.0,143000000,607000000,0.188743781095,464000000,0.144278606965,0.0,464000000,0.144278606965,94000000,309000000,0.0960820895522,0.48,0.48,642800000,644300000,https://www.sec.gov/Archives/edgar/data/32604/000003260417000007/0000032604-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260417000007/emr-12312016x10q.htm
2016-09-30,EMR,2016-11-16,2016-11-16 17:15:14,FY,14522000000,8260000000,6262000000,0.431207822613965,320000000,3464000000,0.0,0.0,137000000,11724000000,0.0,-21000000,440000000,0.11003993940228618,461000000,0.11148602120919983,0.0,461000000,0.15948216499104806,61000000,438000000,0.15948216499104806,0.68,0.68,644000000,646800000,https://www.sec.gov/Archives/edgar/data/32604/000003260416000105/0000032604-16-000105-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260416000105/emr930201610-k.htm
2016-06-30,EMR,2016-08-03,2016-08-03 16:10:48,Q3,5126000000,3032000000,2094000000,0.40850565743269607,0.0,1203000000,0.0,0.0,1203000000,4235000000,0.0,192000000,936000000,0.182598517362,744000000,0.145142411237,0.0,744000000,0.145142411237,254000000,479000000,0.093445181428,0.74,0.74,644700000,647400000,https://www.sec.gov/Archives/edgar/data/32604/000003260416000097/0000032604-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260416000097/emr-6302016x10q.htm
2016-03-31,EMR,2016-05-05,2016-05-05 10:53:05,Q2,4928000000,2934000000,1994000000,0.40462662337662336,0.0,1218000000,0.0,0.0,1218000000,4152000000,0.0,195000000,803000000,0.162946428571,608000000,0.123376623377,0.0,608000000,0.123376623377,231000000,369000000,0.0748782467532,0.57,0.57,646000000,648600000,https://www.sec.gov/Archives/edgar/data/32604/000003260416000085/0000032604-16-000085-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260416000085/emr-3312016x10q.htm
2015-12-31,EMR,2016-02-03,2016-02-03 13:56:54,Q1,4713000000,2824000000,1889000000,0.40080628050074263,0.0,1226000000,0.0,0.0,1226000000,4050000000,0.0,202000000,705000000,0.149586250796,503000000,0.106726076809,0.0,503000000,0.106726076809,151000000,349000000,0.0740504986208,0.54,0.53,650000000,652500000,https://www.sec.gov/Archives/edgar/data/32604/000003260416000062/0000032604-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260416000062/emr-12312015x10q.htm
