date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,F,2020-04-29,2020-04-28 19:03:29,Q1,34320000000,30522000000,3798000000,0.11066433566433566,0.0,0.0,2432000000,492000000,2924000000,35878000000,-2924000000,2444000000,886000000,0.025815850815850815,-1558000000,-0.045396270396270394,680000000,-1146000000,-0.033391608391608395,847000000,-1993000000,-0.05807109557109557,3.963,3.963,3963000000,3963000000,https://www.sec.gov/Archives/edgar/data/37996/000003799620000041/0000037996-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799620000041/f0331202010-q.htm
2019-12-31,F,2020-02-05,2020-02-05 12:01:22,FY,115558000000,100751000000,14807000000,0.12813478945637688,7400000000,8318000000,2992000000,2072000000,17790000000,116186000000,5409000000,8490000000,7454000000,0.0645044047145,-457000000,-0.01150698728440136,-1660000000,-2436000000,-0.061337026312476395,-764000000,-1672000000,-0.04209996223089513,-0.28,-0.28,3972000000,4004000000,https://www.sec.gov/Archives/edgar/data/37996/000003799620000010/0000037996-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799620000010/f1231201910-k.htm
2019-09-30,F,2019-10-24,2019-10-23 18:35:03,Q3,77332000000,66224000000,11108000000,0.14364040759323438,0.0,0.0,5444000000,5444000000,4723000000,76391000000,-4723000000,7310000000,8136000000,0.10520871049500853,826000000,0.01068121864170072,1162000000,1591000000,0.020573630579837583,-15000000,1606000000,0.020767599441369678,3.976,3.976,3976.0,4006.0,https://www.sec.gov/Archives/edgar/data/37996/000003799619000078/0000037996-19-000078-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000078/f0930201910-q.htm
2019-06-30,F,2019-07-25,2019-07-24 19:05:43,Q2,38853000000,33657000000,5196000000,0.13373484672998223,0.0,0.0,2725000000,2725000000,2381000000,38763000000,-2381000000,0.0,205000000,0.005276297840578591,205000000,0.005276297840578591,272000000,205000000,0.005276297840578591,55000000,150000000,0.003860705737008725,0.03765060240963855,0.0373785198106155,3984000000,4013000000,https://www.sec.gov/Archives/edgar/data/37996/000003799619000067/0000037996-19-000067-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000067/f0630201910-q.htm
2019-03-31,F,2019-04-26,2019-04-25 20:29:16,Q1,40342000000,33942000000,6400000000,0.1586435972435675,0.0,2843000000,2843000000,2843000000,2843000000,39140000000,0.0,0.0,1610000000,0.0399087799316,1610000000,0.0399087799316,628000000,1610000000,0.0399087799316,427000000,1146000000,0.0284071191314,0.29,0.29,3973000000,3997000000,https://www.sec.gov/Archives/edgar/data/37996/000003799619000026/0000037996-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000026/f0331201910-q.htm
2018-12-31,F,2019-02-21,2019-02-21 16:10:10,FY,41793000000,35754000000,6039000000,0.14449788242050104,8200000000,2996000000,2996000000,2996000000,2996000000,41161000000,281000000,8308000000,8291000000,0.198382504247,-17000000,-0.00040676668341588305,-225000000,-17000000,-0.00040676668341588305,95000000,-112000000,-0.0026798746201517,-0.02,-0.03,3974000000,3998000000,https://www.sec.gov/Archives/edgar/data/37996/000003799619000012/0000037996-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000012/f1231201810-k.htm
2018-09-30,F,2018-10-25,2018-10-24 19:14:10,Q3,37666000000,31568000000,6098000000,0.16189667073753516,0.0,2882000000,5629000000,5629000000,2882000000,36802000000,328000000,0.0,1094000000,0.0290447618542,1094000000,0.0290447618542,605000000,1094000000,0.0290447618542,101000000,991000000,0.0263102001805,0.25,0.25,3976000000,3999000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000084/0000037996-18-000084-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000084/f0930201810-q.htm
2018-06-30,F,2018-07-26,2018-07-25 19:41:30,Q2,38920000000,33194000000,5726000000,0.14712230215827338,0.0,2778000000,2778000000,2778000000,2778000000,38334000000,287000000,0.0,1349000000,0.0346608427544,1349000000,0.0346608427544,1004000000,1349000000,0.0346608427544,280000000,1066000000,0.0273895169579,0.26,0.27,3976000000,3998000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000063/0000037996-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000063/f0630201810-q.htm
2018-03-31,F,2018-04-26,2018-04-25 19:38:26,Q1,41959000000,35753000000,6206000000,0.14790628947305703,0.0,2747000000,2747000000,2747000000,2747000000,40838000000,275000000,0.0,1919000000,0.0457351223814,1919000000,0.0457351223814,863000000,1919000000,0.0457351223814,174000000,1736000000,0.0413737219667,0.44,0.43,3974000000,3997000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000036/0000037996-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000036/f0331201810-q.htm
2017-12-31,F,2018-02-08,2018-02-08 11:41:16,FY,41326000000,34987000000,6339000000,0.15339011760150995,8000000000,3088000000,3088000000,3088000000,3088000000,40457000000,293000000,8453000000,10342000000,0.250254077336,1889000000,0.0457097226927,66000000,1889000000,0.0457097226927,-524000000,2409000000,0.0582926003001,0.6,0.6,3975000000,3998000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000015/0000037996-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000015/f1231201710-k.htm
