date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-29,GD,2020-04-29,2020-04-29 11:51:18,Q1,8749000000,0,8749000000,1,0,547000000,0,-107000000,440000000,7808000000,0,212000000,1153000000,0.131786489885,941000000,0.10755514916,0,848000000,0.0969253628986,142000000,706000000,0.0806949365642,2.43,2.43,288569000,289943000,https://www.sec.gov/Archives/edgar/data/40533/000004053320000029/0000040533-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053320000029/gd-2020032910q.htm
2019-12-31,GD,2020-02-10,2020-02-10 16:10:04,FY,10773000000,8816000000,1957000000,0.18165784832451498,466000000,629000000,0,-576000000,519000000,9445000000,472000000,204000000,1532000000,0.142207370278,1328000000,0.123271140815,0,1214000000,0.112689130233,194000000,1020000000,0.0946811473127,3.54,3.51,288286000,290836000,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/0000040533-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/gd-2019123110k.htm
2019-09-29,GD,2019-10-23,2019-10-23 11:21:41,Q3,9761000000,7973000000,1788000000,0.183177953078578,0,572000000,0,-114000000,458000000,8545000000,0,210000000,1426000000,0.146091588977,1216000000,0.124577399857,0,1090000000,0.111668886385,177000000,913000000,0.093535498412,3.22,3.14,288130000,290834000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000056/0000040533-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000056/gd-2019092910q.htm
2019-06-30,GD,2019-07-24,2019-07-24 11:07:09,Q2,9555000000,7869000000,1686000000,0.17645211930926216,0,596000000,0,-119000000,477000000,8465000000,0,210000000,1300000000,0.136054421769,1090000000,0.114076399791,0,983000000,0.102878074307,177000000,806000000,0.0843537414966,2.77,2.77,288008000,290824000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000048/0000040533-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000048/gd-2019063010q.htm
2019-03-31,GD,2019-04-24,2019-04-24 15:15:08,Q1,9261000000,7633000000,1628000000,0.17579095130115538,0,614000000,0,-117000000,497000000,8247000000,0,205000000,1219000000,0.131627254076,1014000000,0.109491415614,0,915000000,0,170000000,745000000,0.0804448763632,2.56,2.56,287917000,290891000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000021/0000040533-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000021/gd-2019033110q.htm
2018-12-31,GD,2019-02-13,2019-02-13 11:25:10,FY,10378000000,8595000000,1783000000,0.17180574291771053,502000000,557000000,0,-614000000,445000000,9152000000,374000000,221000000,1447000000,0.139429562536,1226000000,0.118134515321,0,1132000000,0.109076893428,223000000,909000000,0.0875891308537,3.1,3.06,295262000,299160000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/0000040533-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/gd-2018123110k.htm
2018-09-30,GD,2018-10-24,2018-10-24 11:39:05,Q3,9094000000,13635000000,-4541000000,-0.49934022432372993,0,575000000,0,-114000000,461000000,7959000000,0,215000000,1350000000,0.148449527161,1135000000,0.124807565428,0,1010000000,0.111062238839,159000000,851000000,0.0935781834176,2.96,2.85,295964000,300078000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000060/0000040533-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000060/gd-2018093010q.htm
2018-07-01,GD,2018-07-25,2018-07-25 10:53:42,Q2,9186000000,3702000000,5484000000,0.596995427824951,0,589000000,0,-103000000,486000000,8098000000,0,218000000,1306000000,0.142172871761,1088000000,0.118441106031,0,970000000,0.105595471369,184000000,786000000,0.0855649902025,2.62,2.62,296276000,300594000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000043/0000040533-18-000043-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000043/gd-2018070110q.htm
2018-04-01,GD,2018-04-25,2018-04-25 10:34:24,Q1,7535000000,3546000000,3989000000,0.5293961512939616,0,537000000,0,-27000000,510000000,6527000000,0,109000000,1117000000,0.148241539482,1008000000,0.133775713338,0,960000000,0,161000000,799000000,0.10603848706,2.65,2.65,296399000,301104000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000018/0000040533-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000018/gd-2018040110q.htm
2017-12-31,GD,2018-02-12,2018-02-12 10:10:40,FY,8277000000,4135000000,4142000000,0.5004228585236197,521000000,514000000,0,24786000000,487000000,7243000000,117000000,115000000,1149000000,0.138818412468,1034000000,0.124924489549,0,1008000000,0.121783254802,372000000,636000000,0.0768394345777,2.14,2.11,299172000,304637000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000008/0000040533-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000008/gd-2017123110k.htm
2017-10-01,GD,2017-10-25,2017-10-25 10:38:45,Q3,7580000000,3646000000,3934000000,0.5189973614775726,0,510000000,0,19553000000,483000000,6528000000,0,106000000,1158000000,0.152770448549,1052000000,0.138786279683,0,1027000000,0.135488126649,263000000,764000000,0.100791556728,2.56,2.51,299902000,305501000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000043/0000040533-17-000043-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000043/gd-2017100110q.htm
2017-07-02,GD,2017-07-26,2017-07-26 10:10:32,Q2,7675000000,3582000000,4093000000,0.5332899022801303,0,505000000,0,13025000000,481000000,6619000000,0,109000000,1165000000,0.151791530945,1056000000,0.137589576547,0,1032000000,0.134462540717,283000000,749000000,0.0975895765472,2.5,2.46,300780000,306340000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000033/0000040533-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000033/gd-2017070210q.htm
2017-04-02,GD,2017-04-26,2017-04-26 10:24:57,Q1,7441000000,3436000000,4005000000,0.5382341083187744,0,481000000,0,-25000000,456000000,6406000000,0,111000000,1146000000,0.154011557586,1035000000,0.139094207768,0,1010000000,0.135734444295,247000000,763000000,0.102539981185,2.53,2.48,301771000,307282000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000014/0000040533-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000014/gd-2017040210q.htm
2016-12-31,GD,2017-02-06,2017-02-06 09:42:26,FY,8233000000,4156000000,4077000000,0.4952022349082959,418000000,523000000,0,-441000000,500000000,7116000000,99000000,112000000,1229000000,0.149277298676,1117000000,0.135673509049,0,1094000000,0.132879873679,287000000,797000000,0.0968055386858,2.63,2.58,304707000,310387000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/0000040533-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/gd-2016123110k.htm
2016-10-02,GD,2016-10-26,2016-10-26 10:41:02,Q3,7731000000,3757000000,3974000000,0.5140344069331264,0,471000000,0,19928000000,448000000,6662000000,0,110000000,1179000000,0.152502910361,1069000000,0.138274479369,0,1048000000,0.135558142543,281000000,683000000,0.0883456215237,2.25,2.21,305445000,311124000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000090/0000040533-16-000090-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000090/gd-2016100210q.htm
2016-07-03,GD,2016-07-27,2016-07-27 10:07:14,Q2,7665000000,3746000000,3919000000,0.5112850619699935,0,486000000,0,13266000000,463000000,6595000000,0,115000000,1185000000,0.154598825832,1070000000,0.139595564253,0,1048000000,0.136725375082,290000000,758000000,0.0988910632746,2.49,2.43,306199000,311809000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000081/0000040533-16-000081-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000081/gd-2016070310q.htm
2016-04-03,GD,2016-04-27,2016-04-27 10:09:09,Q1,7724000000,3784000000,3940000000,0.5100983946141895,0,460000000,0,-22000000,438000000,6671000000,0,117000000,1170000000,0.151475919213,1053000000,0.136328327292,0,1041000000,0.13477472812,311000000,717000000,0.092827550492,2.33,2.3,307928000,312346000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000065/0000040533-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000065/gd-2016040310q.htm
2015-12-31,GD,2016-02-08,2016-02-08 11:26:07,FY,7809000000,3984000000,3825000000,0.4898194391087207,395000000,506000000,0,-414000000,487000000,6773000000,98000000,122000000,1158000000,0.148290434114,1036000000,0.132667435011,0,1019000000,0.130490459726,255000000,764000000,0.097835830452,2.44,2.4,321313000,326652000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000056/0000040533-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000056/gd-2015123110k.htm
2015-10-04,GD,2015-10-28,2015-10-28 10:15:21,Q3,7994000000,4037000000,3957000000,0.49499624718538904,0,476000000,0,20518000000,453000000,6960000000,0,117000000,1151000000,0.14398298724,1034000000,0.129347010258,0,1013000000,0.12672004003,280000000,733000000,0.0916937703277,2.31,2.27,323996000,329414000,https://www.sec.gov/Archives/edgar/data/40533/000004053315000046/0000040533-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000046/gd-2015100410q.htm
2015-07-05,GD,2015-07-29,2015-07-29 10:08:00,Q2,7882000000,4031000000,3851000000,0.48858157827962445,0,467000000,0,13558000000,447000000,6801000000,0,119000000,1200000000,0.152245622938,1081000000,0.137147931997,0,1061000000,0.134610504948,309000000,752000000,0.0954072570414,2.3,2.27,327653000,333049000,https://www.sec.gov/Archives/edgar/data/40533/000004053315000038/0000040533-15-000038-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000038/gd-2015070510q.htm
2015-04-05,GD,2015-04-29,2015-04-29 10:57:54,Q1,7784000000,3819000000,3965000000,0.5093782117163412,0,503000000,0,-21000000,482000000,6757000000,0,124000000,1151000000,0.147867420349,1027000000,0.131937307297,0,1009000000,0.129624871531,293000000,716000000,0.0919835560123,2.18,2.14,329154000,334682000,https://www.sec.gov/Archives/edgar/data/40533/000004053315000016/0000040533-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000016/gd-2015040510q.htm
2014-12-31,GD,2015-02-09,2015-02-09 12:08:20,FY,8362000000,4368000000,3994000000,0.4776369289643626,358000000,529000000,0,-19668000000,510000000,7295000000,103000000,120000000,1187000000,0.141951686199,1067000000,0.12760105238,0,1149000000,0.137407318823,308000000,701000000,0.0838316192298,2.12,2.08,335192000,341331000,https://www.sec.gov/Archives/edgar/data/40533/000004053315000009/0000040533-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000009/gd-2014123110k.htm
2014-09-28,GD,2014-10-22,2014-10-22 10:10:00,Q3,7751000000,3865000000,3886000000,0.5013546639143336,0,478000000,0,6752000000,457000000,6752000000,0,124000000,1123000000,0.144884531028,999000000,0.128886595278,0,981000000,0.126564314282,285000000,696000000,0.0897948651787,2.09,2.05,336911000,343114000,https://www.sec.gov/Archives/edgar/data/40533/000004053314000025/0000040533-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053314000025/gd-2014092810q.htm
