date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,GE,2020-04-29,2020-04-29 06:38:37,Q1,20524000000,15696000000,4828000000,0.2352367959462093,0.0,3065000000,0.0,109000000,3065000000,20918000000,0.0,991000000,7403000000,0.3606996686805691,6412000000,0.31241473396998637,6869000000,6475000000,0.3154843110504775,-63000000,6538000000,0.31855388813096863,0.72,0.72,8742000000,8742000000,https://www.sec.gov/Archives/edgar/data/40545/000004054520000021/0000040545-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054520000021/ge1q202010-q.htm
2019-12-31,GE,2020-02-24,2020-02-24 16:34:07,FY,26238000000,19080000000,7158000000,0.2728104276240567,0.0,3829000000,0.0,121000000,3829000000,25719000000,0.0,1406000000,2250000000,0.08575348730848388,844000000,0.032167085905937955,1052000000,1571000000,0.05987499047183474,-727000000,2298000000,0.08758289503773153,-0.01,-0.01,8724000000,8724000000,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/0000040545-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/ge10-k2019.htm
2019-09-30,GE,2019-10-30,2019-10-30 06:23:20,Q3,12859000000,8778000000,4081000000,0.31736526946107785,0.0,1790000000,0.0,89000000,1790000000,14582000000,0.0,791000000,-556000000,-0.04323819892682168,-1347000000,-0.10475153588926044,300000000,-1423000000,-0.11066179329652384,75000000,-1498000000,-0.11649428415895481,-0.005977,-0.005977,8721000000,8721000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000069/0000040545-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000069/ge3q201910-q.htm
2019-06-30,GE,2019-07-31,2019-07-31 06:12:38,Q2,28831000000,21817000000,7014000000,0.24327980298983734,0.0,4184000000,0.0,167000000,4184000000,29097000000,0.0,1686000000,1559000000,0.05407374007145087,-127000000,-0.004404980749887274,-8000000.0,-274000000,-0.009503659255662308,148000000,-422000000,-0.01463702264923173,3.488,3.488,8724000000,8724000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000053/0000040545-19-000053-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000053/ge2q201910-q.htm
2019-03-31,GE,2019-04-30,2019-04-30 06:08:24,Q1,27286000000,20353000000,6933000000,0.2540863446456058,0.0,4146000000,0.0,81000000,4146000000,26889000000,0.0,1712000000,2765000000,0.10133401744484351,1053000000,0.03859121894011581,878000000,1275000000,0.046727259400425124,-222000000,1497000000,0.05486329986073444,3.549,3.549,8711000000,8711000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000024/0000040545-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000024/ge1q201910-q.htm
2018-12-31,GE,2019-02-26,2019-02-26 16:36:51,FY,33278000000,25876000000,7402000000,0.22242923252599314,0.0,4564000000,0.0,178000000,4564000000,33404000000,0.0,1876000000,2829000000,0.08501111845663802,953000000,0.028637538313600577,984000000,858000000,0.025782799447082158,94000000,764000000,0.022958110463369194,-0.022802,-0.022802,8691000000,8691000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000014/0000040545-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000014/ge10-k2018.htm
2018-09-30,GE,2018-10-30,2018-10-30 07:34:30,Q3,29573000000,22846000000,6727000000,0.2274710039563115,0.0,4855000000,0.0,98000000,4855000000,52515000000,0.0,2482000000,-20417000000,-0.690393264126061,-22899000000,-0.7743211713387211,206000000,-22736000000,-0.7688093869407906,-162000000,-22574000000,-0.7633314171710682,-0.023376,-0.023376,8690537303,8690537303,https://www.sec.gov/Archives/edgar/data/40545/000004054518000081/0000040545-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000081/ge3q201810-q.htm
2018-06-30,GE,2018-07-27,2018-07-27 17:02:42,Q2,30104000000,22423000000,7681000000,0.2551488174328993,0.0,4488000000,0.0,67000000,4488000000,29636000000,0.0,1953000000,2742000000,0.09108424129683763,789000000,0.02620914164230667,864000000,1331000000,0.04421339356896094,-542000000,1873000000,0.062217645495615204,-0.568,-0.568,8977112676,8977112676,https://www.sec.gov/Archives/edgar/data/40545/000004054518000061/0000040545-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000061/ge2q201810-q.htm
2018-03-31,GE,2018-05-01,2018-05-01 16:18:23,Q1,28660000000,21526000000,7134000000,0.24891835310537333,0.0,4204000000,0.0,121000000,4204000000,28453000000,0.0,1913000000,2353000000,0.08210048848569435,440000000,0.015352407536636426,205000000,413000000,0.01441032798325192,27000000,386000000,0.013468248429867411,-0.001184,-0.001184,8013513513,8013513513,https://www.sec.gov/Archives/edgar/data/40545/000004054518000032/0000040545-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000032/ge1q201810-q.htm
2017-12-31,GE,2018-02-23,2018-02-23 16:52:20,FY,31401000000,25688000000,5713000000,0.18193688099105124,0.0,4631000000,0.0,2101000000,4631000000,44004000000,0.0,1424000000,-8439000000,-0.26874940288525845,-9863000000,-0.3140982771249323,-986000000,-12603000000,-0.40135664469284416,2740000000,-15343000000,-0.48861501226075604,-0.006222,-0.006222,8641667000,8641667000,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/0000040545-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/ge10-k2017.htm
