date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,GS,2020-05-01,2020-04-30 19:30:05,Q1,8743000000,0.0,8743000000,1.0,0.0,0.0,0.0,6458000000,6458000000,6458000000,-3437000000,437000000,437000000,0.04998284341759122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358,0.36110000000000003,0.0,0.0,https://www.sec.gov/Archives/edgar/data/886982/000119312520129324/0001193125-20-129324-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312520129324/d907802d10q.htm
2019-12-31,GS,2020-02-21,2020-02-20 21:09:56,FY,9955000000,0.0,9955000000,1.0,308000000,3046000000,0.0,7298000000,3354000000,3354000000,3857000000,464000000,2785000000,0.279758915118,2321000000,0.233149171271,0.0,2321000000,0.233149171271,404000000,1917000000,0.192566549473,4.75,4.71,371600000,375500000,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/0001193125-20-043853-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/d826673d10k.htm
2019-09-30,GS,2019-11-01,2019-10-31 18:43:06,Q3,8323000000,0.0,8323000000,1.0,283000000,2731000000,0.0,5616000000,3014000000,3014000000,4451000000,473000000,2889000000,0.347110416917,2416000000,0.290279947134,0.0,2416000000,0.290279947134,539000000,1877000000,0.225519644359,4.84,4.8,374700000,378200000,https://www.sec.gov/Archives/edgar/data/886982/000119312519280752/0001193125-19-280752-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519280752/d790566d10q.htm
2019-06-30,GS,2019-08-05,2019-08-05 08:42:44,Q2,9461000000,0.0,9461000000,1.0,290000000,3317000000,0.0,6120000000,3607000000,3607000000,4689000000,399000000,3526000000,0.372687876546,3127000000,0.330514744742,0.0,3127000000,0.330514744742,706000000,2421000000,0.255892611775,5.86,5.81,377100000,380200000,https://www.sec.gov/Archives/edgar/data/886982/000119312519212578/0001193125-19-212578-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519212578/d105283d10q.htm
2019-03-31,GS,2019-05-06,2019-05-03 20:02:30,Q1,8807000000,0.0,8807000000,1.0,286000000,3259000000,0.0,5864000000,3545000000,3545000000,4379000000,368000000,3087000000,0.350516634495,2719000000,0.308731690701,0.0,2719000000,0.308731690701,468000000,2251000000,0.255592142614,5.73,5.71,379800000,382400000,https://www.sec.gov/Archives/edgar/data/886982/000119312519137184/0001193125-19-137184-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519137184/d729034d10q.htm
2018-12-31,GS,2019-02-26,2019-02-25 19:51:24,FY,8532000000,0.0,8532000000,1.0,262000000,1656000000,0.0,5150000000,1918000000,1918000000,4477000000,377000000,3085000000,0.361579934365,2708000000,0.31739334271,0.0,2708000000,0.31739334271,170000000,2538000000,0.29746835443,6.11,6.06,385400000,390200000,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/0001193125-19-050198-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/d669877d10k.htm
2018-09-30,GS,2018-11-02,2018-11-02 17:09:30,Q3,8646000000,0.0,8646000000,1.0,250000000,3091000000,0.0,5568000000,3341000000,3341000000,4205000000,317000000,3395000000,0.392667129308,3078000000,0.35600277585,0.0,3078000000,0.35600277585,554000000,2524000000,0.291926902614,6.35,6.28,387400000,392300000,https://www.sec.gov/Archives/edgar/data/886982/000119312518317325/0001193125-18-317325-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518317325/d631824d10q.htm
2018-06-30,GS,2018-08-03,2018-08-02 19:39:19,Q2,9402000000,0.0,9402000000,1.0,260000000,3466000000,0.0,6126000000,3726000000,3726000000,3918000000,335000000,3611000000,0.38406721974,3276000000,0.348436502872,0.0,3276000000,0.348436502872,711000000,2565000000,0.272814294831,6.05,5.98,388400000,393200000,https://www.sec.gov/Archives/edgar/data/886982/000119312518236920/0001193125-18-236920-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518236920/d352886d10q.htm
2018-03-31,GS,2018-05-04,2018-05-03 19:19:58,Q1,10036000000,0.0,10036000000,1.0,251000000,4115000000,0.0,6617000000,4366000000,4366000000,3312000000,299000000,3718000000,0.370466321244,3419000000,0.34067357513,0.0,3419000000,0.34067357513,587000000,2832000000,0.282184137106,7.02,6.95,389100000,393800000,https://www.sec.gov/Archives/edgar/data/886982/000119312518151188/0001193125-18-151188-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518151188/d535211d10q.htm
2017-12-31,GS,2018-02-26,2018-02-23 20:16:10,FY,7834000000,0.0,7834000000,1.0,230000000,2157000000,0.0,758000000,2387000000,2387000000,2838000000,350000000,3458000000,0.441409241767,3108000000,0.396732193005,0.0,3108000000,0.396732193005,5036000000,-1928000000,-0.246106714322,-5.2,-5.1,401600000,409100000,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/0001193125-18-056383-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/d480167d10k.htm
2017-09-30,GS,2017-11-03,2017-11-02 19:15:48,Q3,8326000000,0.0,8326000000,1.0,220000000,3172000000,0.0,5350000000,3392000000,3392000000,2681000000,280000000,3256000000,0.39106413644,2976000000,0.357434542397,0.0,2976000000,0.357434542397,848000000,2128000000,0.255584914725,5.08,5.01,405600000,413000000,https://www.sec.gov/Archives/edgar/data/886982/000119312517331475/0001193125-17-331475-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312517331475/d464365d10q.htm
2017-06-30,GS,2017-08-04,2017-08-03 20:35:29,Q2,7887000000,0.0,7887000000,1.0,224000000,3233000000,0.0,5378000000,3457000000,3457000000,2432000000,265000000,2774000000,0.35171801699,2509000000,0.318118422721,0.0,2509000000,0.318118422721,678000000,1831000000,0.232154177761,4.01,3.95,409300000,416700000,https://www.sec.gov/Archives/edgar/data/886982/000119312517247803/0001193125-17-247803-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312517247803/d416122d10q.htm
2017-03-31,GS,2017-05-04,2017-05-03 19:43:50,Q1,8026000000,0.0,8026000000,1.0,223000000,3291000000,0.0,5487000000,3514000000,3514000000,2230000000,257000000,2796000000,0.348367804635,2539000000,0.316346872664,0.0,2539000000,0.316346872664,284000000,2255000000,0.28096187391,5.23,5.15,412500000,420100000,https://www.sec.gov/Archives/edgar/data/886982/000119312517156659/0001193125-17-156659-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312517156659/d369549d10q.htm
