date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-05-03,HD,2020-05-27,2020-05-26 19:59:23,Q1,28260000000,18635000000,9625000000,0.34058740268931353,0.0,5829000000,0.0,520000000,6349000000,24984000000,-324000000,607000000,3883000000,0.13740268931351735,3276000000,0.1159235668789809,0.0,2969000000,0.10506015569709837,724000000,2245000000,0.0794409058740269,2.09,2.09,1073000000,1073000000,https://www.sec.gov/Archives/edgar/data/354950/000035495020000041/0000354950-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495020000041/hd-20200503.htm
2020-02-02,HD,2020-03-25,2020-03-25 16:41:53,FY,25782000000,17046000000,8736000000,0.3388410518966721,0.0,4814000000,0.0,519000000,5333000000,22379000000,309000000,595000000,3998000000,0.155069428283,3403000000,0.131991311768,-292000000,3111000000,0.120665580638,630000000,2481000000,0.0962299278566,2.3,2.29,1093000000,1097000000,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/0000354950-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/hd10k02022020.htm
2019-11-03,HD,2019-11-26,2019-11-25 17:56:16,Q3,27223000000,17836000000,-17835999996,-4458999999,0.0,4942000000,0.0,498000000,5440000000,23276000000,302000000,594000000,4541000000,0.16680747897,3947000000,0.144987694229,-280000000,3667000000,0.134702273813,898000000,2769000000,0.101715461191,2.53,2.53,1096000000,1100000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000066/0000354950-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000066/hd10q11032019.htm
2019-08-04,HD,2019-08-27,2019-08-26 18:07:04,Q2,30839000000,20407000000,10432000000,0.3382729660494828,0.0,5044000000,0.0,492000000,5536000000,25943000000,302000000,560000000,5456000000,0.176918836538,4896000000,0.158760011674,-283000000,4613000000,0.149583319822,1134000000,3479000000,0.112811699471,3.18,3.16,1098000000,1103000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000057/0000354950-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000057/hd10q08042019.htm
2019-05-05,HD,2019-05-29,2019-05-28 18:14:51,Q1,26381000000,17364000000,9017000000,0.34179902202342594,0.0,4940000000,0.0,480000000,5420000000,22784000000,288000000,547000000,4144000000,0.157082748948,3597000000,0.136348129336,-273000000,3324000000,0.125999772564,811000000,2513000000,0.0952579507979,2.28,2.27,1101000000,1106000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000024/0000354950-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/hd_10kx02032019.htm
2019-02-03,HD,2019-03-28,2019-03-28 16:42:29,FY,26491000000,17464000000,9027000000,0.34075723830734966,0.0,4922000000,0.0,727000000,5649000000,23113000000,269000000,549000000,3927000000,0.148239024574,3378000000,0.127515005096,-265000000,3113000000,0.117511607716,769000000,2344000000,0.0884828809784,2.11,2.1,1137000000,1143000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/0000354950-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/hd_10kx02032019.htm
2018-10-28,HD,2018-11-20,2018-11-19 17:59:21,Q3,26302000000,17151000000,9151000000,0.3479203102425671,0.0,4808000000,0.0,473000000,5281000000,22432000000,249000000,541000000,4411000000,0.16770587788,3870000000,0.14713709984,-224000000,3646000000,0.138620637214,779000000,2867000000,0.109003117634,2.52,2.51,1144000000,1150000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000065/0000354950-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000065/hd_10qx10282018.htm
2018-07-29,HD,2018-08-21,2018-08-20 18:39:10,Q2,30463000000,20098000000,10365000000,0.34024882644519583,0.0,5004000000,0.0,460000000,5464000000,25562000000,272000000,530000000,5431000000,0.178281850113,4901000000,0.160883694974,-246000000,4655000000,0.152808324853,1149000000,3506000000,0.11509043758,3.06,3.04,1148000000,1154000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000051/0000354950-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000051/hd_10qx07292018.htm
2018-04-29,HD,2018-05-22,2018-05-21 18:12:31,Q1,24947000000,16330000000,8617000000,0.34541227402092434,0.0,4779000000,0.0,457000000,5236000000,21566000000,261000000,532000000,3913000000,0.156852527358,3381000000,0.135527317914,-239000000,3142000000,0.125947007656,738000000,2404000000,0.0963642922997,2.09,2.08,1152000000,1158000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000034/0000354950-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/hd_10k01282018.htm
2018-01-28,HD,2018-03-22,2018-03-22 16:56:00,FY,23883000000,15790000000,8093000000,0.3388602771846083,0.0,4440000000,0.0,464000000,4904000000,20694000000,269000000,529000000,3718000000,0.155675585144,3189000000,0.133525938952,-246000000,2943000000,0.123225725411,1164000000,1779000000,0.074488129632,1.54,1.53,1178000000,1184000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/0000354950-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/hd_10k01282018.htm
2017-10-29,HD,2017-11-21,2017-11-20 18:13:00,Q3,25026000000,16378000000,8648000000,0.3455606169583633,0.0,4514000000,0.0,454000000,4968000000,21346000000,269000000,518000000,4198000000,0.167745544634,3680000000,0.147047071046,-247000000,3433000000,0.137177335571,1268000000,2165000000,0.0865100295692,1.86,1.85,1184000000,1190000000,https://www.sec.gov/Archives/edgar/data/354950/000035495017000046/0000354950-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495017000046/hd_10qx10292017.htm
2017-07-30,HD,2017-08-22,2017-08-21 19:06:28,Q2,28108000000,18647000000,9461000000,0.3365945638252455,0.0,4549000000,0.0,449000000,4998000000,23645000000,265000000,510000000,4973000000,0.176924718941,4463000000,0.158780418386,-249000000,4214000000,0.149921730468,1542000000,2672000000,0.0950619040842,2.25,2.24,1191000000,1197000000,https://www.sec.gov/Archives/edgar/data/354950/000035495017000032/0000354950-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495017000032/hd_10qx07302017.htm
2017-04-30,HD,2017-05-23,2017-05-22 18:28:07,Q1,23887000000,15733000000,8154000000,0.3413572235944237,0.0,4361000000,0.0,444000000,4805000000,20538000000,254000000,505000000,3854000000,0.161342989911,3349000000,0.140201783397,-241000000,3108000000,0.130112613555,1094000000,2014000000,0.0843136434044,1.68,1.67,1198000000,1204000000,https://www.sec.gov/Archives/edgar/data/354950/000035495017000014/0000354950-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495017000005/hd-01292017x10xk.htm
2017-01-29,HD,2017-03-23,2017-03-23 16:29:46,FY,22207000000,14654000000,7553000000,0.34011798081685957,0.0,4183000000,0.0,443000000,4626000000,19280000000,246000000,499000000,3426000000,0.15427567884,2927000000,0.131805286621,-235000000,2692000000,0.121223037781,948000000,1744000000,0.07853379565,1.44,1.45,1229000000,1234000000,https://www.sec.gov/Archives/edgar/data/354950/000035495017000005/0000354950-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495017000005/hd-01292017x10xk.htm
