date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,HON,2020-05-01,2020-05-01 09:34:13,Q1,8463000000,5534000000,2929000000,0.34609476544960416,0.0,1238000000,0.0,-317000000,1238000000,6772000000,73000000,243000000,2178000000,0.257355547678,1935000000,0.228642325417,-317000000,1935000000,0.228642325417,329000000,1581000000,0.186813186813,2.23,2.21,709600000,717000000,https://www.sec.gov/Archives/edgar/data/773840/000077384020000025/0000773840-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384020000025/hon0331202010q.htm
2019-12-31,HON,2020-02-14,2020-02-14 13:25:35,FY,9496000000,6328000000,3168000000,0.33361415332771693,1556000000,1473000000,0.0,-164000000,3029000000,9357000000,91000000,269000000,2037000000,0.21451137321,1768000000,0.186183656276,-164000000,1768000000,0.186183656276,178000000,1562000000,0.16449031171,2.19,2.16,721000000,730300000,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/0000773840-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/hon1231201910k.htm
2019-09-30,HON,2019-10-17,2019-10-17 09:06:47,Q3,9086000000,6038000000,3048000000,0.33546114902047103,0.0,1296000000,0.0,-311000000,1296000000,7334000000,96000000,263000000,2230000000,0.245432533568,1967000000,0.216486902928,-311000000,1967000000,0.216486902928,319000000,1624000000,0.17873651772,2.26,2.23,723500000,732800000,https://www.sec.gov/Archives/edgar/data/773840/000077384019000026/0000773840-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384019000026/hon0930201910q.htm
2019-06-30,HON,2019-07-18,2019-07-18 08:29:25,Q2,9243000000,6094000000,3149000000,0.34069025208265713,0.0,1387000000,0.0,-305000000,1387000000,7481000000,85000000,295000000,2277000000,0.246348588121,1982000000,0.214432543546,-305000000,1982000000,0.214432543546,426000000,1541000000,0.166720761657,2.13,2.1,726400000,735900000,https://www.sec.gov/Archives/edgar/data/773840/000077384019000013/0000773840-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384019000013/hon0630201910q.htm
2019-03-31,HON,2019-04-18,2019-04-18 08:30:42,Q1,8884000000,5879000000,3005000000,0.33824853669518234,0.0,1363000000,0.0,-285000000,1363000000,7242000000,85000000,261000000,2103000000,0.236717694732,1842000000,0.20733903647,-285000000,1842000000,0.20733903647,406000000,1416000000,0.159387663215,1.94,1.92,729700000,738800000,https://www.sec.gov/Archives/edgar/data/773840/000162828019004415/0001628280-19-004415-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000162828019004415/hon0331201910q.htm
2018-12-31,HON,2019-02-08,2019-02-08 14:09:10,FY,9729000000,6685000000,3044000000,0.31287902148216673,1809000000,1524000000,0.0,-290000000,3333000000,10018000000,90000000,254000000,1974000000,0.202898550725,1720000000,0.176791037106,-290000000,1720000000,0.176791037106,-20000000,1721000000,0.176893822592,2.34,2.31,743000000,753000000,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/0000930413-19-000366-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/c92779_10k.htm
2018-09-30,HON,2018-10-19,2018-10-19 09:08:08,Q3,10762000000,7555000000,3207000000,0.2979929381155919,0.0,1524000000,0.0,-275000000,1524000000,9079000000,99000000,286000000,2145000000,0.199312395466,1859000000,0.172737409403,-275000000,1859000000,0.172737409403,-498000000,2339000000,0.217338784613,3.14,3.1,746000000,756000000,https://www.sec.gov/Archives/edgar/data/773840/000093041318003111/0000930413-18-003111-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318003111/c92183_10q.htm
2018-06-30,HON,2018-07-20,2018-07-20 11:08:44,Q2,10919000000,7613000000,3306000000,0.3027749793937174,0.0,1528000000,0.0,-316000000,1528000000,9141000000,95000000,288000000,2287000000,0.209451414965,1999000000,0.183075373203,-316000000,1999000000,0.183075373203,719000000,1267000000,0.116036267057,1.7,1.68,748000000,758000000,https://www.sec.gov/Archives/edgar/data/773840/000093041318002303/0000930413-18-002303-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318002303/c91619_10q.htm
2018-03-31,HON,2018-04-20,2018-04-20 13:15:24,Q1,10392000000,7193000000,3199000000,0.307832948421863,0.0,1475000000,0.0,-268000000,1475000000,8668000000,83000000,288000000,2197000000,0.211412625096,1909000000,0.18369899923,-268000000,1909000000,0.18369899923,458000000,1438000000,0.138375673595,1.92,1.89,750600000,761000000,https://www.sec.gov/Archives/edgar/data/773840/000093041318001371/0000930413-18-001371-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318001371/c90468_10q.htm
2017-12-31,HON,2018-02-09,2018-02-09 14:29:41,FY,10843000000,7496000000,3347000000,0.3086784100341234,1835000000,1631000000,0.0,18000000,3466000000,10962000000,81000000,283000000,1900000000,0.175228257862,1617000000,0.149128469981,18000000,1617000000,0.149128469981,4016000000,-2399000000,-0.22124873190076547,-3.16,-3.12,762100000,772100000,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/0000930413-18-000292-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/c89913_10k.htm
2017-09-30,HON,2017-10-20,2017-10-20 12:39:16,Q3,10121000000,6873000000,3248000000,0.3209169054441261,0.0,1447000000,0.0,-63000000,1447000000,8320000000,81000000,285000000,2068000000,0.204327635609,1783000000,0.17616836281,-63000000,1783000000,0.17616836281,418000000,1348000000,0.133188420117,1.77,1.75,763100000,773100000,https://www.sec.gov/Archives/edgar/data/773840/000093041317003588/0000930413-17-003588-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317003588/c89545_10q.htm
2017-06-30,HON,2017-07-21,2017-07-21 11:57:57,Q2,10078000000,6850000000,3228000000,0.32030164715221277,0.0,1381000000,0.0,-10000000,1381000000,8231000000,79000000,276000000,2054000000,0.203810279817,1778000000,0.17642389363,-10000000,1778000000,0.17642389363,378000000,1392000000,0.138122643382,1.82,1.8,763600000,774000000,https://www.sec.gov/Archives/edgar/data/773840/000093041317002534/0000930413-17-002534-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317002534/c88930_10q.htm
2017-03-31,HON,2017-04-21,2017-04-21 12:59:30,Q1,9492000000,6356000000,3136000000,0.3303834808259587,0.0,1349000000,0.0,-12000000,1349000000,7705000000,75000000,271000000,1995000000,0.21017699115,1724000000,0.181626632954,-12000000,1724000000,0.181626632954,392000000,1326000000,0.139696586599,1.74,1.71,763100000,773900000,https://www.sec.gov/Archives/edgar/data/773840/000093041317001646/0000930413-17-001646-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317001646/c88130_10q.htm
2016-12-31,HON,2017-02-10,2017-02-10 15:53:13,FY,9985000000,6879000000,3106000000,0.31106659989984975,2143000000,1493000000,0.0,95000000,3636000000,10515000000,86000000,257000000,1689000000,0.169153730596,1432000000,0.143415122684,95000000,1432000000,0.143415122684,387000000,1034000000,0.103555332999,1.36,1.34,764300000,775300000,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/0000930413-17-000391-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/c86783_10k.htm
2016-09-30,HON,2016-10-21,2016-10-21 11:53:59,Q3,9804000000,6903000000,2901000000,0.2958996328029376,0.0,1367000000,0.0,-180000000,1367000000,8270000000,82000000,260000000,1892000000,0.19298245614,1632000000,0.166462668299,-180000000,1632000000,0.166462668299,317000000,1307000000,0.133312933497,1.71,1.67,765000000,776300000,https://www.sec.gov/Archives/edgar/data/773840/000093041316008530/0000930413-16-008530-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316008530/c86383_10q.htm
2016-06-30,HON,2016-07-22,2016-07-22 14:58:20,Q2,9991000000,6821000000,3170000000,0.3172855570013012,0.0,1329000000,0.0,1000000.0,1329000000,8150000000,85000000,260000000,2015000000,0.201681513362,1755000000,0.175658092283,1000000.0,1755000000,0.175658092283,465000000,1282000000,0.128315483936,1.68,1.66,765500000,774600000,https://www.sec.gov/Archives/edgar/data/773840/000093041316007670/0000930413-16-007670-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316007670/c85530_10q.htm
2016-03-31,HON,2016-04-22,2016-04-22 11:16:44,Q1,9522000000,6547000000,2975000000,0.31243436252888046,0.0,1280000000,0.0,-18000000,1280000000,7827000000,85000000,253000000,1881000000,0.197542533081,1628000000,0.170972484772,-18000000,1628000000,0.170972484772,432000000,1186000000,0.124553665196,1.54,1.53,767900000,776900000,https://www.sec.gov/Archives/edgar/data/773840/000093041316006542/0000930413-16-006542-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316006542/c84644_10q.htm
2015-12-31,HON,2016-02-12,2016-02-12 13:41:09,FY,9982000000,6917000000,3065000000,0.30705269485073133,1856000000,1332000000,0.0,-4000000.0,3188000000,10105000000,84000000,222000000,1875000000,0.187838108595,1653000000,0.165598076538,-4000000.0,1653000000,0.165598076538,450000000,1194000000,0.119615307554,1.54,1.53,779800000,789300000,https://www.sec.gov/Archives/edgar/data/773840/000093041316005457/0000930413-16-005457-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316005457/c83288_10k.htm
2015-09-30,HON,2015-10-16,2015-10-16 12:21:03,Q3,9611000000,6654000000,2957000000,0.307668296743315,0.0,1202000000,0.0,-24000000,1202000000,7856000000,72000000,219000000,1926000000,0.200395380293,1707000000,0.177608989699,-24000000,1707000000,0.177608989699,431000000,1264000000,0.131515971283,1.62,1.6,782500000,792100000,https://www.sec.gov/Archives/edgar/data/773840/000093041315004011/0000930413-15-004011-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041315004011/c82747_10q.htm
2015-06-30,HON,2015-07-17,2015-07-17 12:05:20,Q2,9775000000,6814000000,2961000000,0.3029156010230179,0.0,1242000000,0.0,-20000000,1242000000,8056000000,77000000,226000000,1888000000,0.193145780051,1662000000,0.170025575448,-20000000,1662000000,0.170025575448,440000000,1194000000,0.122148337596,1.53,1.5,783500000,793400000,https://www.sec.gov/Archives/edgar/data/773840/000093041315003083/0000930413-15-003083-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041315003083/c81857_10q.htm
2015-03-31,HON,2015-04-17,2015-04-17 12:01:48,Q1,9213000000,6362000000,2851000000,0.3094540323455986,0.0,1230000000,0.0,-20000000,1230000000,7592000000,77000000,216000000,1780000000,0.193205253446,1564000000,0.169760121567,-20000000,1564000000,0.169760121567,418000000,1116000000,0.121133181374,1.42,1.41,783800000,794000000,https://www.sec.gov/Archives/edgar/data/773840/000093041315001806/0000930413-15-001806-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041315001806/c81050_10q.htm
2014-12-31,HON,2015-02-13,2015-02-13 13:45:03,FY,10266000000,7566000000,2700000000,0.2630040911747516,1892000000,1460000000,0.0,-146000000,3352000000,10918000000,82000000,226000000,1530000000,0.149035651666,1304000000,0.127021235145,-146000000,1304000000,0.127021235145,329000000,956000000,0.0931229300604,1.22,1.2,784400000,795200000,https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/0000930413-15-000621-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/c79276_10k.htm
2014-09-30,HON,2014-10-17,2014-10-17 12:26:17,Q3,10108000000,7128000000,2980000000,0.29481598733676295,0.0,1344000000,0.0,-21000000,1344000000,8472000000,77000000,227000000,1807000000,0.17876929165,1580000000,0.156311832212,-21000000,1580000000,0.156311832212,388000000,1167000000,0.11545310645,1.48,1.47,784600000,795600000,https://www.sec.gov/Archives/edgar/data/773840/000093041314004352/0000930413-14-004352-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041314004352/c78978_10q.htm
2014-06-30,HON,2014-07-18,2014-07-18 11:16:49,Q2,10253000000,7296000000,2957000000,0.28840339412854776,0.0,1375000000,0.0,-21000000,1375000000,8671000000,80000000,233000000,1756000000,0.17126694626,1523000000,0.148541890178,-21000000,1523000000,0.148541890178,397000000,1099000000,0.107188140057,1.4,1.38,784700000,795900000,https://www.sec.gov/Archives/edgar/data/773840/000093041314003256/0000930413-14-003256-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041314003256/c78118_10q.htm
2014-03-31,HON,2014-04-17,2014-04-17 10:49:59,Q1,9679000000,6967000000,2712000000,0.2801942349416262,0.0,1339000000,0.0,-117000000,1339000000,8306000000,79000000,238000000,1649000000,0.170368839756,1411000000,0.145779522678,-117000000,1411000000,0.145779522678,375000000,1017000000,0.105072838103,1.3,1.28,784900000,796400000,https://www.sec.gov/Archives/edgar/data/773840/000093041314001831/0000930413-14-001831-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041314001831/c77214_10q.htm
2013-12-31,HON,2014-02-14,2014-02-14 09:15:25,FY,10387000000,7612000000,2775000000,0.26716087416963513,1804000000,1438000000,0.0,-185000000,3242000000,10854000000,83000000,249000000,1688000000,0.162510830846,1439000000,0.138538557813,-185000000,1439000000,0.138538557813,475000000,947000000,0.0911716568788,1.21,1.19,786400000,797300000,https://www.sec.gov/Archives/edgar/data/773840/000093041314000634/0000930413-14-000634-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041314000634/c75936_10k.htm
2013-09-30,HON,2013-10-18,2013-10-18 11:04:11,Q3,9647000000,6942000000,2705000000,0.28039805120762934,0.0,1242000000,0.0,-1000000.0,1242000000,8184000000,80000000,245000000,1629000000,0.168860785736,1384000000,0.143464289416,-1000000.0,1384000000,0.143464289416,377000000,990000000,0.102622576967,1.25,1.24,786600000,797500000,https://www.sec.gov/Archives/edgar/data/773840/000093041313004995/0000930413-13-004995-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313004995/c75329_10q.htm
2013-06-30,HON,2013-07-19,2013-07-19 11:06:56,Q2,9693000000,7027000000,2666000000,0.27504384607448673,0.0,1281000000,0.0,-24000000,1281000000,8308000000,80000000,247000000,1576000000,0.16259156092,1329000000,0.137109254101,-24000000,1329000000,0.137109254101,307000000,1021000000,0.105333746002,1.3,1.28,786700000,797600000,https://www.sec.gov/Archives/edgar/data/773840/000093041313003894/0000930413-13-003894-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313003894/c74541_10q.htm
2013-03-31,HON,2013-04-19,2013-04-19 11:29:18,Q1,9328000000,6783000000,2545000000,0.2728344768439108,0.0,1229000000,0.0,-28000000,1229000000,8012000000,84000000,248000000,1508000000,0.16166380789,1260000000,0.135077186964,-28000000,1260000000,0.135077186964,291000000,966000000,0.103559176672,1.23,1.21,785800000,797100000,https://www.sec.gov/Archives/edgar/data/773840/000093041313002334/0000930413-13-002334-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313002334/c73358_10q.htm
2012-12-31,HON,2013-02-15,2013-02-15 09:16:19,FY,9581000000,7681000000,1900000000,0.19830915353303413,1847000000,1523000000,0.0,-16000000,3370000000,11051000000,87000000,245000000,551000000,0.0575096545246,306000000,0.0319382110427,-16000000,306000000,0.0319382110427,51000000,251000000,0.0261976829141,0.31,0.31,782400000,791900000,https://www.sec.gov/Archives/edgar/data/773840/000093041313000907/0000930413-13-000907-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313000907/c72130_10-k.htm
2012-09-30,HON,2012-10-19,2012-10-19 11:19:16,Q3,9342000000,6808000000,2534000000,0.2712481267394562,0.0,1238000000,0.0,-16000000,1238000000,8046000000,88000000,226000000,1450000000,0.155213016485,1224000000,0.131021194605,-16000000,1224000000,0.131021194605,278000000,950000000,0.101691286662,1.22,1.19,780700000,790400000,https://www.sec.gov/Archives/edgar/data/773840/000093041312005805/0000930413-12-005805-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041312005805/c71218_10-q.htm
2012-06-30,HON,2012-07-18,2012-07-18 10:33:45,Q2,9435000000,6922000000,2513000000,0.26634870164281926,0.0,1226000000,0.0,-23000000,1226000000,8148000000,87000000,225000000,1448000000,0.153471118177,1223000000,0.129623741388,-23000000,1223000000,0.129623741388,318000000,902000000,0.0956014838368,1.15,1.15,779300000,779300000,https://www.sec.gov/Archives/edgar/data/773840/000093041312003974/0000930413-12-003974-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041312003974/c70260_10-q.htm
2012-03-31,HON,2012-04-20,2012-04-20 12:05:41,Q1,9307000000,6880000000,2427000000,0.26077146234017407,0.0,1231000000,0.0,-15000000,1231000000,8111000000,89000000,230000000,1352000000,0.145267003331,1122000000,0.120554421403,-15000000,1122000000,0.120554421403,297000000,823000000,0.0884280648974,1.06,1.04,777300000,777300000,https://www.sec.gov/Archives/edgar/data/773840/000093041312002323/0000930413-12-002323-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041312002323/c69322_10-q.htm
2011-12-31,HON,2012-02-17,2012-02-17 13:58:44,FY,9473000000,8435000000,1038000000,0.10957458038636124,1799000000,1616000000,0.0,-12000000,3415000000,11850000000,91000000,253000000,-54000000,-0.005700411696400296,-307000000,-0.03240789612583131,-12000000,-657000000,-0.06935500897287027,-350000000,-307000000,-0.03240789612583131,-0.39,-0.38,780800000,780800000,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/0000930413-12-000976-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/c68029_10k.htm
2011-09-30,HON,2011-10-21,2011-10-21 13:54:08,Q3,9298000000,7033000000,2265000000,0.24360077436007743,0.0,1303000000,0.0,-21000000,1303000000,8336000000,90000000,226000000,1119000000,0.120348462035,893000000,0.0960421596042,-21000000,893000000,0.0960421596042,207000000,862000000,0.0927081092708,1.11,1.09,782900000,782900000,https://www.sec.gov/Archives/edgar/data/773840/000093041311006765/0000930413-11-006765-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041311006765/c67090_10-q.htm
2011-06-30,HON,2011-07-22,2011-07-22 11:00:18,Q2,8849000000,6478000000,2371000000,0.2679398802124534,0.0,1226000000,0.0,-22000000,1226000000,7704000000,96000000,236000000,1307000000,0.147700305119,1071000000,0.121030624929,-22000000,1071000000,0.121030624929,293000000,810000000,0.0915357667533,1.03,1.02,785200000,785200000,https://www.sec.gov/Archives/edgar/data/773840/000093041311004879/0000930413-11-004879-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041311004879/c66327_10q.htm
2011-03-31,HON,2011-04-21,2011-04-21 16:18:39,Q1,8909000000,6610000000,2299000000,0.2580536536087103,0.0,1254000000,0.0,-29000000,1254000000,7864000000,99000000,242000000,1217000000,0.136603434729,975000000,0.109439892244,-29000000,975000000,0.109439892244,267000000,705000000,0.0791334605455,0.9,0.88,785500000,785500000,https://www.sec.gov/Archives/edgar/data/773840/000093041311002923/0000930413-11-002923-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041311002923/c65159_10-q.htm
2010-12-31,HON,2011-02-11,2011-02-11 12:04:55,FY,9041000000,6779000000,2262000000,0.2501935626589979,1466000000,1242000000,0.0,0.0,2708000000,9487000000,92000000,271000000,1761000000,0.194779338569,1490000000,0.164804778232,0.0,1331000000,0.147218228072,268000000,669000000,0.0739962393541,0.85,0.85,773500000,773500000,https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/0000930413-11-000961-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/c63936_10-k.htm
2010-09-30,HON,2010-10-22,2010-10-22 11:39:39,Q3,24329000000,18740000000,5589000000,0.22972584158822804,0.0,3475000000,0.0,-75000000,3475000000,22215000000,294000000,716000000,2069000000,0.0850425418225,1353000000,0.0556126433474,-75000000,1512000000,0.062148053763,540000000,1353000000,0.0556126433474,1.76,1.74,770600000,770600000,https://www.sec.gov/Archives/edgar/data/773840/000093041310005192/0000930413-10-005192-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041310005192/c63087_10-q.htm
2010-06-30,HON,2010-07-23,2010-07-23 09:37:31,Q2,8161000000,6268000000,1893000000,0.23195686803087856,0.0,1162000000,0.0,-9000000.0,1162000000,7430000000,-107000000,241000000,889000000,0.0496399176955,648000000,0.0496399176955,-9000000.0,648000000,0.0505401234568,-160000000,476000000,0.0496399176955,-0.5,-0.5,786000000,786000000,https://www.sec.gov/Archives/edgar/data/773840/000093041310004045/0000930413-10-004045-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041310004045/c62311_10q.htm
2010-03-31,HON,2010-04-23,2010-04-23 14:07:51,Q1,7776000000,5982000000,1794000000,0.23070987654320987,0.0,1136000000,0.0,-2000000.0,1136000000,7118000000,107000000,233000000,386000000,0.0496399176955,386000000,0.0496399176955,-2000000.0,393000000,0.0505401234568,160000000,386000000,0.0496399176955,0.5,0.5,0.0,0.0,https://www.sec.gov/Archives/edgar/data/773840/000093041310002069/0000930413-10-002069-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041310002069/c61121_10q.htm
2009-12-31,HON,2010-02-12,2010-02-12 16:36:38,FY,8072000000,5950000000,2122000000,0.2628840436075322,0.0,1071000000,0.0,-69000000,1071000000,7021000000,0.0,246000000,1257000000,0.15572348860257682,1011000000,0.12524777006937562,-69000000,1011000000,0.12524777006937562,0.0,711000000,0.08808225966303271,2.86,2.86,765384615,765384615,https://www.sec.gov/Archives/edgar/data/773840/000093041310000784/0000930413-10-000784-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041310000784/c60039_10k.htm
2009-09-30,HON,2009-10-23,2009-10-23 11:26:34,Q3,7700000000,5797000000,1903000000,0.24714285714285714,0.0,1034000000,0.0,-39000000,1034000000,6831000000,0.0,242000000,1040000000,0.13506493506493505,798000000,0.10363636363636364,-39000000,798000000,0.10363636363636364,0.0,619000000,0.08038961038961039,1.94,1.94,761855670,761855670,https://www.sec.gov/Archives/edgar/data/773840/000093041309005315/0000930413-09-005315-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041309005315/c59058_10q.htm
2009-06-30,HON,2009-07-27,2009-07-27 12:17:31,Q2,7566000000,5682000000,1884000000,0.24900872323552736,0.0,1084000000,0.0,51000000,1084000000,6766000000,0.0,235000000,861000000,0.11379857256145916,626000000,0.08273856727464975,51000000,626000000,0.08273856727464975,0.0,460000000,0.06079830822098863,1.14,1.14,753508771,753508771,https://www.sec.gov/Archives/edgar/data/773840/000093041309003835/0000930413-09-003835-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041309003835/c58317_10-q.htm
