date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,IBM,2020-04-28,2020-04-28 16:24:43,Q1,17571000000,9649000000,7922000000,0.45085652495589323,1625000000,5955000000,0.0,182000000,7580000000,17229000000,326000000,1634000000,1585000000,0.0902054521655,1176000000,0.06692846166979682,182000000,-49000000,-0.002788685902908201,-1226000000,1175000000,0.0668715497126,1.32,1.31,887969345,895039238,https://www.sec.gov/Archives/edgar/data/51143/000155837020004491/0001558370-20-004491-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837020004491/ibm-20200331x10q.htm
2019-12-31,IBM,2020-02-25,2020-02-25 16:54:20,FY,21777000000,10677000000,11100000000,0.509712081553933,1596000000,5433000000,0.0,-118000000,7029000000,17706000000,354000000,1650000000,5643000000,0.25912660146,3993000000,0.183358589337,-118000000,3993000000,0.183358589337,324000000,3670000000,0.168526426964,4.14,4.11,887235105,892813376,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/0001558370-20-001334-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/ibm-20191231x10k2af531.htm
2019-09-30,IBM,2019-10-29,2019-10-29 19:37:08,Q3,18028000000,9692000000,8336000000,0.4623918349234524,1553000000,5024000000,0.0,-30000000,6577000000,16269000000,432000000,1669000000,3191000000,0.177002440648,1522000000,0.0844242289771,-30000000,1522000000,0.0844242289771,-151000000,1672000000,0.0927446194808,1.88,1.87,887291199,892527357,https://www.sec.gov/Archives/edgar/data/51143/000155837019009324/0001558370-19-009324-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837019009324/ibm-20190930x10q.htm
2019-06-30,IBM,2019-07-30,2019-07-30 16:26:01,Q2,19160000000,10151000000,9009000000,0.47019832985386223,1407000000,5456000000,0.0,-747000000,6863000000,17014000000,348000000,1294000000,4062000000,0.212004175365,2768000000,0.144467640919,-747000000,2768000000,0.144467640919,269000000,2498000000,0.130375782881,2.82,2.8,887927612,892371164,https://www.sec.gov/Archives/edgar/data/51143/000155837019006560/0001558370-19-006560-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837019006560/ibm-20190630x10q.htm
2019-03-31,IBM,2019-04-30,2019-04-30 16:21:56,Q1,18182000000,10139000000,8043000000,0.44236057639423604,1433000000,4691000000,0.0,-73000000,6124000000,16263000000,210000000,1446000000,3329000000,0.183093169068,1883000000,0.10356396436,-73000000,1883000000,0.10356396436,289000000,1591000000,0.0875041249588,1.79,1.78,889581542,893910526,https://www.sec.gov/Archives/edgar/data/51143/000110465919025328/0001104659-19-025328-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465919025328/a19-6867_110q.htm
2018-12-31,IBM,2019-02-26,2019-02-26 16:27:59,FY,21761000000,11073000000,10688000000,0.4911538991774275,1358000000,4701000000,0.0,184000000,6059000000,17132000000,193000000,1112000000,5546000000,0.254859611231,4434000000,0.203759018427,184000000,4434000000,0.203759018427,2481000000,1951000000,0.0896558062589,2.17,2.15,912048072,916315714,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/0001047469-19-000712-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254z10-k.htm
2018-09-30,IBM,2018-10-30,2018-10-30 16:43:46,Q3,18755000000,9953000000,8802000000,0.4693148493735004,1252000000,4363000000,0.0,276000000,5615000000,15568000000,192000000,1138000000,4135000000,0.220474540123,2997000000,0.159797387363,276000000,2997000000,0.159797387363,304000000,2694000000,0.143641695548,2.95,2.94,915632501,920006890,https://www.sec.gov/Archives/edgar/data/51143/000110465918064673/0001104659-18-064673-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465918064673/a18-19046_110q.htm
2018-06-30,IBM,2018-07-31,2018-07-31 16:10:57,Q2,20003000000,10804000000,9199000000,0.4598810178473229,1364000000,4857000000,0.0,279000000,6221000000,17025000000,173000000,1116000000,3891000000,0.194520821877,2775000000,0.138729190621,279000000,2775000000,0.138729190621,374000000,2404000000,0.120181972704,2.63,2.62,917872328,922404020,https://www.sec.gov/Archives/edgar/data/51143/000110465918048404/0001104659-18-048404-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465918048404/a18-14112_110q.htm
2018-03-31,IBM,2018-04-24,2018-04-24 16:17:32,Q1,19072000000,10825000000,8247000000,0.4324140100671141,1405000000,5445000000,0.0,413000000,6850000000,17675000000,165000000,1114000000,2250000000,0.117973993289,1136000000,0.0595637583893,413000000,1136000000,0.0595637583893,-540000000,1679000000,0.0880348154362,1.82,1.81,920680222,925409434,https://www.sec.gov/Archives/edgar/data/51143/000110465918026178/0001104659-18-026178-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465918026178/a18-8695_110q.htm
2017-12-31,IBM,2018-02-27,2018-02-27 17:13:57,FY,22542000000,11681000000,10861000000,0.4818117292165735,1427000000,5148000000,0.0,2000000.0,6575000000,18256000000,164000000,1149000000,5618000000,0.249223671369,4469000000,0.198252151539,2000000.0,4469000000,0.198252151539,5522000000,-1054000000,-0.04675716440422323,-1.11,-1.1,932828295,937385625,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/0001047469-18-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/a2233835z10-k.htm
2017-09-30,IBM,2017-10-31,2017-10-31 16:15:02,Q3,19154000000,10354000000,8800000000,0.45943406077059623,1342000000,4647000000,0.0,-114000000,5989000000,16343000000,168000000,1176000000,4240000000,0.221363683826,3064000000,0.159966586614,-114000000,3064000000,0.159966586614,338000000,2725000000,0.142267933591,2.93,2.92,935600777,940209466,https://www.sec.gov/Archives/edgar/data/51143/000110465917064968/0001104659-17-064968-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465917064968/a17-21131_110q.htm
2017-06-30,IBM,2017-07-25,2017-07-25 16:15:58,Q2,19288000000,10495000000,8793000000,0.4558793031936956,1485000000,5160000000,0.0,-76000000,6645000000,17140000000,148000000,1117000000,3560000000,0.184570717545,2443000000,0.12665906263,-76000000,2443000000,0.12665906263,111000000,2332000000,0.120904189133,2.49,2.47,938700000,943700000,https://www.sec.gov/Archives/edgar/data/51143/000110465917046808/0001104659-17-046808-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465917046808/a17-13367_110q.htm
2017-03-31,IBM,2017-04-25,2017-04-25 16:13:34,Q1,18155000000,10383000000,7772000000,0.428091434866428,1533000000,5152000000,0.0,-28000000,6685000000,17068000000,135000000,1099000000,2523000000,0.138969980722,1424000000,0.0784356926467,-28000000,1424000000,0.0784356926467,-329000000,1750000000,0.0963921784632,1.86,1.85,942400000,947800000,https://www.sec.gov/Archives/edgar/data/51143/000110465917025881/0001104659-17-025881-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465917025881/a17-8917_110q.htm
2016-12-31,IBM,2017-02-28,2017-02-28 16:23:36,FY,21770000000,10877000000,10893000000,0.500367478180983,1431000000,4976000000,0.0,-136000000,6407000000,17284000000,157000000,1127000000,6112000000,0.280753330271,4985000000,0.228984841525,-136000000,4985000000,0.228984841525,480000000,4501000000,0.206752411576,4.73,4.71,955422530,958714097,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/0001047469-17-001061-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/a2230222z10-k.htm
2016-09-30,IBM,2016-10-25,2016-10-25 16:12:03,Q3,19226000000,10213000000,9013000000,0.4687922604805992,1397000000,4732000000,0.0,-8000000.0,6129000000,16342000000,158000000,1127000000,4390000000,0.228336627484,3263000000,0.169718090086,-8000000.0,3263000000,0.169718090086,408000000,2853000000,0.148392801415,2.99,2.98,957700000,960700000,https://www.sec.gov/Archives/edgar/data/51143/000110465916151931/0001104659-16-151931-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465916151931/a16-17246_110q.htm
2016-06-30,IBM,2016-07-26,2016-07-26 16:17:42,Q2,20239000000,10536000000,9703000000,0.4794209200059292,1465000000,5349000000,0.0,36000000,6814000000,17350000000,168000000,1103000000,4151000000,0.205099066159,3048000000,0.150600326103,36000000,3048000000,0.150600326103,544000000,2504000000,0.123721527743,2.62,2.6,959500000,962400000,https://www.sec.gov/Archives/edgar/data/51143/000110465916134367/0001104659-16-134367-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465916134367/a16-12780_110q.htm
2016-03-31,IBM,2016-04-26,2016-04-26 16:09:37,Q1,18684000000,9999000000,8685000000,0.46483622350674375,1458000000,6012000000,0.0,253000000,7470000000,17469000000,147000000,1024000000,2058000000,0.110147719974,1034000000,0.0553414686363,253000000,1034000000,0.0553414686363,-983000000,2014000000,0.107792763862,2.09,2.09,961700000,964400000,https://www.sec.gov/Archives/edgar/data/51143/000005114316000013/0000051143-16-000013-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114316000013/ibm16q1_10q.htm
2015-12-31,IBM,2016-02-23,2016-02-23 16:19:19,FY,22059000000,10652000000,11407000000,0.5171131964277619,1362000000,5157000000,0.0,-146000000,6519000000,17171000000,128000000,990000000,6089000000,0.276032458407,5099000000,0.231152817444,-146000000,5099000000,0.231152817444,638000000,4463000000,0.202321048098,4.59,4.57,978744523,982700267,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/0001047469-16-010329-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/a2226548z10-k.htm
2015-09-30,IBM,2015-10-27,2015-10-27 13:36:47,Q3,19279000000,9844000000,9435000000,0.4893926033507962,1287000000,4732000000,0.0,-134000000,6019000000,15863000000,117000000,936000000,4557000000,0.236371181078,3621000000,0.18782094507,-134000000,3621000000,0.18782094507,660000000,2950000000,0.153016235282,3.03,3.01,981800000,986000000,https://www.sec.gov/Archives/edgar/data/51143/000005114315000009/0000051143-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114315000009/ibm15q3_10q.htm
2015-06-30,IBM,2015-07-28,2015-07-28 14:32:26,Q2,20813000000,10423000000,10390000000,0.49920722625282277,1300000000,5179000000,0.0,-301000000,6479000000,16902000000,115000000,961000000,5185000000,0.249123144189,4224000000,0.202950079277,-301000000,4224000000,0.202950079277,698000000,3449000000,0.165713736607,3.5,3.49,985200000,989500000,https://www.sec.gov/Archives/edgar/data/51143/000005114315000005/0000051143-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114315000005/ibm15q2_10q.htm
2015-03-31,IBM,2015-04-28,2015-04-28 14:22:44,Q1,19590000000,10138000000,9452000000,0.48249106687085247,1298000000,5362000000,0.0,-143000000,6660000000,16798000000,108000000,968000000,3969000000,0.202603369066,3001000000,0.153190403267,-143000000,3001000000,0.153190403267,585000000,2328000000,0.118836140888,2.36,2.35,988100000,992300000,https://www.sec.gov/Archives/edgar/data/51143/000005114315000003/0000051143-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114315000003/ibm15q1_10q.htm
2014-12-31,IBM,2015-02-24,2015-02-24 14:08:09,FY,24113000000,11251000000,12862000000,0.5334052171028076,1320000000,6034000000,0.0,-1505000000,7354000000,18605000000,117000000,1046000000,8141000000,0.337618711898,7095000000,0.294239621781,-1505000000,7095000000,0.294239621781,1579000000,5483000000,0.22738771617,5.49,5.46,1004272584,1010000480,https://www.sec.gov/Archives/edgar/data/51143/000104746915001106/0001047469-15-001106-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746915001106/a2222209z10-k.htm
2014-09-30,IBM,2014-10-28,2014-10-28 13:56:04,Q3,21832000000,10805000000,11027000000,0.5050842799560279,1159000000,5254000000,0.0,-107000000,6413000000,17218000000,127000000,1139000000,5879000000,0.269283620374,4740000000,0.21711249542,-107000000,4740000000,0.21711249542,1025000000,18000000,0.000824477830707,0.07,0.07,1008900000,1014900000,https://www.sec.gov/Archives/edgar/data/51143/000005114314000010/0000051143-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114314000010/ibm14q3_10q.htm
2014-06-30,IBM,2014-07-29,2014-07-29 14:48:12,Q2,46848000000,24330000000,22518000000,0.4806608606557377,2958000000,11892000000,0.0,-200000000,14850000000,39180000000,240000000,2307000000,10458000000,0.223232581967,8151000000,0.173988217213,-200000000,8151000000,0.173988217213,1630000000,6521000000,0.139194842896,6.41,6.37,1017400000,1023500000,https://www.sec.gov/Archives/edgar/data/51143/000005114314000007/0000051143-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114314000007/ibm14q2_10q.htm
2014-04-29,IBM,2014-04-29,2014-04-29 15:11:36,Q1,22484000000,11941000000,10543000000,0.46891122576054084,1501000000,6289000000,0.0,-126000000,7790000000,19731000000,0.0,802000000,3782000000,0.16820850382494218,2980000000,0.1325386941825298,-126000000,2980000000,0.1325386941825298,596000000,2384000000,0.10603095534602384,0.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/51143/000005114314000004/0000051143-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114314000004/ibm14q1_10q.htm
2013-12-31,IBM,2014-02-25,2014-02-25 14:13:24,FY,27699000000,13383000000,14316000000,0.5168417632405502,1565000000,5990000000,0.0,-113000000,7555000000,20938000000,113000000,1214000000,8176000000,0.295173110943,6962000000,0.251344813892,-113000000,6962000000,0.251344813892,778000000,6184000000,0.223257157298,5.71,5.67,1094486604,1103042156,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/0001047469-14-001302-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/a2217495z10-k.htm
2013-09-30,IBM,2013-10-29,2013-10-29 16:51:27,Q3,23720000000,12341000000,11379000000,0.47972175379426646,1468000000,5255000000,0.0,-63000000,6723000000,19064000000,97000000,1175000000,5987000000,0.252403035413,4812000000,0.202866779089,-63000000,4812000000,0.202866779089,771000000,4041000000,0.170362563238,3.7,3.67,1101800000,1110700000,https://www.sec.gov/Archives/edgar/data/51143/000005114313000007/0000051143-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114313000007/ibm13q3_10q.htm
2013-06-30,IBM,2013-07-31,2013-07-30 21:30:19,Q2,24924000000,12792000000,12132000000,0.4867597496389023,1549000000,6680000000,0.0,-91000000,8229000000,21021000000,98000000,1136000000,5280000000,0.211844005778,4144000000,0.166265446959,-91000000,4144000000,0.166265446959,918000000,3226000000,0.129433477772,2.93,2.9,1107300000,1116700000,https://www.sec.gov/Archives/edgar/data/51143/000110465913058041/0001104659-13-058041-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465913058041/a13-13617_110q.htm
2013-03-31,IBM,2013-04-30,2013-04-30 14:34:00,Q1,23408000000,12730000000,10678000000,0.45616883116883117,1644000000,5577000000,0.0,-60000000,7221000000,19951000000,94000000,1153000000,4759000000,0.203306561859,3606000000,0.154049897471,-60000000,3606000000,0.154049897471,574000000,3032000000,0.12952836637,2.72,2.7,1113700000,1124000000,https://www.sec.gov/Archives/edgar/data/51143/000110465913035106/0001104659-13-035106-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465913035106/a13-7778_110q.htm
2012-12-31,IBM,2013-02-26,2013-02-26 15:35:35,FY,29304000000,14137000000,15167000000,0.5175743925743925,1580000000,5921000000,0.0,-47000000,7501000000,21638000000,109000000,1152000000,8983000000,0.306545181545,7831000000,0.267233142233,-47000000,7831000000,0.267233142233,1998000000,5833000000,0.199051324051,5.15,5.1,1142508521,1155449317,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/0001047469-13-001698-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/a2212340z10-k.htm
2012-09-30,IBM,2012-10-30,2012-10-30 14:01:17,Q3,24747000000,13016000000,11731000000,0.47403725704125754,1534000000,5909000000,0.0,-606000000,7443000000,20459000000,124000000,1191000000,6265000000,0.253161999434,5074000000,0.205034953732,-606000000,5074000000,0.205034953732,1251000000,3823000000,0.154483371722,3.36,3.32,1148400000,1161800000,https://www.sec.gov/Archives/edgar/data/51143/000110465912072210/0001104659-12-072210-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465912072210/a12-20368_110q.htm
2012-06-30,IBM,2012-07-31,2012-07-31 13:59:43,Q2,25783000000,13501000000,12282000000,0.47636039250669043,1587000000,5837000000,0.0,-132000000,7424000000,20925000000,116000000,1176000000,6337000000,0.245782104487,5161000000,0.200170655083,-132000000,5161000000,0.200170655083,1280000000,3882000000,0.150564325331,3.37,3.34,1154100000,1168100000,https://www.sec.gov/Archives/edgar/data/51143/000110465912052637/0001104659-12-052637-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465912052637/a12-10636_110q.htm
2012-03-31,IBM,2012-04-24,2012-04-24 13:33:46,Q1,24673000000,13555000000,11118000000,0.4506140315324444,1601000000,5886000000,0.0,-58000000,7487000000,21042000000,110000000,1157000000,4993000000,0.202366959835,3836000000,0.155473594618,-58000000,3836000000,0.155473594618,769000000,3066000000,0.124265391318,2.65,2.61,1159100000,1174200000,https://www.sec.gov/Archives/edgar/data/51143/000110465912027715/0001104659-12-027715-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465912027715/a12-7383_110q.htm
