date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-29,JNJ,2020-04-29,2020-04-29 16:46:01,Q1,20691000000,7062000000,13629000000,0.6586921850079744,2580000000,5203000000,5203000000,-679000000,7783000000,14845000000,25000000,1747000000,8256000000,0.399014064086,6509000000,0.314581218887,-679000000,6509000000,0.314581218887,713000000,5796000000,0.280121792084,2.2,2.17,2633700000,2671000000,https://www.sec.gov/Archives/edgar/data/200406/000020040620000035/0000200406-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000035/a1q10q03-29x20.htm
2019-12-29,JNJ,2020-02-18,2020-02-18 16:34:21,FY,20747000000,7134000000,13613000000,0.6561430568274931,3232000000,6039000000,6039000000,16000000,9271000000,16405000000,85000000,1816000000,5826000000,0.280811683617,4010000000,0.193280956283,16000000,1340000000,0.0645876512267,208000000,4010000000,0.193280956283,1.53,1.5,2645100000,2684300000,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm
2019-09-29,JNJ,2019-10-28,2019-10-28 16:56:09,Q3,20729000000,6867000000,13862000000,0.6687249746731632,2599000000,5374000000,5374000000,4214000000,7973000000,14840000000,48000000,1727000000,3480000000,0.16788074678,1753000000,0.0845675141107,4214000000,1647000000,0.079453905157,-2107000000,1753000000,0.0845675141107,0.67,0.66,2649500000,2688100000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000066/0000200406-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000066/a3q10q09-29x19.htm
2019-06-30,JNJ,2019-07-29,2019-07-29 16:15:43,Q2,20562000000,6940000000,13622000000,0.6624841941445385,2666000000,5546000000,5546000000,-1683000000,8212000000,15152000000,83000000,1705000000,6639000000,0.322877152028,4934000000,0.239957202607,-1683000000,7041000000,0.342427779399,1434000000,5607000000,0.272687481762,2.11,2.08,2656700000,2697000000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000053/0000200406-19-000053-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000053/a2q10q06-30x19.htm
2019-03-31,JNJ,2019-05-01,2019-05-01 16:33:42,Q1,20021000000,6615000000,13406000000,0.6695969232306078,2858000000,5219000000,5219000000,-22000000,8077000000,14692000000,102000000,1761000000,6183000000,0.30882573298,4422000000,0.220868088507,-22000000,4422000000,0.220868088507,673000000,3749000000,0.187253383947,1.41,1.39,2660800000,2698800000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000033/0000200406-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000033/a1q10q03-31x19.htm
2018-12-30,JNJ,2019-02-20,2019-02-20 16:40:34,FY,20394000000,6961000000,13433000000,0.6586741198391683,3224000000,5991000000,5991000000,978000000,9215000000,16176000000,250000000,1735000000,4857000000,0.238158281848,3122000000,0.153084240463,978000000,3122000000,0.153084240463,80000000,3042000000,0.149161518094,1.13,1.12,2681500000,2728700000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/form10-k20181230.htm
2018-09-30,JNJ,2018-10-31,2018-10-31 16:12:26,Q3,20348000000,6589000000,13759000000,0.6761843915863966,2508000000,5543000000,16549000000,427000000,8051000000,14640000000,243000000,1731000000,6154000000,0.302437586004,4423000000,0.217367800275,427000000,4423000000,0.217367800275,489000000,3934000000,0.193335954394,1.47,1.44,2682600000,2729600000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000055/0000200406-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000055/a3q10q09-30x18.htm
2018-07-01,JNJ,2018-08-02,2018-08-01 20:08:32,Q2,20830000000,6927000000,13903000000,0.6674507921267403,2639000000,5743000000,11006000000,442000000,8382000000,15309000000,253000000,1717000000,6690000000,0.321171387422,4973000000,0.238742198752,442000000,4973000000,0.238742198752,1019000000,3954000000,0.189822371579,1.47,1.45,2682200000,2728500000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000041/0000200406-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000041/a2q10q07-01x18.htm
2018-04-01,JNJ,2018-05-01,2018-05-01 16:35:56,Q1,20009000000,6614000000,13395000000,0.6694487480633715,2404000000,5263000000,0.0,-18000000,7667000000,14281000000,259000000,1746000000,7227000000,0.36118746564,5481000000,0.27392673297,-18000000,5481000000,0.27392673297,1114000000,4367000000,0.218251786696,1.63,1.6,2682200000,2731900000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000019/0000200406-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000019/a1q10q04-01x18.htm
2017-12-31,JNJ,2018-02-21,2018-02-21 16:49:20,FY,20195000000,7243000000,12952000000,0.6413468680366428,3635000000,6025000000,21420000000,242000000,9660000000,16903000000,274000000,1869000000,4429000000,0.21931171082,2560000000,0.126764050508,242000000,2560000000,0.126764050508,13273000000,1300000000,0.017004578155657292,-3.98,-3.9,2692000000,2745300000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/form10-k20171231.htm
