date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-27,KO,2020-04-24,2020-04-24 13:58:01,Q1,8601000000,3371000000,5230000000,0.6080688292059063,0.0,2648000000,0.0,0.0,2648000000,6019000000,193000000,367000000,2747000000,0.319381467271,2380000000,0.276712010231,544000000,3010000000,0.349959307057,215000000,2775000000,0.322636902686,0.65,0.64,4289000000,4325000000,https://www.sec.gov/Archives/edgar/data/21344/000002134420000014/0000021344-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134420000014/a2020032710-q.htm
2019-12-31,KO,2020-02-24,2020-02-24 16:08:17,FY,9068000000,3566000000,5502000000,0.6067490074988973,0.0,3224000000,0.0,0.0,3224000000,6790000000,235000000,400000000,2564000000,0.282752536392,2164000000,0.238641376268,115000000,2420000000,0.266872518747,355000000,2042000000,0.225187472431,0.48,0.47,4276000000,4314000000,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/0000021344-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/a2019123110-k.htm
2019-09-27,KO,2019-10-24,2019-10-24 15:19:15,Q3,9507000000,3767000000,5740000000,0.6037656463658357,0.0,3116000000,0.0,0.0,3116000000,6883000000,230000000,363000000,2862000000,0.301041337962,2499000000,0.26285894604,324000000,3092000000,0.325234038077,503000000,2593000000,0.272746397391,0.61,0.6,4273000000,4311000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000042/0000021344-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000042/a2019092710-q.htm
2019-06-28,KO,2019-07-25,2019-07-25 16:09:30,Q2,10671000000,4296000000,6375000000,0.5974135507450098,0.0,3196000000,0.0,0.0,3196000000,7492000000,249000000,327000000,3414000000,0.319932527411,3087000000,0.289288726455,-171000000,3142000000,0.294442882579,457000000,2607000000,0.244307000281,0.61,0.61,4270000000,4305000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000034/0000021344-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000034/a2019062810-q.htm
2019-03-29,KO,2019-04-25,2019-04-25 15:09:38,Q1,8020000000,2990000000,5030000000,0.6271820448877805,0.0,2567000000,0.0,0.0,2567000000,5557000000,232000000,275000000,2611000000,0.325561097257,2336000000,0.291271820449,-234000000,2132000000,0.265835411471,486000000,1678000000,0.209226932668,0.39,0.39,4271.0,4306.0,https://www.sec.gov/Archives/edgar/data/21344/000002134419000028/0000021344-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000028/a2019032910-q.htm
2018-12-31,KO,2019-02-21,2019-02-21 16:55:42,FY,7058000000,2721000000,4337000000,0.6144800226693115,0.0,2538000000,0.0,0.0,2538000000,5259000000,242000000,279000000,1915000000,0.271323321054,1636000000,0.231793709266,143000000,787000000,0.111504675545,-5000000.0,870000000,0.123264380844,0.2,0.21,4259000000,4299000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/0000021344-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/a2018123110-k.htm
2018-09-28,KO,2018-10-30,2018-10-30 13:25:29,Q3,8245000000,3059000000,5186000000,0.6289872650090964,0.0,2505000000,0.0,0.0,2505000000,5564000000,206000000,254000000,2780000000,0.337174044876,2526000000,0.306367495452,9000000.0,2847000000,0.345300181928,528000000,1880000000,0.228016979988,0.45,0.43,4258.0,4297.0,https://www.sec.gov/Archives/edgar/data/21344/000002134418000042/0000021344-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000042/a2018092810-q.htm
2018-06-29,KO,2018-07-26,2018-07-26 14:40:09,Q2,8927000000,3252000000,5675000000,0.6357118852918113,0.0,2723000000,0.0,0.0,2723000000,5975000000,241000000,283000000,3010000000,0.337179343564,2727000000,0.305477764086,-97000000,2883000000,0.3229528397,594000000,2316000000,0.259437661028,0.54,0.54,4260.0,4298.0,https://www.sec.gov/Archives/edgar/data/21344/000002134418000032/0000021344-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000032/a2018062910-q.htm
2018-03-30,KO,2018-05-01,2018-05-01 15:30:40,Q1,7626000000,2738000000,4888000000,0.6409651193286127,0.0,2541000000,0.0,0.0,2541000000,5279000000,230000000,270000000,2081000000,0.272882244951,1811000000,0.23747705219,-55000000,1833000000,0.240361919748,506000000,1368000000,0.179386309992,0.32,0.32,4265.0,4306.0,https://www.sec.gov/Archives/edgar/data/21344/000002134418000023/0000021344-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000023/a2018033010-q.htm
2017-12-31,KO,2018-02-23,2018-02-23 11:20:20,FY,7512000000,2689000000,4823000000,0.6420394036208733,0.0,2836000000,0.0,0.0,2836000000,5525000000,210000000,334000000,1655000000,0.220314164004,1321000000,0.175851970181,-544000000,937000000,0.124733759318,3755000000,937000000,0.12473375931842386,-0.65,-0.63,4272000000,4324000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/0000021344-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/a2017123110-k.htm
2017-09-29,KO,2017-10-26,2017-10-26 15:51:08,Q3,9078000000,3395000000,5683000000,0.6260189469046046,0.0,3203000000,0.0,0.0,3203000000,6598000000,208000000,297000000,2417000000,0.266248072263,2120000000,0.233531614893,-771000000,1674000000,0.184401850628,230000000,1447000000,0.159396342807,0.34,0.33,4275000000,4327000000,https://www.sec.gov/Archives/edgar/data/21344/000002134417000032/0000021344-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134417000032/a2017092910-q.htm
2017-06-30,KO,2017-07-27,2017-07-27 15:22:31,Q2,9702000000,3659000000,6043000000,0.6228612657184086,0.0,3142000000,0.0,0.0,3142000000,6801000000,231000000,301000000,2379000000,0.245207173779,2078000000,0.214182642754,203000000,2624000000,0.270459699031,1252000000,1371000000,0.141311069882,0.32,0.32,4280000000,4330000000,https://www.sec.gov/Archives/edgar/data/21344/000002134417000026/0000021344-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134417000026/a2017063010-q.htm
2017-03-31,KO,2017-04-27,2017-04-27 16:24:07,Q1,9118000000,3513000000,5605000000,0.61471813994297,0.0,3315000000,0.0,0.0,3315000000,6828000000,192000000,328000000,2310000000,0.253345031805,1982000000,0.217372230752,-554000000,1507000000,0.16527747313,323000000,1182000000,0.129633691599,0.28,0.27,4287000000,4334000000,https://www.sec.gov/Archives/edgar/data/21344/000002134417000019/0000021344-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134417000019/a2017033110-q.htm
2016-12-31,KO,2017-02-24,2017-02-24 11:34:47,FY,9409000000,3794000000,5615000000,0.5967690509087045,0.0,3580000000,0.0,0.0,3580000000,7374000000,248000000,464000000,1819000000,0.193325539377,1355000000,0.144011053247,-919000000,515000000,0.0547348283558,-32000000,550000000,0.0584546710596,0.13,0.12,4317000000,4367000000,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/0000021344-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/a2016123110-k.htm
