date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,LLY,2020-05-01,2020-05-01 09:46:45,Q1,5859800000,1215100000,4644700000,0.7926379739922864,1392100000,1549600000,1549000000,-89000000,2941700000,4156800000,92500000,273600000,1953500000,0.333373152667,1679900000,0.286682139322,89100000,1679900000,0.286682139322,223400000,1456500000,0.248557971262,1.6,1.6,908200000,911700000,https://www.sec.gov/Archives/edgar/data/59478/000005947820000104/0000059478-20-000104-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947820000104/lly-3312020x10q.htm
2019-12-31,LLY,2020-02-19,2020-02-19 12:33:26,FY,6114000000,1282600000,4831400000,0.7902191691200523,1581400000,1698100000,-4515000000,9071000000,3279500000,4562100000,95900000,340700000,2003800000,0.327739614001,1663100000,0.272015047432,262900000,1663100000,0.272015047432,167400000,1495700000,0.24463526333,1.66,1.65,931059000,935684000,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/0000059478-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/lly-20191231x10xk.htm
2019-09-30,LLY,2019-10-25,2019-10-25 11:54:53,Q3,5476600000,1175000000,4301600000,0.7854508271555345,1380900000,1412300000,1412000000,25000000,2793200000,3968200000,107300000,288000000,1693800000,0.309279479969,1405800000,0.256692108242,25000000,1405800000,0.256692108242,151900000,1253900000,0.228955921557,1.41,1.4,938200000,942400000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000278/0000059478-19-000278-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000278/lly-9302019x10q.htm
2019-06-30,LLY,2019-08-02,2019-08-02 12:47:25,Q2,5636700000,1124900000,4511800000,0.8004328773928008,1402200000,1586300000,1586000000,33000000,2988500000,4113400000,110900000,247400000,1713300000,0.303954441428,1465900000,0.260063512339,33000000,1465900000,0.260063512339,138700000,1327200000,0.235456916281,1.53,1.53,950400000,954200000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000232/0000059478-19-000232-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000232/lly-6302019x10q.htm
2019-03-31,LLY,2019-05-02,2019-05-02 14:09:01,Q1,5092200000,1138700000,3953500000,0.7763834884725659,1230500000,1517100000,1517000000,-86000000,2747600000,3886300000,86500000,356500000,1087600000,0.213581556105,731100000,0.143572522682,86000000,731100000,0.143572522682,170000000,4241600000,0.83296021366,4.33,4.31,979900000,984000000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000174/0000059478-19-000174-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000174/lly-3312019x10q.htm
2018-12-31,LLY,2019-02-19,2019-02-19 10:41:31,FY,6438600000,1593700000,4844900000,0.7524772466064051,1453800000,1861500000,-4770000000,10045000000,3315300000,4909000000,78200000,345500000,1284400000,0.199484359954,938900000,0.145823626254,90000000,938900000,0.145823626254,-186100000,1125000000,0.174727425217,1.1,1.1,1027721000,1033667000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/0000059478-19-000082-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/lly-20181231x10xk.htm
2018-09-30,LLY,2018-11-06,2018-11-06 10:35:10,Q3,6061900000,1562300000,4499600000,0.7422755241755885,1343300000,1616600000,1617000000,15000000,2959900000,4522200000,69400000,415500000,1826500000,0.301308170706,1411000000,0.232765304607,15000000,1411000000,0.232765304607,261500000,1149500000,0.189627014632,1.12,1.11,1033200000,1037800000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000256/0000059478-18-000256-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000256/lly-9302018x10q.htm
2018-06-30,LLY,2018-07-25,2018-07-25 16:48:39,Q2,6355200000,1702700000,4652500000,0.7320776686807654,1333100000,1653700000,1653000000,-38000000,2986800000,4689500000,63300000,425200000,430000000,0.0676611278953,4800000.0,0.000755287009063,38000000,4800000.0,0.000755287009063,264700000,-260000000,-0.040912667191188044,-0.24,-0.24,1039600000,1041600000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000188/0000059478-18-000188-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000188/lly-6302018x10q.htm
2018-03-31,LLY,2018-04-27,2018-04-27 11:32:39,Q1,5700000000,1571300000,4128700000,0.7243333333333334,1176900000,1500000000,1500000000,-67000000,2676900000,4248200000,61200000,422800000,1863800000,0.32698245614,1441000000,0.252807017544,67500000,1441000000,0.252807017544,223600000,1217400000,0.213578947368,1.16,1.16,1048000000,1049800000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000136/0000059478-18-000136-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000136/lly-3312018x10q.htm
2017-12-31,LLY,2018-02-20,2018-02-20 17:27:37,FY,6160700000,1624800000,4535900000,0.7362637362637363,1473200000,1780500000,0.0,3203000000,3253700000,4878500000,62900000,411900000,696000000,0.112974175013,284100000,0.0461148895418,55100000,284100000,0.0461148895418,1941000000,-1656000000,-0.2688311688311688,-1.57,-1.56,1052023000,1052023000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000089/0000059478-18-000089-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000089/lly-20171231x10xk.htm
