date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-29,LMT,2020-04-22,2020-04-22 16:09:41,Q1,15651000000,13560000000,2091000000,0.13360168679317616,0.0,0.0,0.0,56000000,56000000,13560000000,148000000,301000000,2423000000,0.154814388857,2122000000,0.135582390902,31000000,2030000000,0.129704172257,313000000,1717000000,0.109705450131,6.1,6.08,281300000,282600000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000056/0000936468-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000056/lmtq1202010q.htm
2019-12-31,LMT,2020-02-07,2020-02-07 11:44:16,FY,15878000000,13755000000,2123000000,0.13370701599697696,1300000000,0.0,0.0,-160000000,1300000000,15055000000,157000000,322000000,2471000000,0.155624134022,2149000000,0.135344501826,26000000,1832000000,0.115379770752,334000000,1498000000,0.094344375866,5.32,5.29,282000000,283800000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/0000936468-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/lmtq4201910k.htm
2019-09-29,LMT,2019-10-24,2019-10-24 18:46:44,Q3,15171000000,13108000000,2063000000,0.13598312570034934,0.0,0.0,0.0,-162000000,-162000000,13108000000,162000000,302000000,2407000000,0.158657965856,2105000000,0.138751565487,42000000,1781000000,0.117395029991,173000000,1608000000,0.105991694681,5.7,5.66,282200000,284000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000069/0000936468-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000069/lmtq3201910q.htm
2019-06-30,LMT,2019-07-23,2019-07-23 16:07:43,Q2,14427000000,12434000000,1993000000,0.13814375823109448,0.0,0.0,0.0,-162000000,-162000000,12434000000,163000000,288000000,2296000000,0.159146045609,2008000000,0.139183475428,15000000,1683000000,0.116656269495,263000000,1420000000,0.0984265613087,5.04,5.01,282300000,284100000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000058/0000936468-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000058/lmtq2201910q.htm
2019-03-31,LMT,2019-04-24,2019-04-24 16:05:32,Q1,14336000000,12148000000,2188000000,0.15262276785714285,0.0,0.0,0.0,-167000000,-167000000,12148000000,171000000,277000000,2560000000,0.178571428571,2283000000,0.159249441964,95000000,1945000000,0.135672433036,241000000,1704000000,0.118861607143,6.03,5.99,282500000,284300000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000022/0000936468-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000022/lmtq1201910q.htm
2018-12-31,LMT,2019-02-08,2019-02-08 11:38:57,FY,14411000000,12469000000,1942000000,0.13475817084171812,1300000000,0.0,0.0,-197000000,1300000000,13769000000,171000000,304000000,2155000000,0.149538546943,1851000000,0.128443550066,-91000000,1483000000,0.102907501214,230000000,1253000000,0.0869474706821,4.43,4.38,284500000,286800000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/0000936468-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/lmtq4201810k.htm
2018-09-30,LMT,2018-10-25,2018-10-25 17:21:51,Q3,14318000000,12397000000,1921000000,0.1341667830702612,0.0,0.0,0.0,-211000000,-211000000,12397000000,177000000,291000000,2254000000,0.15742422126,1963000000,0.137100153653,42000000,1575000000,0.110001396843,102000000,1473000000,0.102877496857,5.18,5.14,284900000,287200000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000067/0000936468-18-000067-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000067/lmtq3201810q.htm
2018-06-24,LMT,2018-07-24,2018-07-24 16:19:20,Q2,13398000000,11645000000,1753000000,0.1308404239438722,-35000000,0.0,0.0,-487000000,-210000000,11610000000,165000000,287000000,2082000000,0.15539632781,1795000000,0.133975220182,42000000,1420000000,0.105985968055,257000000,1163000000,0.0868040005971,4.08,4.05,285200000,287500000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000053/0000936468-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000053/lmtq2201810q.htm
2018-03-25,LMT,2018-04-25,2018-04-25 15:10:20,Q1,11635000000,9977000000,1658000000,0.14250107434464976,35000000,0.0,0.0,67000000,35000000,10012000000,155000000,279000000,2004000000,0.17223893425,1725000000,0.148259561667,67000000,1360000000,0.116888697894,203000000,1157000000,0.0994413407821,4.05,4.02,285500000,287900000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000023/0000936468-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000023/lmtq1201810q.htm
2017-12-31,LMT,2018-02-06,2018-02-06 16:22:43,FY,15137000000,13518000000,1619000000,0.1069564642927925,1200000000,0.0,0.0,7000000.0,1200000000,14718000000,174000000,315000000,2174000000,0.143621589483,1859000000,0.122811653564,240000000,1692000000,0.111779084363,2407000000,4099000000,0.2707934200964524,-2.2,-2.19,287800000,290600000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/0000936468-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/lmtq4201710k.htm
