date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-01-31,LOW,2020-03-23,2020-03-23 17:05:45,FY,16027000000,11046000000,4981000000,0.3107880451737693,0.0,3685000000,0.0,0.0,3685000000,14731000000,0.0,508000000,1466000000,0.0914706432894,958000000,0.0597741311537,0.0,775000000,0.0483558994197,265000000,510000000,0.0318213015536,0.68,0.69,777000000,778000000,https://www.sec.gov/Archives/edgar/data/60667/000006066720000036/0000060667-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066720000036/form10k01312020.htm
2019-11-01,LOW,2019-12-04,2019-12-03 18:44:52,Q3,17388000000,11747000000,5641000000,0.32441913963653096,0.0,3773000000,0.0,0.0,3773000000,15520000000,0.0,458000000,2016000000,0.115942028986,1558000000,0.0896020243846,0.0,1381000000,0.0794225902922,332000000,1049000000,0.0603289625029,1.37,1.36,782000000,783000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000184/0000060667-19-000184-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000184/form10q11012019.htm
2019-08-02,LOW,2019-09-03,2019-09-03 17:06:52,Q2,20992000000,14252000000,6740000000,0.3210746951219512,0.0,4047000000,0.0,0.0,4047000000,18299000000,0.0,461000000,2842000000,0.135384908537,2381000000,0.113424161585,0.0,2212000000,0.10537347561,536000000,1676000000,0.0798399390244,2.13,2.13,788000000,789000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000138/0000060667-19-000138-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000138/form10q08022019.htm
2019-05-03,LOW,2019-06-03,2019-06-03 08:05:24,Q1,17741000000,12160000000,5581000000,0.314582041598557,0.0,3862000000,0.0,0.0,3862000000,16022000000,0.0,451000000,1868000000,0.105292824531,1417000000,0.0798714841328,0.0,1255000000,0.0707400935686,209000000,1046000000,0.0589594724085,1.31,1.31,796000000,797000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000086/0000060667-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000086/form10q_05032019.htm
2019-02-01,LOW,2019-04-02,2019-04-01 19:26:18,FY,15647000000,11610000000,4037000000,0.25800472934108776,0.0,4266000000,0.0,0.0,4266000000,15876000000,0.0,401000000,-167000000,-0.010672972454783665,-568000000,-0.03630088834920432,0.0,-725000000,-0.046334760657,99000000,-824000000,-0.0526618521122,-1.0,-0.99,811000000,812000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/0000060667-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/form10k_02012019.htm
2018-11-02,LOW,2018-12-06,2018-12-06 09:03:40,Q3,17415000000,11755000000,5660000000,0.32500717772035603,0.0,4269000000,0.0,0.0,4269000000,16024000000,0.0,455000000,1413000000,0.0811369509044,958000000,0.0550100488085,0.0,804000000,0.0461670973299,175000000,629000000,0.0361182888315,0.79,0.78,815000000,816000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000203/0000060667-18-000203-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000203/form10q_11022018.htm
2018-08-03,LOW,2018-09-04,2018-09-04 16:34:23,Q2,20887000000,13688000000,7199000000,0.3446641451620625,0.0,4691000000,0.0,0.0,4691000000,18379000000,0.0,364000000,2527000000,0.120984344329,2163000000,0.103557236559,0.0,2010000000,0.0962321060947,489000000,1521000000,0.072820414612,1.86,1.86,819000000,820000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000157/0000060667-18-000157-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000157/form10q_08032018.htm
2018-05-04,LOW,2018-06-05,2018-06-05 16:46:44,Q1,17360000000,11348000000,6012000000,0.34631336405529956,0.0,4187000000,0.0,0.0,4187000000,15535000000,0.0,387000000,1852000000,0.10668202765,1465000000,0.0843894009217,0.0,1305000000,0.0751728110599,317000000,988000000,0.0569124423963,1.19,1.19,825000000,826000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000117/0000060667-18-000117-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000117/form10q_05042018.htm
2018-02-02,LOW,2018-04-02,2018-04-02 16:36:28,FY,15494000000,10268000000,5226000000,0.33729185491157865,0.0,3761000000,0.0,0.0,3761000000,14029000000,0.0,392000000,1490000000,0.0961662579063,1098000000,0.0708661417323,0.0,944000000,0.0609268103782,390000000,554000000,0.0357557764296,0.67,0.67,839000000,840000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/0000060667-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/form10k_02022018.htm
2017-11-03,LOW,2017-12-05,2017-12-05 16:10:08,Q3,16770000000,11057000000,5713000000,0.3406678592725104,0.0,3808000000,0.0,0.0,3808000000,14865000000,0.0,380000000,1927000000,0.114907573047,1547000000,0.0922480620155,0.0,1387000000,0.0827072152654,515000000,872000000,0.0519976147883,1.05,1.05,843000000,844000000,https://www.sec.gov/Archives/edgar/data/60667/000006066717000176/0000060667-17-000176-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066717000176/form10q_11032017.htm
