date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,MA,2020-04-29,2020-04-29 11:13:34,Q1,4009000000,0.0,4009000000,1.0,0.0,1494000000,154000000,304000000,1798000000,1798000000,69000000,381000000,2592000000,0.646545273135,2211000000,0.551509104515,3000000.0,1987000000,0.495634821651,294000000,1693000000,0.422299825393,1.68,1.68,1005000000,1010000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000091/0001141391-20-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000091/ma03312020-10xq.htm
2019-12-31,MA,2020-02-14,2020-02-14 09:29:40,FY,4414000000,0.0,4414000000,1.0,0.0,1579000000,290000000,436000000,2015000000,2015000000,64000000,409000000,2808000000,0.636157680109,2399000000,0.543497961033,76000000,2475000000,0.560715903942,375000000,2100000000,0.475758948799,2.08,2.07,1017000000,1022000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/0001141391-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/ma12312019-10xk.htm
2019-09-30,MA,2019-10-29,2019-10-29 10:17:11,Q3,4467000000,0.0,4467000000,1.0,0.0,1448000000,227000000,364000000,1812000000,1812000000,63000000,392000000,3047000000,0.682113275129,2655000000,0.594358629953,16000000,3358000000,0.751734945153,426000000,2108000000,0.47190508171,2.08,2.07,1020000000,1025000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000150/0001141391-19-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000150/ma09302019-10xq.htm
2019-06-30,MA,2019-07-30,2019-07-30 10:26:01,Q2,4113000000,0.0,4113000000,1.0,0.0,1369000000,225000000,347000000,1716000000,1716000000,51000000,400000000,2797000000,0.680038901045,2397000000,0.582786287381,122000000,1991000000,0.484074884513,471000000,2048000000,0.49793338196,2.01,2.0,1023000000,1028000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000128/0001141391-19-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000128/ma06302019-10xq.htm
2019-03-31,MA,2019-04-30,2019-04-30 10:11:52,Q1,3889000000,0.0,3889000000,1.0,0.0,1367000000,192000000,309000000,1676000000,1676000000,46000000,462000000,2675000000,0.687837490357,2213000000,0.569040884546,4000000.0,1907000000,0.490357418359,341000000,1862000000,0.478786320391,1.81,1.8,1026000000,1032000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000076/0001141391-19-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000076/ma03312019-10xq.htm
2018-12-31,MA,2019-02-13,2019-02-13 10:03:54,FY,3807000000,0.0,3807000000,1.0,0.0,1490000000,213000000,1083000000,2573000000,2573000000,47000000,463000000,1697000000,0.445757814552,1234000000,0.324139742579,-15000000,1215000000,0.31914893617,316000000,899000000,0.236143945364,0.88,0.87,1041000000,1047000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000013/0001141391-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000013/ma12312018-10xk.htm
2018-09-30,MA,2018-10-30,2018-10-30 10:20:31,Q3,3898000000,0.0,3898000000,1.0,0.0,1236000000,235000000,375000000,1611000000,1611000000,48000000,418000000,2705000000,0.693945613135,2287000000,0.586711133915,-6000000.0,3063000000,0.785787583376,365000000,1899000000,0.487172909184,1.83,1.82,1044000000,1050000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000127/0001141391-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000127/ma09302018-10xq.htm
2018-06-30,MA,2018-07-26,2018-07-26 10:13:22,Q2,3665000000,0.0,3665000000,1.0,0.0,1154000000,235000000,575000000,1729000000,1729000000,48000000,406000000,2342000000,0.639017735334,1936000000,0.528240109141,3000000.0,1310000000,0.357435197817,353000000,1569000000,0.428103683492,1.5,1.5,1047000000,1053000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000111/0001141391-18-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000111/ma06302018-10xq.htm
2018-03-31,MA,2018-05-02,2018-05-02 10:38:44,Q1,3580000000,0.0,3580000000,1.0,0.0,1294000000,224000000,461000000,1755000000,1755000000,43000000,407000000,2232000000,0.623463687151,1825000000,0.509776536313,4000000.0,1616000000,0.451396648045,311000000,1492000000,0.416759776536,1.42,1.41,1051000000,1057000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000056/0001141391-18-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000056/ma03312018-10xq.htm
2017-12-31,MA,2018-02-14,2018-02-14 12:37:09,FY,3312000000,0.0,3312000000,1.0,0.0,1364000000,311000000,426000000,1790000000,1790000000,41000000,356000000,1878000000,0.567028985507,1522000000,0.459541062802,-9000000.0,1484000000,0.44806763285,1257000000,227000000,0.068538647343,0.22,0.22,1067000000,1072000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000009/0001141391-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000009/ma12312017-10xk.htm
