date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-01-24,MDT,2020-02-28,2020-02-28 06:49:49,Q3,7717000000,2400000000,5317000000,0.6889983154075418,573000000,2587000000,0.0,-39000000,3596000000,5996000000,156000000,663000000,2302000000,0.298302449138,1639000000,0.21238823377,297000000,1579000000,0.204613191655,-340000000,1915000000,0.248153427498,1.43,1.42,1340700000,1351600000,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000007/0001613103-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000007/mdt-20200124.htm
2019-10-25,MDT,2019-12-03,2019-12-03 16:11:13,Q2,7706000000,2394000000,5312000000,0.6893329872826369,603000000,2620000000,0.0,149000000,3664000000,6058000000,165000000,671000000,2022000000,0.262392940566,1351000000,0.175317934077,-187000000,1294000000,0.167921100441,-77000000,1364000000,0.177004931222,1.02,1.01,1340800000,1351600000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000056/0001613103-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000056/mdt-20191025.htm
2019-07-26,MDT,2019-08-30,2019-08-30 06:46:32,Q1,7493000000,2366000000,5127000000,0.6842386227145336,587000000,2543000000,0.0,-22000000,3570000000,5936000000,609000000,657000000,2142000000,0.285866809022,1485000000,0.198184972641,-22000000,977000000,0.130388362472,100000000,864000000,0.115307620446,0.64,0.64,1340800000,1351900000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000038/0001613103-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000038/mdt-2020q1x10q.htm
2019-04-26,MDT,2019-06-21,2019-06-21 06:53:12,FY,8146000000,2483000000,5663000000,0.6951878222440462,594000000,2620000000,0.0,-20000000,3651000000,6134000000,718000000,667000000,2613000000,0.320770930518,1946000000,0.238890252885,-64000000,1292000000,0.158605450528,110000000,1172000000,0.143874294132,0.87,0.87,1346400000,1357500000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/0001613103-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/mdt-2019426x10k.htm
2019-01-25,MDT,2019-03-01,2019-03-01 07:06:38,Q3,7546000000,2265000000,5281000000,0.6998409753511794,561000000,2596000000,0.0,57000000,3593000000,5858000000,243000000,675000000,2217000000,0.293798038696,1542000000,0.204346673734,-71000000,1370000000,0.181553140737,99000000,1269000000,0.168168566128,0.95,0.93,1348100000,1359500000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000012/0001613103-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000012/mdt-2019q3x10q.htm
2018-10-26,MDT,2018-11-29,2018-11-29 17:10:22,Q2,7481000000,2203000000,5278000000,0.7055206523192087,590000000,2605000000,0.0,70000000,3640000000,5843000000,241000000,651000000,2195000000,0.293409971929,1544000000,0.206389520118,-52000000,1355000000,0.181125517979,235000000,1115000000,0.149044245422,0.83,0.82,1350900000,1363000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000044/0001613103-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000044/mdt-2019q2x10q.htm
2018-07-27,MDT,2018-08-31,2018-08-31 06:38:44,Q1,7384000000,2204000000,5180000000,0.7015167930660888,585000000,2597000000,0.0,151000000,3628000000,5832000000,242000000,666000000,1902000000,0.25758396533,1236000000,0.167388949079,-186000000,1180000000,0.159804983749,103000000,1075000000,0.145585048754,0.79,0.79,1352700000,1365400000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000032/0001613103-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000032/mdt-2019q1x10q.htm
2018-04-27,MDT,2018-06-22,2018-06-22 07:04:30,FY,8144000000,2395000000,5749000000,0.7059184675834971,592000000,2552000000,0.0,188000000,3569000000,5964000000,317000000,668000000,2603000000,0.319621807466,1935000000,0.237598231827,-188000000,1725000000,0.21181237721,260000000,1460000000,0.179273084479,1.08,1.07,1356700000,1368200000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/0001613103-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/mdt-2018427x10k.htm
2018-01-26,MDT,2018-03-02,2018-03-02 17:29:00,Q3,7369000000,2191000000,5178000000,0.7026733613787488,558000000,2499000000,0.0,140000000,3518000000,5709000000,270000000,669000000,2095000000,0.284299090786,1426000000,0.193513366807,-140000000,1027000000,0.139367621115,2419000000,-1392000000,-0.18889944361514452,-1.02,-1.01,1357200000,1368900000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000009/0001613103-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000009/mdt-2018q3x10q.htm
2017-10-27,MDT,2017-12-04,2017-12-04 16:30:39,Q2,7050000000,2120000000,4930000000,0.699290780141844,555000000,2438000000,0.0,111000000,3453000000,5573000000,273000000,668000000,2569000000,0.364397163121,1901000000,0.269645390071,-111000000,1728000000,0.245106382979,-285000000,2017000000,0.28609929078,1.48,1.47,1358500000,1370800000,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000047/0001613103-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000047/mdt-2018q2x10q.htm
