date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2019-12-31,MET,2020-02-21,2020-02-20 19:45:09,FY,17143000000,0.0,17143000000,1.0,0.0,0.0,0.0,3917000000,0.0,0.0,731000000,0.0,-923000000,-0.05384121798985009,-923000000,-0.05384121798985009,0.0,-37000000,-0.002158315347372105,-625000000,588000000,0.03429971416904859,0.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1099219/000109921920000064/0001099219-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921920000064/met-20191231x10k.htm
2019-09-30,MET,2019-11-05,2019-11-04 20:36:58,Q3,18678000000,10648000000,8030000000,0.4299175500588928,0.0,273000000,0.0,3170000000,3443000000,14091000000,223000000,0.0,2791000000,0.149427133526,2791000000,0.149427133526,0.0,2791000000,0.149427133526,601000000,2184000000,0.116929007388,2.3,2.28,944000000,950800000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000225/0001099219-19-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000225/met-2019930x10q.htm
2019-06-30,MET,2019-08-06,2019-08-05 20:48:45,Q2,17497000000,9993000000,7504000000,0.42887352117505856,0.0,237000000,0.0,3153000000,3390000000,13383000000,274000000,0.0,2297000000,0.13127964794,2297000000,0.13127964794,0.0,2297000000,0.13127964794,551000000,1741000000,0.0995027719038,1.78,1.77,951300000,958100000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000138/0001099219-19-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000138/met-2019630x10q.htm
2019-03-31,MET,2019-05-08,2019-05-07 20:39:04,Q1,16302000000,9072000000,7230000000,0.44350386455649615,0.0,223000000,0.0,3002000000,3225000000,12297000000,234000000,0.0,1744000000,0.10698073856,1744000000,0.10698073856,0.0,1744000000,0.10698073856,359000000,1381000000,0.084713532082,1.41,1.4,956500000,963300000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000028/0001099219-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000028/met-2019331x10q.htm
2018-12-31,MET,2019-02-22,2019-02-21 18:02:55,FY,15662000000,8992000000,6670000000,0.425871536202273,0.0,26000000,0.0,3369000000,3395000000,12387000000,147000000,1641000000,4112000000,0.262546290384,2471000000,0.157770399694,0.0,2471000000,0.157770399694,409000000,2067000000,0.131975482058,2.02,2.0,1005900000,1013900000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000008/0001099219-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000008/met-20181231x10k.htm
2018-09-30,MET,2018-11-08,2018-11-07 18:12:54,Q3,16289000000,10080000000,6209000000,0.38117748173614097,0.0,290000000,0.0,3179000000,3469000000,13549000000,267000000,0.0,1079000000,0.0662410215483,1079000000,0.0662410215483,0.0,1079000000,0.0662410215483,164000000,912000000,0.0559887040334,0.89,0.89,1014600000,1022800000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000052/0000937834-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000052/met-2018930x10q.htm
2018-06-30,MET,2018-08-07,2018-08-07 17:20:24,Q2,21185000000,14866000000,6319000000,0.29827708284163323,0.0,351000000,0.0,3134000000,3485000000,18351000000,309000000,0.0,1101000000,0.0519707340099,1101000000,0.0519707340099,0.0,1101000000,0.0519707340099,207000000,891000000,0.0420580599481,0.84,0.83,1025700000,1034000000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000036/0000937834-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000036/met-2018630x10q.htm
2018-03-31,MET,2018-05-08,2018-05-07 19:58:54,Q1,14805000000,8718000000,6087000000,0.41114488348530903,0.0,243000000,0.0,3122000000,3365000000,12083000000,286000000,0.0,1656000000,0.111854103343,1656000000,0.111854103343,0.0,1656000000,0.111854103343,399000000,1253000000,0.08463356974,1.2,1.19,1035900000,1044400000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000022/0000937834-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000022/met-2018331x10q.htm
2017-12-31,MET,2018-03-01,2018-03-01 16:22:57,FY,15993000000,9390000000,6603000000,0.4128681298067905,0.0,-2173000000,0.0,5890000000,3717000000,13107000000,257000000,1839000000,2893000000,0.180891640093,1054000000,0.0659038329269,0.0,1054000000,0.0659038329269,-2252000000,2381000000,0.148877633965,2.19,2.17,1069700000,1078500000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000005/0000937834-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000005/met-20171231x10k.htm
2017-09-30,MET,2017-11-06,2017-11-06 06:14:14,Q3,12801000000,8762000000,4039000000,0.31552222482618547,0.0,979000000,0.0,1302000000,2281000000,11043000000,260000000,0.0,663000000,0.0517928286853,663000000,0.0517928286853,0.0,663000000,0.0517928286853,280000000,-81000000,-0.00632763065386,-0.07,-0.07,1075500000,1084000000,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000031/0000937834-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000031/met-2017930x10q.htm
2017-06-30,MET,2017-08-04,2017-08-03 21:10:26,Q2,17245000000,10302000000,6943000000,0.4026094520150768,0.0,1134000000,0.0,2925000000,4059000000,14361000000,295000000,0.0,1002000000,0.0581037982024,1002000000,0.0581037982024,0.0,1002000000,0.0581037982024,115000000,884000000,0.0512612351406,0.78,0.77,1082100000,1090400000,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000024/0000937834-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000024/met-2017630x10q.htm
2017-03-31,MET,2017-05-05,2017-05-04 18:36:55,Q1,16269000000,9859000000,6410000000,0.3940008605323007,0.0,1189000000,0.0,2375000000,3564000000,13423000000,296000000,0.0,817000000,0.0502182064048,817000000,0.0502182064048,0.0,817000000,0.0502182064048,252000000,826000000,0.050771405741,0.75,0.75,1090400000,1098700000,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000012/0000937834-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000012/met-2017331x10q.htm
2016-12-31,MET,2017-03-01,2017-02-28 19:01:06,FY,12076000000,9997000000,2079000000,0.1721596555150712,0.0,1185000000,0.0,2518000000,3703000000,13700000000,242000000,1762000000,1846000000,0.04458721800879185,84000000,0.0020288874933578087,0.0,-915000000,-0.02210038162407613,-1719000000,804000000,0.019419351722139027,-1.94,-1.92,1100500000,1108500000,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000003/0000937834-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000003/met-12312016x10k.htm
2016-09-30,MET,2016-11-03,2016-11-03 17:02:41,Q3,17723000000,10855000000,6868000000,0.3875190430514021,0.0,1101000000,0.0,2827000000,3928000000,14783000000,292000000,0.0,548000000,0.0309202730915,548000000,0.0309202730915,0.0,548000000,0.0309202730915,720000000,577000000,0.0325565649156,0.52,0.51,1100558083,1109003160,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000140/0000937834-16-000140-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000140/met-2016930x10q.htm
2016-06-30,MET,2016-08-05,2016-08-04 21:18:39,Q2,15244000000,10274000000,4970000000,0.3260299134085542,0.0,1189000000,0.0,2057000000,3246000000,13520000000,306000000,0.0,285000000,0.016809200825715128,285000000,0.016809200825715128,0.0,285000000,0.016809200825715128,285000000,110000000,0.0072159538179,0.06,0.06,1100582221,1108874960,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000121/0000937834-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000121/met-2016630x10q.htm
2016-03-31,MET,2016-05-06,2016-05-05 18:15:45,Q1,18433000000,9678000000,8755000000,0.4749633808929637,0.0,1310000000,0.0,2882000000,4192000000,13870000000,312000000,0.0,2922000000,0.15852004557,2922000000,0.15852004557,0.0,2922000000,0.15852004557,719000000,2201000000,0.119405414203,1.99,1.98,1100836608,1108621697,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000099/0000937834-16-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000099/met-2016331x10q.htm
2015-12-31,MET,2016-02-25,2016-02-24 21:18:04,FY,17044000000,9771000000,7273000000,0.4267190800281624,0.0,1232000000,0.0,2872000000,4104000000,13875000000,263000000,1834000000,2969000000,0.174196198076,1135000000,0.0665923492138,0.0,1135000000,0.0665923492138,293000000,834000000,0.0489321755456,0.71,0.71,1117775843,1128343385,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000077/0000937834-16-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000077/met-12312015x10k.htm
2015-09-30,MET,2015-11-05,2015-11-05 16:24:36,Q3,18031000000,10334000000,7697000000,0.42687593588819256,0.0,1157000000,0.0,3376000000,4533000000,14867000000,302000000,0.0,2163000000,0.11996006877,2163000000,0.11996006877,0.0,2163000000,0.11996006877,965000000,1203000000,0.0667184293716,1.07,1.06,1120130708,1130706319,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000059/0000937834-15-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000059/met-2015930x10q.htm
2015-06-30,MET,2015-08-06,2015-08-06 16:13:05,Q2,16166000000,9352000000,6814000000,0.4215019176048497,0.0,1258000000,0.0,2814000000,4072000000,13424000000,308000000,0.0,1113000000,0.0688481999258,1113000000,0.0688481999258,0.0,1113000000,0.0688481999258,539000000,1115000000,0.0689719163677,0.94,0.93,1120801928,1131122825,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000046/0000937834-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000046/met-2015630x10q.htm
2015-03-31,MET,2015-05-08,2015-05-08 16:27:59,Q1,18710000000,9257000000,9453000000,0.505237840726884,0.0,1291000000,0.0,2769000000,4060000000,13317000000,298000000,0.0,3059000000,0.163495456975,3059000000,0.163495456975,0.0,3059000000,0.163495456975,896000000,2158000000,0.1153393907,1.89,1.87,1125703588,1135761118,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000027/0000937834-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000027/met-2015331x10q.htm
2014-12-31,MET,2015-02-27,2015-02-26 19:20:05,FY,19119000000,10278000000,8841000000,0.46241958261415345,0.0,1258000000,0.0,3230000000,4488000000,14766000000,232000000,1324000000,3400000000,0.177833568701,2076000000,0.108583084889,0.0,2076000000,0.108583084889,549000000,1521000000,0.0795543699984,1.31,1.3,1128671410,1142463448,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000009/0000937834-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000009/met-12312014x10k.htm
