date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,MMM,2020-04-28,2020-04-28 15:23:50,Q1,8075000000,4109000000,3966000000,0.4911455108359133,537000000,1768000000,0.0,4107000000,2305000000,6412000000,123000000,440000000,2103000000,0.260433436533,1663000000,0.205944272446,96000000,1567000000,0.194055727554,273000000,1292000000,0.16,2.24,2.22,576800000,581500000,https://www.sec.gov/Archives/edgar/data/66740/000155837020004478/0001558370-20-004478-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020004478/mmm-20200428x10q.htm
2019-12-31,MMM,2020-02-06,2020-02-06 16:16:31,FY,8111000000,4325000000,3786000000,0.4667735174454445,521000000,1940000000,0.0,4325000000,2461000000,6786000000,124000000,463000000,1788000000,0.220441375909,1325000000,0.16335840217,113000000,1212000000,0.149426704475,242000000,969000000,0.119467389964,1.68,1.66,577000000,585100000,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/0001558370-20-000581-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm
2019-09-30,MMM,2019-10-25,2019-10-25 14:04:26,Q3,7991000000,4188000000,3803000000,0.475910399199099,443000000,1455000000,0.0,4082000000,1898000000,5980000000,109000000,379000000,2390000000,0.299086472281,2011000000,0.25165811538,45000000,1966000000,0.246026780128,378000000,1583000000,0.198097860093,2.75,2.71,577200000,585900000,https://www.sec.gov/Archives/edgar/data/66740/000155837019009143/0001558370-19-009143-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019009143/mmm-20190930x10q.htm
2019-06-30,MMM,2019-07-26,2019-07-26 13:12:59,Q2,8171000000,4313000000,3858000000,0.4721576306449639,470000000,1686000000,0.0,4313000000,2156000000,6469000000,111000000,376000000,2078000000,0.25431403745,1702000000,0.208297637988,256000000,1446000000,0.176967323461,315000000,1127000000,0.137926814343,1.95,1.93,577600000,587300000,https://www.sec.gov/Archives/edgar/data/66740/000155837019006397/0001558370-19-006397-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019006397/mmm-20190630x10q.htm
2019-03-31,MMM,2019-04-26,2019-04-26 16:11:39,Q1,7863000000,4310000000,3553000000,0.4518631565560219,477000000,1948000000,0.0,4302000000,2425000000,6727000000,104000000,375000000,1511000000,0.19216584001,1136000000,0.144474119293,48000000,1088000000,0.138369579041,195000000,891000000,0.113315528424,1.54,1.51,577500000,588500000,https://www.sec.gov/Archives/edgar/data/66740/000155837019003408/0001558370-19-003408-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019003408/mmm-20190331x10q.htm
2018-12-31,MMM,2019-02-07,2019-02-07 17:15:37,FY,7945000000,4060000000,3885000000,0.4889867841409692,437000000,1682000000,0.0,4043000000,2119000000,6162000000,95000000,371000000,2154000000,0.271113908118,1783000000,0.224417872876,63000000,1720000000,0.216488357458,371000000,1347000000,0.169540591567,2.32,2.28,588500000,602000000,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/0001558370-19-000470-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/mmm-20181231x10k.htm
2018-09-30,MMM,2018-10-25,2018-10-25 16:57:57,Q3,8152000000,4159000000,3993000000,0.48981844946025516,430000000,1547000000,0.0,4159000000,1977000000,6136000000,85000000,355000000,2371000000,0.290848871443,2016000000,0.247301275761,51000000,1965000000,0.241045142296,419000000,1543000000,0.189278704612,2.63,2.57,591100000,605100000,https://www.sec.gov/Archives/edgar/data/66740/000155837018007892/0001558370-18-007892-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018007892/mmm-20180930x10q.htm
2018-06-30,MMM,2018-07-26,2018-07-26 16:29:12,Q2,8390000000,4227000000,4163000000,0.4961859356376639,468000000,1800000000,0.0,3721000000,2268000000,5989000000,88000000,380000000,2781000000,0.331466030989,2401000000,0.286174016687,51000000,2350000000,0.280095351609,488000000,1857000000,0.221334922527,3.13,3.06,593800000,608500000,https://www.sec.gov/Archives/edgar/data/66740/000155837018005773/0001558370-18-005773-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018005773/mmm-20180630x10q.htm
2018-03-31,MMM,2018-05-08,2018-05-08 11:26:28,Q1,8278000000,4236000000,4042000000,0.4882821937666103,486000000,2573000000,0.0,4212000000,3059000000,7271000000,82000000,382000000,1389000000,0.167794153177,1007000000,0.121647741,42000000,965000000,0.116574051703,359000000,602000000,0.0727228799227,1.01,0.98,596200000,612700000,https://www.sec.gov/Archives/edgar/data/66740/000155837018004248/0001558370-18-004248-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018004248/mmm-20180331x10q.htm
2017-12-31,MMM,2018-02-08,2018-02-08 17:14:52,FY,7990000000,4080000000,3910000000,0.48936170212765956,443000000,1742000000,0.0,3984000000,2029000000,6169000000,166000000,349000000,2170000000,0.271589486859,1821000000,0.227909887359,272000000,1672000000,0.209261576971,1147000000,523000000,0.0654568210263,0.88,0.85,597500000,612700000,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/mmm-20171231x10k.htm
