date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,MO,2020-04-30,2020-04-30 11:12:00,Q1,6359000000,2173000000,4186000000,0.6582796037112754,0.0,45000000,537000000,275000000,45000000,2218000000,0.0,65000000,2401000000,0.377575090423,2336000000,0.367353357446,0.0,2108000000,0.331498663312,558000000,1552000000,0.244063532002,0.83,0.83,1858000000,1858000000,https://www.sec.gov/Archives/edgar/data/764180/000076418020000048/0000764180-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418020000048/a2020form10qq12020.htm
2019-12-31,MO,2020-02-25,2020-02-25 16:31:52,FY,6007000000,1718000000,4289000000,0.7140003329448976,168000000,45000000,572000000,291000000,213000000,1931000000,1322000000,63000000,2490000000,0.414516397536,2427000000,0.404028633261,0.0,-1223000000,-0.20359580489429,591000000,-1814000000,-0.30198102214083566,-0.97,-0.97,1869000000,1869000000,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/0000764180-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/a2019form10-kq4.htm
2019-09-30,MO,2019-10-31,2019-10-31 10:40:35,Q3,6856000000,1915000000,4941000000,0.7206826137689615,0.0,46000000,552000000,293000000,46000000,1961000000,0.0,57000000,3001000000,0.437718786464,2944000000,0.429404900817,0.0,-2128000000,-0.3103850641773629,474000000,-2602000000,-0.3795215869311552,-1.39,-1.39,1871000000,1871000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000083/0000764180-19-000083-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000083/a2019form10qq32019.htm
2019-06-30,MO,2019-07-30,2019-07-30 10:39:12,Q2,6619000000,1874000000,4745000000,0.7168756609759782,0.0,62000000,569000000,312000000,62000000,1936000000,0.0,53000000,2770000000,0.418492219368,2717000000,0.410484967518,0.0,2601000000,0.39295966158,604000000,1996000000,0.301556126303,1.06,1.06,1872000000,1872000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000070/0000764180-19-000070-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000070/a2019form10qq22019.htm
2019-03-31,MO,2019-04-25,2019-04-25 11:10:43,Q1,5628000000,1578000000,4050000000,0.7196162046908315,0.0,46000000,533000000,384000000,46000000,1624000000,0.0,53000000,2291000000,0.407071783937,2238000000,0.397654584222,0.0,1516000000,0.269367448472,395000000,1120000000,0.199004975124,0.6,0.6,1874000000,1874000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000037/0000764180-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000037/a2019form10qq12019.htm
2018-12-31,MO,2019-02-26,2019-02-26 13:49:51,FY,6114000000,1864000000,4250000000,0.6951259404645077,252000000,163000000,797000000,162000000,415000000,2279000000,697000000,59000000,1803000000,0.294896957802,1744000000,0.285246974158,0.0,1710000000,0.279685966634,459000000,1250000000,0.204448806019,0.67,0.66,1887000000,1888000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000023/0000764180-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000023/a2018form10-kq4.htm
2018-09-30,MO,2018-10-25,2018-10-25 17:00:20,Q3,6837000000,2037000000,4800000000,0.7020623080298376,0.0,61000000,700000000,159000000,61000000,2098000000,0.0,64000000,2621000000,0.38335527278,2557000000,0.373994442007,0.0,2608000000,0.38145385403,664000000,1943000000,0.284188971771,1.03,1.03,1891000000,1891000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000095/0000764180-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000095/a2018form10qq32018.htm
2018-06-30,MO,2018-07-26,2018-07-26 10:44:30,Q2,6305000000,1738000000,4567000000,0.724345757335448,0.0,45000000,641000000,178000000,45000000,1783000000,0.0,51000000,2549000000,0.404282315623,2498000000,0.396193497224,0.0,2557000000,0.405551149881,680000000,1876000000,0.297541633624,0.99,0.99,1895000000,1895000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000072/0000764180-18-000072-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000072/a2018form10qq22018.htm
2018-03-31,MO,2018-04-26,2018-04-26 10:28:05,Q1,6108000000,1734000000,4374000000,0.7161100196463654,0.0,46000000,618000000,166000000,46000000,1780000000,0.0,53000000,2369000000,0.38785199738,2316000000,0.379174852652,0.0,2466000000,0.40373280943,571000000,1894000000,0.31008513425,1.0,1.0,1899000000,1899000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000038/0000764180-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000038/a2018form10qq12018.htm
2017-12-31,MO,2018-02-27,2018-02-27 17:31:37,FY,6101000000,1844000000,4257000000,0.6977544664809048,241000000,69000000,698000000,180000000,310000000,2154000000,727000000,54000000,2217000000,0.363383051959,2163000000,0.354532043927,0.0,2183000000,0.35781019505,-2785000000,4966000000,0.813964923783,2.59,2.59,1921000000,1921000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000028/0000764180-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000028/a2017form10-kq4.htm
